date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,6295612,417637764,66.4,66.75,66.0,66.55,-0.3,1528,,0050,元大台灣50
2015-01-06,19501826,1272547315,65.75,65.75,64.75,64.9,-1.65,4903,,0050,元大台灣50
2015-01-07,6991542,454539307,64.7,65.25,64.7,65.0,0.1,1603,,0050,元大台灣50
2015-01-08,13153525,871151843,65.5,66.6,65.5,66.5,1.5,3516,,0050,元大台灣50
2015-01-09,5891981,391342473,66.9,66.95,66.05,66.15,-0.35,1375,,0050,元大台灣50
2015-01-12,9060329,596821609,65.8,66.15,65.65,65.75,-0.4,1178,,0050,元大台灣50
2015-01-13,6151627,406400133,65.6,66.4,65.4,65.95,0.2,1386,,0050,元大台灣50
2015-01-14,7205239,473109554,66.0,66.05,65.4,65.6,-0.35,1256,,0050,元大台灣50
2015-01-15,3525540,231506844,65.65,65.95,65.35,65.8,0.2,865,,0050,元大台灣50
2015-01-16,9317659,613484964,66.25,66.4,65.35,65.5,-0.3,1371,,0050,元大台灣50
2015-01-19,17591339,1166409008,66.3,66.75,66.05,66.25,0.75,2246,,0050,元大台灣50
2015-01-20,10097725,673782517,66.5,66.9,66.35,66.75,0.5,1864,,0050,元大台灣50
2015-01-21,17556111,1179808369,67.2,67.3,67.0,67.25,0.5,2810,,0050,元大台灣50
2015-01-22,16125035,1090773104,67.5,67.9,67.45,67.6,0.35,1996,,0050,元大台灣50
2015-01-23,35859685,2457940298,68.25,68.7,68.25,68.7,1.1,4604,,0050,元大台灣50
2015-01-26,20460334,1404630266,68.55,68.85,68.45,68.7,0.0,1939,,0050,元大台灣50
2015-01-27,36217348,2499213655,69.0,69.25,68.8,69.15,0.45,2879,,0050,元大台灣50
2015-01-28,35993620,2485686836,68.8,69.2,68.8,69.15,0.0,2147,,0050,元大台灣50
2015-01-29,19790454,1353476534,69.05,69.05,68.15,68.3,-0.85,2015,,0050,元大台灣50
2015-01-30,4264474,290995818,68.6,68.6,68.0,68.0,-0.3,1112,,0050,元大台灣50
2015-02-02,5810959,395850332,68.2,68.35,67.9,68.15,0.15,1258,,0050,元大台灣50
2015-02-03,16645523,1142793513,68.35,68.85,68.1,68.65,0.5,1383,,0050,元大台灣50
2015-02-04,20357668,1411607198,69.2,69.5,69.05,69.4,0.75,2741,,0050,元大台灣50
2015-02-05,4783568,329874632,69.05,69.25,68.8,69.1,-0.3,980,,0050,元大台灣50
2015-02-06,4107898,282693112,69.1,69.2,68.65,68.75,-0.35,735,,0050,元大台灣50
2015-02-09,3512269,240429659,68.75,68.75,68.25,68.5,-0.25,943,,0050,元大台灣50
2015-02-10,8023091,547920649,68.45,68.5,68.2,68.25,-0.25,1004,,0050,元大台灣50
2015-02-11,7199400,496602704,68.7,69.25,68.7,69.0,0.75,1282,,0050,元大台灣50
2015-02-12,9310387,642508708,69.0,69.2,68.8,69.0,0.0,812,,0050,元大台灣50
2015-02-13,7599922,528270219,69.35,69.65,69.35,69.45,0.45,1771,,0050,元大台灣50
2015-02-24,14549700,1022504775,69.95,70.45,69.95,70.25,0.8,2778,,0050,元大台灣50
2015-02-25,23253921,1644414580,70.7,70.9,70.55,70.8,0.55,2983,,0050,元大台灣50
2015-02-26,8688633,610954509,70.55,70.65,70.05,70.3,-0.5,1552,,0050,元大台灣50
2015-03-02,6589376,461349421,70.3,70.55,69.75,70.0,-0.3,1449,,0050,元大台灣50
2015-03-03,5067933,353130410,70.05,70.1,69.5,69.9,-0.1,1071,,0050,元大台灣50
2015-03-04,6414710,448582000,69.55,70.05,69.5,69.95,0.05,1053,,0050,元大台灣50
2015-03-05,3761886,261883714,69.95,70.0,69.35,69.7,-0.25,1037,,0050,元大台灣50
2015-03-06,3067298,213689528,69.55,69.9,69.3,69.8,0.1,680,,0050,元大台灣50
2015-03-09,7464997,515792426,69.45,69.5,68.9,69.1,-0.7,1781,,0050,元大台灣50
2015-03-10,6958375,479061142,69.0,69.05,68.6,68.95,-0.15,1347,,0050,元大台灣50
2015-03-11,10039248,689232863,68.35,69.15,68.3,69.05,0.1,1081,,0050,元大台灣50
2015-03-12,5710306,396200162,68.85,69.65,68.8,69.65,0.6,1096,,0050,元大台灣50
2015-03-13,4527676,315257661,69.65,69.75,69.45,69.45,-0.2,890,,0050,元大台灣50
2015-03-16,6079977,420077392,69.35,69.35,68.85,68.9,-0.55,1125,,0050,元大台灣50
2015-03-17,7096344,491872167,69.2,69.75,69.0,69.15,0.25,1282,,0050,元大台灣50
2015-03-18,18621093,1302008460,69.2,70.15,69.2,69.9,0.75,2655,,0050,元大台灣50
2015-03-19,12488588,882632438,70.5,70.9,70.25,70.65,0.75,2611,,0050,元大台灣50
2015-03-20,4499069,317484302,70.65,70.65,70.4,70.55,-0.1,1165,,0050,元大台灣50
2015-03-23,7600178,537702369,70.55,70.9,70.45,70.75,0.2,1207,,0050,元大台灣50
2015-03-24,4504710,317852515,70.55,70.85,70.35,70.5,-0.25,852,,0050,元大台灣50
2015-03-25,4458758,313055355,70.5,70.6,70.1,70.25,-0.25,971,,0050,元大台灣50
2015-03-26,9508125,659426427,69.4,69.7,69.15,69.4,-0.85,2025,,0050,元大台灣50
2015-03-27,10014444,690644936,69.4,69.4,68.65,68.75,-0.65,2367,,0050,元大台灣50
2015-03-30,10353567,711624155,68.75,68.9,68.55,68.8,0.05,2088,,0050,元大台灣50
2015-03-31,7643034,527392233,69.0,69.25,68.8,69.05,0.25,1735,,0050,元大台灣50
2015-04-01,8234217,565367472,68.7,68.85,68.5,68.65,-0.4,2598,,0050,元大台灣50
2015-04-02,7800933,541860608,68.9,69.75,68.9,69.5,0.85,1626,,0050,元大台灣50
2015-04-07,3447972,239681120,69.55,69.7,69.35,69.6,0.1,1027,,0050,元大台灣50
2015-04-08,5069880,350122247,69.6,69.6,68.85,69.0,-0.6,1508,,0050,元大台灣50
2015-04-09,6205517,430981397,69.0,69.85,68.95,69.1,0.1,1517,,0050,元大台灣50
2015-04-10,4600451,320214513,69.7,69.8,69.45,69.65,0.55,865,,0050,元大台灣50
2015-04-13,4199759,293101091,69.9,69.95,69.65,69.85,0.2,782,,0050,元大台灣50
2015-04-14,4562606,317629802,69.85,69.85,69.5,69.5,-0.35,622,,0050,元大台灣50
2015-04-15,17266917,1185132897,69.25,69.5,68.4,68.65,-0.85,3412,,0050,元大台灣50
2015-04-16,15774474,1096081678,68.95,69.7,68.9,69.7,1.05,2442,,0050,元大台灣50
2015-04-17,9237191,637969374,69.55,69.55,68.9,69.05,-0.65,1286,,0050,元大台灣50
2015-04-20,9571501,657845763,68.7,69.15,68.55,68.95,-0.1,1586,,0050,元大台灣50
2015-04-21,2864363,197793548,69.05,69.3,68.85,68.95,0.0,776,,0050,元大台灣50
2015-04-22,11311979,787537471,69.3,69.8,69.25,69.65,0.7,1473,,0050,元大台灣50
2015-04-23,24334093,1724238391,70.2,71.5,70.15,71.5,1.85,4719,,0050,元大台灣50
2015-04-24,26527170,1917092274,71.7,72.85,71.7,72.2,0.7,4260,,0050,元大台灣50
2015-04-27,13281661,968278044,73.0,73.3,72.6,72.75,0.55,3106,,0050,元大台灣50
2015-04-28,16465262,1195111839,72.85,73.1,72.35,72.6,-0.15,2130,,0050,元大台灣50
2015-04-29,10074684,725594690,72.5,72.7,71.6,71.8,-0.8,1811,,0050,元大台灣50
2015-04-30,6780532,484999522,71.6,71.8,71.15,71.45,-0.35,1457,,0050,元大台灣50
2015-05-04,5381376,383599096,71.45,71.65,70.85,71.6,0.15,1220,,0050,元大台灣50
2015-05-05,6801050,483838544,71.4,71.4,70.9,71.2,-0.4,1174,,0050,元大台灣50
2015-05-06,6603488,468611056,70.8,71.4,70.5,71.3,0.1,1301,,0050,元大台灣50
2015-05-07,10204224,718490164,70.8,70.8,70.15,70.45,-0.85,1945,,0050,元大台灣50
2015-05-08,5647296,398589652,70.45,70.65,70.45,70.5,0.05,1082,,0050,元大台灣50
2015-05-11,11222257,793547954,71.0,71.2,70.3,70.85,0.35,1986,,0050,元大台灣50
2015-05-12,9064022,640522400,70.6,70.85,70.55,70.7,-0.15,1712,,0050,元大台灣50
2015-05-13,6874083,488179679,70.7,71.2,70.7,71.1,0.4,1146,,0050,元大台灣50
2015-05-14,16520264,1161687961,70.85,70.95,70.0,70.1,-1.0,3256,,0050,元大台灣50
2015-05-15,11642867,815422387,70.3,70.35,69.7,70.0,-0.1,2197,,0050,元大台灣50
2015-05-18,3248292,227961241,70.05,70.3,70.0,70.25,0.25,950,,0050,元大台灣50
2015-05-19,8458272,601702901,70.4,71.45,70.4,71.3,1.05,2147,,0050,元大台灣50
2015-05-20,7530606,534194695,71.25,71.25,70.8,70.8,-0.5,1216,,0050,元大台灣50
2015-05-21,11567932,809811559,70.15,70.2,69.75,70.15,-0.65,2097,,0050,元大台灣50
2015-05-22,6152758,435042013,70.2,70.95,70.2,70.7,0.55,1234,,0050,元大台灣50
2015-05-25,2391058,169027182,70.45,70.95,70.3,70.7,0.0,734,,0050,元大台灣50
2015-05-26,7521312,535292867,71.2,71.6,70.8,71.0,0.3,1247,,0050,元大台灣50
2015-05-27,5812358,413273073,70.85,71.3,70.7,71.15,0.15,974,,0050,元大台灣50
2015-05-28,5790144,414080476,71.75,71.9,71.25,71.5,0.35,1285,,0050,元大台灣50
2015-05-29,4900148,349371690,71.7,71.7,71.05,71.1,-0.4,1635,,0050,元大台灣50
2015-06-01,7850223,553306871,71.1,71.15,70.25,70.5,-0.6,1749,,0050,元大台灣50
2015-06-02,4867412,341989139,70.45,70.5,70.0,70.4,-0.1,1142,,0050,元大台灣50
2015-06-03,6558304,459976121,70.3,70.4,69.9,69.95,-0.45,1466,,0050,元大台灣50
2015-06-04,28182317,1941540073,69.8,69.9,68.35,68.6,-1.35,5559,,0050,元大台灣50
2015-06-05,15106306,1033376164,68.5,68.6,68.2,68.45,-0.15,2804,,0050,元大台灣50
2015-06-08,9094127,622037152,68.3,69.05,68.0,68.9,0.45,2538,,0050,元大台灣50
2015-06-09,18429951,1258036692,68.5,68.6,68.0,68.35,-0.55,2856,,0050,元大台灣50
2015-06-10,8666901,595189468,68.55,68.9,68.45,68.65,0.3,1959,,0050,元大台灣50
2015-06-11,7352571,504746450,68.8,68.9,68.4,68.85,0.2,1254,,0050,元大台灣50
2015-06-12,3175799,218259470,68.9,69.0,68.45,68.8,-0.05,870,,0050,元大台灣50
2015-06-15,3761616,258521656,68.8,69.0,68.5,68.65,-0.15,971,,0050,元大台灣50
2015-06-16,8681702,592299290,68.65,68.65,68.05,68.2,-0.45,1749,,0050,元大台灣50
2015-06-17,5564580,380966978,68.2,68.75,68.2,68.5,0.3,1585,,0050,元大台灣50
2015-06-18,10688270,730684809,68.45,68.55,68.2,68.4,-0.1,1343,,0050,元大台灣50
2015-06-22,11310165,782304510,68.75,69.4,68.75,69.35,0.95,1920,,0050,元大台灣50
2015-06-23,5311263,369513247,69.55,69.85,69.35,69.55,0.2,1515,,0050,元大台灣50
2015-06-24,6127048,426268842,69.6,69.7,69.4,69.65,0.1,1203,,0050,元大台灣50
2015-06-25,13815425,972267505,70.0,70.65,70.0,70.45,0.8,2531,,0050,元大台灣50
2015-06-26,4926733,346310265,70.45,70.45,70.15,70.45,0.0,1336,,0050,元大台灣50
2015-06-29,11576161,800533393,69.35,69.6,68.75,68.8,-1.65,2885,,0050,元大台灣50
2015-06-30,4093490,282871294,68.8,69.4,68.8,69.4,0.6,1284,,0050,元大台灣50
2015-07-01,6063171,424660570,69.4,70.3,69.25,70.05,0.65,1853,,0050,元大台灣50
2015-07-02,4340672,303948992,70.2,70.25,69.85,70.1,0.05,747,,0050,元大台灣50
2015-07-03,7762464,540423608,70.0,70.2,69.25,70.1,0.0,1679,,0050,元大台灣50
2015-07-06,7584634,526949522,69.55,70.05,69.2,69.3,-0.8,1559,,0050,元大台灣50
2015-07-07,4706919,328215180,69.65,70.1,69.45,69.6,0.3,1222,,0050,元大台灣50
