date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,27000,804770,30.0,30.0,29.77,29.8,-0.3,21,,0051,元大中型100
2015-01-06,142500,4213370,29.66,29.67,29.2,29.2,-0.6,33,,0051,元大中型100
2015-01-07,15030,441185,29.11,29.46,29.11,29.29,0.09,16,,0051,元大中型100
2015-01-08,42518,1264453,29.45,29.8,29.45,29.8,0.51,27,,0051,元大中型100
2015-01-09,18523,553807,29.9,29.92,29.85,29.85,0.05,18,,0051,元大中型100
2015-01-12,19000,564800,29.8,29.82,29.59,29.59,-0.26,13,,0051,元大中型100
2015-01-13,57000,1704690,29.73,29.98,29.73,29.91,0.32,23,,0051,元大中型100
2015-01-14,62000,1855130,29.9,29.98,29.9,29.93,0.02,19,,0051,元大中型100
2015-01-15,17000,507580,29.9,29.9,29.78,29.78,-0.15,5,,0051,元大中型100
2015-01-16,10100,300039,29.8,29.8,29.5,29.51,-0.27,8,,0051,元大中型100
2015-01-19,23150,685310,29.65,29.72,29.52,29.7,0.19,13,,0051,元大中型100
2015-01-20,14300,424548,29.75,29.75,29.61,29.74,0.04,7,,0051,元大中型100
2015-01-21,26000,775310,29.8,29.9,29.8,29.9,0.16,11,,0051,元大中型100
2015-01-22,42005,1263501,29.9,30.15,29.9,30.08,0.18,23,,0051,元大中型100
2015-01-23,54170,1639448,30.17,30.36,30.17,30.17,0.09,24,,0051,元大中型100
2015-01-26,30000,907060,30.1,30.31,30.08,30.08,-0.09,19,,0051,元大中型100
2015-01-27,59000,1791250,30.22,30.4,30.17,30.17,0.09,29,,0051,元大中型100
2015-01-28,58200,1762509,30.16,30.4,30.16,30.4,0.23,31,,0051,元大中型100
2015-01-29,55000,1659490,30.3,30.36,30.08,30.08,-0.32,19,,0051,元大中型100
2015-01-30,4196,126108,30.01,30.1,30.01,30.07,-0.01,5,,0051,元大中型100
2015-02-02,10122,301496,29.65,30.0,29.65,30.0,-0.07,10,,0051,元大中型100
2015-02-03,9000,270020,30.0,30.02,30.0,30.02,0.02,8,,0051,元大中型100
2015-02-04,56001,1690289,30.07,30.32,30.07,30.17,0.15,12,,0051,元大中型100
2015-02-05,7210,216888,30.09,30.09,30.09,30.09,-0.08,7,,0051,元大中型100
2015-02-06,177000,5316310,30.05,30.1,29.95,29.95,-0.14,14,,0051,元大中型100
2015-02-09,9452,283837,30.0,30.1,29.97,30.1,0.15,12,,0051,元大中型100
2015-02-10,11000,330810,30.09,30.09,30.0,30.09,-0.01,8,,0051,元大中型100
2015-02-11,9000,270840,30.1,30.12,30.0,30.0,-0.09,9,,0051,元大中型100
2015-02-12,4000,120400,30.1,30.1,30.1,30.1,0.1,3,,0051,元大中型100
2015-02-13,42000,1267070,30.25,30.25,30.12,30.12,0.02,10,,0051,元大中型100
2015-02-24,85035,2585034,30.21,30.49,30.21,30.4,0.28,45,,0051,元大中型100
2015-02-25,121001,3766860,32.52,32.52,30.55,30.55,0.15,73,,0051,元大中型100
2015-02-26,44000,1342260,30.55,30.6,30.4,30.55,0.0,20,,0051,元大中型100
2015-03-02,113309,3472466,30.56,30.83,30.56,30.8,0.25,27,,0051,元大中型100
2015-03-03,14000,429710,30.8,30.8,30.62,30.65,-0.15,10,,0051,元大中型100
2015-03-04,4001,122710,30.58,30.7,30.58,30.7,0.05,5,,0051,元大中型100
2015-03-05,13756,421935,30.79,30.79,30.65,30.65,-0.05,16,,0051,元大中型100
2015-03-06,8000,245900,30.79,30.79,30.7,30.7,0.05,7,,0051,元大中型100
2015-03-09,14000,428820,30.72,30.76,30.59,30.59,-0.11,6,,0051,元大中型100
2015-03-10,18100,553410,30.74,30.74,30.48,30.5,-0.09,11,,0051,元大中型100
2015-03-11,17000,521520,30.48,30.98,30.33,30.79,0.29,16,,0051,元大中型100
2015-03-12,23050,704195,30.75,30.75,30.45,30.6,-0.19,12,,0051,元大中型100
2015-03-13,18070,552792,30.66,30.7,30.53,30.53,-0.07,14,,0051,元大中型100
2015-03-16,6050,185071,30.6,30.68,30.5,30.54,0.01,8,,0051,元大中型100
2015-03-17,10000,306830,30.65,30.8,30.55,30.55,0.01,8,,0051,元大中型100
2015-03-18,13000,397290,30.6,30.6,30.51,30.51,-0.04,11,,0051,元大中型100
2015-03-19,90000,2767790,30.6,30.8,30.6,30.8,0.29,33,,0051,元大中型100
2015-03-20,23000,709920,30.81,30.9,30.81,30.88,0.08,15,,0051,元大中型100
2015-03-23,8000,246920,30.82,30.88,30.82,30.88,0.0,7,,0051,元大中型100
2015-03-24,27250,834200,30.85,30.85,30.5,30.5,-0.38,20,,0051,元大中型100
2015-03-25,31000,950020,30.65,30.79,30.54,30.54,0.04,14,,0051,元大中型100
2015-03-26,26000,788160,30.39,30.46,30.26,30.31,-0.23,18,,0051,元大中型100
2015-03-27,19313,587594,30.31,30.6,30.11,30.6,0.29,20,,0051,元大中型100
2015-03-30,19000,575740,30.46,30.58,30.25,30.25,-0.35,10,,0051,元大中型100
2015-03-31,18083,550641,30.4,30.5,30.38,30.4,0.15,17,,0051,元大中型100
2015-04-01,22300,672590,30.33,30.33,30.15,30.15,-0.25,18,,0051,元大中型100
2015-04-02,9150,277812,30.15,30.56,30.15,30.3,0.15,12,,0051,元大中型100
2015-04-07,14100,428842,30.3,30.54,30.3,30.4,0.1,10,,0051,元大中型100
2015-04-08,8001,243230,30.4,30.4,30.4,30.4,0.0,7,,0051,元大中型100
2015-04-09,32429,986898,30.39,30.54,30.37,30.4,0.0,16,,0051,元大中型100
2015-04-10,13000,394880,30.34,30.5,30.3,30.35,-0.05,9,,0051,元大中型100
