date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,41000,1717080,41.84,42.0,41.61,42.0,0.05,8,,0052,富邦科技
2015-01-06,17000,703850,41.8,41.8,40.83,40.83,-1.17,8,,0052,富邦科技
2015-01-07,27000,1108100,41.03,41.07,40.94,41.07,0.24,8,,0052,富邦科技
2015-01-08,8010,335166,41.27,42.2,41.27,42.2,1.13,9,,0052,富邦科技
2015-01-09,8000,334290,42.0,42.0,41.67,41.67,-0.53,6,,0052,富邦科技
2015-01-12,16000,662270,41.47,41.48,41.38,41.38,-0.29,5,,0052,富邦科技
2015-01-13,5000,206030,41.12,41.34,41.12,41.31,-0.07,5,,0052,富邦科技
2015-01-14,2000,82160,41.11,41.11,41.05,41.05,-0.26,2,,0052,富邦科技
2015-01-15,1000,41250,41.25,41.25,41.25,41.25,0.2,1,,0052,富邦科技
2015-01-16,10000,416640,41.28,42.0,41.28,41.46,0.21,8,,0052,富邦科技
2015-01-19,7000,293220,41.66,41.96,41.66,41.93,0.47,7,,0052,富邦科技
2015-01-20,9000,373780,41.23,42.0,41.23,42.0,0.07,8,,0052,富邦科技
2015-01-21,11000,465630,42.21,42.45,42.21,42.22,0.22,6,,0052,富邦科技
2015-01-22,12000,510030,42.43,42.6,42.43,42.5,0.28,9,,0052,富邦科技
2015-01-23,169000,7278060,42.71,43.29,42.71,43.05,0.55,26,,0052,富邦科技
2015-01-26,13000,559320,43.1,43.12,43.0,43.12,0.07,3,,0052,富邦科技
2015-01-27,4000,173350,43.33,43.35,43.32,43.32,0.2,4,,0052,富邦科技
2015-01-28,49000,2128720,43.37,43.51,43.37,43.39,0.07,17,,0052,富邦科技
2015-01-29,197050,8499260,43.18,43.21,42.9,43.12,-0.27,12,,0052,富邦科技
2015-01-30,29000,1243370,42.91,42.91,42.62,42.67,-0.45,4,,0052,富邦科技
2015-02-02,31000,1325350,42.82,42.82,42.44,42.51,-0.16,3,,0052,富邦科技
2015-02-03,52000,2234900,42.72,43.0,42.72,43.0,0.49,4,,0052,富邦科技
2015-02-04,31000,1345120,43.21,43.41,43.21,43.32,0.32,7,,0052,富邦科技
2015-02-05,2007,86602,43.27,43.27,43.03,43.03,-0.29,3,,0052,富邦科技
2015-02-06,4000,171440,42.9,42.9,42.82,42.82,-0.21,3,,0052,富邦科技
2015-02-09,49001,2087702,42.61,42.7,42.44,42.67,-0.15,10,,0052,富邦科技
2015-02-10,18050,763364,42.47,42.47,42.14,42.14,-0.53,6,,0052,富邦科技
2015-02-11,40000,1720450,42.35,43.38,42.35,43.29,1.15,11,,0052,富邦科技
