date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,17000,489220,28.9,28.9,28.66,28.85,-0.05,11,,0053,元大電子
2015-01-06,31000,881850,28.71,28.71,28.26,28.29,-0.56,20,,0053,元大電子
2015-01-07,13000,370220,28.43,28.63,28.4,28.49,0.2,10,,0053,元大電子
2015-01-08,13000,375420,28.63,28.97,28.63,28.97,0.48,10,,0053,元大電子
2015-01-09,11000,318180,29.05,29.05,28.83,28.83,-0.14,10,,0053,元大電子
2015-01-12,27000,778140,28.8,28.92,28.8,28.8,-0.03,10,,0053,元大電子
2015-01-13,18000,519650,28.71,28.98,28.71,28.82,0.02,12,,0053,元大電子
2015-01-14,9000,256980,28.66,28.66,28.53,28.53,-0.29,6,,0053,元大電子
2015-01-15,9000,257650,28.67,28.68,28.52,28.52,-0.01,5,,0053,元大電子
2015-01-16,14000,402130,28.66,28.94,28.63,28.64,0.12,11,,0053,元大電子
2015-01-19,13000,375260,28.78,28.99,28.78,28.8,0.16,12,,0053,元大電子
2015-01-20,11000,317820,28.89,28.9,28.89,28.9,0.1,7,,0053,元大電子
2015-01-21,44044,1283331,29.0,29.21,29.0,29.2,0.3,29,,0053,元大電子
2015-01-22,14000,410100,29.2,29.35,29.2,29.3,0.1,11,,0053,元大電子
2015-01-23,78000,2317400,29.35,29.81,29.35,29.81,0.51,43,,0053,元大電子
2015-01-26,61000,1817790,29.75,29.83,29.75,29.8,-0.01,31,,0053,元大電子
2015-01-27,42000,1258120,29.96,30.01,29.8,29.96,0.16,20,,0053,元大電子
2015-01-28,844000,25319900,29.95,30.06,29.91,30.0,0.04,73,,0053,元大電子
2015-01-29,32000,950150,29.95,29.95,29.51,29.82,-0.18,31,,0053,元大電子
2015-01-30,90000,2660150,29.83,29.83,29.5,29.57,-0.25,36,,0053,元大電子
2015-02-02,21000,619940,29.6,29.6,29.43,29.57,0.0,19,,0053,元大電子
2015-02-03,160000,4767300,29.57,29.83,29.57,29.82,0.25,22,,0053,元大電子
2015-02-04,41000,1229070,29.96,30.0,29.9,29.97,0.15,24,,0053,元大電子
2015-02-05,4000,119300,29.83,29.83,29.82,29.82,-0.15,2,,0053,元大電子
2015-02-06,9000,266540,29.68,29.69,29.59,29.69,-0.13,9,,0053,元大電子
2015-02-09,341000,10076900,29.55,29.67,29.42,29.61,-0.08,24,,0053,元大電子
2015-02-10,16010,471173,29.48,29.5,29.36,29.36,-0.25,14,,0053,元大電子
2015-02-11,10000,297690,29.5,29.88,29.5,29.87,0.51,9,,0053,元大電子
2015-02-12,20000,594480,29.87,29.87,29.56,29.83,-0.04,16,,0053,元大電子
2015-02-13,27000,808900,29.96,30.0,29.91,29.95,0.12,17,,0053,元大電子
2015-02-24,121000,3660020,29.99,30.38,29.98,30.22,0.27,53,,0053,元大電子
2015-02-25,182200,5557439,30.25,30.65,30.25,30.64,0.42,73,,0053,元大電子
2015-02-26,53050,1604670,30.49,30.49,30.11,30.31,-0.33,26,,0053,元大電子
2015-03-02,116000,3513010,30.46,30.5,30.21,30.22,-0.09,89,,0053,元大電子
2015-03-03,62000,1871000,30.37,30.4,30.11,30.24,0.02,34,,0053,元大電子
2015-03-04,171000,5174060,30.18,30.37,30.18,30.26,0.02,73,,0053,元大電子
2015-03-05,48003,1450760,30.2,30.28,30.18,30.22,-0.04,32,,0053,元大電子
2015-03-06,57000,1720440,30.36,30.36,30.15,30.25,0.03,37,,0053,元大電子
2015-03-09,23000,689640,30.25,30.25,29.9,30.21,-0.04,19,,0053,元大電子
2015-03-10,38000,1135990,30.2,30.2,29.72,29.87,-0.34,38,,0053,元大電子
2015-03-11,27000,807720,29.85,30.0,29.8,30.0,0.13,19,,0053,元大電子
2015-03-12,36000,1080430,29.99,30.1,29.89,30.03,0.03,18,,0053,元大電子
2015-03-13,22242,670405,30.19,30.19,30.11,30.15,0.12,21,,0053,元大電子
2015-03-16,6100,182820,30.1,30.1,29.91,29.91,-0.24,7,,0053,元大電子
2015-03-17,8000,241990,30.05,30.3,30.05,30.26,0.35,8,,0053,元大電子
2015-03-18,79100,2396384,30.2,30.35,30.2,30.34,0.08,36,,0053,元大電子
2015-03-19,270000,8250500,30.51,30.73,30.48,30.72,0.38,72,,0053,元大電子
2015-03-20,26000,797940,30.75,30.75,30.66,30.7,-0.02,13,,0053,元大電子
2015-03-23,55000,1690990,30.68,30.8,30.68,30.77,0.07,39,,0053,元大電子
2015-03-24,46000,1402460,30.77,30.77,30.4,30.67,-0.1,19,,0053,元大電子
2015-03-25,89000,2714810,30.54,30.54,30.49,30.5,-0.17,38,,0053,元大電子
2015-03-26,10100,303677,30.35,30.35,29.97,29.98,-0.52,11,,0053,元大電子
2015-03-27,51000,1526680,30.12,30.12,29.7,29.7,-0.28,18,,0053,元大電子
2015-03-30,55000,1627540,29.6,29.7,29.51,29.7,0.0,35,,0053,元大電子
2015-03-31,5000,148770,29.8,29.8,29.74,29.74,0.04,4,,0053,元大電子
2015-04-01,17100,505714,29.6,29.69,29.53,29.67,-0.07,16,,0053,元大電子
2015-04-02,6000,179390,29.81,30.03,29.81,30.03,0.36,6,,0053,元大電子
2015-04-07,6000,180260,30.1,30.1,29.95,30.07,0.04,6,,0053,元大電子
2015-04-08,20000,594420,29.99,29.99,29.6,29.63,-0.44,16,,0053,元大電子
2015-04-09,42000,1248830,29.67,29.79,29.55,29.55,-0.08,42,,0053,元大電子
2015-04-10,2024,60228,29.69,29.83,29.69,29.83,0.28,3,,0053,元大電子
2015-04-13,18000,536940,30.0,30.0,29.7,29.7,-0.13,15,,0053,元大電子
2015-04-14,11000,326660,29.85,29.85,29.64,29.64,-0.06,7,,0053,元大電子
2015-04-15,25001,735889,29.78,29.78,29.3,29.3,-0.34,23,,0053,元大電子
2015-04-16,74000,2199990,29.45,29.9,29.45,29.83,0.53,48,,0053,元大電子
2015-04-17,43000,1262590,29.83,29.83,29.29,29.47,-0.36,35,,0053,元大電子
2015-04-20,8000,235150,29.35,29.45,29.29,29.45,-0.02,8,,0053,元大電子
2015-04-21,6000,176280,29.53,29.53,29.31,29.31,-0.14,5,,0053,元大電子
2015-04-22,9000,265250,29.34,29.6,29.34,29.47,0.16,7,,0053,元大電子
2015-04-23,20000,597790,29.61,30.01,29.61,30.01,0.54,16,,0053,元大電子
2015-04-24,147000,4478920,30.2,30.65,30.2,30.4,0.39,42,,0053,元大電子
2015-04-27,86000,2626640,30.4,30.67,30.4,30.47,0.07,41,,0053,元大電子
2015-04-28,216000,6588530,30.47,30.7,30.24,30.29,-0.18,39,,0053,元大電子
2015-04-29,82000,2450610,30.29,30.29,29.82,29.94,-0.35,29,,0053,元大電子
2015-04-30,9000,267970,29.81,29.81,29.7,29.71,-0.23,5,,0053,元大電子
2015-05-04,261000,7756470,29.9,29.9,29.61,29.8,0.09,14,,0053,元大電子
2015-05-05,9000,267470,29.79,29.79,29.65,29.69,-0.11,7,,0053,元大電子
2015-05-06,16000,473720,29.6,29.65,29.56,29.65,-0.04,8,,0053,元大電子
2015-05-07,13000,383620,29.59,29.59,29.44,29.44,-0.21,11,,0053,元大電子
2015-05-08,14000,412140,29.44,29.5,29.41,29.45,0.01,9,,0053,元大電子
2015-05-11,39000,1144500,29.59,29.59,29.26,29.26,-0.19,11,,0053,元大電子
2015-05-12,8207,239913,29.24,29.33,29.19,29.33,0.07,9,,0053,元大電子
2015-05-13,8000,235430,29.36,29.44,29.36,29.44,0.11,8,,0053,元大電子
2015-05-14,3011,88305,29.31,29.35,29.31,29.32,-0.12,5,,0053,元大電子
2015-05-15,103000,3012660,29.23,29.25,29.2,29.25,-0.07,5,,0053,元大電子
2015-05-18,14000,407770,29.25,29.25,29.0,29.08,-0.17,14,,0053,元大電子
2015-05-19,13000,382190,29.22,29.5,29.22,29.5,0.42,11,,0053,元大電子
2015-05-20,15000,442570,29.55,29.55,29.49,29.49,-0.01,8,,0053,元大電子
2015-05-21,12000,352710,29.48,29.48,29.3,29.3,-0.19,7,,0053,元大電子
2015-05-22,7000,206780,29.44,29.58,29.44,29.58,0.28,5,,0053,元大電子
2015-05-25,42000,1244350,29.45,29.78,29.45,29.78,0.2,10,,0053,元大電子
2015-05-26,18000,534520,29.78,29.8,29.6,29.6,-0.18,15,,0053,元大電子
2015-05-27,24000,709680,29.74,29.74,29.5,29.57,-0.03,15,,0053,元大電子
2015-05-28,18000,536230,29.71,29.84,29.71,29.81,0.24,15,,0053,元大電子
2015-05-29,12000,359150,29.85,30.0,29.85,30.0,0.19,6,,0053,元大電子
2015-06-01,9000,266900,29.86,29.86,29.56,29.6,-0.4,8,,0053,元大電子
2015-06-02,12000,356050,29.7,29.7,29.53,29.53,-0.07,5,,0053,元大電子
2015-06-03,20000,588360,29.59,29.59,29.37,29.51,-0.02,18,,0053,元大電子
