date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,966000,13954259,14.55,14.55,14.42,14.5,-0.11,102,,0055,元大MSCI金融
2015-01-06,629000,8956780,14.41,14.41,14.16,14.21,-0.29,238,,0055,元大MSCI金融
2015-01-07,154000,2190450,14.21,14.28,14.2,14.22,0.01,65,,0055,元大MSCI金融
2015-01-08,263000,3775970,14.27,14.39,14.27,14.38,0.16,102,,0055,元大MSCI金融
2015-01-09,280100,4042235,14.41,14.45,14.41,14.41,0.03,70,,0055,元大MSCI金融
2015-01-12,138000,1980440,14.38,14.45,14.3,14.45,0.04,51,,0055,元大MSCI金融
2015-01-13,459240,6629236,14.39,14.5,14.35,14.47,0.02,75,,0055,元大MSCI金融
2015-01-14,134000,1928560,14.5,14.5,14.36,14.37,-0.1,49,,0055,元大MSCI金融
2015-01-15,76100,1093277,14.45,14.45,14.32,14.33,-0.04,22,,0055,元大MSCI金融
2015-01-16,2004500,28447419,14.27,14.27,14.14,14.19,-0.14,162,,0055,元大MSCI金融
2015-01-19,253200,3603604,14.27,14.3,14.18,14.18,-0.01,67,,0055,元大MSCI金融
2015-01-20,181000,2595620,14.25,14.36,14.25,14.35,0.17,62,,0055,元大MSCI金融
2015-01-21,110600,1589560,14.39,14.4,14.35,14.39,0.04,45,,0055,元大MSCI金融
2015-01-22,325000,4724520,14.46,14.58,14.46,14.51,0.12,158,,0055,元大MSCI金融
2015-01-23,1320499,19411695,14.69,14.75,14.62,14.65,0.14,252,,0055,元大MSCI金融
2015-01-26,209000,3047290,14.62,14.62,14.55,14.55,-0.1,93,,0055,元大MSCI金融
2015-01-27,577000,8430640,14.62,14.68,14.59,14.64,0.09,84,,0055,元大MSCI金融
2015-01-28,884000,12908540,14.64,14.64,14.59,14.62,-0.02,102,,0055,元大MSCI金融
2015-01-29,216000,3136170,14.6,14.6,14.48,14.52,-0.1,82,,0055,元大MSCI金融
2015-01-30,188000,2730990,14.52,14.55,14.51,14.53,0.01,82,,0055,元大MSCI金融
2015-02-02,227000,3290590,14.45,14.52,14.45,14.5,-0.03,65,,0055,元大MSCI金融
2015-02-03,119000,1730690,14.5,14.62,14.5,14.55,0.05,54,,0055,元大MSCI金融
2015-02-04,1861000,27290950,14.6,14.72,14.6,14.67,0.12,188,,0055,元大MSCI金融
2015-02-05,730000,10722600,14.67,14.72,14.67,14.71,0.04,76,,0055,元大MSCI金融
2015-02-06,686000,10097710,14.67,14.73,14.65,14.66,-0.05,51,,0055,元大MSCI金融
2015-02-09,1080000,15797170,14.56,14.65,14.56,14.65,-0.01,71,,0055,元大MSCI金融
2015-02-10,3016000,44344470,14.6,14.8,14.6,14.8,0.15,233,,0055,元大MSCI金融
