date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,508718,12264292,24.16,24.16,24.01,24.15,-0.01,306,,0056,元大高股息
2015-01-06,908140,21728940,24.08,24.08,23.86,23.89,-0.26,669,,0056,元大高股息
2015-01-07,336998,8049422,23.85,23.95,23.83,23.91,0.02,218,,0056,元大高股息
2015-01-08,760481,18343318,23.96,24.17,23.96,24.12,0.21,374,,0056,元大高股息
2015-01-09,375900,9093855,24.15,24.25,24.15,24.16,0.04,208,,0056,元大高股息
2015-01-12,364704,8803283,24.16,24.17,24.05,24.15,-0.01,184,,0056,元大高股息
2015-01-13,1121100,27198470,24.15,24.3,24.13,24.3,0.15,421,,0056,元大高股息
2015-01-14,840169,20414011,24.3,24.34,24.23,24.32,0.02,257,,0056,元大高股息
2015-01-15,312884,7589315,24.32,24.33,24.2,24.26,-0.06,158,,0056,元大高股息
2015-01-16,644204,15519860,24.2,24.25,23.99,24.09,-0.17,261,,0056,元大高股息
2015-01-19,513249,12426836,24.22,24.34,24.09,24.15,0.06,228,,0056,元大高股息
2015-01-20,1083864,26266465,24.1,24.28,24.1,24.23,0.08,233,,0056,元大高股息
2015-01-21,1160309,28207790,24.23,24.33,24.23,24.3,0.07,345,,0056,元大高股息
2015-01-22,2199609,54033864,24.34,24.64,24.34,24.63,0.33,706,,0056,元大高股息
2015-01-23,1763251,43739005,24.73,24.87,24.72,24.77,0.14,690,,0056,元大高股息
2015-01-26,893279,22126395,24.75,24.8,24.71,24.77,0.0,328,,0056,元大高股息
2015-01-27,730846,18135112,24.86,24.89,24.75,24.83,0.06,283,,0056,元大高股息
2015-01-28,2074745,51596415,24.76,24.94,24.75,24.91,0.08,446,,0056,元大高股息
2015-01-29,596411,14766542,24.9,24.9,24.68,24.72,-0.19,214,,0056,元大高股息
2015-01-30,322264,7971209,24.82,24.82,24.64,24.65,-0.07,174,,0056,元大高股息
2015-02-02,411829,10127293,24.65,24.66,24.55,24.57,-0.08,214,,0056,元大高股息
2015-02-03,367500,9079870,24.68,24.75,24.6,24.7,0.13,178,,0056,元大高股息
2015-02-04,816930,20306931,24.77,24.9,24.77,24.83,0.13,275,,0056,元大高股息
2015-02-05,426956,10595121,24.83,24.83,24.78,24.81,-0.02,119,,0056,元大高股息
2015-02-06,292985,7257409,24.81,24.82,24.73,24.74,-0.07,216,,0056,元大高股息
2015-02-09,307222,7599866,24.7,24.76,24.7,24.72,-0.02,176,,0056,元大高股息
2015-02-10,381302,9393357,24.7,24.72,24.58,24.63,-0.09,215,,0056,元大高股息
2015-02-11,384164,9489925,24.65,24.78,24.65,24.7,0.07,165,,0056,元大高股息
2015-02-12,489222,12061599,24.7,24.73,24.64,24.65,-0.05,123,,0056,元大高股息
2015-02-13,1488246,36991653,24.65,24.92,24.65,24.8,0.15,486,,0056,元大高股息
2015-02-24,1464502,36693277,24.93,25.1,24.93,25.06,0.26,637,,0056,元大高股息
2015-02-25,1247070,31366239,25.06,25.25,25.06,25.16,0.1,495,,0056,元大高股息
2015-02-26,909029,22800420,25.2,25.2,25.02,25.14,-0.02,343,,0056,元大高股息
2015-03-02,702798,17700581,25.2,25.24,25.14,25.21,0.07,326,,0056,元大高股息
2015-03-03,591029,14893249,25.21,25.25,25.14,25.19,-0.02,284,,0056,元大高股息
2015-03-04,566433,14281363,25.16,25.26,25.14,25.19,0.0,303,,0056,元大高股息
2015-03-05,274613,6908045,25.19,25.22,25.08,25.18,-0.01,154,,0056,元大高股息
2015-03-06,533300,13454508,25.18,25.26,25.14,25.25,0.07,269,,0056,元大高股息
