date,volume,value,open,high,low,close,change,transactions,爹癘,stock_no,stock_name
2015-01-05,227000,9243850,40.96,40.96,40.51,40.89,-0.27,11,,0057,碔ü集
2015-01-06,39000,1559580,40.26,40.27,39.78,39.78,-1.11,14,,0057,碔ü集
2015-01-07,60000,2393710,39.78,39.92,39.78,39.92,0.14,6,,0057,碔ü集
2015-01-08,38000,1538210,40.25,40.84,40.25,40.84,0.92,7,,0057,碔ü集
2015-01-09,46000,1874040,40.74,40.74,40.74,40.74,-0.1,1,,0057,碔ü集
2015-01-12,55000,2224120,40.36,40.6,40.36,40.45,-0.29,9,,0057,碔ü集
2015-01-13,199000,8094930,40.25,40.77,40.25,40.5,0.05,20,,0057,碔ü集
2015-01-14,167000,6739140,40.48,40.54,40.26,40.26,-0.24,8,,0057,碔ü集
2015-01-15,21000,846990,40.46,40.46,40.26,40.33,0.07,3,,0057,碔ü集
2015-01-16,68000,2748610,40.66,40.66,40.16,40.36,0.03,7,,0057,碔ü集
2015-01-19,521000,21181640,40.56,40.92,40.46,40.54,0.18,91,,0057,碔ü集
2015-01-20,3000,122590,40.74,40.94,40.74,40.91,0.37,3,,0057,碔ü集
2015-01-21,1000,41110,41.11,41.11,41.11,41.11,0.2,1,,0057,碔ü集
2015-01-22,99000,4097590,41.36,41.56,41.32,41.32,0.21,9,,0057,碔ü集
2015-01-23,55000,2306540,41.82,42.02,41.82,42.0,0.68,5,,0057,碔ü集
2015-01-26,4000,168000,42.0,42.0,42.0,42.0,0.0,1,,0057,碔ü集
2015-01-27,9000,380580,42.36,42.36,42.26,42.26,0.26,5,,0057,碔ü集
2015-01-28,15000,634400,42.32,42.32,42.27,42.29,0.03,4,,0057,碔ü集
2015-01-29,90000,3772410,42.08,42.08,41.75,41.81,-0.48,8,,0057,碔ü集
2015-01-30,38000,1585720,41.82,41.82,41.62,41.62,-0.19,7,,0057,碔ü集
2015-02-02,20000,834680,41.7,41.76,41.5,41.5,-0.12,4,,0057,碔ü集
2015-02-03,27000,1124030,41.7,42.04,41.58,42.04,0.54,6,,0057,碔ü集
2015-02-04,75000,3171720,42.25,42.38,42.2,42.34,0.3,39,,0057,碔ü集
2015-02-05,14000,588640,42.13,42.13,42.03,42.04,-0.3,4,,0057,碔ü集
2015-02-06,24000,1007440,42.06,42.06,41.95,42.02,-0.02,5,,0057,碔ü集
2015-02-09,8000,333630,41.81,41.86,41.66,41.86,-0.16,4,,0057,碔ü集
2015-02-10,83000,3458650,41.64,41.72,41.64,41.69,-0.17,5,,0057,碔ü集
2015-02-11,5000,210160,41.93,42.2,41.93,42.2,0.51,4,,0057,碔ü集
2015-02-12,60000,2524300,42.13,42.13,42.07,42.11,-0.09,3,,0057,碔ü集
2015-02-13,5000,212320,42.42,42.5,42.42,42.46,0.35,4,,0057,碔ü集
2015-02-24,10000,429260,42.76,42.98,42.76,42.98,0.52,5,,0057,碔ü集
2015-02-25,270000,11657050,43.19,43.3,43.07,43.14,0.16,69,,0057,碔ü集
2015-02-26,73000,3128600,42.99,43.03,42.73,42.84,-0.3,11,,0057,碔ü集
2015-03-02,9000,385290,42.96,42.96,42.65,42.65,-0.19,6,,0057,碔ü集
2015-03-03,9000,382750,42.7,42.7,42.44,42.58,-0.07,5,,0057,碔ü集
2015-03-04,0,0,,,,,0.0,0,,0057,碔ü集
2015-03-05,1176000,50176170,42.46,42.72,42.43,42.7,0.0,21,,0057,碔ü集
2015-03-06,896000,38306580,42.49,42.8,42.49,42.8,0.1,25,,0057,碔ü集
2015-03-09,298000,12614810,42.54,42.54,42.23,42.27,-0.53,171,,0057,碔ü集
2015-03-10,346000,14547140,42.2,42.22,41.92,42.09,-0.18,28,,0057,碔ü集
2015-03-11,5000,210010,41.88,42.19,41.78,42.19,0.1,5,,0057,碔ü集
2015-03-12,53000,2246800,42.19,42.46,42.19,42.44,0.25,6,,0057,碔ü集
2015-03-13,199000,8463700,42.56,42.56,42.47,42.53,0.09,33,,0057,碔ü集
2015-03-16,22000,927910,42.32,42.32,42.15,42.15,-0.38,6,,0057,碔ü集
2015-03-17,21000,894380,42.48,42.61,42.39,42.39,0.24,6,,0057,碔ü集
2015-03-18,1000,42700,42.7,42.7,42.7,42.7,0.31,1,,0057,碔ü集
2015-03-19,6000,258330,42.91,43.15,42.91,43.15,0.45,4,,0057,碔ü集
2015-03-20,0,0,,,,,0.0,0,,0057,碔ü集
2015-03-23,1000,43150,43.15,43.15,43.15,43.15,0.0,1,,0057,碔ü集
2015-03-24,5000,215490,43.2,43.2,43.02,43.05,-0.1,3,,0057,碔ü集
2015-03-25,1000,42840,42.84,42.84,42.84,42.84,-0.21,1,,0057,碔ü集
2015-03-26,69000,2916010,42.63,42.63,42.19,42.27,-0.57,10,,0057,碔ü集
2015-03-27,101000,4255900,42.27,42.27,41.97,41.97,-0.3,11,,0057,碔ü集
2015-03-30,60000,2518670,41.92,41.98,41.91,41.98,0.01,3,,0057,碔ü集
2015-03-31,53000,2232190,42.18,42.28,42.07,42.28,0.3,8,,0057,碔ü集
2015-04-01,5000,210110,42.28,42.28,41.9,41.96,-0.32,4,,0057,碔ü集
2015-04-02,203000,8557840,42.13,42.5,42.13,42.5,0.54,7,,0057,碔ü集
2015-04-07,24000,1016190,42.34,42.36,42.34,42.34,-0.16,4,,0057,碔ü集
2015-04-08,8000,338320,42.34,42.38,42.26,42.26,-0.08,5,,0057,碔ü集
2015-04-09,17000,722610,42.24,42.58,42.19,42.19,-0.07,6,,0057,碔ü集
2015-04-10,70000,2976550,42.4,42.62,42.4,42.51,0.32,7,,0057,碔ü集
2015-04-13,80000,3400720,42.52,42.55,42.42,42.55,0.04,9,,0057,碔ü集
2015-04-14,27000,1144900,42.51,42.51,42.39,42.39,-0.16,4,,0057,碔ü集
2015-04-15,1893000,79009420,42.26,42.26,41.62,41.69,-0.7,946,,0057,碔ü集
2015-04-16,285000,12078640,41.89,42.49,41.89,42.48,0.79,73,,0057,碔ü集
2015-04-17,58000,2439880,42.27,42.27,42.0,42.0,-0.48,6,,0057,碔ü集
2015-04-20,62000,2588600,42.0,42.0,41.74,41.94,-0.06,5,,0057,碔ü集
2015-04-21,2000,84230,42.14,42.14,42.09,42.09,0.15,2,,0057,碔ü集
2015-04-22,26000,1099390,42.3,42.48,42.27,42.4,0.31,5,,0057,碔ü集
2015-04-23,53000,2297700,42.61,43.5,42.61,43.46,1.06,12,,0057,碔ü集
2015-04-24,8000,351010,43.67,44.04,43.67,43.99,0.53,6,,0057,碔ü集
2015-04-27,3000,132750,44.2,44.3,44.2,44.3,0.31,3,,0057,碔ü集
