date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,59492444,1009315283,16.92,17.1,16.83,17.1,0.22,6685,,0061,元大寶滬深
2015-01-06,126880839,2201590397,17.08,17.75,17.0,17.53,0.43,18966,,0061,元大寶滬深
2015-01-07,77005155,1366658806,17.53,17.86,17.53,17.8,0.27,11796,,0061,元大寶滬深
2015-01-08,83554680,1496236324,18.0,18.17,17.63,17.84,0.04,12813,,0061,元大寶滬深
2015-01-09,41054492,734814674,17.84,18.05,17.78,18.05,0.21,6057,,0061,元大寶滬深
2015-01-12,48818825,867947925,17.93,17.97,17.55,17.62,-0.43,8017,,0061,元大寶滬深
2015-01-13,34642750,619709113,17.7,18.0,17.7,17.93,0.31,5222,,0061,元大寶滬深
2015-01-14,30407112,543872667,17.93,18.0,17.78,17.93,0.0,4483,,0061,元大寶滬深
2015-01-15,22981680,410201284,17.8,17.96,17.71,17.85,-0.08,4306,,0061,元大寶滬深
2015-01-16,37834011,681325890,18.08,18.12,17.89,17.97,0.12,5589,,0061,元大寶滬深
2015-01-19,96137492,1644734736,17.92,17.92,16.39,16.63,-1.34,16684,,0061,元大寶滬深
2015-01-20,41101644,691646008,16.5,17.0,16.4,16.94,0.31,7874,,0061,元大寶滬深
2015-01-21,32909649,565883029,17.0,17.39,16.99,17.39,0.45,5984,,0061,元大寶滬深
2015-01-22,23926380,419303202,17.49,17.62,17.39,17.6,0.21,4651,,0061,元大寶滬深
2015-01-23,30546314,542954494,17.7,17.88,17.68,17.75,0.15,5480,,0061,元大寶滬深
2015-01-26,21159065,373292702,17.75,17.78,17.53,17.6,-0.15,4479,,0061,元大寶滬深
2015-01-27,37817879,662139803,17.68,17.8,17.18,17.3,-0.3,7377,,0061,元大寶滬深
2015-01-28,26517117,462878313,17.5,17.58,17.35,17.57,0.27,3892,,0061,元大寶滬深
2015-01-29,29073036,500077989,17.28,17.3,17.11,17.21,-0.36,4949,,0061,元大寶滬深
2015-01-30,26799762,457939970,17.2,17.31,16.98,16.98,-0.23,4833,,0061,元大寶滬深
2015-02-02,27928632,469869720,16.8,16.99,16.63,16.88,-0.1,4783,,0061,元大寶滬深
2015-02-03,17643756,299074242,16.91,17.02,16.87,16.99,0.11,2659,,0061,元大寶滬深
2015-02-04,22440392,389395937,17.33,17.44,17.26,17.34,0.35,3987,,0061,元大寶滬深
2015-02-05,42363889,746835793,17.7,17.85,17.42,17.59,0.25,6439,,0061,元大寶滬深
2015-02-06,28501654,488625777,17.2,17.25,17.02,17.1,-0.49,5316,,0061,元大寶滬深
2015-02-09,22548248,381890656,16.96,17.08,16.82,16.92,-0.18,3627,,0061,元大寶滬深
2015-02-10,19573794,333698973,16.92,17.15,16.92,17.07,0.15,3348,,0061,元大寶滬深
2015-02-11,12140539,207931770,17.1,17.17,17.09,17.11,0.04,1931,,0061,元大寶滬深
2015-02-12,13941848,237962076,17.11,17.15,16.98,17.11,0.0,1902,,0061,元大寶滬深
2015-02-13,37318101,646158355,17.13,17.5,17.13,17.43,0.32,5123,,0061,元大寶滬深
2015-02-24,28084775,493049158,17.46,17.62,17.46,17.57,0.14,3504,,0061,元大寶滬深
2015-02-25,21140978,370457209,17.6,17.67,17.37,17.45,-0.12,2907,,0061,元大寶滬深
2015-02-26,19807102,345018057,17.4,17.59,17.24,17.55,0.1,3051,,0061,元大寶滬深
2015-03-02,24442779,433332952,17.76,17.8,17.62,17.7,0.15,4033,,0061,元大寶滬深
2015-03-03,18974406,332640195,17.75,17.78,17.41,17.42,-0.28,3068,,0061,元大寶滬深
2015-03-04,13150549,227411273,17.33,17.39,17.23,17.28,-0.14,2537,,0061,元大寶滬深
2015-03-05,12528312,215643360,17.3,17.35,17.12,17.12,-0.16,2662,,0061,元大寶滬深
2015-03-06,16194537,279880237,17.15,17.38,17.15,17.23,0.11,2740,,0061,元大寶滬深
2015-03-09,27477610,466627170,17.15,17.21,16.88,17.03,-0.2,5262,,0061,元大寶滬深
2015-03-10,24854000,429841606,17.36,17.38,17.21,17.21,0.18,3340,,0061,元大寶滬深
2015-03-11,37195099,641547242,17.1,17.36,17.02,17.16,-0.05,4123,,0061,元大寶滬深
