date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,5000,159320,31.95,31.95,31.75,31.91,-0.2,5,,006203,元大MSCI台灣
2015-01-06,8000,251130,31.76,31.76,31.17,31.17,-0.74,6,,006203,元大MSCI台灣
2015-01-07,0,0,,,,,0.0,0,,006203,元大MSCI台灣
2015-01-08,8000,253560,31.32,32.0,31.32,32.0,0.0,7,,006203,元大MSCI台灣
2015-01-09,1000,31820,31.82,31.82,31.82,31.82,-0.18,1,,006203,元大MSCI台灣
2015-01-12,14000,443840,31.67,31.76,31.67,31.69,-0.13,7,,006203,元大MSCI台灣
2015-01-13,1000,31840,31.84,31.84,31.84,31.84,0.15,1,,006203,元大MSCI台灣
2015-01-14,31000,978760,31.69,31.69,31.5,31.51,-0.33,9,,006203,元大MSCI台灣
2015-01-15,2000,63170,31.66,31.66,31.51,31.51,0.0,2,,006203,元大MSCI台灣
2015-01-16,8000,253750,31.89,31.89,31.5,31.5,-0.01,7,,006203,元大MSCI台灣
2015-01-19,6000,191180,31.65,31.97,31.65,31.85,0.35,6,,006203,元大MSCI台灣
2015-01-20,2000,64000,31.99,32.01,31.99,32.01,0.16,2,,006203,元大MSCI台灣
2015-01-21,8000,257510,32.17,32.22,32.17,32.22,0.21,8,,006203,元大MSCI台灣
2015-01-22,1000,32430,32.43,32.43,32.43,32.43,0.21,1,,006203,元大MSCI台灣
2015-01-23,6000,196910,32.59,32.91,32.59,32.91,0.48,6,,006203,元大MSCI台灣
2015-01-26,10000,328840,32.88,32.9,32.88,32.9,-0.01,6,,006203,元大MSCI台灣
2015-01-27,6000,198250,33.06,33.07,33.0,33.02,0.12,6,,006203,元大MSCI台灣
2015-01-28,37000,1220160,32.93,33.05,32.93,33.04,0.02,7,,006203,元大MSCI台灣
2015-01-29,1000,32880,32.88,32.88,32.88,32.88,-0.16,1,,006203,元大MSCI台灣
2015-01-30,1000,32720,32.72,32.72,32.72,32.72,-0.16,1,,006203,元大MSCI台灣
2015-02-02,2000,65110,32.56,32.56,32.55,32.55,-0.17,2,,006203,元大MSCI台灣
2015-02-03,2000,65580,32.71,32.87,32.71,32.87,0.32,2,,006203,元大MSCI台灣
2015-02-04,4000,132290,33.01,33.1,33.01,33.1,0.23,4,,006203,元大MSCI台灣
2015-02-05,39000,1281960,32.94,32.98,32.84,32.84,-0.26,9,,006203,元大MSCI台灣
2015-02-06,5000,164270,32.9,32.9,32.82,32.82,-0.02,4,,006203,元大MSCI台灣
2015-02-09,5000,163570,32.74,32.8,32.64,32.8,-0.02,5,,006203,元大MSCI台灣
2015-02-10,1000,32640,32.64,32.64,32.64,32.64,-0.16,1,,006203,元大MSCI台灣
2015-02-11,13000,428950,32.8,33.06,32.8,33.05,0.41,6,,006203,元大MSCI台灣
2015-02-12,3000,98730,32.89,33.0,32.84,33.0,-0.05,3,,006203,元大MSCI台灣
2015-02-13,3000,99670,33.19,33.29,33.19,33.29,0.29,3,,006203,元大MSCI台灣
2015-02-24,2000,67080,33.46,33.62,33.46,33.62,0.33,2,,006203,元大MSCI台灣
2015-02-25,50000,1687170,33.65,33.84,33.65,33.8,0.18,20,,006203,元大MSCI台灣
2015-02-26,11000,369760,33.65,33.7,33.45,33.61,-0.19,9,,006203,元大MSCI台灣
2015-03-02,31000,1038760,33.67,33.7,33.48,33.48,-0.13,5,,006203,元大MSCI台灣
