date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-02-02,6013,281709,46.85,46.85,46.85,46.85,0.06,4,,006204,永豐臺灣加權
2015-02-03,19031,892719,46.86,47.09,46.86,47.09,0.24,4,,006204,永豐臺灣加權
2015-02-04,27100,1284300,47.37,47.45,47.36,47.45,0.36,9,,006204,永豐臺灣加權
2015-02-05,11174,529632,47.21,47.46,47.21,47.46,0.01,11,,006204,永豐臺灣加權
2015-02-06,8161,385243,47.23,47.23,47.2,47.2,-0.26,6,,006204,永豐臺灣加權
2015-02-09,0,0,,,,,0.0,0,,006204,永豐臺灣加權
2015-02-10,7006,327961,46.88,46.88,46.8,46.8,0.0,5,,006204,永豐臺灣加權
2015-02-11,8000,377270,47.03,47.28,47.03,47.28,0.48,6,,006204,永豐臺灣加權
2015-02-12,13000,615990,47.28,47.41,47.28,47.41,0.13,10,,006204,永豐臺灣加權
2015-02-13,56000,2661280,47.57,47.71,47.48,47.48,0.07,11,,006204,永豐臺灣加權
2015-02-24,31267,1498775,47.48,48.0,47.48,48.0,0.52,11,,006204,永豐臺灣加權
2015-02-25,16500,794699,48.24,48.24,48.11,48.24,0.24,8,,006204,永豐臺灣加權
2015-02-26,9414,452014,48.0,48.01,48.0,48.01,-0.23,4,,006204,永豐臺灣加權
2015-03-02,4691,225670,48.25,48.25,48.0,48.0,-0.01,8,,006204,永豐臺灣加權
2015-03-03,8016,382743,47.74,47.75,47.74,47.75,-0.25,6,,006204,永豐臺灣加權
2015-03-04,18000,863400,47.91,48.01,47.91,47.94,0.19,9,,006204,永豐臺灣加權
2015-03-05,4455,213185,47.86,47.86,47.84,47.84,-0.1,4,,006204,永豐臺灣加權
2015-03-06,10360,496923,47.81,48.09,47.81,48.09,0.25,6,,006204,永豐臺灣加權
2015-03-09,7000,333710,47.87,47.87,47.64,47.64,-0.45,4,,006204,永豐臺灣加權
2015-03-10,0,0,,,,,0.0,0,,006204,永豐臺灣加權
2015-03-11,8000,379330,47.23,47.49,47.23,47.49,0.0,4,,006204,永豐臺灣加權
2015-03-12,2000,95490,47.72,47.77,47.72,47.77,0.28,2,,006204,永豐臺灣加權
2015-03-13,2000,95610,47.71,47.9,47.71,47.9,0.13,2,,006204,永豐臺灣加權
2015-03-16,2000,95160,47.67,47.67,47.49,47.49,-0.41,2,,006204,永豐臺灣加權
2015-03-17,11000,525540,47.72,47.97,47.72,47.72,0.23,11,,006204,永豐臺灣加權
2015-03-18,10306,494594,47.9,48.0,47.9,48.0,0.28,9,,006204,永豐臺灣加權
2015-03-19,41150,1987425,48.24,48.4,48.24,48.4,0.4,21,,006204,永豐臺灣加權
2015-03-20,39047,1890384,48.39,48.53,48.3,48.53,0.13,10,,006204,永豐臺灣加權
2015-03-23,25500,1236795,48.53,48.64,48.53,48.64,0.11,7,,006204,永豐臺灣加權
2015-03-24,8200,396658,48.43,48.43,48.27,48.4,-0.24,7,,006204,永豐臺灣加權
2015-03-25,11100,533674,48.29,48.29,48.0,48.04,-0.36,9,,006204,永豐臺灣加權
2015-03-26,12416,594079,47.68,47.86,47.68,47.86,-0.18,8,,006204,永豐臺灣加權
2015-03-27,6100,289840,47.63,47.63,47.4,47.4,-0.46,5,,006204,永豐臺灣加權
2015-03-30,8250,391330,47.41,47.43,47.41,47.43,0.03,6,,006204,永豐臺灣加權
2015-03-31,69000,3280540,47.68,47.68,47.5,47.5,0.07,10,,006204,永豐臺灣加權
2015-04-01,2458,116689,47.47,47.47,47.47,47.47,-0.03,4,,006204,永豐臺灣加權
2015-04-02,2000,95630,47.7,47.93,47.7,47.93,0.46,2,,006204,永豐臺灣加權
2015-04-07,5000,240270,48.08,48.08,48.01,48.02,0.09,5,,006204,永豐臺灣加權
2015-04-08,0,0,,,,,0.0,0,,006204,永豐臺灣加權
2015-04-09,100050,4773615,47.94,47.94,47.71,47.71,0.0,3,,006204,永豐臺灣加權
2015-04-10,1000,47940,47.94,47.94,47.94,47.94,0.23,1,,006204,永豐臺灣加權
2015-04-13,0,0,,,,,0.0,0,,006204,永豐臺灣加權
2015-04-14,1112,53463,48.11,48.11,48.11,48.11,0.0,2,,006204,永豐臺灣加權
2015-04-15,6000,286020,47.71,47.94,47.4,47.4,-0.71,6,,006204,永豐臺灣加權
2015-04-16,7000,335000,47.66,47.89,47.66,47.89,0.49,4,,006204,永豐臺灣加權
2015-04-17,32100,1532358,47.71,47.76,47.68,47.68,-0.21,5,,006204,永豐臺灣加權
2015-04-20,8000,379760,47.5,47.5,47.46,47.46,-0.22,4,,006204,永豐臺灣加權
2015-04-21,5000,237970,47.69,47.69,47.49,47.49,0.03,5,,006204,永豐臺灣加權
2015-04-22,5000,239230,47.66,47.92,47.66,47.92,0.43,5,,006204,永豐臺灣加權
2015-04-23,109000,5324130,48.16,48.9,48.16,48.9,0.98,16,,006204,永豐臺灣加權
2015-04-24,69000,3418020,49.14,49.65,49.14,49.38,0.48,14,,006204,永豐臺灣加權
2015-04-27,295274,14691451,49.19,49.84,49.19,49.74,0.36,42,,006204,永豐臺灣加權
2015-04-28,11000,546290,49.78,49.78,49.57,49.64,-0.1,7,,006204,永豐臺灣加權
2015-04-29,2012,99450,49.55,49.55,49.31,49.31,-0.33,5,,006204,永豐臺灣加權
2015-04-30,6000,294630,49.1,49.13,49.1,49.13,-0.18,3,,006204,永豐臺灣加權
2015-05-04,9000,441830,49.1,49.1,49.09,49.09,-0.04,4,,006204,永豐臺灣加權
2015-05-05,3352,164523,49.08,49.08,49.07,49.07,-0.02,4,,006204,永豐臺灣加權
2015-05-06,6450,315061,48.83,48.83,48.83,48.83,-0.24,5,,006204,永豐臺灣加權
2015-05-07,3000,146080,48.85,48.85,48.61,48.62,-0.21,3,,006204,永豐臺灣加權
2015-05-08,4000,193600,48.4,48.4,48.4,48.4,-0.22,1,,006204,永豐臺灣加權
2015-05-11,37550,1815696,48.79,48.79,48.31,48.34,-0.06,9,,006204,永豐臺灣加權
2015-05-12,0,0,,,,,0.0,0,,006204,永豐臺灣加權
2015-05-13,7040,341583,48.59,48.59,48.51,48.51,0.0,5,,006204,永豐臺灣加權
2015-05-14,383100,18403250,48.5,48.5,47.93,47.93,-0.58,30,,006204,永豐臺灣加權
2015-05-15,7000,334680,48.0,48.0,47.78,47.78,-0.15,4,,006204,永豐臺灣加權
2015-05-18,16000,768840,47.94,48.09,47.94,48.09,0.31,6,,006204,永豐臺灣加權
2015-05-19,2007,97266,48.33,48.6,48.33,48.6,0.51,3,,006204,永豐臺灣加權
2015-05-20,2000,96750,48.36,48.39,48.36,48.39,-0.21,2,,006204,永豐臺灣加權
2015-05-21,94223,4534872,48.15,48.15,47.91,47.91,-0.48,14,,006204,永豐臺灣加權
2015-05-22,11000,529770,48.0,48.23,48.0,48.2,0.29,6,,006204,永豐臺灣加權
2015-05-25,41000,1971810,48.08,48.22,48.0,48.22,0.02,22,,006204,永豐臺灣加權
2015-05-26,1246,60400,48.49,48.49,48.49,48.49,0.27,4,,006204,永豐臺灣加權
2015-05-27,4000,193840,48.46,48.46,48.46,48.46,-0.03,1,,006204,永豐臺灣加權
2015-05-28,13010,631675,48.74,48.74,48.5,48.5,0.04,7,,006204,永豐臺灣加權
2015-05-29,2100,101700,48.38,48.48,48.38,48.48,-0.02,3,,006204,永豐臺灣加權
2015-06-01,2713,130672,48.24,48.24,48.08,48.08,-0.4,4,,006204,永豐臺灣加權
2015-06-02,23000,1106310,48.0,48.11,48.0,48.11,0.03,3,,006204,永豐臺灣加權
2015-06-03,6000,286710,48.01,48.01,47.7,47.7,-0.41,5,,006204,永豐臺灣加權
2015-06-04,19000,889560,47.47,47.47,46.57,46.78,-0.92,6,,006204,永豐臺灣加權
2015-06-05,7800,363132,46.55,46.64,46.4,46.64,-0.14,7,,006204,永豐臺灣加權
2015-06-08,13999,652952,46.59,47.04,46.36,47.04,0.4,10,,006204,永豐臺灣加權
2015-06-09,4154,193591,46.81,46.81,46.37,46.37,-0.67,5,,006204,永豐臺灣加權
2015-06-10,2000,93280,46.6,46.68,46.6,46.68,0.31,2,,006204,永豐臺灣加權
2015-06-11,11000,511360,46.65,46.65,46.39,46.39,-0.29,7,,006204,永豐臺灣加權
2015-06-12,3000,139660,46.62,46.62,46.46,46.46,0.07,3,,006204,永豐臺灣加權
2015-06-15,4000,185450,46.49,46.49,46.23,46.27,-0.19,4,,006204,永豐臺灣加權
2015-06-16,24250,1116185,46.27,46.27,45.87,46.02,-0.25,12,,006204,永豐臺灣加權
2015-06-17,2000,92220,46.11,46.11,46.11,46.11,0.09,2,,006204,永豐臺灣加權
2015-06-18,100,4620,,,,,0.0,1,,006204,永豐臺灣加權
2015-06-22,20000,935260,46.64,46.77,46.64,46.77,0.0,4,,006204,永豐臺灣加權
2015-06-23,3000,141100,47.0,47.05,47.0,47.05,0.28,2,,006204,永豐臺灣加權
2015-06-24,4000,187720,46.96,46.96,46.9,46.9,-0.15,3,,006204,永豐臺灣加權
2015-06-25,8000,378460,47.26,47.4,47.26,47.3,0.4,5,,006204,永豐臺灣加權
2015-06-26,8000,378370,47.26,47.32,47.26,47.31,0.01,3,,006204,永豐臺灣加權
2015-06-29,5257,244827,46.52,46.76,46.52,46.53,-0.78,7,,006204,永豐臺灣加權
2015-06-30,8000,373670,46.57,46.74,46.57,46.74,0.21,3,,006204,永豐臺灣加權
