date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,47571400,1527331838,32.0,32.34,31.85,32.28,0.6,6085,,006205,富邦上証(新臺幣)
2015-01-06,56426869,1820410330,32.35,32.81,31.77,32.23,-0.05,8757,,006205,富邦上証(新臺幣)
2015-01-07,28976683,943824411,32.43,32.79,32.32,32.61,0.38,4004,,006205,富邦上証(新臺幣)
2015-01-08,39783556,1291713470,32.8,33.05,32.15,32.27,-0.34,5785,,006205,富邦上証(新臺幣)
2015-01-09,25883199,836165890,32.16,32.58,32.08,32.58,0.31,3103,,006205,富邦上証(新臺幣)
2015-01-12,33381774,1066105680,32.29,32.35,31.5,31.51,-1.07,4847,,006205,富邦上証(新臺幣)
2015-01-13,23658000,751485440,31.67,32.03,31.52,31.61,0.1,3509,,006205,富邦上証(新臺幣)
2015-01-14,13006457,414589057,31.77,32.05,31.65,31.88,0.27,2045,,006205,富邦上証(新臺幣)
2015-01-15,17749100,565805721,31.85,32.1,31.62,32.1,0.22,2206,,006205,富邦上証(新臺幣)
2015-01-16,23844609,776944503,32.6,32.72,32.33,32.6,0.5,3944,,006205,富邦上証(新臺幣)
2015-01-19,56464297,1723789417,31.96,31.96,29.26,29.35,-3.25,9855,,006205,富邦上証(新臺幣)
2015-01-20,33349316,998293450,29.02,30.45,29.0,30.0,0.65,6350,,006205,富邦上証(新臺幣)
2015-01-21,22217382,684693611,30.3,31.25,30.2,31.25,1.25,3370,,006205,富邦上証(新臺幣)
2015-01-22,21685320,686872618,31.71,31.93,31.31,31.62,0.37,3269,,006205,富邦上証(新臺幣)
2015-01-23,19501320,625326280,31.92,32.2,31.82,32.03,0.41,3189,,006205,富邦上証(新臺幣)
2015-01-26,19929026,631822297,32.3,32.3,31.35,31.6,-0.43,2990,,006205,富邦上証(新臺幣)
2015-01-27,15756500,494084529,31.89,31.99,30.82,30.98,-0.62,2921,,006205,富邦上証(新臺幣)
2015-01-28,11375134,354545018,31.0,31.5,30.96,31.48,0.5,1932,,006205,富邦上証(新臺幣)
2015-01-29,15751483,483645787,31.0,31.0,30.51,30.65,-0.83,2914,,006205,富邦上証(新臺幣)
2015-01-30,12331170,377631297,30.65,31.16,30.2,30.47,-0.18,2092,,006205,富邦上証(新臺幣)
2015-02-02,13625797,406689987,30.0,30.21,29.56,30.09,-0.38,2525,,006205,富邦上証(新臺幣)
2015-02-03,12757499,383771564,30.09,30.3,29.89,30.01,-0.08,2135,,006205,富邦上証(新臺幣)
2015-02-04,14725200,453447300,30.69,30.98,30.6,30.6,0.59,2374,,006205,富邦上証(新臺幣)
2015-02-05,33089507,1032746583,31.6,31.75,30.61,30.92,0.32,4534,,006205,富邦上証(新臺幣)
2015-02-06,18642490,561327758,30.24,30.31,29.89,30.06,-0.86,3086,,006205,富邦上証(新臺幣)
2015-02-09,20215200,604092910,29.8,30.2,29.65,30.08,0.02,2407,,006205,富邦上証(新臺幣)
2015-02-10,10169562,308513753,30.1,30.5,30.1,30.5,0.42,1615,,006205,富邦上証(新臺幣)
2015-02-11,15350910,470638600,30.55,30.78,30.54,30.63,0.13,1584,,006205,富邦上証(新臺幣)
2015-02-12,11105950,340349800,30.64,30.75,30.5,30.68,0.05,1360,,006205,富邦上証(新臺幣)
2015-02-13,15471575,480009978,30.79,31.25,30.74,31.16,0.48,2429,,006205,富邦上証(新臺幣)
2015-02-24,8204200,258130000,31.5,31.54,31.35,31.5,0.34,1341,,006205,富邦上証(新臺幣)
2015-02-25,17288484,537367720,31.59,31.6,30.81,30.95,-0.55,2277,,006205,富邦上証(新臺幣)
2015-02-26,15478100,481311645,30.85,31.5,30.6,31.4,0.45,2439,,006205,富邦上証(新臺幣)
2015-03-02,17031358,542104126,31.8,32.05,31.62,31.62,0.22,2830,,006205,富邦上証(新臺幣)
2015-03-03,10744220,337363653,31.7,31.76,31.21,31.21,-0.41,1579,,006205,富邦上証(新臺幣)
2015-03-04,13284143,409550917,30.75,31.05,30.71,30.81,-0.4,2540,,006205,富邦上証(新臺幣)
2015-03-05,9569698,293775492,30.83,31.0,30.59,30.59,-0.22,2227,,006205,富邦上証(新臺幣)
2015-03-06,6318999,194494819,30.59,30.95,30.59,30.77,0.18,1690,,006205,富邦上証(新臺幣)
2015-03-09,11144999,337271787,30.62,30.62,30.1,30.43,-0.34,2277,,006205,富邦上証(新臺幣)
2015-03-10,7886831,243477731,31.0,31.0,30.74,30.84,0.41,1130,,006205,富邦上証(新臺幣)
2015-03-11,9322845,289144040,30.53,31.23,30.53,31.0,0.16,1739,,006205,富邦上証(新臺幣)
2015-03-12,15171752,477042830,31.0,31.78,31.0,31.71,0.71,2620,,006205,富邦上証(新臺幣)
2015-03-13,20014000,638216367,31.79,32.02,31.71,31.85,0.14,2531,,006205,富邦上証(新臺幣)
2015-03-16,14423396,463113993,31.89,32.34,31.78,32.26,0.41,2363,,006205,富邦上証(新臺幣)
2015-03-17,22342598,734522393,32.66,32.99,32.66,32.92,0.66,4022,,006205,富邦上証(新臺幣)
2015-03-18,20043665,665791721,33.0,33.33,33.0,33.26,0.34,3964,,006205,富邦上証(新臺幣)
2015-03-19,16850793,567612580,33.78,33.85,33.43,33.79,0.53,3261,,006205,富邦上証(新臺幣)
2015-03-20,18177009,615356007,33.79,34.08,33.62,34.03,0.24,3843,,006205,富邦上証(新臺幣)
2015-03-23,16251084,559442281,34.03,34.63,34.03,34.46,0.43,2475,,006205,富邦上証(新臺幣)
