date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,33692500,1075343910,31.5,32.49,31.47,32.49,1.39,5515,,006206,元大上證50
2015-01-06,40176255,1301356247,32.16,33.09,31.71,32.2,-0.29,7679,,006206,元大上證50
2015-01-07,19349911,627465549,32.4,32.64,32.12,32.36,0.16,3212,,006206,元大上證50
2015-01-08,32842150,1052377130,32.5,32.85,31.66,31.74,-0.62,5423,,006206,元大上證50
2015-01-09,28719370,913311599,31.74,32.18,31.52,32.18,0.44,5218,,006206,元大上證50
2015-01-12,32119006,1005851978,31.71,31.92,30.67,30.67,-1.51,4762,,006206,元大上證50
2015-01-13,21862136,680899400,30.81,31.53,30.81,31.01,0.34,3016,,006206,元大上證50
2015-01-14,17500600,545423050,31.09,31.42,31.01,31.05,0.04,2243,,006206,元大上證50
2015-01-15,19645100,612209878,31.01,31.45,30.85,31.38,0.33,2600,,006206,元大上證50
2015-01-16,31124546,1000956979,32.23,32.4,31.94,32.09,0.71,4289,,006206,元大上證50
2015-01-19,55238010,1639046579,31.12,31.32,28.29,28.55,-3.54,9867,,006206,元大上證50
2015-01-20,28235258,815960139,28.06,29.43,28.05,29.0,0.45,4948,,006206,元大上證50
2015-01-21,17110539,509330210,29.4,30.29,29.2,30.29,1.29,3143,,006206,元大上證50
2015-01-22,12544712,383228994,31.0,31.0,30.11,30.36,0.07,2948,,006206,元大上證50
2015-01-23,23123874,716612204,30.7,31.3,30.67,31.1,0.74,3798,,006206,元大上證50
2015-01-26,11529000,353843240,30.99,31.06,30.4,30.57,-0.53,2488,,006206,元大上證50
2015-01-27,15273252,461017446,30.9,30.95,29.53,29.72,-0.85,3298,,006206,元大上證50
2015-01-28,9645299,287075147,29.72,30.0,29.54,29.98,0.26,1812,,006206,元大上證50
2015-01-29,13905972,404010835,29.25,29.5,28.8,28.91,-1.07,3181,,006206,元大上證50
2015-01-30,15305854,443205990,29.0,29.41,28.52,28.72,-0.19,2601,,006206,元大上證50
2015-02-02,14103636,395439901,27.8,28.38,27.6,28.2,-0.52,2382,,006206,元大上證50
2015-02-03,11726000,331117680,28.36,28.55,28.0,28.13,-0.07,2099,,006206,元大上證50
2015-02-04,15338364,446750919,29.05,29.35,28.95,28.98,0.85,2656,,006206,元大上證50
2015-02-05,31292505,929111026,30.25,30.28,28.98,29.15,0.17,4500,,006206,元大上證50
2015-02-06,14048567,397767487,28.5,28.51,28.03,28.34,-0.81,2981,,006206,元大上證50
2015-02-09,10558000,295949380,27.95,28.48,27.77,28.21,-0.13,2325,,006206,元大上證50
2015-02-10,8600613,246899810,28.41,28.97,28.35,28.93,0.72,1898,,006206,元大上證50
2015-02-11,8855400,256891872,29.07,29.15,28.75,28.83,-0.1,1618,,006206,元大上證50
2015-02-12,4974100,143833437,28.9,29.05,28.68,28.98,0.15,1141,,006206,元大上證50
2015-02-13,9858959,289856760,29.02,29.65,29.02,29.5,0.52,2346,,006206,元大上證50
2015-02-24,4878100,145328575,29.86,29.88,29.66,29.76,0.26,1096,,006206,元大上證50
2015-02-25,10762046,316491365,29.81,29.92,29.14,29.15,-0.61,2152,,006206,元大上證50
2015-02-26,9542500,278016864,29.06,29.58,28.7,29.44,0.29,2127,,006206,元大上證50
2015-03-02,11772350,350517878,29.9,30.02,29.5,29.53,0.09,2280,,006206,元大上證50
2015-03-03,9543500,278738290,29.63,29.75,28.95,28.95,-0.58,2063,,006206,元大上證50
2015-03-04,10255000,293129749,28.7,28.8,28.36,28.44,-0.51,2643,,006206,元大上證50
2015-03-05,6864546,194065704,28.5,28.6,28.14,28.14,-0.3,1457,,006206,元大上證50
2015-03-06,6504292,184906535,28.18,28.6,28.18,28.41,0.27,1309,,006206,元大上證50
2015-03-09,8469306,236855665,28.35,28.35,27.78,28.17,-0.24,1862,,006206,元大上證50
2015-03-10,8325395,238643122,28.72,28.85,28.48,28.55,0.38,1722,,006206,元大上證50
2015-03-11,9084104,262320984,28.45,29.12,28.32,28.8,0.25,1759,,006206,元大上證50
2015-03-12,17332100,509954914,28.8,29.87,28.8,29.81,1.01,3033,,006206,元大上證50
2015-03-13,14943040,446875669,29.99,30.1,29.7,29.8,-0.01,2250,,006206,元大上證50
2015-03-16,18459102,555708800,29.9,30.38,29.74,30.12,0.32,2602,,006206,元大上證50
2015-03-17,14658281,449177807,30.5,30.78,30.5,30.63,0.51,2346,,006206,元大上證50
2015-03-18,13418350,416171396,30.81,31.18,30.78,31.06,0.43,2505,,006206,元大上證50
2015-03-19,12805900,402551505,31.53,31.55,31.26,31.43,0.37,2304,,006206,元大上證50
2015-03-20,11411500,358829724,31.35,31.59,31.21,31.52,0.09,1748,,006206,元大上證50
2015-03-23,14148032,451734554,31.52,32.04,31.52,31.88,0.36,2150,,006206,元大上證50
2015-03-24,16052400,506101957,32.03,32.05,31.18,31.29,-0.59,2607,,006206,元大上證50
2015-03-25,9163835,284403309,31.3,31.46,30.6,30.62,-0.67,1758,,006206,元大上證50
2015-03-26,8739000,271981500,30.5,31.45,30.45,31.34,0.72,1886,,006206,元大上證50
2015-03-27,6196458,194741953,31.34,31.65,31.21,31.65,0.31,1298,,006206,元大上證50
2015-03-30,9448038,302414543,31.65,32.25,31.65,32.25,0.6,1978,,006206,元大上證50
2015-03-31,12743182,417704023,32.76,33.09,32.51,32.52,0.27,2719,,006206,元大上證50
2015-04-01,9322738,301944183,32.2,32.61,32.1,32.55,0.03,1702,,006206,元大上證50
2015-04-02,13365163,432877300,32.55,32.68,32.15,32.15,-0.4,1891,,006206,元大上證50
2015-04-07,17744201,579870281,32.69,32.86,32.55,32.6,0.45,2208,,006206,元大上證50
2015-04-08,11522260,377290972,33.0,33.0,32.56,32.78,0.18,2030,,006206,元大上證50
2015-04-09,20960601,688193031,32.99,33.18,32.46,32.8,0.02,2969,,006206,元大上證50
2015-04-10,18860039,628064334,32.86,33.7,32.86,33.5,0.7,3301,,006206,元大上證50
2015-04-13,18083816,623938980,33.9,35.05,33.85,35.05,1.55,3333,,006206,元大上證50
2015-04-14,13850900,486686947,35.8,35.8,34.68,34.72,-0.33,3133,,006206,元大上證50
2015-04-15,16622121,580443931,34.8,35.3,34.52,34.9,0.18,2945,,006206,元大上證50
2015-04-16,11797179,415119405,34.51,35.64,34.51,35.62,0.72,2338,,006206,元大上證50
2015-04-17,13775160,500583180,35.7,36.58,35.7,36.52,0.9,2907,,006206,元大上證50
2015-04-20,17303000,627249248,35.42,36.66,35.3,36.4,-0.12,3565,,006206,元大上證50
2015-04-21,12636945,454237100,36.01,36.34,35.63,35.84,-0.56,2570,,006206,元大上證50
2015-04-22,11223200,409460879,36.28,36.74,36.26,36.62,0.78,2152,,006206,元大上證50
2015-04-23,12403100,461032107,37.15,37.5,36.72,37.14,0.52,2481,,006206,元大上證50
2015-04-24,16207034,589962747,36.86,36.97,35.79,36.19,-0.95,3042,,006206,元大上證50
2015-04-27,10447908,383334890,36.29,36.9,36.29,36.8,0.61,1811,,006206,元大上證50
2015-04-28,8852735,325033264,36.9,36.93,36.36,36.55,-0.25,1824,,006206,元大上證50
2015-04-29,8506500,308086755,36.36,36.5,35.96,36.31,-0.24,1635,,006206,元大上證50
2015-04-30,4295516,155941984,36.16,36.43,36.12,36.4,0.09,934,,006206,元大上證50
2015-05-04,6017412,217858186,36.2,36.42,35.82,36.3,-0.1,1365,,006206,元大上證50
2015-05-05,9180516,328550928,36.42,36.44,35.33,35.33,-0.97,2055,,006206,元大上證50
2015-05-06,24503033,858306809,34.7,35.4,34.58,35.0,-0.33,2607,,006206,元大上證50
2015-05-07,12670456,435435263,34.58,34.65,34.05,34.05,-0.95,2464,,006206,元大上證50
2015-05-08,6457900,221712600,34.05,34.6,33.95,33.95,-0.1,1437,,006206,元大上證50
2015-05-11,7920250,274083864,34.74,34.89,34.3,34.71,0.76,1373,,006206,元大上證50
2015-05-12,6202300,217452521,35.0,35.25,34.74,35.12,0.41,1292,,006206,元大上證50
2015-05-13,4229213,148346165,35.17,35.36,34.86,34.86,-0.26,969,,006206,元大上證50
2015-05-14,8137390,281045166,34.72,34.81,34.39,34.46,-0.4,1333,,006206,元大上證50
2015-05-15,10299800,349364562,34.56,34.66,33.37,33.61,-0.85,1731,,006206,元大上證50
2015-05-18,3951300,132566055,33.6,33.73,33.37,33.46,-0.15,864,,006206,元大上證50
2015-05-19,6917145,236214445,33.25,34.63,33.21,34.46,1.0,1438,,006206,元大上證50
2015-05-20,8192000,286148350,34.7,35.1,34.6,34.91,0.45,2055,,006206,元大上證50
2015-05-21,6032300,211148412,34.77,35.16,34.72,35.03,0.12,947,,006206,元大上證50
2015-05-22,10338300,369117036,35.16,36.01,35.14,35.9,0.87,2025,,006206,元大上證50
2015-05-25,10364670,379091118,36.0,36.85,35.93,36.8,0.9,2073,,006206,元大上證50
2015-05-26,11255500,418726669,37.09,37.47,36.66,37.02,0.22,2242,,006206,元大上證50
2015-05-27,13880310,516196568,37.46,37.61,36.6,36.6,-0.42,2283,,006206,元大上證50
2015-05-28,9543001,348613613,36.8,37.0,36.0,36.12,-0.48,1672,,006206,元大上證50
2015-05-29,18178500,630077579,34.85,34.97,34.0,34.9,-1.22,3185,,006206,元大上證50
2015-06-01,17224150,607915958,34.9,35.71,34.49,35.71,0.81,1828,,006206,元大上證50
2015-06-02,11087000,401813600,35.96,36.58,35.96,36.11,0.4,1681,,006206,元大上證50
2015-06-03,10483238,379030268,36.38,36.58,35.8,36.1,-0.01,1326,,006206,元大上證50
2015-06-04,14068100,506098530,36.19,37.0,33.34,35.78,-0.32,2333,,006206,元大上證50
2015-06-05,13734267,502556324,36.43,37.19,35.68,36.43,0.65,2108,,006206,元大上證50
2015-06-08,13188503,487745981,36.8,37.49,36.47,37.49,1.06,2209,,006206,元大上證50
2015-06-09,14733698,559993175,38.2,38.52,37.22,37.65,0.16,2545,,006206,元大上證50
2015-06-10,7928286,294803739,37.42,37.57,36.82,37.57,-0.08,1914,,006206,元大上證50
2015-06-11,7307000,271885550,37.53,37.55,36.8,37.33,-0.24,1373,,006206,元大上證50
2015-06-12,7796400,291026583,37.33,37.69,37.0,37.41,0.08,959,,006206,元大上證50
2015-06-15,10866409,399502836,37.39,37.5,36.21,36.38,-1.03,1417,,006206,元大上證50
2015-06-16,7081287,253730213,36.0,36.1,35.57,35.86,-0.52,1271,,006206,元大上證50
2015-06-17,9943040,351871617,35.57,35.85,35.06,35.6,-0.26,1382,,006206,元大上證50
2015-06-18,7108675,252303165,35.85,35.89,35.2,35.5,-0.1,1056,,006206,元大上證50
2015-06-22,8582647,287946623,33.0,33.97,32.88,33.97,-1.53,1490,,006206,元大上證50
2015-06-23,14661200,492954660,34.05,34.22,32.61,34.05,0.08,2367,,006206,元大上證50
2015-06-24,6425450,220392342,34.4,34.48,34.1,34.15,0.1,1283,,006206,元大上證50
2015-06-25,8476257,296953515,34.7,35.28,34.7,35.0,0.85,1230,,006206,元大上證50
2015-06-26,18455326,619427650,33.9,34.11,33.1,33.2,-1.8,2818,,006206,元大上證50
2015-06-29,30623900,972783849,32.7,33.05,29.13,29.88,-3.32,4614,,006206,元大上證50
2015-06-30,19040299,602839463,30.6,33.02,30.6,32.73,2.85,3303,,006206,元大上證50
2015-07-01,10882400,360912146,33.28,33.42,32.91,33.14,0.41,1562,,006206,元大上證50
2015-07-02,12753610,412202185,32.69,32.72,31.79,32.0,-1.14,1980,,006206,元大上證50
2015-07-03,25539764,802119567,32.0,32.16,30.2,31.7,-0.3,3648,,006206,元大上證50
2015-07-06,24450100,790847170,32.5,33.11,31.37,31.49,-0.21,3687,,006206,元大上證50
2015-07-07,20138400,645547039,32.42,32.56,31.45,32.1,0.61,2777,,006206,元大上證50
2015-07-08,24510028,761322707,31.8,31.8,30.47,30.58,-1.52,3430,,006206,元大上證50
2015-07-09,29729800,885285540,29.48,31.89,27.79,31.65,1.07,4629,,006206,元大上證50
2015-07-13,19813783,649604172,32.8,33.1,32.36,33.0,1.35,3576,,006206,元大上證50
2015-07-14,15368860,493496860,32.66,32.66,31.1,31.1,-1.9,2989,,006206,元大上證50
2015-07-15,12893100,403548575,31.41,31.7,30.75,30.75,-0.35,1876,,006206,元大上證50
2015-07-16,13574040,428960268,30.8,32.13,30.75,31.85,1.1,2022,,006206,元大上證50
2015-07-17,7661890,246157281,32.15,32.35,31.93,32.18,0.33,1700,,006206,元大上證50
2015-07-20,8275339,267153051,32.48,32.6,31.8,31.95,-0.23,1475,,006206,元大上證50
2015-07-21,9154000,293028240,32.23,32.25,31.69,32.23,0.28,1137,,006206,元大上證50
2015-07-22,8235250,262143250,32.06,32.1,31.55,31.75,-0.48,1146,,006206,元大上證50
2015-07-23,8789310,283621204,31.73,32.58,31.73,32.54,0.79,1492,,006206,元大上證50
2015-07-24,6576214,213862554,32.54,32.69,32.31,32.52,-0.02,1049,,006206,元大上證50
2015-07-27,8390404,262549781,31.93,31.93,30.6,30.6,-1.92,1894,,006206,元大上證50
2015-07-28,21515701,631878770,29.6,29.99,28.7,29.65,-0.95,3250,,006206,元大上證50
2015-07-29,7066032,209738178,29.7,30.1,29.44,29.51,-0.14,1020,,006206,元大上證50
2015-07-30,5270550,158811094,30.18,30.29,29.91,30.19,0.68,898,,006206,元大上證50
2015-07-31,6810490,202929560,29.98,29.98,29.66,29.66,-0.53,803,,006206,元大上證50
2015-08-03,4637613,136114579,29.51,29.59,29.09,29.09,-0.57,981,,006206,元大上證50
2015-08-04,6470471,193188101,29.2,30.26,29.2,30.11,1.02,1034,,006206,元大上證50
