date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,14163200,326642886,22.85,23.49,22.71,23.49,0.92,2023,,006207,復華滬深(原簡稱:FH滬深)
2015-01-06,31355910,757262353,23.49,24.6,23.37,24.39,0.9,5922,,006207,復華滬深(原簡稱:FH滬深)
2015-01-07,33752827,851019648,24.75,25.55,24.75,25.49,1.1,6760,,006207,復華滬深(原簡稱:FH滬深)
2015-01-08,34800400,877474350,25.75,25.76,24.5,24.8,-0.69,7395,,006207,復華滬深(原簡稱:FH滬深)
2015-01-09,20474500,501771910,24.65,24.73,24.22,24.52,-0.28,4545,,006207,復華滬深(原簡稱:FH滬深)
2015-01-12,20132000,473309120,24.0,24.04,22.98,23.05,-1.47,4605,,006207,復華滬深(原簡稱:FH滬深)
2015-01-13,12833010,298843276,23.06,23.48,23.06,23.2,0.15,2533,,006207,復華滬深(原簡稱:FH滬深)
2015-01-14,10481070,243733970,23.2,23.48,23.11,23.11,-0.09,2267,,006207,復華滬深(原簡稱:FH滬深)
2015-01-15,9831000,227266630,23.0,23.35,22.93,23.27,0.16,1479,,006207,復華滬深(原簡稱:FH滬深)
2015-01-16,15302244,362154943,23.59,23.84,23.52,23.71,0.44,2237,,006207,復華滬深(原簡稱:FH滬深)
2015-01-19,29462330,653457205,23.23,23.26,21.3,21.63,-2.08,5682,,006207,復華滬深(原簡稱:FH滬深)
2015-01-20,12792600,277287907,21.23,22.03,21.14,21.69,0.06,3079,,006207,復華滬深(原簡稱:FH滬深)
2015-01-21,10087100,225557242,22.0,22.78,21.9,22.75,1.06,2044,,006207,復華滬深(原簡稱:FH滬深)
2015-01-22,8204000,187603020,22.9,23.0,22.63,22.86,0.11,2332,,006207,復華滬深(原簡稱:FH滬深)
2015-01-23,11454650,266323467,23.0,23.39,23.0,23.15,0.29,2932,,006207,復華滬深(原簡稱:FH滬深)
2015-01-26,6153120,141801822,23.08,23.19,22.88,23.06,-0.09,1129,,006207,復華滬深(原簡稱:FH滬深)
2015-01-27,8925130,203506587,23.24,23.34,22.4,22.48,-0.58,1943,,006207,復華滬深(原簡稱:FH滬深)
2015-01-28,7573000,170489170,22.36,22.75,22.36,22.75,0.27,1243,,006207,復華滬深(原簡稱:FH滬深)
2015-01-29,8787000,194279320,22.15,22.33,21.98,22.11,-0.64,1730,,006207,復華滬深(原簡稱:FH滬深)
2015-01-30,6178200,136104200,22.27,22.42,21.8,21.84,-0.27,1312,,006207,復華滬深(原簡稱:FH滬深)
2015-02-02,10628250,227776564,21.75,21.75,21.28,21.45,-0.39,2289,,006207,復華滬深(原簡稱:FH滬深)
2015-02-03,6606100,142502941,21.45,21.74,21.41,21.53,0.08,1171,,006207,復華滬深(原簡稱:FH滬深)
2015-02-04,6341000,140318820,21.93,22.31,21.93,22.0,0.47,1211,,006207,復華滬深(原簡稱:FH滬深)
2015-02-05,18397490,415291898,22.68,22.91,22.1,22.3,0.3,2424,,006207,復華滬深(原簡稱:FH滬深)
2015-02-06,12779758,277146108,21.8,21.86,21.49,21.83,-0.47,1873,,006207,復華滬深(原簡稱:FH滬深)
2015-02-09,8996100,192562200,21.35,21.69,21.25,21.55,-0.28,1380,,006207,復華滬深(原簡稱:FH滬深)
2015-02-10,4940151,107620882,21.6,21.92,21.57,21.87,0.32,789,,006207,復華滬深(原簡稱:FH滬深)
2015-02-11,8347000,183996290,21.99,22.14,21.94,22.06,0.19,944,,006207,復華滬深(原簡稱:FH滬深)
2015-02-12,7637000,168714490,22.06,22.25,22.0,22.12,0.06,749,,006207,復華滬深(原簡稱:FH滬深)
2015-02-13,11143150,250765650,22.2,22.68,22.18,22.65,0.53,2457,,006207,復華滬深(原簡稱:FH滬深)
2015-02-24,10099900,231856005,22.85,23.05,22.76,23.0,0.35,2026,,006207,復華滬深(原簡稱:FH滬深)
2015-02-25,8406034,191051981,23.14,23.14,22.5,22.62,-0.38,1237,,006207,復華滬深(原簡稱:FH滬深)
2015-02-26,5807000,130868910,22.47,22.8,22.23,22.67,0.05,1344,,006207,復華滬深(原簡稱:FH滬深)
2015-03-02,7651000,175668860,23.0,23.14,22.8,22.84,0.17,1523,,006207,復華滬深(原簡稱:FH滬深)
