date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,3200000,67622400,21.25,21.43,20.95,21.37,-0.16,484,,00631L,元大台灣50正2
2015-01-06,6032397,123971468,20.85,20.87,20.26,20.35,-1.02,995,,00631L,元大台灣50正2
2015-01-07,3956000,80867880,20.34,20.55,20.33,20.46,0.11,459,,00631L,元大台灣50正2
2015-01-08,8103000,170434810,20.8,21.28,20.8,21.23,0.77,832,,00631L,元大台灣50正2
2015-01-09,6233000,132363720,21.54,21.54,21.12,21.14,-0.09,451,,00631L,元大台灣50正2
2015-01-12,4150000,87048840,20.92,21.14,20.86,20.91,-0.23,280,,00631L,元大台灣50正2
2015-01-13,6636000,140158950,20.9,21.29,20.83,21.12,0.21,307,,00631L,元大台灣50正2
2015-01-14,3816000,79782210,21.15,21.16,20.78,20.85,-0.27,389,,00631L,元大台灣50正2
2015-01-15,4584000,95714420,20.94,21.06,20.7,20.9,0.05,265,,00631L,元大台灣50正2
2015-01-16,4805000,100052270,20.9,21.2,20.54,20.66,-0.24,516,,00631L,元大台灣50正2
2015-01-19,6366000,133985420,21.0,21.27,20.84,20.95,0.29,461,,00631L,元大台灣50正2
2015-01-20,3691000,78352750,21.07,21.36,21.01,21.31,0.36,379,,00631L,元大台灣50正2
2015-01-21,3310000,71321680,21.4,21.63,21.4,21.59,0.28,409,,00631L,元大台灣50正2
2015-01-22,3847100,84156981,21.79,21.99,21.71,21.81,0.22,350,,00631L,元大台灣50正2
2015-01-23,3973000,89752930,24.86,24.86,22.26,22.38,0.57,471,,00631L,元大台灣50正2
2015-01-26,3143400,70167366,22.38,22.41,22.22,22.37,-0.01,246,,00631L,元大台灣50正2
2015-01-27,2694500,60789605,22.7,22.75,22.44,22.58,0.21,288,,00631L,元大台灣50正2
2015-01-28,3695063,83401844,22.48,22.67,22.45,22.61,0.03,284,,00631L,元大台灣50正2
2015-01-29,5444000,121243530,22.57,22.57,22.11,22.18,-0.43,366,,00631L,元大台灣50正2
2015-01-30,3793000,83898280,22.2,22.32,22.0,22.0,-0.18,272,,00631L,元大台灣50正2
2015-02-02,1315000,29000570,22.0,22.15,21.88,21.99,-0.01,188,,00631L,元大台灣50正2
2015-02-03,1935000,43078360,22.12,22.4,22.06,22.3,0.31,323,,00631L,元大台灣50正2
2015-02-04,1917000,43489300,22.5,22.78,22.5,22.67,0.37,343,,00631L,元大台灣50正2
2015-02-05,912000,20529850,22.63,22.63,22.41,22.56,-0.11,208,,00631L,元大台灣50正2
2015-02-06,1871000,42009210,22.69,22.69,22.33,22.33,-0.23,240,,00631L,元大台灣50正2
2015-02-09,961800,21332219,22.3,22.3,22.11,22.25,-0.08,136,,00631L,元大台灣50正2
2015-02-10,1587000,35174220,22.25,22.28,22.1,22.13,-0.12,205,,00631L,元大台灣50正2
2015-02-11,1439000,32262160,22.3,22.55,22.3,22.46,0.33,263,,00631L,元大台灣50正2
2015-02-12,736000,16531530,22.46,22.55,22.38,22.48,0.02,128,,00631L,元大台灣50正2
2015-02-13,1277200,29022404,22.61,22.79,22.61,22.73,0.25,307,,00631L,元大台灣50正2
2015-02-24,1910100,44179073,22.97,23.21,22.94,23.16,0.43,272,,00631L,元大台灣50正2
2015-02-25,1503318,35137613,23.33,23.5,23.28,23.43,0.27,263,,00631L,元大台灣50正2
2015-02-26,1206100,28021690,23.3,23.34,23.1,23.2,-0.23,200,,00631L,元大台灣50正2
2015-03-02,1059000,24523070,23.27,23.36,23.0,23.01,-0.19,230,,00631L,元大台灣50正2
2015-03-03,1119000,25715580,23.19,23.19,22.86,23.03,0.02,295,,00631L,元大台灣50正2
2015-03-04,668000,15364340,22.81,23.09,22.81,23.08,0.05,132,,00631L,元大台灣50正2
2015-03-05,1214000,27731100,23.13,23.13,22.73,22.95,-0.13,210,,00631L,元大台灣50正2
2015-03-06,836200,19200054,22.95,23.08,22.8,23.05,0.1,113,,00631L,元大台灣50正2
2015-03-09,2269018,51578582,22.91,22.91,22.63,22.75,-0.3,318,,00631L,元大台灣50正2
2015-03-10,1336000,30143020,22.75,22.75,22.45,22.58,-0.17,234,,00631L,元大台灣50正2
2015-03-11,1410000,31642840,22.35,22.65,22.22,22.6,0.02,391,,00631L,元大台灣50正2
2015-03-12,1779100,40490230,22.61,22.9,22.53,22.9,0.3,225,,00631L,元大台灣50正2
2015-03-13,1215000,27873700,22.9,23.03,22.83,22.83,-0.07,201,,00631L,元大台灣50正2
2015-03-16,719000,16308400,22.83,22.83,22.58,22.58,-0.25,189,,00631L,元大台灣50正2
2015-03-17,1117000,25490010,22.77,23.04,22.62,22.66,0.08,289,,00631L,元大台灣50正2
2015-03-18,1648000,37876130,22.66,23.1,22.66,23.0,0.34,297,,00631L,元大台灣50正2
2015-03-19,1635500,38358250,23.3,23.6,23.3,23.57,0.57,354,,00631L,元大台灣50正2
2015-03-20,561397,13203072,23.55,23.57,23.43,23.52,-0.05,128,,00631L,元大台灣50正2
2015-03-23,518000,12198310,23.52,23.63,23.44,23.53,0.01,129,,00631L,元大台灣50正2
2015-03-24,1083000,25298940,23.51,23.55,23.29,23.38,-0.15,139,,00631L,元大台灣50正2
2015-03-25,1034000,24037200,23.35,23.4,23.16,23.24,-0.14,144,,00631L,元大台灣50正2
2015-03-26,1814000,41316820,22.8,22.92,22.67,22.84,-0.4,325,,00631L,元大台灣50正2
2015-03-27,2456100,55372046,22.82,22.82,22.4,22.46,-0.38,441,,00631L,元大台灣50正2
2015-03-30,1668182,37495821,22.45,22.56,22.4,22.46,0.0,259,,00631L,元大台灣50正2
2015-03-31,2929637,66318787,22.73,22.77,22.51,22.68,0.22,469,,00631L,元大台灣50正2
2015-04-01,2286000,51173750,22.6,22.6,22.28,22.34,-0.34,327,,00631L,元大台灣50正2
2015-04-02,2305001,52384643,22.54,22.86,22.53,22.85,0.51,451,,00631L,元大台灣50正2
2015-04-07,1111000,25445550,22.92,22.95,22.85,22.93,0.08,199,,00631L,元大台灣50正2
2015-04-08,953000,21609990,22.9,22.9,22.56,22.67,-0.26,308,,00631L,元大台灣50正2
2015-04-09,1711000,38975200,22.65,23.03,22.57,22.57,-0.1,352,,00631L,元大台灣50正2
2015-04-10,993000,22718820,22.75,23.0,22.75,22.87,0.3,208,,00631L,元大台灣50正2
2015-04-13,1158000,26617690,22.96,23.05,22.91,23.05,0.18,199,,00631L,元大台灣50正2
2015-04-14,1355000,31095820,22.96,23.01,22.83,22.98,-0.07,149,,00631L,元大台灣50正2
