date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,5644000,108153060,19.15,19.28,19.08,19.12,0.07,551,,00632R,元大台灣50反1
2015-01-06,10199100,198273600,19.33,19.58,19.31,19.53,0.41,1272,,00632R,元大台灣50反1
2015-01-07,6164410,120168370,19.53,19.56,19.44,19.49,-0.04,538,,00632R,元大台灣50反1
2015-01-08,13061000,250556150,19.25,19.33,19.12,19.12,-0.37,1288,,00632R,元大台灣50反1
2015-01-09,3771000,72088280,19.0,19.19,18.99,19.17,0.05,490,,00632R,元大台灣50反1
2015-01-12,4123000,79300010,19.27,19.3,19.16,19.25,0.08,390,,00632R,元大台灣50反1
2015-01-13,8025000,153595270,19.25,19.3,19.07,19.16,-0.09,857,,00632R,元大台灣50反1
2015-01-14,6469000,124601670,19.19,19.31,19.14,19.27,0.11,385,,00632R,元大台灣50反1
2015-01-15,6903013,133113691,19.18,19.36,19.17,19.27,0.0,418,,00632R,元大台灣50反1
2015-01-16,14133477,274113563,19.14,19.47,19.14,19.4,0.13,1069,,00632R,元大台灣50反1
2015-01-19,9907000,190829110,19.18,19.35,19.12,19.31,-0.09,805,,00632R,元大台灣50反1
2015-01-20,12827000,245754060,19.23,19.26,19.11,19.12,-0.19,980,,00632R,元大台灣50反1
2015-01-21,16200000,308144560,19.07,19.07,19.0,19.03,-0.09,1506,,00632R,元大台灣50反1
2015-01-22,14742000,278355370,18.99,18.99,18.83,18.89,-0.14,1422,,00632R,元大台灣50反1
2015-01-23,14862000,277822050,18.7,18.73,18.67,18.7,-0.19,1641,,00632R,元大台灣50反1
2015-01-26,11415000,213662890,18.77,18.77,18.69,18.71,0.01,689,,00632R,元大台灣50反1
2015-01-27,6516000,121289280,18.61,18.67,18.55,18.6,-0.11,951,,00632R,元大台灣50反1
2015-01-28,11519000,214363900,18.68,18.68,18.58,18.59,-0.01,928,,00632R,元大台灣50反1
2015-01-29,8441156,158053482,18.66,18.77,18.64,18.75,0.16,1052,,00632R,元大台灣50反1
2015-01-30,6813013,127845055,18.73,18.82,18.71,18.82,0.07,565,,00632R,元大台灣50反1
2015-02-02,5573000,104918240,18.85,18.89,18.77,18.82,0.0,756,,00632R,元大台灣50反1
2015-02-03,8608055,161040655,18.73,18.81,18.65,18.71,-0.11,769,,00632R,元大台灣50反1
2015-02-04,9913000,184079220,18.58,18.61,18.53,18.6,-0.11,1031,,00632R,元大台灣50反1
2015-02-05,2157011,40202604,18.6,18.67,18.6,18.61,0.01,311,,00632R,元大台灣50反1
2015-02-06,3084000,57538420,18.6,18.7,18.58,18.69,0.08,354,,00632R,元大台灣50反1
2015-02-09,2615000,49000110,18.75,18.77,18.69,18.73,0.04,292,,00632R,元大台灣50反1
2015-02-10,3638260,68211600,18.75,18.77,18.7,18.77,0.04,405,,00632R,元大台灣50反1
2015-02-11,3101004,57818255,18.7,18.71,18.62,18.63,-0.14,488,,00632R,元大台灣50反1
2015-02-12,2168200,40436230,18.63,18.69,18.62,18.66,0.03,213,,00632R,元大台灣50反1
2015-02-13,6527096,121091414,18.6,18.6,18.52,18.58,-0.08,831,,00632R,元大台灣50反1
2015-02-24,11183240,205867419,18.46,18.46,18.37,18.39,-0.19,1508,,00632R,元大台灣50反1
2015-02-25,8133100,148815510,18.31,18.34,18.28,18.28,-0.11,1257,,00632R,元大台灣50反1
2015-02-26,2518000,46185100,18.33,18.38,18.31,18.34,0.06,473,,00632R,元大台灣50反1
2015-03-02,3708114,68030040,18.35,18.4,18.28,18.39,0.05,417,,00632R,元大台灣50反1
2015-03-03,1694100,31193559,18.31,18.47,18.31,18.4,0.01,433,,00632R,元大台灣50反1
2015-03-04,2212000,40721750,18.45,18.49,18.37,18.41,0.01,432,,00632R,元大台灣50反1
2015-03-05,2769150,51080586,18.4,18.52,18.39,18.42,0.01,403,,00632R,元大台灣50反1
2015-03-06,2972000,54735130,18.45,18.49,18.38,18.4,-0.02,464,,00632R,元大台灣50反1
2015-03-09,4008000,74076290,18.48,18.53,18.45,18.47,0.07,538,,00632R,元大台灣50反1
2015-03-10,4954000,91917870,18.53,18.6,18.47,18.56,0.09,758,,00632R,元大台灣50反1
2015-03-11,5409000,100733490,18.7,18.71,18.54,18.59,0.03,761,,00632R,元大台灣50反1
2015-03-12,4905000,90661200,18.59,18.6,18.44,18.45,-0.14,735,,00632R,元大台灣50反1
2015-03-13,5063050,93259414,18.45,18.47,18.37,18.47,0.02,638,,00632R,元大台灣50反1
