date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,31919250,1479049110,45.6,47.7,45.11,47.65,3.45,6989,,00633L,富邦上証正2
2015-01-06,40957300,1926768300,47.22,49.1,45.41,46.8,-0.85,10423,,00633L,富邦上証正2
2015-01-07,26027283,1226906314,47.6,47.82,46.43,46.93,0.13,5012,,00633L,富邦上証正2
2015-01-08,49077055,2249336795,48.0,48.33,44.51,44.7,-2.23,10277,,00633L,富邦上証正2
2015-01-09,32765000,1458408240,44.35,45.67,43.65,45.67,0.97,7155,,00633L,富邦上証正2
2015-01-12,38921295,1688351946,44.45,45.0,41.76,41.9,-3.77,9011,,00633L,富邦上証正2
2015-01-13,25525200,1098960000,43.15,43.85,42.5,42.76,0.86,5073,,00633L,富邦上証正2
2015-01-14,19772999,854101375,42.85,43.84,42.8,42.94,0.18,4098,,00633L,富邦上証正2
2015-01-15,19390648,834753588,42.88,43.8,42.25,43.8,0.86,4362,,00633L,富邦上証正2
2015-01-16,30818701,1412177116,46.0,46.4,45.15,45.61,1.81,7127,,00633L,富邦上証正2
2015-01-19,78869000,3116851334,43.95,43.95,36.0,36.26,-9.35,18057,,00633L,富邦上証正2
2015-01-20,52453028,1920060980,35.5,37.85,34.41,36.8,0.54,12105,,00633L,富邦上証正2
2015-01-21,30359950,1162609425,37.32,39.68,36.95,39.6,2.8,7607,,00633L,富邦上証正2
2015-01-22,27841000,1122706190,41.0,41.0,39.24,40.02,0.42,7239,,00633L,富邦上証正2
2015-01-23,32002010,1323626950,40.8,42.1,40.51,41.77,1.75,7216,,00633L,富邦上証正2
2015-01-26,26651190,1083892247,41.35,41.69,39.89,40.17,-1.6,6180,,00633L,富邦上証正2
2015-01-27,32450000,1284037060,41.2,41.38,38.0,38.4,-1.77,8090,,00633L,富邦上証正2
2015-01-28,19743400,767339110,39.0,39.59,38.22,39.5,1.1,5149,,00633L,富邦上証正2
2015-01-29,30334799,1120984303,38.0,38.0,36.03,37.03,-2.47,8068,,00633L,富邦上証正2
2015-01-30,29446260,1091267780,37.34,38.25,36.06,36.63,-0.4,7134,,00633L,富邦上証正2
2015-02-02,29863999,1040850903,35.1,35.7,34.2,35.33,-1.3,6740,,00633L,富邦上証正2
2015-02-03,23622000,832710980,35.35,36.0,34.68,34.8,-0.53,6180,,00633L,富邦上証正2
2015-02-04,29154500,1084623240,36.8,37.75,36.7,36.77,1.97,7352,,00633L,富邦上証正2
2015-02-05,49688000,1891242620,39.15,39.25,36.85,37.5,0.73,10349,,00633L,富邦上証正2
2015-02-06,38060148,1339221182,35.5,35.68,34.7,35.16,-2.34,9077,,00633L,富邦上証正2
2015-02-09,29277000,1008556640,34.22,35.45,33.83,35.02,-0.14,7353,,00633L,富邦上証正2
2015-02-10,27328850,982800427,35.43,36.61,35.25,36.61,1.59,6936,,00633L,富邦上証正2
2015-02-11,19431750,711635271,36.89,37.0,36.24,36.43,-0.18,4367,,00633L,富邦上証正2
2015-02-12,16629550,606639310,36.68,36.83,35.96,36.48,0.05,3986,,00633L,富邦上証正2
2015-02-13,27325585,1028610820,36.99,38.41,36.9,38.22,1.74,7054,,00633L,富邦上証正2
2015-02-24,12697491,490813789,38.5,38.8,38.5,38.66,0.44,2817,,00633L,富邦上証正2
2015-02-25,28411000,1076918610,38.74,38.81,37.21,37.45,-1.21,5635,,00633L,富邦上証正2
2015-02-26,37290000,1397095120,37.2,38.6,36.27,38.24,0.79,8056,,00633L,富邦上証正2
2015-03-02,38920000,1530032739,39.7,40.3,38.54,38.54,0.3,8120,,00633L,富邦上証正2
2015-03-03,34271000,1291237470,38.9,38.94,36.9,36.9,-1.64,7425,,00633L,富邦上証正2
2015-03-04,32854000,1182604040,36.2,36.49,35.55,35.83,-1.07,8456,,00633L,富邦上証正2
2015-03-05,35237629,1234328296,35.83,35.87,34.54,34.54,-1.29,8154,,00633L,富邦上証正2
2015-03-06,17909000,626739520,34.8,35.35,34.73,35.01,0.47,4142,,00633L,富邦上証正2
2015-03-09,28735847,972363114,34.41,34.41,33.3,34.28,-0.73,7306,,00633L,富邦上証正2
2015-03-10,26341500,939868535,35.8,36.16,35.07,35.39,1.11,6374,,00633L,富邦上証正2
2015-03-11,27425083,989288217,34.85,36.71,34.76,35.99,0.6,6229,,00633L,富邦上証正2
2015-03-12,48415947,1807303749,36.45,38.5,35.95,38.4,2.41,11195,,00633L,富邦上証正2
2015-03-13,34665020,1347528850,38.4,39.38,38.4,38.68,0.28,8076,,00633L,富邦上証正2
2015-03-16,36748330,1438227390,38.7,39.74,38.25,39.43,0.75,7119,,00633L,富邦上証正2
2015-03-17,40849850,1664437967,40.3,41.15,40.3,40.85,1.42,8195,,00633L,富邦上証正2
2015-03-18,29120316,1214494317,41.34,42.2,41.11,42.14,1.29,7137,,00633L,富邦上証正2
2015-03-19,31974340,1370143751,43.15,43.18,42.36,42.67,0.53,6618,,00633L,富邦上証正2
2015-03-20,27412850,1174027687,42.66,43.17,42.4,43.13,0.46,5671,,00633L,富邦上証正2
2015-03-23,32457000,1449568990,44.12,45.08,44.12,44.7,1.57,6886,,00633L,富邦上証正2
2015-03-24,41042100,1805605579,45.1,45.1,42.94,43.45,-1.25,9224,,00633L,富邦上証正2
2015-03-25,23686317,1018657387,43.7,43.85,42.09,42.15,-1.3,5834,,00633L,富邦上証正2
2015-03-26,35499812,1521577508,41.5,43.87,41.49,43.41,1.26,7526,,00633L,富邦上証正2
2015-03-27,17534100,763256906,43.35,44.03,43.0,44.01,0.6,3772,,00633L,富邦上証正2
2015-03-30,29308140,1313902052,44.0,45.59,43.8,45.59,1.58,6795,,00633L,富邦上証正2
2015-03-31,37756800,1784116068,47.0,48.25,46.33,46.83,1.24,9170,,00633L,富邦上証正2
