date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-01-05,25111350,317236060,12.85,12.85,12.45,12.49,-0.51,2664,,00634R,富邦上証反1
2015-01-06,41689000,526336670,12.61,12.8,12.39,12.62,0.13,3496,,00634R,富邦上証反1
2015-01-07,12871000,162438200,12.7,12.7,12.54,12.65,0.03,1643,,00634R,富邦上証反1
2015-01-08,23232350,298228339,12.58,13.01,12.46,12.95,0.3,2469,,00634R,富邦上証反1
2015-01-09,16691000,216490990,13.0,13.09,12.8,12.8,-0.15,1585,,00634R,富邦上証反1
2015-01-12,21547000,282598850,13.06,13.31,12.86,13.3,0.5,2833,,00634R,富邦上証反1
2015-01-13,14637000,191857490,13.17,13.21,12.99,13.16,-0.14,1252,,00634R,富邦上証反1
2015-01-14,12120000,158346250,13.16,13.16,12.96,13.1,-0.06,970,,00634R,富邦上証反1
2015-01-15,13973535,183090551,13.2,13.23,12.98,12.99,-0.11,1128,,00634R,富邦上証反1
2015-01-16,21757000,274334270,12.65,12.7,12.52,12.6,-0.39,1578,,00634R,富邦上証反1
2015-01-19,28184215,379551620,12.98,13.9,12.9,13.87,1.27,3517,,00634R,富邦上証反1
2015-01-20,21008400,285461350,14.1,14.1,13.33,13.6,-0.27,2415,,00634R,富邦上証反1
2015-01-21,17540000,233497930,13.47,13.58,13.05,13.08,-0.52,1818,,00634R,富邦上証反1
2015-01-22,19156000,246678880,12.88,13.04,12.75,12.91,-0.17,1773,,00634R,富邦上証反1
2015-01-23,20174000,255571860,12.81,12.81,12.52,12.61,-0.3,1965,,00634R,富邦上証反1
2015-01-26,12627000,159998720,12.7,12.81,12.54,12.7,0.09,1308,,00634R,富邦上証反1
2015-01-27,14483000,185693590,12.6,13.1,12.55,13.03,0.33,1525,,00634R,富邦上証反1
2015-01-28,9950000,128879880,12.94,13.07,12.81,12.82,-0.21,970,,00634R,富邦上証反1
2015-01-29,21623000,287478810,12.98,13.43,12.98,13.3,0.48,1838,,00634R,富邦上証反1
2015-01-30,18846000,252212500,13.31,13.55,13.16,13.44,0.14,1453,,00634R,富邦上証反1
2015-02-02,18921000,260895530,13.7,13.93,13.64,13.73,0.29,1796,,00634R,富邦上証反1
2015-02-03,40257000,553068730,13.73,13.82,13.6,13.77,0.04,1601,,00634R,富邦上証反1
2015-02-04,17818000,236935280,13.4,13.4,13.19,13.38,-0.39,1400,,00634R,富邦上証反1
2015-02-05,15273000,200160380,12.98,13.35,12.89,13.23,-0.15,1511,,00634R,富邦上証反1
2015-02-06,12015000,164636810,13.7,13.82,13.61,13.65,0.42,1431,,00634R,富邦上証反1
2015-02-09,13542000,186954670,13.85,13.93,13.62,13.63,-0.02,1160,,00634R,富邦上証反1
2015-02-10,11717000,158108290,13.62,13.67,13.38,13.38,-0.25,966,,00634R,富邦上証反1
2015-02-11,7446000,99714930,13.4,13.45,13.31,13.42,0.04,481,,00634R,富邦上証反1
2015-02-12,4709000,63361120,13.45,13.54,13.37,13.4,-0.02,513,,00634R,富邦上証反1
2015-02-13,12087000,159656550,13.35,13.38,13.06,13.11,-0.29,1155,,00634R,富邦上証反1
2015-02-24,2448000,31836020,13.0,13.03,12.95,13.0,-0.11,301,,00634R,富邦上証反1
2015-02-25,7197000,94665150,12.91,13.29,12.91,13.2,0.2,619,,00634R,富邦上証反1
2015-02-26,11790000,155710080,13.25,13.43,13.0,13.04,-0.16,1017,,00634R,富邦上証反1
2015-03-02,11957000,153392680,12.8,12.99,12.63,12.99,-0.05,1100,,00634R,富邦上証反1
2015-03-03,8150000,106724270,12.9,13.21,12.9,13.2,0.21,759,,00634R,富邦上証反1
2015-03-04,12448000,167145580,13.4,13.51,13.33,13.47,0.27,1020,,00634R,富邦上証反1
2015-03-05,8983000,122441140,13.53,13.69,13.42,13.69,0.22,656,,00634R,富邦上証反1
2015-03-06,5820000,79280870,13.73,13.73,13.55,13.61,-0.08,419,,00634R,富邦上証反1
2015-03-09,7586000,104963760,13.77,13.95,13.73,13.73,0.12,1065,,00634R,富邦上証反1
2015-03-10,7130000,95918640,13.45,13.56,13.32,13.5,-0.23,495,,00634R,富邦上証反1
2015-03-11,7461000,99943820,13.68,13.68,13.26,13.44,-0.06,654,,00634R,富邦上証反1
2015-03-12,18017000,237819310,13.44,13.49,12.97,13.0,-0.44,1519,,00634R,富邦上証反1
2015-03-13,13078000,169223000,13.0,13.02,12.85,12.98,-0.02,1208,,00634R,富邦上証反1
2015-03-16,16473000,212552060,13.05,13.09,12.79,12.83,-0.15,1392,,00634R,富邦上証反1
2015-03-17,18021000,227181160,12.64,12.67,12.55,12.58,-0.25,1829,,00634R,富邦上証反1
2015-03-18,17042000,212297790,12.58,12.58,12.37,12.37,-0.21,1966,,00634R,富邦上証反1
2015-03-19,13723650,168520665,12.23,12.35,12.21,12.27,-0.1,1518,,00634R,富邦上証反1
2015-03-20,8942000,109755000,12.34,12.35,12.2,12.2,-0.07,1074,,00634R,富邦上証反1
2015-03-23,14591000,175075830,12.06,12.08,11.93,12.0,-0.2,1973,,00634R,富邦上証反1
2015-03-24,17776000,214544500,11.98,12.19,11.93,12.07,0.07,1630,,00634R,富邦上証反1
2015-03-25,14992000,181795040,12.06,12.25,12.02,12.24,0.17,1158,,00634R,富邦上証反1
2015-03-26,18033000,219141520,12.28,12.35,11.98,12.03,-0.21,1801,,00634R,富邦上証反1
2015-03-27,7249000,87477050,12.05,12.15,11.97,12.0,-0.03,715,,00634R,富邦上証反1
2015-03-30,19257000,228402420,12.05,12.06,11.72,11.73,-0.27,2103,,00634R,富邦上証反1
2015-03-31,18771000,215687280,11.61,11.61,11.33,11.54,-0.19,2437,,00634R,富邦上証反1
2015-04-01,14967000,174876200,11.78,11.82,11.57,11.63,0.09,1335,,00634R,富邦上証反1
2015-04-02,16342999,189947128,11.65,11.74,11.51,11.7,0.07,1127,,00634R,富邦上証反1
2015-04-07,21230300,242755880,11.55,11.55,11.36,11.38,-0.32,1768,,00634R,富邦上証反1
2015-04-08,29402700,331316883,11.33,11.37,11.17,11.17,-0.21,2874,,00634R,富邦上証反1
2015-04-09,28514100,317860050,11.15,11.25,11.01,11.19,0.02,2573,,00634R,富邦上証反1
2015-04-10,12336944,137307520,11.2,11.23,11.05,11.1,-0.09,1335,,00634R,富邦上証反1
