date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-10-24,500,3327,6.63,6.66,6.63,6.66,0.06,3,,00636K,國泰中國A50+U(美元)
2017-10-25,600,4000,6.65,6.67,6.65,6.67,0.01,2,,00636K,國泰中國A50+U(美元)
2017-10-26,100,673,6.73,6.73,6.73,6.73,0.06,1,,00636K,國泰中國A50+U(美元)
2017-10-27,500,3387,6.75,6.79,6.75,6.79,0.06,4,,00636K,國泰中國A50+U(美元)
2017-10-30,100,682,6.82,6.82,6.82,6.82,0.03,1,,00636K,國泰中國A50+U(美元)
2017-10-31,0,0,,,,,0.0,0,,00636K,國泰中國A50+U(美元)
2017-11-01,700,4795,6.85,6.85,6.85,6.85,0.0,2,,00636K,國泰中國A50+U(美元)
2017-11-02,0,0,,,,,0.0,0,,00636K,國泰中國A50+U(美元)
2017-11-03,500,3415,6.83,6.83,6.83,6.83,0.0,1,,00636K,國泰中國A50+U(美元)
2017-11-06,0,0,,,,,0.0,0,,00636K,國泰中國A50+U(美元)
2017-11-07,0,0,,,,,0.0,0,,00636K,國泰中國A50+U(美元)
2017-11-08,500,3465,6.93,6.93,6.93,6.93,0.0,1,,00636K,國泰中國A50+U(美元)
2017-11-09,0,0,,,,,0.0,0,,00636K,國泰中國A50+U(美元)
2017-11-10,0,0,,,,,0.0,0,,00636K,國泰中國A50+U(美元)
2017-11-13,88600,622175,7.02,7.04,7.01,7.04,0.0,24,,00636K,國泰中國A50+U(美元)
2017-11-14,63300,446378,7.09,7.09,7.01,7.01,-0.03,14,,00636K,國泰中國A50+U(美元)
2017-11-15,118200,823190,6.97,6.97,6.95,6.95,-0.06,8,,00636K,國泰中國A50+U(美元)
2017-11-16,144000,1005770,6.98,7.0,6.98,7.0,0.05,23,,00636K,國泰中國A50+U(美元)
2017-11-17,90000,633700,7.06,7.06,7.04,7.04,0.04,6,,00636K,國泰中國A50+U(美元)
2017-11-20,90000,634700,7.09,7.09,7.05,7.05,0.01,5,,00636K,國泰中國A50+U(美元)
2017-11-21,86600,633097,7.15,7.33,7.15,7.33,0.28,6,,00636K,國泰中國A50+U(美元)
2017-11-22,80100,595942,7.42,7.44,7.42,7.44,0.11,3,,00636K,國泰中國A50+U(美元)
2017-11-23,80000,590400,7.38,7.38,7.38,7.38,-0.06,2,,00636K,國泰中國A50+U(美元)
2017-11-24,115500,829767,7.26,7.26,7.17,7.21,-0.17,12,,00636K,國泰中國A50+U(美元)
2017-11-27,100600,716186,7.16,7.16,7.11,7.11,-0.1,16,,00636K,國泰中國A50+U(美元)
2017-11-28,48400,341590,7.1,7.1,7.05,7.05,-0.06,4,,00636K,國泰中國A50+U(美元)
2017-11-29,100100,708705,7.12,7.14,7.05,7.07,0.02,12,,00636K,國泰中國A50+U(美元)
2017-11-30,85600,605748,7.08,7.08,7.05,7.08,0.01,14,,00636K,國泰中國A50+U(美元)
2017-12-01,120000,836400,6.97,6.97,6.97,6.97,-0.11,4,,00636K,國泰中國A50+U(美元)
2017-12-04,120500,844660,6.92,7.01,6.92,7.01,0.04,5,,00636K,國泰中國A50+U(美元)
2017-12-05,120000,852000,7.1,7.1,7.1,7.1,0.09,4,,00636K,國泰中國A50+U(美元)
2017-12-06,120100,844304,7.03,7.04,7.03,7.04,-0.06,5,,00636K,國泰中國A50+U(美元)
2017-12-07,130000,900000,6.96,6.96,6.92,6.92,-0.12,5,,00636K,國泰中國A50+U(美元)
2017-12-08,120000,829200,6.91,6.91,6.91,6.91,-0.01,4,,00636K,國泰中國A50+U(美元)
2017-12-11,120000,844800,7.04,7.04,7.04,7.04,0.13,5,,00636K,國泰中國A50+U(美元)
2017-12-12,120000,846000,7.05,7.05,7.05,7.05,0.01,4,,00636K,國泰中國A50+U(美元)
2017-12-13,120000,840000,7.0,7.0,7.0,7.0,-0.05,4,,00636K,國泰中國A50+U(美元)
2017-12-14,125000,880100,7.06,7.06,7.04,7.04,0.04,6,,00636K,國泰中國A50+U(美元)
2017-12-15,135000,938300,6.95,6.96,6.95,6.95,-0.09,8,,00636K,國泰中國A50+U(美元)
2017-12-18,120100,834697,6.97,6.97,6.95,6.95,0.0,5,,00636K,國泰中國A50+U(美元)
2017-12-19,120000,842400,7.02,7.02,7.02,7.02,0.07,4,,00636K,國泰中國A50+U(美元)
2017-12-20,130200,924120,7.1,7.1,7.07,7.07,0.05,8,,00636K,國泰中國A50+U(美元)
2017-12-21,120000,862800,7.19,7.19,7.19,7.19,0.12,4,,00636K,國泰中國A50+U(美元)
2017-12-22,150000,1075800,7.18,7.18,7.17,7.17,-0.02,9,,00636K,國泰中國A50+U(美元)
