date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-05-18,43924010,889880917,20.0,20.8,19.9,20.72,0.74,4994,,00637L,元大滬深300正2
2015-05-19,68202000,1389165490,19.67,21.0,19.66,20.78,0.06,6826,,00637L,元大滬深300正2
2015-05-20,83312510,1764526660,21.0,21.39,20.87,21.2,0.42,7018,,00637L,元大滬深300正2
2015-05-21,62178490,1324273924,21.13,21.5,21.03,21.45,0.25,5945,,00637L,元大滬深300正2
2015-05-22,90696000,2021135750,21.75,22.77,21.64,22.65,1.2,8972,,00637L,元大滬深300正2
2015-05-25,88444500,2091571810,22.7,24.13,22.7,24.13,1.48,9499,,00637L,元大滬深300正2
2015-05-26,57296415,1416858565,24.69,25.19,24.09,24.51,0.38,8680,,00637L,元大滬深300正2
2015-05-27,68097000,1663737180,24.9,25.06,23.7,23.75,-0.76,8984,,00637L,元大滬深300正2
2015-05-28,84191000,1987264000,24.0,24.19,22.95,23.11,-0.64,10449,,00637L,元大滬深300正2
2015-05-29,82405000,1739542260,21.5,21.58,20.36,21.2,-1.91,13913,,00637L,元大滬深300正2
2015-06-01,80845000,1696264870,21.0,21.7,20.34,21.7,0.5,10539,,00637L,元大滬深300正2
2015-06-02,84215000,1872479990,22.27,22.65,21.68,21.71,0.01,10706,,00637L,元大滬深300正2
2015-06-03,70667000,1556909660,22.19,22.48,21.54,21.77,0.06,8781,,00637L,元大滬深300正2
2015-06-04,124272304,2713691144,21.99,23.03,20.0,21.04,-0.73,18457,,00637L,元大滬深300正2
2015-06-05,122663000,2754649870,22.4,23.07,21.5,22.12,1.08,16244,,00637L,元大滬深300正2
2015-06-08,106644000,2455692990,22.48,23.76,22.25,23.75,1.63,13731,,00637L,元大滬深300正2
2015-06-09,84190000,2048240130,24.59,24.95,23.57,24.07,0.32,12445,,00637L,元大滬深300正2
2015-06-10,62986000,1490048960,23.78,24.0,23.26,23.76,-0.31,8180,,00637L,元大滬深300正2
2015-06-11,53443000,1245083350,23.85,23.85,22.85,23.11,-0.65,8415,,00637L,元大滬深300正2
2015-06-12,40103101,932044741,23.1,23.65,22.88,23.08,-0.03,5955,,00637L,元大滬深300正2
2015-06-15,63949652,1462057562,23.41,23.66,22.11,22.27,-0.81,9246,,00637L,元大滬深300正2
2015-06-16,52021675,1126708821,21.91,22.0,21.3,21.46,-0.81,8422,,00637L,元大滬深300正2
2015-06-17,55925999,1172923148,21.0,21.4,20.6,21.08,-0.38,9632,,00637L,元大滬深300正2
2015-06-18,50803500,1059150059,21.16,21.35,20.5,20.52,-0.56,9155,,00637L,元大滬深300正2
2015-06-22,45634550,871441005,19.0,19.45,18.91,19.18,-1.34,8493,,00637L,元大滬深300正2
2015-06-23,101995000,1913950340,19.16,19.19,18.12,19.1,-0.08,16887,,00637L,元大滬深300正2
2015-06-24,66304085,1285335523,19.5,19.66,19.03,19.03,-0.07,9472,,00637L,元大滬深300正2
2015-06-25,73734050,1480151457,19.78,20.34,19.78,20.05,1.02,10498,,00637L,元大滬深300正2
2015-06-26,145997350,2719683870,19.38,19.38,18.2,18.2,-1.85,23507,,00637L,元大滬深300正2
2015-06-29,143705150,2404838359,17.68,17.7,14.55,14.9,-3.3,23172,,00637L,元大滬深300正2
2015-06-30,159761994,2649800962,15.95,17.9,15.76,17.45,2.55,20934,,00637L,元大滬深300正2
2015-07-01,85454985,1516610513,17.84,17.97,17.36,17.71,0.26,11969,,00637L,元大滬深300正2
2015-07-02,159671998,2666451396,16.89,17.15,16.4,16.4,-1.31,21130,,00637L,元大滬深300正2
2015-07-03,210295600,3335636749,16.36,16.49,15.0,16.17,-0.23,29250,,00637L,元大滬深300正2
