date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-05-18,19248000,385408530,19.85,20.1,19.85,20.03,0.18,821,,00638R,元大滬深300反1
2015-05-19,26212000,520029470,20.06,20.28,19.39,19.51,-0.52,906,,00638R,元大滬深300反1
2015-05-20,25218000,480718080,0.01,19.41,0.01,19.19,-0.32,645,,00638R,元大滬深300反1
2015-05-21,28193000,541963970,19.05,19.35,19.05,19.17,-0.02,605,,00638R,元大滬深300反1
2015-05-22,19135000,357665850,19.19,19.19,18.51,18.6,-0.57,848,,00638R,元大滬深300反1
2015-05-25,16858000,305621110,18.49,18.49,17.99,17.99,-0.61,734,,00638R,元大滬深300反1
2015-05-26,8640000,153459310,17.76,17.98,17.58,17.82,-0.17,548,,00638R,元大滬深300反1
2015-05-27,10492000,187318860,17.68,18.09,17.55,18.04,0.22,663,,00638R,元大滬深300反1
2015-05-28,24347000,442269720,18.04,18.42,17.91,18.39,0.35,1002,,00638R,元大滬深300反1
2015-05-29,23185000,444486820,19.1,19.44,18.99,19.14,0.75,1398,,00638R,元大滬深300反1
2015-06-01,11368000,217323940,19.4,19.49,18.73,18.73,-0.41,916,,00638R,元大滬深300反1
2015-06-02,7251000,134241140,18.45,18.71,18.35,18.66,-0.07,583,,00638R,元大滬深300反1
2015-06-03,10561000,195848070,18.5,18.77,18.33,18.61,-0.05,724,,00638R,元大滬深300反1
2015-06-04,26690000,497477470,18.54,19.4,18.04,18.95,0.34,1947,,00638R,元大滬深300反1
2015-06-05,24658000,449208890,18.32,18.67,17.86,18.33,-0.62,2106,,00638R,元大滬深300反1
2015-06-08,18826000,337766980,18.33,18.35,17.56,17.57,-0.76,1957,,00638R,元大滬深300反1
2015-06-09,14326000,250112050,17.31,17.71,17.09,17.51,-0.06,1455,,00638R,元大滬深300反1
2015-06-10,11693000,207799960,17.8,17.9,17.61,17.69,0.18,1317,,00638R,元大滬深300反1
2015-06-11,7429000,132478240,17.8,17.99,17.63,17.8,0.11,686,,00638R,元大滬深300反1
2015-06-12,5060000,90252350,17.8,17.98,17.63,17.88,0.08,491,,00638R,元大滬深300反1
2015-06-15,9889300,178206407,17.9,18.29,17.64,18.2,0.32,1452,,00638R,元大滬深300反1
2015-06-16,16296000,301075890,18.31,18.61,18.31,18.53,0.33,1559,,00638R,元大滬深300反1
2015-06-17,14865000,278969870,18.65,18.97,18.55,18.7,0.17,1813,,00638R,元大滬深300反1
2015-06-18,8829000,166552260,18.52,19.02,18.52,18.98,0.28,860,,00638R,元大滬深300反1
2015-06-22,8934000,177730000,20.06,20.08,19.65,19.75,0.77,1150,,00638R,元大滬深300反1
2015-06-23,18622000,369518240,19.7,20.33,19.54,19.59,-0.16,1583,,00638R,元大滬深300反1
2015-06-24,6389000,124088170,19.4,19.63,19.28,19.6,0.01,740,,00638R,元大滬深300反1
2015-06-25,7187000,136809720,19.25,19.25,18.9,19.07,-0.53,943,,00638R,元大滬深300反1
2015-06-26,16299000,323348810,19.6,20.14,19.49,20.13,1.06,2077,,00638R,元大滬深300反1
2015-06-29,39858000,836189670,20.2,22.6,20.13,21.8,1.67,2469,,00638R,元大滬深300反1
2015-06-30,24830000,513345590,21.58,21.58,19.74,20.2,-1.6,1838,,00638R,元大滬深300反1
2015-07-01,11081000,220210180,19.78,20.06,19.69,19.84,-0.36,746,,00638R,元大滬深300反1
2015-07-02,15813700,321077054,20.34,20.61,19.97,20.45,0.61,1091,,00638R,元大滬深300反1
2015-07-03,28662510,603793202,20.72,21.75,20.38,20.69,0.24,1632,,00638R,元大滬深300反1
2015-07-06,14280000,291055170,20.4,21.05,19.88,20.86,0.17,1092,,00638R,元大滬深300反1
2015-07-07,11906500,244420774,20.46,20.94,20.14,20.47,-0.39,1008,,00638R,元大滬深300反1
2015-07-08,18976180,400921829,20.85,21.54,20.73,21.24,0.77,1136,,00638R,元大滬深300反1
2015-07-09,39867000,864053140,22.08,23.21,19.88,20.19,-1.05,1995,,00638R,元大滬深300反1
2015-07-13,11336450,211963986,18.76,18.95,18.46,18.48,-1.71,1157,,00638R,元大滬深300反1
2015-07-14,9933000,190118410,18.65,19.65,18.65,19.65,1.17,1097,,00638R,元大滬深300反1
2015-07-15,5773200,112721370,19.59,19.78,19.24,19.74,0.09,674,,00638R,元大滬深300反1
2015-07-16,7582000,148212160,19.69,19.97,19.15,19.36,-0.38,789,,00638R,元大滬深300反1
2015-07-17,6767000,129983190,19.25,19.38,19.1,19.13,-0.23,546,,00638R,元大滬深300反1
2015-07-20,5984000,114338690,18.98,19.4,18.8,19.29,0.16,647,,00638R,元大滬深300反1
2015-07-21,5370000,104180810,19.29,19.58,19.22,19.25,-0.04,568,,00638R,元大滬深300反1
2015-07-22,5398000,105416200,19.3,19.66,19.3,19.6,0.35,470,,00638R,元大滬深300反1
2015-07-23,7428000,141711810,19.55,19.55,18.84,18.84,-0.76,1092,,00638R,元大滬深300反1
2015-07-24,4026000,76064540,18.84,19.06,18.77,18.83,-0.01,612,,00638R,元大滬深300反1
2015-07-27,6203000,121770710,19.3,20.01,19.28,19.97,1.14,1211,,00638R,元大滬深300反1
2015-07-28,15596000,325449910,20.98,21.22,20.33,20.73,0.76,1366,,00638R,元大滬深300反1
2015-07-29,4126000,85109590,20.84,20.9,20.4,20.8,0.07,482,,00638R,元大滬深300反1
2015-07-30,4886000,99271440,20.28,20.52,20.22,20.22,-0.58,481,,00638R,元大滬深300反1
2015-07-31,5506000,113926620,20.75,20.87,20.55,20.71,0.49,605,,00638R,元大滬深300反1
2015-08-03,5755000,121082900,20.81,21.17,20.81,21.02,0.31,433,,00638R,元大滬深300反1
2015-08-04,5975000,122444240,20.88,20.88,20.29,20.34,-0.68,554,,00638R,元大滬深300反1
2015-08-05,3674000,74176790,20.04,20.36,20.04,20.36,0.02,344,,00638R,元大滬深300反1
2015-08-06,6859000,140511210,20.5,20.63,20.22,20.25,-0.11,502,,00638R,元大滬深300反1
2015-08-07,6658000,133939270,20.42,20.52,19.98,20.02,-0.23,658,,00638R,元大滬深300反1
2015-08-10,3511000,69932280,20.1,20.28,19.56,19.6,-0.42,487,,00638R,元大滬深300反1
2015-08-11,4983000,96352710,19.25,19.55,19.19,19.41,-0.19,561,,00638R,元大滬深300反1
2015-08-12,7227000,141921990,19.45,19.84,19.45,19.55,0.14,551,,00638R,元大滬深300反1
2015-08-13,5566000,110423580,19.86,20.09,19.6,19.92,0.37,582,,00638R,元大滬深300反1
2015-08-14,2224000,43623100,19.67,19.68,19.55,19.67,-0.25,284,,00638R,元大滬深300反1
2015-08-17,4859000,97412880,19.6,20.33,19.6,20.24,0.57,450,,00638R,元大滬深300反1
2015-08-18,3261000,66040280,20.03,20.55,20.0,20.55,0.31,321,,00638R,元大滬深300反1
2015-08-19,6881000,146174560,21.09,21.59,21.03,21.28,0.73,693,,00638R,元大滬深300反1
2015-08-20,5488000,116733210,21.38,21.45,21.11,21.31,0.03,380,,00638R,元大滬深300反1
2015-08-21,10889000,238665570,21.7,22.36,21.49,22.13,0.82,751,,00638R,元大滬深300反1
2015-08-24,17112000,404950660,22.61,24.96,22.49,24.61,2.48,1300,,00638R,元大滬深300反1
2015-08-25,20717000,512675050,25.0,25.42,24.03,24.63,0.02,1149,,00638R,元大滬深300反1
2015-08-26,30361000,760256510,24.86,25.86,23.93,24.28,-0.35,1321,,00638R,元大滬深300反1
2015-08-27,11106000,269660270,24.54,24.7,23.99,24.27,-0.01,663,,00638R,元大滬深300反1
2015-08-28,6077100,136137085,22.36,22.73,22.19,22.55,-1.72,500,,00638R,元大滬深300反1
2015-08-31,7748000,176262580,22.04,23.2,22.04,22.77,0.22,440,,00638R,元大滬深300反1
2015-09-01,7402000,168629980,22.77,23.27,22.49,22.76,-0.01,492,,00638R,元大滬深300反1
