date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-06-09,56512000,901728420,16.0,16.08,15.77,15.82,-0.25,6456,,00639,富邦深100
2015-06-10,25601000,405446140,15.8,16.0,15.55,15.99,0.17,2474,,00639,富邦深100
2015-06-11,15315015,244340946,15.99,16.0,15.83,15.9,-0.09,1536,,00639,富邦深100
2015-06-12,12331000,196314500,15.96,15.99,15.75,15.92,0.02,1123,,00639,富邦深100
2015-06-15,15261000,239817960,15.92,15.99,15.51,15.56,-0.36,1810,,00639,富邦深100
2015-06-16,11514000,174598510,15.46,15.46,14.95,15.02,-0.54,1972,,00639,富邦深100
2015-06-17,7839600,116960710,15.0,15.1,14.76,14.94,-0.08,1385,,00639,富邦深100
2015-06-18,7747000,115772180,15.18,15.18,14.8,14.8,-0.14,999,,00639,富邦深100
2015-06-22,6830000,96224190,14.3,14.3,14.01,14.16,-0.64,1164,,00639,富邦深100
2015-06-23,13476000,191259470,14.25,14.39,13.87,14.27,0.11,1649,,00639,富邦深100
2015-06-24,6717500,96980404,14.39,14.57,14.31,14.34,0.07,1100,,00639,富邦深100
2015-06-25,5611400,82473730,14.69,14.76,14.58,14.76,0.42,796,,00639,富邦深100
2015-06-26,13447000,190612270,14.5,14.5,13.96,13.96,-0.8,2102,,00639,富邦深100
2015-06-29,18261000,244066910,13.9,14.1,12.47,12.52,-1.44,2923,,00639,富邦深100
2015-06-30,15059500,192848410,12.7,13.49,12.38,13.35,0.83,2281,,00639,富邦深100
2015-07-01,14779000,203287470,13.53,13.92,13.53,13.8,0.45,1697,,00639,富邦深100
2015-07-02,11993000,161057050,13.64,13.65,13.2,13.2,-0.6,1814,,00639,富邦深100
2015-07-03,11432000,148092630,13.1,13.24,12.67,13.15,-0.05,1821,,00639,富邦深100
2015-07-06,23565228,312339508,13.25,13.79,12.63,12.9,-0.25,2947,,00639,富邦深100
2015-07-07,12316100,157814179,13.1,13.11,12.6,12.7,-0.2,2038,,00639,富邦深100
2015-07-08,16755600,196964302,12.4,12.4,11.12,11.12,-1.58,3222,,00639,富邦深100
2015-07-09,23166272,244372622,10.87,11.08,9.92,10.92,-0.2,3127,,00639,富邦深100
2015-07-13,14513000,172999890,11.8,12.4,11.7,12.4,1.48,2505,,00639,富邦深100
2015-07-14,17137000,213721810,12.41,12.67,12.25,12.3,-0.1,1977,,00639,富邦深100
2015-07-15,8171020,100548328,12.4,12.5,12.1,12.1,-0.2,1250,,00639,富邦深100
2015-07-16,9050000,108971130,12.12,12.33,11.7,12.15,0.05,1362,,00639,富邦深100
2015-07-17,6086999,74611487,12.17,12.34,12.14,12.33,0.18,779,,00639,富邦深100
2015-07-20,15053001,189632622,12.47,12.76,12.45,12.53,0.2,1780,,00639,富邦深100
2015-07-21,10059200,128432660,12.6,12.93,12.49,12.91,0.38,1475,,00639,富邦深100
