date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-09-07,2923013,57647550,19.67,19.82,19.62,19.73,-0.4,564,,00642U,期元大S&P石油
2015-09-08,2366000,45849250,19.48,19.48,19.29,19.31,-0.42,538,,00642U,期元大S&P石油
2015-09-09,4721604,94103866,19.61,20.04,19.61,20.03,0.72,821,,00642U,期元大S&P石油
2015-09-10,4796000,92934990,19.5,19.5,19.21,19.49,-0.54,1047,,00642U,期元大S&P石油
2015-09-11,2213396,43792240,19.7,19.86,19.7,19.85,0.36,497,,00642U,期元大S&P石油
2015-09-14,1930000,37749660,19.7,19.7,19.45,19.54,-0.31,366,,00642U,期元大S&P石油
2015-09-15,3106000,59673810,19.24,19.27,19.15,19.2,-0.34,818,,00642U,期元大S&P石油
2015-09-16,1186000,22954210,19.4,19.4,19.32,19.34,0.14,240,,00642U,期元大S&P石油
2015-09-17,2865250,57039937,19.87,19.98,19.83,19.92,0.58,684,,00642U,期元大S&P石油
2015-09-18,1236005,24385069,19.76,19.79,19.7,19.76,-0.16,248,,00642U,期元大S&P石油
2015-09-21,3373000,64998050,19.3,19.37,19.23,19.37,-0.39,790,,00642U,期元大S&P石油
2015-09-22,2262000,44540930,19.68,19.74,19.65,19.65,0.28,449,,00642U,期元大S&P石油
2015-09-23,2328000,46046940,19.86,19.88,19.68,19.77,0.12,346,,00642U,期元大S&P石油
2015-09-24,2349100,45790637,19.49,19.52,19.47,19.52,-0.25,471,,00642U,期元大S&P石油
2015-09-25,1150000,22541840,19.57,19.65,19.55,19.65,0.13,179,,00642U,期元大S&P石油
2015-09-30,4709000,90671240,19.4,19.4,19.22,19.32,-0.33,1135,,00642U,期元大S&P石油
2015-10-01,2413000,47127490,19.42,19.6,19.42,19.58,0.26,475,,00642U,期元大S&P石油
2015-10-02,5501000,106512560,19.32,19.43,19.3,19.43,-0.15,858,,00642U,期元大S&P石油
2015-10-05,4093000,79540530,19.43,19.5,19.37,19.5,0.07,469,,00642U,期元大S&P石油
2015-10-06,3360000,66189750,19.71,19.74,19.65,19.72,0.22,594,,00642U,期元大S&P石油
2015-10-07,9250000,189023900,20.19,20.55,20.19,20.54,0.82,1537,,00642U,期元大S&P石油
2015-10-08,6680200,135493978,20.44,20.44,20.2,20.26,-0.28,1076,,00642U,期元大S&P石油
2015-10-12,4862750,100443375,20.6,20.73,20.58,20.73,0.47,869,,00642U,期元大S&P石油
2015-10-13,6927000,139073380,20.12,20.12,20.04,20.08,-0.65,1369,,00642U,期元大S&P石油
2015-10-14,5489090,109168429,19.85,19.96,19.82,19.94,-0.14,1027,,00642U,期元大S&P石油
2015-10-15,3676000,73043980,19.85,19.92,19.81,19.92,-0.02,508,,00642U,期元大S&P石油
2015-10-16,3999000,79587720,19.91,19.95,19.86,19.9,-0.02,563,,00642U,期元大S&P石油
2015-10-19,3342000,66730010,19.94,20.02,19.92,19.93,0.03,410,,00642U,期元大S&P石油
2015-10-20,4837000,95046000,19.77,19.77,19.61,19.69,-0.24,1070,,00642U,期元大S&P石油
2015-10-21,3001000,58788020,19.64,19.64,19.56,19.61,-0.08,634,,00642U,期元大S&P石油
2015-10-22,5262000,102372110,19.48,19.49,19.43,19.46,-0.15,975,,00642U,期元大S&P石油
2015-10-23,2893252,56716164,19.54,19.65,19.54,19.61,0.15,408,,00642U,期元大S&P石油
2015-10-26,5299000,102451220,19.33,19.39,19.3,19.39,-0.22,1234,,00642U,期元大S&P石油
2015-10-27,13709158,262368066,19.24,19.24,19.03,19.14,-0.25,2907,,00642U,期元大S&P石油
2015-10-28,9714000,183996980,18.98,18.98,18.92,18.94,-0.2,3625,,00642U,期元大S&P石油
2015-10-29,10901005,213127619,19.56,19.6,19.53,19.55,0.61,3378,,00642U,期元大S&P石油
2015-10-30,2873000,56235470,19.58,19.59,19.55,19.59,0.04,522,,00642U,期元大S&P石油
2015-11-02,3946200,77847710,19.69,19.78,19.66,19.75,0.16,680,,00642U,期元大S&P石油
2015-11-03,1588000,31258990,19.75,19.75,19.65,19.7,-0.05,304,,00642U,期元大S&P石油
2015-11-04,6978100,140176669,20.01,20.15,20.01,20.05,0.35,1253,,00642U,期元大S&P石油
2015-11-05,2998290,59077980,19.72,19.73,19.68,19.72,-0.33,648,,00642U,期元大S&P石油
2015-11-06,3870000,75546870,19.55,19.55,19.48,19.55,-0.17,768,,00642U,期元大S&P石油
2015-11-09,4929000,95302700,19.35,19.41,19.29,19.4,-0.15,982,,00642U,期元大S&P石油
2015-11-10,2275000,43993460,19.35,19.36,19.32,19.36,-0.04,457,,00642U,期元大S&P石油
2015-11-11,4437000,85385360,19.27,19.28,19.22,19.27,-0.09,739,,00642U,期元大S&P石油
2015-11-12,12074000,229751310,19.03,19.22,19.0,19.22,-0.05,1868,,00642U,期元大S&P石油
2015-11-13,9450003,178800827,18.9,18.97,18.88,18.95,-0.27,2529,,00642U,期元大S&P石油
2015-11-16,5880500,111285624,18.9,18.98,18.88,18.96,0.01,994,,00642U,期元大S&P石油
2015-11-17,4996999,95149760,19.08,19.08,19.0,19.06,0.1,937,,00642U,期元大S&P石油
2015-11-18,3540000,66938000,18.93,18.93,18.89,18.92,-0.14,799,,00642U,期元大S&P石油
2015-11-19,1861000,35247730,18.97,18.98,18.92,18.94,0.02,383,,00642U,期元大S&P石油
2015-11-20,1691060,31993282,18.95,18.95,18.9,18.93,-0.01,417,,00642U,期元大S&P石油
2015-11-23,3210029,60621587,18.95,18.95,18.85,18.88,-0.05,764,,00642U,期元大S&P石油
2015-11-24,1978000,37467090,18.95,18.99,18.9,18.99,0.11,422,,00642U,期元大S&P石油
2015-11-25,5751029,110210878,19.15,19.22,19.13,19.2,0.21,912,,00642U,期元大S&P石油
2015-11-26,2905300,55785689,19.24,19.25,19.16,19.21,0.01,575,,00642U,期元大S&P石油
2015-11-27,2158500,41151170,19.2,19.2,19.01,19.04,-0.17,486,,00642U,期元大S&P石油
2015-11-30,3137040,59287068,18.98,18.98,18.86,18.89,-0.15,717,,00642U,期元大S&P石油
2015-12-01,2506000,47220120,18.86,18.91,18.8,18.91,0.02,583,,00642U,期元大S&P石油
2015-12-02,3085000,58054060,18.9,18.9,18.8,18.83,-0.08,663,,00642U,期元大S&P石油
2015-12-03,3776000,70407860,18.73,18.77,18.55,18.77,-0.06,1030,,00642U,期元大S&P石油
2015-12-04,1405000,26506110,18.84,18.89,18.84,18.88,0.11,445,,00642U,期元大S&P石油
2015-12-07,2675000,49843300,18.67,18.69,18.59,18.69,-0.19,730,,00642U,期元大S&P石油
2015-12-08,3480000,64385230,18.5,18.54,18.48,18.48,-0.21,1099,,00642U,期元大S&P石油
2015-12-09,2136354,39474594,18.48,18.53,18.45,18.48,0.0,618,,00642U,期元大S&P石油
2015-12-10,1976000,36364580,18.44,18.44,18.38,18.4,-0.08,708,,00642U,期元大S&P石油
2015-12-11,2458000,44925670,18.39,18.39,18.24,18.24,-0.16,855,,00642U,期元大S&P石油
2015-12-14,3413500,61444209,18.07,18.07,17.95,18.04,-0.2,1104,,00642U,期元大S&P石油
2015-12-15,1701471,30801469,18.09,18.15,18.08,18.11,0.07,468,,00642U,期元大S&P石油
2015-12-16,1746100,31781520,18.22,18.25,18.16,18.25,0.14,447,,00642U,期元大S&P石油
2015-12-17,2954101,53299923,18.18,18.18,18.0,18.05,-0.2,801,,00642U,期元大S&P石油
2015-12-18,3735199,66810032,17.9,17.96,17.85,17.86,-0.19,1035,,00642U,期元大S&P石油
2015-12-21,1840100,32954214,17.84,17.98,17.8,17.98,0.12,525,,00642U,期元大S&P石油
2015-12-22,6372885,113107932,17.9,17.9,17.63,17.67,-0.31,2039,,00642U,期元大S&P石油
2015-12-23,6146230,108903562,17.67,17.88,17.59,17.67,0.0,1807,,00642U,期元大S&P石油
2015-12-24,4299505,77311313,17.98,18.02,17.93,17.98,0.31,1459,,00642U,期元大S&P石油
2015-12-25,3285890,58792079,17.98,17.98,17.83,17.89,-0.09,1084,,00642U,期元大S&P石油
2015-12-28,2330999,41469130,17.8,17.89,17.73,17.77,-0.12,789,,00642U,期元大S&P石油
2015-12-29,31106124,510691003,16.36,16.54,16.33,16.46,-1.31,5598,,00642U,期元大S&P石油
2015-12-30,11848976,196206678,16.76,16.76,16.52,16.55,0.09,1883,,00642U,期元大S&P石油
2015-12-31,6088690,100060336,16.48,16.48,16.39,16.43,-0.12,1281,,00642U,期元大S&P石油
2016-01-04,11518899,194501093,16.71,16.95,16.71,16.95,0.52,2361,,00642U,期元大S&P石油
2016-01-05,5103497,85627889,16.84,16.84,16.7,16.76,-0.19,1067,,00642U,期元大S&P石油
2016-01-06,4836200,79938978,16.6,16.6,16.48,16.5,-0.26,1323,,00642U,期元大S&P石油
2016-01-07,15544155,246173422,16.05,16.05,15.57,15.69,-0.81,3864,,00642U,期元大S&P石油
2016-01-08,4457487,70772775,15.75,15.99,15.74,15.91,0.22,1099,,00642U,期元大S&P石油
2016-01-11,6115274,94760893,15.57,15.57,15.43,15.49,-0.42,1724,,00642U,期元大S&P石油
2016-01-12,8802321,132648837,15.11,15.15,15.02,15.03,-0.46,2484,,00642U,期元大S&P石油
2016-01-13,20891691,308227262,14.75,14.85,14.66,14.77,-0.26,3826,,00642U,期元大S&P石油
