date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-12-02,15495120,296768938,19.18,19.25,19.0,19.1,-0.07,1844,,00643,群益深証中小(新臺幣)
2015-12-03,18346880,362481039,19.34,19.97,19.33,19.94,0.84,4329,,00643,群益深証中小(新臺幣)
2015-12-04,10759000,214740550,19.94,20.04,19.87,20.03,0.09,1825,,00643,群益深証中小(新臺幣)
2015-12-07,7864000,157226680,20.03,20.05,19.86,19.91,-0.12,1330,,00643,群益深証中小(新臺幣)
2015-12-08,6712000,132913640,19.94,19.95,19.69,19.71,-0.2,874,,00643,群益深証中小(新臺幣)
2015-12-09,5356000,105359770,19.52,19.78,19.5,19.6,-0.11,752,,00643,群益深証中小(新臺幣)
2015-12-10,3462200,68031970,19.6,19.82,19.53,19.65,0.05,560,,00643,群益深証中小(新臺幣)
2015-12-11,5634000,109562000,19.77,19.77,19.29,19.33,-0.32,857,,00643,群益深証中小(新臺幣)
2015-12-14,6031000,116174650,19.12,19.36,19.1,19.17,-0.16,649,,00643,群益深証中小(新臺幣)
2015-12-15,4458000,87290230,19.51,19.68,19.48,19.56,0.39,720,,00643,群益深証中小(新臺幣)
2015-12-16,6088000,119631180,19.69,19.71,19.6,19.61,0.05,512,,00643,群益深証中小(新臺幣)
2015-12-17,4467500,88568925,19.66,19.97,19.63,19.82,0.21,804,,00643,群益深証中小(新臺幣)
2015-12-18,5390000,106531640,19.82,19.86,19.65,19.7,-0.12,737,,00643,群益深証中小(新臺幣)
2015-12-21,6192000,122471780,19.71,19.87,19.61,19.82,0.12,681,,00643,群益深証中小(新臺幣)
2015-12-22,4456500,88433830,19.9,19.9,19.76,19.84,0.02,633,,00643,群益深証中小(新臺幣)
2015-12-23,5590500,111132960,19.95,19.97,19.76,19.76,-0.08,792,,00643,群益深証中小(新臺幣)
2015-12-24,4274000,84146850,19.87,19.87,19.59,19.6,-0.16,567,,00643,群益深証中小(新臺幣)
2015-12-25,2687250,52954430,19.63,19.81,19.62,19.78,0.18,392,,00643,群益深証中小(新臺幣)
2015-12-28,4097000,81038330,19.78,19.84,19.62,19.64,-0.14,469,,00643,群益深証中小(新臺幣)
2015-12-29,2909000,56608390,19.47,19.52,19.38,19.43,-0.21,520,,00643,群益深証中小(新臺幣)
