date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-12-14,3839000,74995450,19.44,19.64,19.0,19.61,-0.42,748,,00646,元大S&P500
2015-12-15,1761030,34694450,19.75,19.75,19.63,19.63,0.02,374,,00646,元大S&P500
2015-12-16,6398100,126651109,19.75,19.93,19.69,19.89,0.26,591,,00646,元大S&P500
2015-12-17,6012171,120546325,20.01,20.08,20.01,20.05,0.16,1058,,00646,元大S&P500
2015-12-18,1891065,37579426,20.0,20.0,19.8,19.85,-0.2,319,,00646,元大S&P500
2015-12-21,2541500,49906420,19.75,19.75,19.6,19.64,-0.21,395,,00646,元大S&P500
2015-12-22,1593000,31401700,19.75,19.76,19.69,19.72,0.08,155,,00646,元大S&P500
2015-12-23,651065,12891913,19.82,19.82,19.78,19.8,0.08,135,,00646,元大S&P500
2015-12-24,1290000,25810660,19.94,20.03,19.94,19.99,0.19,274,,00646,元大S&P500
2015-12-25,436520,8721744,19.99,19.99,19.97,19.99,0.0,61,,00646,元大S&P500
2015-12-28,672049,13436072,20.03,20.03,19.97,19.97,-0.02,95,,00646,元大S&P500
2015-12-29,544000,10873170,19.97,20.0,19.96,19.98,0.01,118,,00646,元大S&P500
2015-12-30,4901114,98594579,20.13,20.16,20.06,20.1,0.12,704,,00646,元大S&P500
2015-12-31,930000,18663770,20.08,20.1,20.04,20.06,-0.04,123,,00646,元大S&P500
2016-01-04,790000,15723050,20.06,20.06,19.76,19.79,-0.27,145,,00646,元大S&P500
2016-01-05,2612500,51662590,19.79,19.8,19.73,19.74,-0.05,178,,00646,元大S&P500
2016-01-06,1395378,27466463,19.8,19.8,19.55,19.62,-0.12,193,,00646,元大S&P500
2016-01-07,4145054,80827777,19.55,19.7,19.36,19.43,-0.19,257,,00646,元大S&P500
2016-01-08,2598600,50194949,19.34,19.4,19.19,19.32,-0.11,342,,00646,元大S&P500
2016-01-11,2220150,42014655,19.0,19.04,18.8,19.01,-0.31,244,,00646,元大S&P500
2016-01-12,1319000,25091780,19.03,19.08,18.97,18.99,-0.02,121,,00646,元大S&P500
2016-01-13,2452150,47313002,19.26,19.34,19.26,19.32,0.33,164,,00646,元大S&P500
2016-01-14,1987555,37297085,18.8,18.82,18.7,18.81,-0.51,276,,00646,元大S&P500
2016-01-15,2727000,51813010,19.05,19.08,18.92,18.97,0.16,156,,00646,元大S&P500
2016-01-18,1863010,34924201,18.7,18.97,18.67,18.78,-0.19,258,,00646,元大S&P500
2016-01-19,1615000,30409830,18.75,18.91,18.75,18.9,0.12,149,,00646,元大S&P500
2016-01-20,3209160,59524746,18.71,18.71,18.44,18.49,-0.41,271,,00646,元大S&P500
2016-01-21,2493400,46479359,18.57,18.72,18.54,18.58,0.09,217,,00646,元大S&P500
2016-01-22,3090105,57782714,18.62,18.78,18.62,18.77,0.19,148,,00646,元大S&P500
2016-01-25,1477100,27995470,18.91,18.99,18.89,18.97,0.2,162,,00646,元大S&P500
2016-01-26,1965000,36722750,18.75,18.75,18.65,18.68,-0.29,143,,00646,元大S&P500
2016-01-27,2043000,38510980,18.75,18.9,18.75,18.9,0.22,123,,00646,元大S&P500
2016-01-28,2255530,42515168,18.8,18.92,18.76,18.83,-0.07,102,,00646,元大S&P500
2016-01-29,2933005,55427157,18.85,19.01,18.81,18.96,0.13,145,,00646,元大S&P500
2016-01-30,318000,6108800,19.19,19.28,19.14,19.28,0.32,151,,00646,元大S&P500
2016-02-01,1876465,35998172,19.22,19.22,19.13,19.17,-0.11,116,,00646,元大S&P500
2016-02-02,923000,17598260,19.17,19.17,19.03,19.03,-0.14,80,,00646,元大S&P500
2016-02-03,1651000,31014500,18.9,18.9,18.74,18.83,-0.2,123,,00646,元大S&P500
2016-02-15,5196000,96439730,18.77,18.77,18.47,18.5,-0.33,362,,00646,元大S&P500
2016-02-16,1493000,27723390,18.7,18.7,18.51,18.66,0.16,136,,00646,元大S&P500
2016-02-17,701250,13105754,18.75,18.75,18.64,18.65,-0.01,107,,00646,元大S&P500
2016-02-18,1652550,31397805,18.99,19.04,18.85,19.02,0.37,161,,00646,元大S&P500
2016-02-19,500000,9449460,18.8,18.95,18.8,18.94,-0.08,61,,00646,元大S&P500
2016-02-22,870010,16486239,18.9,18.99,18.9,18.99,0.05,76,,00646,元大S&P500
2016-02-23,1410000,26875780,19.08,19.08,19.05,19.06,0.07,105,,00646,元大S&P500
2016-02-24,535150,10114920,19.0,19.0,18.82,18.89,-0.17,72,,00646,元大S&P500
2016-02-25,1866065,35500603,19.04,19.07,19.0,19.05,0.16,93,,00646,元大S&P500
2016-02-26,1298158,24956342,19.25,19.25,19.21,19.21,0.16,141,,00646,元大S&P500
2016-03-01,1305000,24817900,19.15,19.15,18.98,18.99,-0.22,135,,00646,元大S&P500
2016-03-02,677030,13124650,19.37,19.44,19.25,19.41,0.42,164,,00646,元大S&P500
2016-03-03,1100000,21403440,19.45,19.48,19.42,19.47,0.06,95,,00646,元大S&P500
2016-03-04,153000,2975350,19.52,19.52,19.42,19.44,-0.03,71,,00646,元大S&P500
2016-03-07,543000,10529440,19.44,19.44,19.37,19.37,-0.07,82,,00646,元大S&P500
