date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2015-12-14,695000,13426230,19.25,19.37,19.1,19.32,-0.68,173,,00647L,元大S&P500正2
2015-12-15,805000,15647410,19.5,19.51,19.4,19.4,0.08,129,,00647L,元大S&P500正2
2015-12-16,562000,11150180,19.86,19.93,19.78,19.9,0.5,150,,00647L,元大S&P500正2
2015-12-17,2823000,57164120,20.29,20.3,20.08,20.24,0.34,485,,00647L,元大S&P500正2
2015-12-18,2382000,46649240,19.71,19.74,19.47,19.56,-0.68,421,,00647L,元大S&P500正2
2015-12-21,2561000,49071320,19.04,19.22,19.02,19.21,-0.35,418,,00647L,元大S&P500正2
2015-12-22,1943001,37758889,19.46,19.48,19.38,19.45,0.24,263,,00647L,元大S&P500正2
2015-12-23,1045000,20606510,19.59,19.75,19.59,19.72,0.27,190,,00647L,元大S&P500正2
2015-12-24,1991000,40020020,20.09,20.16,20.04,20.04,0.32,229,,00647L,元大S&P500正2
2015-12-25,407000,8147230,20.01,20.03,20.0,20.02,-0.02,37,,00647L,元大S&P500正2
2015-12-28,593000,11890660,20.02,20.08,20.02,20.03,0.01,44,,00647L,元大S&P500正2
2015-12-29,420000,8411570,20.0,20.07,20.0,20.05,0.02,52,,00647L,元大S&P500正2
2015-12-30,1943000,39699650,20.45,20.47,20.38,20.4,0.35,298,,00647L,元大S&P500正2
2015-12-31,856015,17257136,20.11,20.19,20.11,20.18,-0.22,82,,00647L,元大S&P500正2
2016-01-04,2654000,52352290,20.04,20.04,19.49,19.53,-0.65,178,,00647L,元大S&P500正2
2016-01-05,1354000,26321090,19.42,19.53,19.39,19.4,-0.13,195,,00647L,元大S&P500正2
2016-01-06,2949000,56434880,19.46,19.46,19.0,19.16,-0.24,234,,00647L,元大S&P500正2
2016-01-07,4154000,78239120,19.05,19.09,18.56,18.62,-0.54,270,,00647L,元大S&P500正2
2016-01-08,8044000,147429000,18.19,18.54,18.1,18.4,-0.22,610,,00647L,元大S&P500正2
2016-01-11,2685000,47159840,17.6,17.72,17.41,17.66,-0.74,422,,00647L,元大S&P500正2
2016-01-12,1943000,34365180,17.84,17.84,17.56,17.58,-0.08,210,,00647L,元大S&P500正2
2016-01-13,1673000,30338760,18.01,18.27,18.01,18.23,0.65,324,,00647L,元大S&P500正2
2016-01-14,2440000,41778330,17.13,17.26,17.0,17.25,-0.98,361,,00647L,元大S&P500正2
2016-01-15,1439000,25320360,17.71,17.75,17.4,17.45,0.2,246,,00647L,元大S&P500正2
2016-01-18,2086000,35679230,17.0,17.19,16.97,17.19,-0.26,375,,00647L,元大S&P500正2
2016-01-19,1835000,31688600,17.22,17.39,17.13,17.39,0.2,246,,00647L,元大S&P500正2
2016-01-20,4999000,83544890,16.85,16.97,16.44,16.5,-0.89,674,,00647L,元大S&P500正2
2016-01-21,2776000,46847740,16.7,17.08,16.68,16.81,0.31,434,,00647L,元大S&P500正2
2016-01-22,3097000,52417540,17.0,17.1,16.77,17.06,0.25,266,,00647L,元大S&P500正2
2016-01-25,2383000,41661140,17.45,17.53,17.38,17.5,0.44,327,,00647L,元大S&P500正2
2016-01-26,4716000,79888430,17.0,17.01,16.84,16.91,-0.59,321,,00647L,元大S&P500正2
2016-01-27,1391000,23949170,17.21,17.31,17.13,17.28,0.37,182,,00647L,元大S&P500正2
2016-01-28,2909000,50039500,17.12,17.3,17.04,17.18,-0.1,137,,00647L,元大S&P500正2
2016-01-29,5558196,96143305,17.2,17.51,17.1,17.43,0.25,305,,00647L,元大S&P500正2
2016-01-30,1169000,20954210,17.92,18.01,17.81,18.0,0.57,268,,00647L,元大S&P500正2
2016-02-01,1817000,32525730,17.97,17.97,17.83,17.88,-0.12,126,,00647L,元大S&P500正2
2016-02-02,700000,12490370,17.8,17.9,17.75,17.75,-0.13,117,,00647L,元大S&P500正2
2016-02-03,2414000,41579180,17.11,17.31,17.11,17.28,-0.47,161,,00647L,元大S&P500正2
2016-02-15,3432000,58191960,17.21,17.22,16.84,16.88,-0.4,289,,00647L,元大S&P500正2
2016-02-16,1128000,19350030,17.18,17.19,17.05,17.18,0.3,173,,00647L,元大S&P500正2
2016-02-17,1608000,27594190,17.2,17.23,17.05,17.07,-0.11,154,,00647L,元大S&P500正2
2016-02-18,1591000,28301900,17.8,17.87,17.66,17.87,0.8,283,,00647L,元大S&P500正2
2016-02-19,1002000,17675780,17.86,17.86,17.5,17.72,-0.15,100,,00647L,元大S&P500正2
2016-02-22,475000,8426070,17.72,17.82,17.66,17.81,0.09,90,,00647L,元大S&P500正2
2016-02-23,855000,15258230,17.97,17.97,17.79,17.81,0.0,112,,00647L,元大S&P500正2
2016-02-24,948000,16678930,17.62,17.68,17.5,17.56,-0.25,93,,00647L,元大S&P500正2
2016-02-25,704000,12564310,17.74,17.9,17.73,17.85,0.29,111,,00647L,元大S&P500正2
2016-02-26,1567250,28555055,18.24,18.27,18.19,18.22,0.37,168,,00647L,元大S&P500正2
2016-03-01,2694001,47824278,17.8,17.95,17.71,17.76,-0.46,142,,00647L,元大S&P500正2
2016-03-02,1953050,36402362,18.55,18.75,18.5,18.75,0.99,266,,00647L,元大S&P500正2
2016-03-03,1119000,20972230,18.76,18.8,18.7,18.77,0.02,93,,00647L,元大S&P500正2
2016-03-04,342000,6432410,18.8,18.84,18.78,18.78,0.01,79,,00647L,元大S&P500正2
2016-03-07,371000,6954550,17.81,18.81,17.81,18.76,-0.02,56,,00647L,元大S&P500正2
2016-03-08,607000,11379510,18.8,18.82,18.7,18.76,0.0,53,,00647L,元大S&P500正2
2016-03-09,1266000,23623720,18.36,18.74,18.36,18.73,-0.03,56,,00647L,元大S&P500正2
2016-03-10,740051,13949620,18.73,18.9,18.73,18.84,0.11,66,,00647L,元大S&P500正2
2016-03-11,784000,14810210,18.81,19.04,18.79,19.03,0.19,61,,00647L,元大S&P500正2
2016-03-14,366000,7056260,19.22,19.33,19.22,19.24,0.21,64,,00647L,元大S&P500正2
2016-03-15,1462000,28091380,19.25,19.26,19.16,19.16,-0.08,87,,00647L,元大S&P500正2
2016-03-16,369000,7117120,19.15,19.5,19.15,19.3,0.14,50,,00647L,元大S&P500正2
2016-03-17,801000,15588380,19.37,19.52,19.37,19.38,0.08,79,,00647L,元大S&P500正2
2016-03-18,426000,8342500,19.41,19.6,19.41,19.57,0.19,74,,00647L,元大S&P500正2
2016-03-21,683000,13356540,19.6,19.6,19.53,19.57,0.0,37,,00647L,元大S&P500正2
2016-03-22,551000,10866760,19.65,19.75,19.65,19.75,0.18,72,,00647L,元大S&P500正2
2016-03-23,436000,8590910,19.75,19.75,19.65,19.71,-0.04,36,,00647L,元大S&P500正2
2016-03-24,658000,12836650,19.45,19.54,19.45,19.52,-0.19,49,,00647L,元大S&P500正2
2016-03-25,154000,3025420,19.66,19.66,19.61,19.61,0.09,17,,00647L,元大S&P500正2
2016-03-28,208000,4102790,19.7,19.75,19.7,19.71,0.1,38,,00647L,元大S&P500正2
2016-03-29,223000,4377210,19.63,19.65,19.58,19.62,-0.09,29,,00647L,元大S&P500正2
2016-03-30,60000,1191000,19.84,19.9,19.83,19.83,0.21,31,,00647L,元大S&P500正2
2016-03-31,118100,2348672,19.91,19.91,19.83,19.9,0.07,25,,00647L,元大S&P500正2
2016-04-01,343000,6776810,19.89,19.89,19.73,19.77,-0.13,30,,00647L,元大S&P500正2
2016-04-06,218503,4328444,19.56,19.9,19.56,19.81,0.04,33,,00647L,元大S&P500正2
2016-04-07,1386330,27758560,20.0,20.05,19.97,20.02,0.21,89,,00647L,元大S&P500正2
2016-04-08,425000,8354830,19.72,19.8,19.6,19.8,-0.22,48,,00647L,元大S&P500正2
2016-04-11,462000,9069430,19.8,19.8,19.6,19.67,-0.13,24,,00647L,元大S&P500正2
2016-04-12,252000,4936070,19.6,19.6,19.55,19.6,-0.07,17,,00647L,元大S&P500正2
2016-04-13,139000,2781690,19.84,20.06,19.84,20.05,0.45,48,,00647L,元大S&P500正2
2016-04-14,868100,17605408,20.2,20.3,20.2,20.29,0.24,81,,00647L,元大S&P500正2
2016-04-15,145000,2956340,20.29,20.42,20.29,20.37,0.08,39,,00647L,元大S&P500正2
2016-04-18,90000,1806910,20.3,20.3,20.03,20.07,-0.3,21,,00647L,元大S&P500正2
2016-04-19,387000,7953000,20.51,20.58,20.5,20.52,0.45,45,,00647L,元大S&P500正2
2016-04-20,136000,2784110,20.5,20.51,20.44,20.48,-0.04,24,,00647L,元大S&P500正2
