date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-01-27,4897000,71937050,14.35,14.89,14.25,14.57,0.18,618,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-01-28,1675000,24572340,14.58,14.85,14.55,14.61,0.04,158,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-01-29,7426000,112829210,14.8,15.46,14.64,15.35,0.74,879,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-01-30,862000,13359720,15.5,15.55,15.41,15.55,0.2,216,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-01,1416000,21755670,15.55,15.58,15.16,15.31,-0.24,206,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-02,1516000,23066960,15.16,15.45,15.08,15.15,-0.16,215,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-03,2381000,34106980,14.75,15.02,14.1,14.32,-0.83,341,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-15,1144000,16149500,14.0,14.32,13.95,14.29,-0.03,151,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-16,976000,14341840,14.4,14.85,14.35,14.79,0.5,195,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-17,3256000,48136360,14.8,14.95,14.47,14.48,-0.31,225,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-18,1308000,19701960,14.99,15.19,14.77,15.03,0.55,191,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-19,1137000,16904790,14.79,14.97,14.78,14.92,-0.11,94,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-22,2265000,34407280,15.0,15.32,15.0,15.21,0.29,176,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-23,912000,13769950,15.49,15.49,14.96,15.06,-0.15,115,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-24,963000,14185420,14.99,15.06,14.6,14.66,-0.4,177,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-25,3779000,55234770,14.72,14.98,14.33,14.43,-0.23,310,,00650L,復華香港正2(原簡稱:FH香港正2)
2016-02-26,1145000,16938910,14.4,14.88,14.4,14.71,0.28,179,,00650L,復華香港正2(原簡稱:FH香港正2)
