date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-01-27,10337000,155996220,14.9,15.24,14.83,15.14,-0.17,1361,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-01-28,3385013,51212277,15.1,15.2,15.02,15.14,0.0,235,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-01-29,2246000,33488030,15.0,15.14,14.7,14.76,-0.38,209,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-01-30,346000,5056170,14.7,14.7,14.55,14.69,-0.07,83,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-01,871000,12838900,14.5,14.86,14.5,14.78,0.09,126,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-02,810000,11995670,14.8,14.89,14.71,14.84,0.06,78,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-03,2015000,30696180,15.0,15.34,15.0,15.23,0.39,350,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-15,1571000,24097090,15.35,15.4,15.26,15.29,0.06,182,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-16,852000,12804060,15.1,15.25,14.95,14.95,-0.34,114,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-17,2508000,37644230,15.05,15.14,14.85,15.13,0.18,166,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-18,1088000,16215630,14.95,15.3,14.79,14.87,-0.26,143,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-19,550000,8220330,15.03,15.03,14.9,14.91,0.04,96,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-22,730000,10789130,15.0,15.0,14.73,14.78,-0.13,91,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-23,601000,8889200,14.85,14.88,14.46,14.86,0.08,98,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-24,915000,13715440,14.89,15.06,14.86,15.05,0.19,128,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-25,1849000,27888660,14.95,15.21,14.81,15.15,0.1,170,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-02-26,515000,7697000,15.16,15.16,14.91,15.01,-0.14,74,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-01,111000,1656830,14.56,15.05,14.56,15.05,0.04,42,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-02,1483000,21401340,14.85,14.85,14.35,14.37,-0.68,356,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-03,1318000,18852150,14.22,14.42,14.22,14.34,-0.03,115,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-04,434000,6195480,14.5,14.5,14.21,14.28,-0.06,104,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-07,2444000,34482180,14.2,14.2,14.04,14.16,-0.12,172,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-08,648000,9244630,14.15,14.31,14.14,14.25,0.09,82,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-09,274000,3924020,14.43,14.43,14.27,14.28,0.03,67,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-10,322000,4565010,14.22,14.22,14.14,14.19,-0.09,46,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-11,942000,13329770,14.3,14.35,14.1,14.14,-0.05,73,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-14,602000,8384610,14.01,14.18,13.87,13.9,-0.24,242,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-15,272000,3811180,13.81,14.04,13.81,14.04,0.14,46,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-16,141000,1971350,14.04,14.08,13.94,14.03,-0.01,31,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-17,337000,4663030,14.0,14.0,13.8,13.91,-0.12,78,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-18,183000,2525530,13.9,13.9,13.75,13.79,-0.12,70,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-21,117000,1603280,13.79,13.79,13.6,13.74,-0.05,35,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-22,76000,1046130,13.73,13.81,13.73,13.76,0.02,29,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-23,73000,1007540,13.79,13.84,13.78,13.84,0.08,27,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-24,373000,5196580,13.94,13.98,13.88,13.95,0.11,77,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-25,113000,1588940,14.09,14.09,14.04,14.05,0.1,37,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-28,255000,3583420,14.07,14.07,14.04,14.07,0.02,30,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-29,482000,6751790,14.02,14.03,13.94,13.97,-0.1,125,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-30,198000,2720010,13.83,13.83,13.71,13.75,-0.22,49,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-03-31,339000,4624850,13.6,13.7,13.6,13.68,-0.07,51,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-01,1029000,14239630,13.73,14.18,13.66,13.86,0.18,101,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-06,769000,10796760,14.0,14.17,14.0,14.05,0.19,142,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-07,1332000,18685940,13.95,14.08,13.86,14.05,0.0,171,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-08,2508000,35429930,14.15,14.17,14.03,14.03,-0.02,145,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-11,232000,3221940,14.13,14.13,13.8,13.85,-0.18,76,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-12,245000,3392470,13.88,13.9,13.82,13.86,0.01,37,,00651R,復華香港反1(原簡稱:FH香港反1)
2016-04-13,735000,9968870,13.8,13.8,13.46,13.51,-0.35,217,,00651R,復華香港反1(原簡稱:FH香港反1)
