date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-03-29,6106000,119936570,19.69,19.74,19.49,19.49,-0.55,870,,00652,富邦印度
2016-03-30,4106500,81173299,19.59,19.82,19.59,19.78,0.29,490,,00652,富邦印度
2016-03-31,3432060,68459810,19.9,20.0,19.9,19.97,0.19,431,,00652,富邦印度
2016-04-01,2276000,45294660,19.97,20.0,19.82,19.86,-0.11,233,,00652,富邦印度
2016-04-06,2436000,47688800,19.8,19.8,19.54,19.54,-0.32,205,,00652,富邦印度
2016-04-07,2289000,44633350,19.55,19.65,19.37,19.47,-0.07,227,,00652,富邦印度
2016-04-08,5941000,115313770,19.49,19.49,19.35,19.43,-0.04,233,,00652,富邦印度
2016-04-11,3570000,69396410,19.48,19.49,19.38,19.44,0.01,177,,00652,富邦印度
2016-04-12,2695000,53183260,19.61,19.78,19.61,19.77,0.33,263,,00652,富邦印度
2016-04-13,7778000,155985240,19.9,20.13,19.9,20.11,0.34,913,,00652,富邦印度
2016-04-14,2976000,60145170,20.15,20.26,20.14,20.21,0.1,556,,00652,富邦印度
2016-04-15,4018000,81331940,20.2,20.31,20.2,20.3,0.09,271,,00652,富邦印度
2016-04-18,4279000,86485650,20.29,20.29,20.1,20.2,-0.1,205,,00652,富邦印度
2016-04-19,1860000,37897040,20.39,20.42,20.3,20.41,0.21,172,,00652,富邦印度
2016-04-20,1788000,36329190,20.41,20.42,20.23,20.23,-0.18,172,,00652,富邦印度
2016-04-21,3566000,72614800,20.35,20.41,20.29,20.3,0.07,193,,00652,富邦印度
2016-04-22,2469000,49955530,20.2,20.29,20.18,20.27,-0.03,110,,00652,富邦印度
2016-04-25,1995000,40370720,20.4,20.4,20.12,20.13,-0.14,88,,00652,富邦印度
2016-04-26,1598000,32100260,20.11,20.16,20.03,20.1,-0.03,81,,00652,富邦印度
2016-04-27,1250000,25408140,20.3,20.36,20.23,20.32,0.22,134,,00652,富邦印度
2016-04-28,1990000,40621290,20.42,20.48,20.32,20.34,0.02,120,,00652,富邦印度
2016-04-29,2849000,57223770,20.25,20.25,20.0,20.09,-0.25,163,,00652,富邦印度
2016-05-03,2419000,48596230,20.1,20.22,19.93,20.13,0.04,188,,00652,富邦印度
2016-05-04,2376000,46880780,19.82,19.82,19.69,19.73,-0.4,251,,00652,富邦印度
2016-05-05,1228000,24189300,19.67,19.74,19.64,19.7,-0.03,89,,00652,富邦印度
2016-05-06,1619000,31809490,19.77,19.77,19.58,19.64,-0.06,110,,00652,富邦印度
2016-05-09,1681000,33463720,19.56,20.01,19.55,20.01,0.37,125,,00652,富邦印度
2016-05-10,1041000,20841470,20.02,20.05,19.98,20.02,0.01,75,,00652,富邦印度
2016-05-11,2489000,49715390,20.05,20.07,19.82,20.07,0.05,161,,00652,富邦印度
2016-05-12,1237000,24799220,20.02,20.17,19.91,20.1,0.03,90,,00652,富邦印度
2016-05-13,1195000,23829050,20.1,20.1,19.87,19.91,-0.19,78,,00652,富邦印度
2016-05-16,1255000,24857350,19.82,19.87,19.75,19.78,-0.13,73,,00652,富邦印度
2016-05-17,2150000,42977080,19.96,20.02,19.94,20.01,0.23,84,,00652,富邦印度
2016-05-18,1685000,33552410,20.0,20.0,19.84,19.86,-0.15,94,,00652,富邦印度
2016-05-19,1536000,30598860,19.98,19.98,19.89,19.95,0.09,57,,00652,富邦印度
2016-05-20,1732000,34277790,19.76,19.84,19.73,19.8,-0.15,88,,00652,富邦印度
2016-05-23,1746000,34442340,19.74,19.79,19.64,19.72,-0.08,99,,00652,富邦印度
2016-05-24,1509000,29633130,19.7,19.7,19.61,19.63,-0.09,96,,00652,富邦印度
2016-05-25,1236000,24614110,19.77,19.94,19.77,19.92,0.29,93,,00652,富邦印度
2016-05-26,2110000,42431670,20.1,20.16,20.07,20.1,0.18,145,,00652,富邦印度
2016-05-27,3090000,62994760,20.24,20.46,20.24,20.46,0.36,363,,00652,富邦印度
2016-05-30,1050000,21649590,20.6,20.66,20.56,20.59,0.13,212,,00652,富邦印度
2016-05-31,1380000,28518870,20.7,20.71,20.59,20.63,0.04,207,,00652,富邦印度
2016-06-01,1196000,24761750,20.65,20.78,20.62,20.77,0.14,146,,00652,富邦印度
2016-06-02,1319000,27309630,20.77,20.77,20.66,20.67,-0.1,128,,00652,富邦印度
2016-06-03,1153000,24067430,20.78,20.91,20.78,20.87,0.2,134,,00652,富邦印度
2016-06-04,410000,8509760,20.85,20.85,20.68,20.79,-0.08,39,,00652,富邦印度
2016-06-06,1564000,32551730,20.82,20.85,20.79,20.8,0.01,86,,00652,富邦印度
2016-06-07,1089000,22664530,20.82,20.84,20.77,20.77,-0.03,63,,00652,富邦印度
2016-06-08,1561000,32510780,20.83,20.87,20.8,20.81,0.04,89,,00652,富邦印度
2016-06-13,1428000,29229090,20.75,20.75,20.42,20.45,-0.36,69,,00652,富邦印度
2016-06-14,1324000,27090020,20.46,20.5,20.4,20.43,-0.02,68,,00652,富邦印度
2016-06-15,1356000,27837120,20.43,20.57,20.43,20.53,0.1,76,,00652,富邦印度
2016-06-16,1380000,28364540,20.61,20.72,20.44,20.48,-0.05,118,,00652,富邦印度
2016-06-17,998000,20612450,20.55,20.71,20.55,20.62,0.14,86,,00652,富邦印度
2016-06-20,1376000,28268930,20.51,20.77,20.48,20.73,0.11,128,,00652,富邦印度
2016-06-21,997000,20769810,20.79,20.86,20.75,20.76,0.03,75,,00652,富邦印度
2016-06-22,1009060,20943135,20.76,20.81,20.68,20.75,-0.01,69,,00652,富邦印度
2016-06-23,1016000,21034230,20.75,20.76,20.66,20.66,-0.09,61,,00652,富邦印度
2016-06-24,1436000,29147290,20.75,20.79,20.0,20.06,-0.6,177,,00652,富邦印度
2016-06-27,1119000,22725830,20.0,20.44,20.0,20.39,0.33,80,,00652,富邦印度
2016-06-28,1047000,21348690,20.2,20.48,20.2,20.47,0.08,62,,00652,富邦印度
2016-06-29,1222000,25142120,20.54,20.62,20.54,20.6,0.13,70,,00652,富邦印度
2016-06-30,1367000,28454230,20.73,20.85,20.73,20.82,0.22,99,,00652,富邦印度
2016-07-01,1317000,27587610,20.9,21.02,20.88,21.01,0.19,103,,00652,富邦印度
2016-07-04,956000,20163520,21.01,21.12,21.01,21.12,0.11,68,,00652,富邦印度
2016-07-05,1037000,21795940,21.16,21.16,20.99,21.0,-0.12,84,,00652,富邦印度
2016-07-06,1214000,25282100,20.93,20.93,20.79,20.85,-0.15,65,,00652,富邦印度
2016-07-07,863000,18063190,20.95,20.95,20.92,20.94,0.09,30,,00652,富邦印度
2016-07-11,1192000,25234210,21.0,21.28,21.0,21.26,0.32,121,,00652,富邦印度
2016-07-12,884000,18819950,21.3,21.34,21.25,21.26,0.0,56,,00652,富邦印度
2016-07-13,1255000,26765540,21.35,21.36,21.28,21.28,0.02,69,,00652,富邦印度
2016-07-14,1200000,25549250,21.28,21.32,21.26,21.3,0.02,56,,00652,富邦印度
2016-07-15,1213000,25986760,21.4,21.47,21.27,21.29,-0.01,91,,00652,富邦印度
2016-07-18,988000,21027530,21.29,21.31,21.26,21.3,0.01,48,,00652,富邦印度
2016-07-19,1037008,22002638,21.25,21.25,21.17,21.23,-0.07,48,,00652,富邦印度
2016-07-20,981000,20970410,21.23,21.39,21.23,21.37,0.14,48,,00652,富邦印度
2016-07-21,864000,18489700,21.37,21.42,21.35,21.36,-0.01,43,,00652,富邦印度
2016-07-22,1213000,25720940,21.29,21.29,21.15,21.17,-0.19,50,,00652,富邦印度
2016-07-25,1112000,23588210,21.24,21.24,21.17,21.21,0.04,63,,00652,富邦印度
2016-07-26,985000,21129860,21.3,21.48,21.3,21.46,0.25,61,,00652,富邦印度
2016-07-27,853000,18300590,21.46,21.58,21.42,21.55,0.09,49,,00652,富邦印度
2016-07-28,863000,18556410,21.5,21.58,21.45,21.57,0.02,46,,00652,富邦印度
2016-07-29,1114000,24019240,21.6,21.6,21.53,21.56,-0.01,50,,00652,富邦印度
2016-08-01,1015000,21995260,21.51,21.71,21.51,21.7,0.14,51,,00652,富邦印度
2016-08-02,850000,18269460,21.71,21.71,21.47,21.52,-0.18,45,,00652,富邦印度
2016-08-03,898000,19166010,21.49,21.49,21.3,21.3,-0.22,42,,00652,富邦印度
2016-08-04,1024000,21830450,21.53,21.53,21.17,21.29,-0.01,53,,00652,富邦印度
2016-08-05,918000,19656410,21.29,21.48,21.29,21.48,0.19,47,,00652,富邦印度
2016-08-08,914000,19744970,21.56,21.62,21.56,21.58,0.1,67,,00652,富邦印度
2016-08-09,1002000,21598570,21.58,21.58,21.51,21.51,-0.07,49,,00652,富邦印度
2016-08-10,928000,19912890,21.5,21.52,21.25,21.27,-0.24,56,,00652,富邦印度
2016-08-11,861000,18173830,21.25,21.25,21.02,21.1,-0.17,61,,00652,富邦印度
2016-08-12,822000,17523420,21.02,21.38,21.02,21.38,0.28,46,,00652,富邦印度
2016-08-15,792000,17028390,21.48,21.53,21.48,21.49,0.11,43,,00652,富邦印度
2016-08-16,789000,16964080,21.52,21.55,21.4,21.4,-0.09,48,,00652,富邦印度
2016-08-17,741000,15774010,21.28,21.31,21.27,21.3,-0.1,33,,00652,富邦印度
2016-08-18,929000,19815140,21.21,21.44,21.21,21.44,0.14,31,,00652,富邦印度
2016-08-19,729000,15572050,21.44,21.44,21.34,21.38,-0.06,32,,00652,富邦印度
2016-08-22,768000,16443490,21.44,21.47,21.28,21.29,-0.09,49,,00652,富邦印度
2016-08-23,610000,12960310,21.25,21.26,21.23,21.24,-0.05,31,,00652,富邦印度
2016-08-24,632000,13460390,21.3,21.34,21.28,21.32,0.08,31,,00652,富邦印度
2016-08-25,624000,13358430,21.36,21.45,21.36,21.42,0.1,34,,00652,富邦印度
2016-08-26,876000,18571830,21.2,21.22,21.12,21.15,-0.27,82,,00652,富邦印度
2016-08-29,608000,12822780,21.15,21.15,21.04,21.1,-0.05,53,,00652,富邦印度
2016-08-30,619000,13164100,21.1,21.32,21.1,21.32,0.22,41,,00652,富邦印度
2016-08-31,755000,16278540,21.44,21.63,21.43,21.58,0.26,91,,00652,富邦印度
2016-09-01,610000,13180250,21.7,21.7,21.56,21.63,0.05,54,,00652,富邦印度
2016-09-02,808000,17416700,21.6,21.6,21.53,21.53,-0.1,50,,00652,富邦印度
2016-09-05,687000,14953750,21.71,21.81,21.71,21.81,0.28,65,,00652,富邦印度
2016-09-06,1910000,41544670,21.81,21.81,21.7,21.77,-0.04,85,,00652,富邦印度
2016-09-07,767000,16780580,21.8,21.9,21.8,21.86,0.09,63,,00652,富邦印度
2016-09-08,794000,17329850,21.87,21.88,21.82,21.88,0.02,31,,00652,富邦印度
2016-09-09,989000,21616310,21.82,21.9,21.78,21.78,-0.1,43,,00652,富邦印度
2016-09-10,59000,1270790,21.67,21.67,21.48,21.48,-0.3,25,,00652,富邦印度
2016-09-12,951000,20403970,21.48,21.5,21.38,21.38,-0.1,51,,00652,富邦印度
2016-09-13,145000,3114260,21.5,21.5,21.45,21.45,0.07,21,,00652,富邦印度
2016-09-14,274000,5848190,21.35,21.38,21.29,21.32,-0.13,51,,00652,富邦印度
2016-09-19,230000,4935510,21.31,21.54,21.31,21.54,0.22,27,,00652,富邦印度
2016-09-20,213000,4580990,21.52,21.52,21.45,21.51,-0.03,26,,00652,富邦印度
2016-09-21,811000,17416140,21.39,21.62,21.38,21.62,0.11,92,,00652,富邦印度
2016-09-22,250000,5433590,21.62,21.8,21.62,21.79,0.17,47,,00652,富邦印度
2016-09-23,226000,4905690,21.81,21.81,21.67,21.72,-0.07,48,,00652,富邦印度
