date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-03-29,4078000,80496910,19.86,19.86,19.46,19.46,-0.53,440,,00653L,富邦印度正2
2016-03-30,4538000,89932130,19.9,19.9,19.72,19.78,0.32,475,,00653L,富邦印度正2
2016-03-31,4272000,86224630,20.02,20.26,20.02,20.25,0.47,730,,00653L,富邦印度正2
2016-04-01,2531515,50789679,20.25,20.3,19.92,19.97,-0.28,301,,00653L,富邦印度正2
2016-04-06,4193000,81351100,19.53,19.6,19.3,19.35,-0.62,451,,00653L,富邦印度正2
2016-04-07,4873000,94150390,19.42,19.59,19.07,19.27,-0.08,422,,00653L,富邦印度正2
2016-04-08,2952000,56366470,19.08,19.18,19.0,19.17,-0.1,302,,00653L,富邦印度正2
2016-04-11,2498000,47728860,19.02,19.22,19.0,19.12,-0.05,211,,00653L,富邦印度正2
2016-04-12,5746000,113102550,19.59,19.84,19.57,19.81,0.69,558,,00653L,富邦印度正2
2016-04-13,4871000,99123110,20.15,20.6,20.09,20.57,0.76,649,,00653L,富邦印度正2
2016-04-14,2711000,56568330,20.73,20.98,20.73,20.88,0.31,413,,00653L,富邦印度正2
2016-04-15,2015000,42247220,21.0,21.1,20.89,21.04,0.16,287,,00653L,富邦印度正2
2016-04-18,2170000,45020150,21.04,21.04,20.55,20.75,-0.29,333,,00653L,富邦印度正2
2016-04-19,2381000,50298380,21.15,21.21,21.02,21.21,0.46,277,,00653L,富邦印度正2
2016-04-20,2701000,56837760,21.17,21.26,20.86,20.87,-0.34,333,,00653L,富邦印度正2
2016-04-21,3878000,81876310,21.29,21.3,20.98,21.02,0.15,269,,00653L,富邦印度正2
2016-04-22,1830000,38172340,20.92,21.0,20.73,20.94,-0.08,189,,00653L,富邦印度正2
2016-04-25,2081000,43231060,20.61,20.86,20.58,20.61,-0.33,185,,00653L,富邦印度正2
2016-04-26,1583000,32529450,20.51,20.69,20.44,20.56,-0.05,132,,00653L,富邦印度正2
2016-04-27,2190000,46169790,21.02,21.22,20.89,21.13,0.57,313,,00653L,富邦印度正2
2016-04-28,2610000,55591160,21.35,21.47,21.05,21.13,0.0,282,,00653L,富邦印度正2
2016-04-29,4141000,84963880,20.77,20.85,20.33,20.52,-0.61,614,,00653L,富邦印度正2
2016-05-03,5233001,106494339,20.5,20.73,20.11,20.5,-0.02,643,,00653L,富邦印度正2
2016-05-04,4304000,85486860,20.0,20.0,19.75,19.85,-0.65,763,,00653L,富邦印度正2
2016-05-05,1822000,35947080,19.65,19.86,19.64,19.76,-0.09,298,,00653L,富邦印度正2
2016-05-06,2185000,42930500,19.76,19.76,19.53,19.68,-0.08,326,,00653L,富邦印度正2
2016-05-09,3835000,76903880,19.61,20.38,19.46,20.35,0.67,563,,00653L,富邦印度正2
2016-05-10,2861010,58411478,20.35,20.51,20.35,20.4,0.05,317,,00653L,富邦印度正2
2016-05-11,4781484,96862363,20.55,20.58,19.96,20.5,0.1,702,,00653L,富邦印度正2
2016-05-12,3392000,69152560,20.3,20.71,20.19,20.56,0.06,351,,00653L,富邦印度正2
2016-05-13,1968000,40030400,20.42,20.47,20.15,20.21,-0.35,313,,00653L,富邦印度正2
2016-05-16,1451000,29092550,20.1,20.26,19.91,19.98,-0.23,271,,00653L,富邦印度正2
2016-05-17,3778000,77483820,20.3,20.64,20.3,20.56,0.58,388,,00653L,富邦印度正2
2016-05-18,3185000,64578920,20.35,20.41,20.09,20.16,-0.4,411,,00653L,富邦印度正2
2016-05-19,1525000,30884700,20.17,20.41,20.17,20.31,0.15,189,,00653L,富邦印度正2
2016-05-20,4412000,88033570,20.02,20.08,19.84,19.99,-0.32,653,,00653L,富邦印度正2
2016-05-23,3557000,70649580,19.87,20.01,19.72,19.93,-0.06,532,,00653L,富邦印度正2
2016-05-24,3510000,69137730,19.76,19.76,19.66,19.73,-0.2,512,,00653L,富邦印度正2
2016-05-25,4156000,83882550,19.84,20.34,19.84,20.34,0.61,782,,00653L,富邦印度正2
2016-05-26,4311000,89703650,20.71,20.88,20.71,20.85,0.51,738,,00653L,富邦印度正2
2016-05-27,7074000,152125070,21.32,21.7,21.32,21.7,0.85,936,,00653L,富邦印度正2
2016-05-30,4604000,101379480,21.93,22.15,21.89,21.99,0.29,649,,00653L,富邦印度正2
2016-05-31,3107000,68323720,22.04,22.13,21.83,21.89,-0.1,585,,00653L,富邦印度正2
2016-06-01,2054000,45245370,21.88,22.13,21.88,22.11,0.22,308,,00653L,富邦印度正2
2016-06-02,2090000,45794970,22.0,22.0,21.82,21.87,-0.24,332,,00653L,富邦印度正2
2016-06-03,2789100,62183050,22.16,22.36,22.16,22.24,0.37,429,,00653L,富邦印度正2
2016-06-04,416000,9228160,22.24,22.24,22.11,22.21,-0.03,149,,00653L,富邦印度正2
2016-06-06,2478134,55133730,22.21,22.32,22.18,22.23,0.02,225,,00653L,富邦印度正2
2016-06-07,2587000,57758500,22.31,22.4,22.23,22.23,0.0,269,,00653L,富邦印度正2
2016-06-08,2144000,48045020,22.41,22.46,22.34,22.36,0.13,263,,00653L,富邦印度正2
2016-06-13,2577600,55564560,21.83,21.83,21.46,21.47,-0.89,422,,00653L,富邦印度正2
2016-06-14,1816150,39063715,21.47,21.6,21.41,21.5,0.03,249,,00653L,富邦印度正2
2016-06-15,1447400,31310950,21.48,21.73,21.48,21.66,0.16,234,,00653L,富邦印度正2
2016-06-16,2560100,55861460,21.87,22.07,21.47,21.5,-0.16,458,,00653L,富邦印度正2
2016-06-17,1313080,28769445,21.8,21.99,21.8,21.82,0.32,246,,00653L,富邦印度正2
2016-06-20,3840010,82970860,21.8,22.06,21.38,21.96,0.14,700,,00653L,富邦印度正2
2016-06-21,2119000,46904190,22.03,22.26,22.01,22.03,0.07,386,,00653L,富邦印度正2
2016-06-22,1303000,28586140,21.82,22.13,21.82,21.97,-0.06,211,,00653L,富邦印度正2
2016-06-23,1564000,34340260,21.94,22.07,21.86,21.9,-0.07,196,,00653L,富邦印度正2
2016-06-24,5215000,111386590,22.28,22.28,20.58,20.69,-1.21,800,,00653L,富邦印度正2
2016-06-27,2132000,45098480,21.0,21.39,20.96,21.34,0.65,361,,00653L,富邦印度正2
2016-06-28,2082420,44455677,21.0,21.48,20.97,21.47,0.13,242,,00653L,富邦印度正2
2016-06-29,1360000,29507990,21.56,21.8,21.55,21.72,0.25,267,,00653L,富邦印度正2
2016-06-30,2146100,47572718,21.99,22.25,21.99,22.17,0.45,406,,00653L,富邦印度正2
2016-07-01,1926000,43217880,22.35,22.6,22.32,22.58,0.41,298,,00653L,富邦印度正2
2016-07-04,1211481,27536181,22.7,22.79,22.63,22.79,0.21,183,,00653L,富邦印度正2
2016-07-05,1255000,28316140,22.76,22.76,22.49,22.52,-0.27,178,,00653L,富邦印度正2
2016-07-06,1208000,26816840,22.39,22.39,22.08,22.3,-0.22,216,,00653L,富邦印度正2
2016-07-07,1275000,28601760,22.4,22.5,22.37,22.49,0.19,182,,00653L,富邦印度正2
2016-07-11,1572000,36073190,22.68,23.18,22.68,23.12,0.63,289,,00653L,富邦印度正2
2016-07-12,1132100,26424738,23.31,23.6,23.25,23.28,0.16,184,,00653L,富邦印度正2
2016-07-13,937319,22016358,23.47,23.56,23.34,23.34,0.06,168,,00653L,富邦印度正2
2016-07-14,963181,22499487,23.34,23.38,23.28,23.36,0.02,79,,00653L,富邦印度正2
2016-07-15,1780333,42222012,23.68,23.83,23.4,23.45,0.09,264,,00653L,富邦印度正2
2016-07-18,1180056,27858854,23.7,23.7,23.53,23.67,0.22,141,,00653L,富邦印度正2
2016-07-19,1325000,30950700,23.51,23.51,23.23,23.37,-0.3,185,,00653L,富邦印度正2
2016-07-20,1413000,33295370,23.46,23.62,23.44,23.59,0.22,131,,00653L,富邦印度正2
2016-07-21,2070000,48976760,23.7,23.7,23.58,23.6,0.01,199,,00653L,富邦印度正2
2016-07-22,1385033,32275633,23.45,23.45,23.18,23.3,-0.3,188,,00653L,富邦印度正2
2016-07-25,1124000,26394080,23.51,23.62,23.32,23.41,0.11,115,,00653L,富邦印度正2
2016-07-26,1760000,42038190,23.85,24.01,23.81,23.93,0.52,263,,00653L,富邦印度正2
2016-07-27,1624000,38730330,23.78,24.11,23.71,23.99,0.06,222,,00653L,富邦印度正2
2016-07-28,958000,22856640,23.8,24.0,23.76,24.0,0.01,129,,00653L,富邦印度正2
2016-07-29,2124089,50899978,24.01,24.08,23.86,23.95,-0.05,173,,00653L,富邦印度正2
2016-08-01,1260000,30496040,24.11,24.29,24.1,24.26,0.31,151,,00653L,富邦印度正2
2016-08-02,1218000,29125530,23.97,24.13,23.82,24.02,-0.24,174,,00653L,富邦印度正2
2016-08-03,1458089,34399366,23.5,23.68,23.46,23.51,-0.51,231,,00653L,富邦印度正2
2016-08-04,1295000,30500420,23.61,23.79,23.2,23.47,-0.04,259,,00653L,富邦印度正2
2016-08-05,1096000,26016270,23.53,23.92,23.53,23.9,0.43,163,,00653L,富邦印度正2
2016-08-08,1463000,35440270,24.23,24.3,24.15,24.18,0.28,223,,00653L,富邦印度正2
2016-08-09,981000,23705010,24.18,24.21,24.04,24.04,-0.14,117,,00653L,富邦印度正2
2016-08-10,2109000,50492180,24.05,24.11,23.52,23.62,-0.42,271,,00653L,富邦印度正2
2016-08-11,2421000,56488850,23.52,23.52,23.2,23.35,-0.27,322,,00653L,富邦印度正2
2016-08-12,1455000,34470140,23.55,23.89,23.55,23.82,0.47,217,,00653L,富邦印度正2
2016-08-15,1400000,33696710,23.93,24.15,23.93,24.06,0.24,186,,00653L,富邦印度正2
2016-08-16,1668000,40115820,24.19,24.2,23.88,23.9,-0.16,157,,00653L,富邦印度正2
2016-08-17,1448000,34317430,23.79,23.8,23.65,23.78,-0.12,138,,00653L,富邦印度正2
2016-08-18,1084000,25751910,23.66,24.04,23.57,24.0,0.22,124,,00653L,富邦印度正2
2016-08-19,1583000,37829020,24.01,24.01,23.77,23.88,-0.12,106,,00653L,富邦印度正2
2016-08-22,1142000,27255670,23.98,24.04,23.58,23.63,-0.25,133,,00653L,富邦印度正2
2016-08-23,899000,21190410,23.63,23.66,23.52,23.6,-0.03,116,,00653L,富邦印度正2
2016-08-24,712000,16857180,23.76,23.82,23.63,23.67,0.07,102,,00653L,富邦印度正2
2016-08-25,696000,16602990,23.78,23.96,23.78,23.84,0.17,84,,00653L,富邦印度正2
2016-08-26,1527000,35869760,23.52,23.56,23.31,23.43,-0.41,282,,00653L,富邦印度正2
2016-08-29,1224000,28445200,23.36,23.43,23.16,23.25,-0.18,208,,00653L,富邦印度正2
2016-08-30,1252000,29611470,23.5,23.8,23.4,23.76,0.51,221,,00653L,富邦印度正2
2016-08-31,2230000,54139540,24.2,24.49,24.15,24.39,0.63,436,,00653L,富邦印度正2
2016-09-01,1633000,39910930,24.39,24.56,24.3,24.5,0.11,224,,00653L,富邦印度正2
2016-09-02,1272000,30936140,24.3,24.42,24.22,24.33,-0.17,177,,00653L,富邦印度正2
2016-09-05,1198000,29777350,24.6,24.98,24.6,24.9,0.57,184,,00653L,富邦印度正2
2016-09-06,1390000,34571860,24.78,24.96,24.61,24.96,0.06,186,,00653L,富邦印度正2
2016-09-07,1019000,25742480,25.16,25.33,25.1,25.19,0.23,188,,00653L,富邦印度正2
2016-09-08,749000,18797860,25.16,25.2,25.04,25.17,-0.02,120,,00653L,富邦印度正2
2016-09-09,953000,23836850,25.0,25.1,24.78,24.86,-0.31,155,,00653L,富邦印度正2
2016-09-10,263000,6396850,24.47,24.47,24.23,24.28,-0.58,127,,00653L,富邦印度正2
2016-09-12,1411000,33941320,24.09,24.14,23.95,23.98,-0.3,264,,00653L,富邦印度正2
2016-09-13,722000,17479870,24.16,24.3,24.15,24.16,0.18,125,,00653L,富邦印度正2
2016-09-14,787000,18816500,24.11,24.11,23.8,23.88,-0.28,146,,00653L,富邦印度正2
2016-09-19,543000,13199050,24.03,24.44,24.03,24.42,0.54,117,,00653L,富邦印度正2
2016-09-20,588000,14259100,24.34,24.34,24.15,24.21,-0.21,118,,00653L,富邦印度正2
2016-09-21,587000,14256650,24.14,24.5,24.14,24.47,0.26,124,,00653L,富邦印度正2
2016-09-22,1028000,25343210,24.35,24.82,24.35,24.7,0.23,239,,00653L,富邦印度正2
2016-09-23,506000,12483150,24.74,24.74,24.57,24.6,-0.1,102,,00653L,富邦印度正2
2016-09-26,665000,16131500,24.47,24.47,24.2,24.27,-0.33,110,,00653L,富邦印度正2
2016-09-29,958000,23225860,24.4,24.4,24.13,24.15,-0.12,215,,00653L,富邦印度正2
2016-09-30,2270000,52113620,23.03,23.33,22.79,23.06,-1.09,692,,00653L,富邦印度正2
2016-10-03,1702000,39834250,23.35,23.65,23.22,23.62,0.56,340,,00653L,富邦印度正2
2016-10-04,898000,21404540,23.76,23.96,23.76,23.79,0.17,270,,00653L,富邦印度正2
2016-10-05,724000,17273280,23.99,24.04,23.7,23.73,-0.06,161,,00653L,富邦印度正2
2016-10-06,680000,16250240,24.02,24.02,23.8,23.87,0.14,141,,00653L,富邦印度正2
2016-10-07,866000,20407150,23.76,23.76,23.45,23.47,-0.4,233,,00653L,富邦印度正2
2016-10-11,955000,22605110,23.6,23.81,23.38,23.48,0.01,173,,00653L,富邦印度正2
2016-10-12,764000,17946990,23.46,23.54,23.45,23.49,0.01,100,,00653L,富邦印度正2
2016-10-13,937000,21752310,23.46,23.46,23.03,23.06,-0.43,230,,00653L,富邦印度正2
2016-10-14,1615000,36836620,22.7,22.89,22.7,22.84,-0.22,375,,00653L,富邦印度正2
2016-10-17,798000,18150320,22.9,22.91,22.66,22.75,-0.09,156,,00653L,富邦印度正2
2016-10-18,798000,18119410,22.75,22.8,22.59,22.78,0.03,163,,00653L,富邦印度正2
2016-10-19,988000,22857130,23.0,23.22,23.0,23.04,0.26,278,,00653L,富邦印度正2
2016-10-20,1046000,24407500,23.11,23.46,23.11,23.39,0.35,221,,00653L,富邦印度正2
2016-10-21,752000,17544430,23.39,23.39,23.16,23.16,-0.23,120,,00653L,富邦印度正2
2016-10-24,911000,21343420,23.25,23.53,23.25,23.38,0.22,170,,00653L,富邦印度正2
2016-10-25,1252000,29230260,23.42,23.49,23.14,23.24,-0.14,179,,00653L,富邦印度正2
2016-10-26,805000,18590650,23.24,23.24,22.97,23.07,-0.17,172,,00653L,富邦印度正2
2016-10-27,1318000,30033270,22.87,22.96,22.66,22.72,-0.35,302,,00653L,富邦印度正2
2016-10-28,834000,19018520,22.9,23.03,22.67,22.95,0.23,191,,00653L,富邦印度正2
2016-10-31,243000,5518620,22.92,22.92,22.6,22.75,-0.2,104,,00653L,富邦印度正2
2016-11-01,564000,12872810,22.7,22.88,22.67,22.85,0.1,103,,00653L,富邦印度正2
2016-11-02,970000,21744900,22.61,22.61,22.3,22.33,-0.52,298,,00653L,富邦印度正2
2016-11-03,820000,18157420,22.12,22.35,22.05,22.35,0.02,186,,00653L,富邦印度正2
2016-11-04,697000,15397980,22.25,22.25,22.04,22.06,-0.29,157,,00653L,富邦印度正2
2016-11-07,566000,12568460,22.03,22.34,22.03,22.32,0.26,135,,00653L,富邦印度正2
2016-11-08,872000,19417590,22.37,22.39,22.09,22.17,-0.15,192,,00653L,富邦印度正2
2016-11-09,3270000,69441940,22.27,22.27,20.18,20.8,-1.37,871,,00653L,富邦印度正2
2016-11-10,2667000,59137220,21.69,22.45,21.69,22.42,1.62,557,,00653L,富邦印度正2
2016-11-11,1558000,33754690,22.02,22.02,21.54,21.66,-0.76,337,,00653L,富邦印度正2
2016-11-14,2329000,48891640,21.64,21.64,20.78,20.87,-0.79,581,,00653L,富邦印度正2
2016-11-15,1561000,32423230,20.87,20.95,20.52,20.76,-0.11,420,,00653L,富邦印度正2
2016-11-16,1804000,37538860,20.82,20.91,20.75,20.82,0.06,505,,00653L,富邦印度正2
2016-11-17,2270000,45838260,20.25,20.4,20.08,20.22,-0.6,616,,00653L,富邦印度正2
2016-11-18,1835000,36667150,20.14,20.14,19.9,20.09,-0.13,510,,00653L,富邦印度正2
2016-11-21,3915000,77937900,20.05,20.11,19.66,19.7,-0.39,1037,,00653L,富邦印度正2
