date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-03-29,9455000,188530310,19.92,20.02,19.88,20.02,0.05,757,,00654R,富邦印度反1
2016-03-30,7133000,142279920,19.98,20.0,19.91,19.97,-0.05,338,,00654R,富邦印度反1
2016-03-31,3158000,62346120,19.88,19.88,19.7,19.71,-0.26,144,,00654R,富邦印度反1
2016-04-01,2405000,47724340,19.79,19.93,19.75,19.86,0.15,169,,00654R,富邦印度反1
2016-04-06,8534000,171716980,20.03,20.18,20.02,20.18,0.32,520,,00654R,富邦印度反1
2016-04-07,2854000,57590110,20.18,20.33,20.07,20.22,0.04,185,,00654R,富邦印度反1
2016-04-08,2066000,41986730,20.22,20.38,20.22,20.3,0.08,161,,00654R,富邦印度反1
2016-04-11,2067000,42052240,20.42,20.42,20.27,20.32,0.02,92,,00654R,富邦印度反1
2016-04-12,3015000,60251650,20.1,20.1,19.93,19.95,-0.37,143,,00654R,富邦印度反1
2016-04-13,4008000,78806470,19.8,19.8,19.56,19.59,-0.36,206,,00654R,富邦印度反1
2016-04-14,1598015,31023375,19.58,19.58,19.38,19.43,-0.16,197,,00654R,富邦印度反1
2016-04-15,2388000,46236370,19.43,19.43,19.32,19.35,-0.08,132,,00654R,富邦印度反1
2016-04-18,2922000,56862850,19.48,19.56,19.42,19.47,0.12,130,,00654R,富邦印度反1
2016-04-19,1986000,38339920,19.25,19.34,19.25,19.26,-0.21,281,,00654R,富邦印度反1
2016-04-20,1755000,33970060,19.4,19.42,19.25,19.42,0.16,94,,00654R,富邦印度反1
2016-04-21,1916000,37001190,19.29,19.37,19.24,19.36,-0.06,93,,00654R,富邦印度反1
2016-04-22,1601000,31099930,19.48,19.49,19.37,19.4,0.04,92,,00654R,富邦印度反1
2016-04-25,1424000,27777740,19.48,19.56,19.45,19.56,0.16,107,,00654R,富邦印度反1
2016-04-26,1026000,20096890,19.61,19.62,19.51,19.57,0.01,67,,00654R,富邦印度反1
2016-04-27,1435000,27692540,19.35,19.35,19.24,19.27,-0.3,313,,00654R,富邦印度反1
2016-04-28,819000,15728920,19.27,19.28,19.11,19.26,-0.01,93,,00654R,富邦印度反1
2016-04-29,1449000,28319640,19.5,19.62,19.43,19.52,0.26,362,,00654R,富邦印度反1
2016-05-03,990000,19417560,19.6,19.73,19.43,19.52,0.0,162,,00654R,富邦印度反1
2016-05-04,924000,18338980,19.8,19.92,19.73,19.86,0.34,167,,00654R,富邦印度反1
2016-05-05,942000,18734570,19.92,19.93,19.84,19.89,0.03,98,,00654R,富邦印度反1
2016-05-06,1125985,22479333,19.92,20.01,19.9,19.94,0.05,87,,00654R,富邦印度反1
2016-05-09,930001,18333639,19.89,19.89,19.57,19.57,-0.37,114,,00654R,富邦印度反1
2016-05-10,1008000,19744550,19.58,19.61,19.55,19.57,0.0,55,,00654R,富邦印度反1
2016-05-11,1521000,29762190,19.55,19.78,19.51,19.51,-0.06,135,,00654R,富邦印度反1
2016-05-12,983000,19262590,19.6,19.68,19.42,19.49,-0.02,62,,00654R,富邦印度反1
2016-05-13,761000,14952750,19.51,19.7,19.51,19.66,0.17,96,,00654R,富邦印度反1
2016-05-16,1313000,25875900,19.79,19.8,19.63,19.76,0.1,136,,00654R,富邦印度反1
2016-05-17,1344000,26149380,19.58,19.58,19.42,19.43,-0.33,330,,00654R,富邦印度反1
2016-05-18,1962000,38523450,19.56,19.67,19.53,19.67,0.24,112,,00654R,富邦印度反1
2016-05-19,1106000,21685260,19.6,19.65,19.57,19.58,-0.09,56,,00654R,富邦印度反1
2016-05-20,2671000,52637960,19.65,19.81,19.65,19.72,0.14,139,,00654R,富邦印度反1
2016-05-23,1667000,32944470,19.72,19.85,19.7,19.75,0.03,72,,00654R,富邦印度反1
2016-05-24,1340000,26628880,19.87,19.9,19.84,19.86,0.11,168,,00654R,富邦印度反1
2016-05-25,1425000,27930840,19.86,19.86,19.53,19.53,-0.33,126,,00654R,富邦印度反1
2016-05-26,1765000,34071690,19.45,19.45,19.27,19.27,-0.26,268,,00654R,富邦印度反1
2016-05-27,3501000,66464190,19.15,19.15,18.9,18.91,-0.36,597,,00654R,富邦印度反1
2016-05-30,2927100,54995571,18.88,18.88,18.73,18.81,-0.1,416,,00654R,富邦印度反1
2016-05-31,1545000,29020940,18.82,18.87,18.74,18.85,0.04,236,,00654R,富邦印度反1
2016-06-01,878000,16488380,18.9,18.9,18.73,18.75,-0.1,232,,00654R,富邦印度反1
2016-06-02,1078000,20281380,18.83,18.84,18.78,18.83,0.08,171,,00654R,富邦印度反1
2016-06-03,1213000,22610810,18.69,18.69,18.62,18.66,-0.17,224,,00654R,富邦印度反1
2016-06-04,302100,5644979,18.67,18.71,18.67,18.68,0.02,53,,00654R,富邦印度反1
2016-06-06,1945000,36305880,18.68,18.69,18.64,18.67,-0.01,108,,00654R,富邦印度反1
2016-06-07,1896000,35287480,18.67,18.67,18.58,18.64,-0.03,141,,00654R,富邦印度反1
2016-06-08,1152000,21395290,18.59,18.6,18.55,18.58,-0.06,111,,00654R,富邦印度反1
2016-06-13,2182000,41264610,18.75,18.97,18.75,18.96,0.38,340,,00654R,富邦印度反1
2016-06-14,1719000,32590670,18.96,18.99,18.89,18.94,-0.02,261,,00654R,富邦印度反1
2016-06-15,1356000,25623340,18.96,18.97,18.87,18.91,-0.03,150,,00654R,富邦印度反1
2016-06-16,1468000,27688940,18.82,18.98,18.7,18.92,0.01,213,,00654R,富邦印度反1
2016-06-17,1140000,21373490,18.96,18.96,18.7,18.77,-0.15,134,,00654R,富邦印度反1
2016-06-20,1567010,29613617,18.72,18.97,18.68,18.72,-0.05,314,,00654R,富邦印度反1
2016-06-21,1428000,26645470,18.7,18.72,18.62,18.69,-0.03,161,,00654R,富邦印度反1
2016-06-22,1136000,21241200,18.78,18.78,18.65,18.68,-0.01,107,,00654R,富邦印度反1
2016-06-23,1163000,21765080,18.78,18.78,18.66,18.72,0.04,70,,00654R,富邦印度反1
2016-06-24,2551000,48392680,18.69,19.3,18.59,19.25,0.53,569,,00654R,富邦印度反1
2016-06-27,1401000,26702370,19.3,19.3,18.96,18.97,-0.28,169,,00654R,富邦印度反1
2016-06-28,1138000,21612260,19.17,19.17,18.91,18.91,-0.06,78,,00654R,富邦印度反1
2016-06-29,1108000,20847430,18.86,18.86,18.77,18.79,-0.12,95,,00654R,富邦印度反1
2016-06-30,1730000,32154860,18.98,18.98,18.56,18.61,-0.18,179,,00654R,富邦印度反1
2016-07-01,1557000,28762350,18.61,18.61,18.4,18.4,-0.21,200,,00654R,富邦印度反1
2016-07-04,1291000,23689620,18.3,18.4,18.3,18.32,-0.08,119,,00654R,富邦印度反1
2016-07-05,1013000,18654320,18.4,18.43,18.39,18.43,0.11,81,,00654R,富邦印度反1
2016-07-06,1489000,27644260,18.52,18.6,18.52,18.52,0.09,170,,00654R,富邦印度反1
2016-07-07,1192000,21998460,18.52,18.52,18.41,18.45,-0.07,79,,00654R,富邦印度反1
2016-07-11,1267000,23088930,18.37,18.37,18.12,18.14,-0.31,191,,00654R,富邦印度反1
2016-07-12,1266000,22871690,18.1,18.14,18.03,18.1,-0.04,96,,00654R,富邦印度反1
2016-07-13,1037000,18675930,18.0,18.08,17.99,18.08,-0.02,100,,00654R,富邦印度反1
2016-07-14,944500,17062485,18.08,18.09,18.05,18.05,-0.03,65,,00654R,富邦印度反1
2016-07-15,1233000,22071960,17.97,18.03,17.85,17.99,-0.06,157,,00654R,富邦印度反1
2016-07-18,1042000,18663060,17.96,17.96,17.87,17.87,-0.12,86,,00654R,富邦印度反1
2016-07-19,1074000,19340210,18.01,18.07,17.99,18.01,0.14,84,,00654R,富邦印度反1
2016-07-20,1009274,18126791,18.01,18.01,17.94,17.96,-0.05,53,,00654R,富邦印度反1
2016-07-21,1292000,23123400,17.94,17.94,17.88,17.92,-0.04,53,,00654R,富邦印度反1
2016-07-22,1157000,20846160,18.02,18.05,17.99,18.04,0.12,85,,00654R,富邦印度反1
2016-07-25,1151000,20649340,17.94,17.99,17.9,17.97,-0.07,69,,00654R,富邦印度反1
2016-07-26,1351000,24068020,17.9,17.9,17.76,17.8,-0.17,118,,00654R,富邦印度反1
2016-07-27,1068200,19053494,17.84,17.87,17.74,17.77,-0.03,61,,00654R,富邦印度反1
2016-07-28,1117000,19898470,17.87,17.87,17.75,17.77,0.0,51,,00654R,富邦印度反1
2016-07-29,1049000,18646420,17.77,17.81,17.73,17.79,0.02,65,,00654R,富邦印度反1
2016-08-01,1185000,20981470,17.97,17.97,17.67,17.71,-0.08,101,,00654R,富邦印度反1
2016-08-02,973226,17309740,17.79,17.81,17.7,17.72,0.01,52,,00654R,富邦印度反1
2016-08-03,1476000,26406730,17.87,17.95,17.87,17.92,0.2,109,,00654R,富邦印度反1
2016-08-04,1027000,18396280,18.02,18.06,17.81,17.95,0.03,79,,00654R,富邦印度反1
2016-08-05,906000,16155250,17.87,17.88,17.76,17.77,-0.18,59,,00654R,富邦印度反1
2016-08-08,1284000,22666260,17.68,17.68,17.63,17.68,-0.09,65,,00654R,富邦印度反1
2016-08-09,875000,15456700,17.67,17.7,17.66,17.7,0.02,32,,00654R,富邦印度反1
2016-08-10,2151000,38279460,17.72,17.95,17.7,17.95,0.25,90,,00654R,富邦印度反1
2016-08-11,1147000,20632900,17.95,18.03,17.95,17.97,0.02,87,,00654R,富邦印度反1
2016-08-12,1221000,21839400,17.97,17.97,17.81,17.84,-0.13,58,,00654R,富邦印度反1
2016-08-15,874000,15547910,17.8,17.81,17.77,17.81,-0.03,38,,00654R,富邦印度反1
2016-08-16,1066000,18976490,17.78,17.86,17.75,17.86,0.05,41,,00654R,富邦印度反1
2016-08-17,871000,15608960,17.92,17.94,17.9,17.91,0.05,41,,00654R,富邦印度反1
2016-08-18,903000,16146180,17.92,17.93,17.75,17.76,-0.15,47,,00654R,富邦印度反1
2016-08-19,836000,14873880,17.75,17.85,17.75,17.81,0.05,96,,00654R,富邦印度反1
2016-08-22,905000,16149780,17.78,17.97,17.78,17.95,0.14,53,,00654R,富邦印度反1
2016-08-23,806000,14447470,17.96,17.96,17.88,17.9,-0.05,45,,00654R,富邦印度反1
2016-08-24,675000,12092880,17.88,17.94,17.87,17.9,0.0,35,,00654R,富邦印度反1
2016-08-25,824000,14684120,17.85,17.85,17.79,17.82,-0.08,55,,00654R,富邦印度反1
2016-08-26,658000,11821090,18.0,18.04,17.94,18.01,0.19,77,,00654R,富邦印度反1
2016-08-29,794000,14333020,18.01,18.08,18.01,18.02,0.01,58,,00654R,富邦印度反1
2016-08-30,771000,13769420,17.89,17.9,17.8,17.81,-0.21,72,,00654R,富邦印度反1
2016-08-31,1037100,18295150,17.7,17.7,17.58,17.6,-0.21,168,,00654R,富邦印度反1
2016-09-01,1184000,20814660,17.6,17.62,17.55,17.55,-0.05,104,,00654R,富邦印度反1
2016-09-02,939000,16558430,17.62,17.65,17.62,17.65,0.1,72,,00654R,富邦印度反1
2016-09-05,1051000,18320170,17.53,17.53,17.41,17.43,-0.22,103,,00654R,富邦印度反1
2016-09-06,995000,17331990,17.45,17.45,17.38,17.38,-0.05,64,,00654R,富邦印度反1
2016-09-07,698000,12086860,17.38,17.38,17.29,17.31,-0.07,58,,00654R,富邦印度反1
2016-09-08,600000,10446300,17.42,17.42,17.37,17.4,0.09,26,,00654R,富邦印度反1
2016-09-09,600000,10425780,17.4,17.49,17.36,17.47,0.07,32,,00654R,富邦印度反1
2016-09-10,328000,5803110,17.73,17.76,17.66,17.68,0.21,91,,00654R,富邦印度反1
2016-09-12,1195000,21183350,17.71,17.76,17.68,17.72,0.04,113,,00654R,富邦印度反1
2016-09-13,453000,7976640,17.7,17.7,17.59,17.62,-0.1,54,,00654R,富邦印度反1
2016-09-14,872000,15457770,17.75,17.77,17.7,17.75,0.13,109,,00654R,富邦印度反1
2016-09-19,633200,11125542,17.7,17.7,17.53,17.56,-0.19,75,,00654R,富邦印度反1
2016-09-20,484000,8529480,17.62,17.64,17.6,17.6,0.04,34,,00654R,富邦印度反1
2016-09-21,411000,7233920,17.62,17.66,17.5,17.53,-0.07,31,,00654R,富邦印度反1
2016-09-22,452000,7890380,17.47,17.5,17.4,17.43,-0.1,52,,00654R,富邦印度反1
2016-09-23,402000,7018870,17.4,17.5,17.4,17.5,0.07,39,,00654R,富邦印度反1
2016-09-26,595000,10483600,17.62,17.65,17.57,17.61,0.11,124,,00654R,富邦印度反1
2016-09-29,456000,8035410,17.65,17.67,17.6,17.66,0.05,55,,00654R,富邦印度反1
2016-09-30,1828000,33068390,18.13,18.16,18.0,18.03,0.37,279,,00654R,富邦印度反1
2016-10-03,530000,9492010,18.03,18.03,17.79,17.8,-0.23,69,,00654R,富邦印度反1
2016-10-04,381000,6750090,17.76,17.76,17.66,17.71,-0.09,73,,00654R,富邦印度反1
2016-10-05,480000,8498970,17.71,17.76,17.63,17.76,0.05,51,,00654R,富邦印度反1
2016-10-06,415000,7339910,17.7,17.72,17.65,17.71,-0.05,90,,00654R,富邦印度反1
2016-10-07,426000,7584250,17.79,17.84,17.76,17.84,0.13,79,,00654R,富邦印度反1
2016-10-11,543000,9678610,17.7,17.89,17.69,17.85,0.01,61,,00654R,富邦印度反1
2016-10-12,478000,8524190,17.85,17.86,17.82,17.85,0.0,47,,00654R,富邦印度反1
2016-10-13,714000,12804940,17.96,18.0,17.88,17.99,0.14,94,,00654R,富邦印度反1
2016-10-14,694000,12540130,18.01,18.09,18.01,18.07,0.08,112,,00654R,富邦印度反1
2016-10-17,414000,7480810,18.07,18.1,17.99,18.04,-0.03,54,,00654R,富邦印度反1
2016-10-18,405000,7315750,18.13,18.13,18.02,18.06,0.02,65,,00654R,富邦印度反1
2016-10-19,315000,5622540,17.89,17.9,17.81,17.88,-0.18,73,,00654R,富邦印度反1
2016-10-20,377000,6721580,17.88,17.88,17.79,17.82,-0.06,52,,00654R,富邦印度反1
2016-10-21,389000,6936140,17.8,17.9,17.8,17.9,0.08,34,,00654R,富邦印度反1
2016-10-24,154000,2739910,17.81,17.83,17.75,17.82,-0.08,38,,00654R,富邦印度反1
2016-10-25,320000,5703220,17.78,17.88,17.73,17.86,0.04,44,,00654R,富邦印度反1
2016-10-26,910000,16294290,17.89,17.97,17.88,17.93,0.07,72,,00654R,富邦印度反1
2016-10-27,428000,7726720,18.02,18.11,18.0,18.1,0.17,103,,00654R,富邦印度反1
2016-10-28,489000,8830740,18.03,18.11,17.97,18.0,-0.1,81,,00654R,富邦印度反1
2016-10-31,231000,4179450,18.11,18.13,18.04,18.07,0.07,32,,00654R,富邦印度反1
2016-11-01,623000,11237140,18.09,18.09,18.01,18.02,-0.05,45,,00654R,富邦印度反1
2016-11-02,535000,9717990,18.12,18.23,18.12,18.23,0.21,113,,00654R,富邦印度反1
2016-11-03,448000,8180160,18.23,18.32,18.19,18.2,-0.03,113,,00654R,富邦印度反1
2016-11-04,483000,8854050,18.35,18.38,18.28,18.37,0.17,108,,00654R,富邦印度反1
2016-11-07,593000,10836730,18.25,18.35,18.2,18.22,-0.15,99,,00654R,富邦印度反1
2016-11-08,436000,7932150,18.1,18.22,18.1,18.19,-0.03,36,,00654R,富邦印度反1
2016-11-09,1478000,27666640,18.22,19.05,18.22,18.85,0.66,318,,00654R,富邦印度反1
2016-11-10,525000,9585390,18.5,18.5,18.11,18.11,-0.74,132,,00654R,富邦印度反1
2016-11-11,536000,9893670,18.4,18.52,18.38,18.47,0.36,112,,00654R,富邦印度反1
2016-11-14,1043000,19586080,18.56,18.85,18.56,18.8,0.33,149,,00654R,富邦印度反1
2016-11-15,1028000,19354320,18.85,18.97,18.75,18.88,0.08,121,,00654R,富邦印度反1
2016-11-16,608000,11471170,18.8,19.0,18.76,18.95,0.07,94,,00654R,富邦印度反1
2016-11-17,1319000,25137890,19.0,19.1,18.97,19.07,0.12,152,,00654R,富邦印度反1
2016-11-18,522000,10003870,19.1,19.2,19.1,19.13,0.06,112,,00654R,富邦印度反1
2016-11-21,534000,10264120,19.17,19.42,19.12,19.42,0.29,137,,00654R,富邦印度反1
2016-11-22,859000,16633420,19.42,19.43,19.29,19.37,-0.05,130,,00654R,富邦印度反1
2016-11-23,638000,12267830,19.2,19.34,19.13,19.24,-0.13,76,,00654R,富邦印度反1
2016-11-24,592000,11461830,19.24,19.38,19.24,19.34,0.1,91,,00654R,富邦印度反1
2016-11-25,282000,5442450,19.3,19.34,19.22,19.22,-0.12,51,,00654R,富邦印度反1
2016-11-28,956000,18340570,19.2,19.24,19.05,19.05,-0.17,97,,00654R,富邦印度反1
2016-11-29,443000,8396250,19.04,19.09,18.87,18.87,-0.18,66,,00654R,富邦印度反1
2016-11-30,377000,7156250,19.0,19.01,18.91,18.91,0.04,88,,00654R,富邦印度反1
2016-12-01,131000,2461400,18.82,18.82,18.75,18.81,-0.1,36,,00654R,富邦印度反1
2016-12-02,418000,7951080,18.8,19.1,18.8,19.1,0.29,118,,00654R,富邦印度反1
2016-12-05,491000,9405980,19.14,19.19,19.1,19.16,0.06,91,,00654R,富邦印度反1
2016-12-06,344000,6543640,19.02,19.06,18.98,19.0,-0.16,40,,00654R,富邦印度反1
2016-12-07,27000,512500,18.99,18.99,18.96,18.96,-0.04,7,,00654R,富邦印度反1
2016-12-08,48000,905550,18.96,18.96,18.8,18.8,-0.16,20,,00654R,富邦印度反1
2016-12-09,346000,6473660,18.67,18.76,18.67,18.71,-0.09,28,,00654R,富邦印度反1
2016-12-12,317000,5963150,18.68,18.87,18.67,18.86,0.15,53,,00654R,富邦印度反1
2016-12-13,173000,3273960,18.93,18.96,18.9,18.94,0.08,61,,00654R,富邦印度反1
2016-12-14,140000,2639600,18.8,18.89,18.8,18.89,-0.05,22,,00654R,富邦印度反1
2016-12-15,418000,7944740,19.0,19.11,18.79,18.85,-0.04,96,,00654R,富邦印度反1
2016-12-16,487000,9231850,18.79,19.0,18.79,18.99,0.14,55,,00654R,富邦印度反1
2016-12-19,271000,5159650,19.03,19.08,19.01,19.02,0.03,41,,00654R,富邦印度反1
2016-12-20,241000,4593110,19.05,19.08,19.04,19.04,0.02,37,,00654R,富邦印度反1
2016-12-21,161000,3073290,19.09,19.13,19.06,19.09,0.05,30,,00654R,富邦印度反1
2016-12-22,677000,13020450,19.11,19.32,19.11,19.31,0.22,90,,00654R,富邦印度反1
2016-12-23,343000,6665480,19.45,19.49,19.39,19.46,0.15,74,,00654R,富邦印度反1
2016-12-26,727000,14148320,19.36,19.57,19.36,19.51,0.05,95,,00654R,富邦印度反1
2016-12-27,282000,5494880,19.59,19.59,19.42,19.44,-0.07,42,,00654R,富邦印度反1
