date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-03-18,8243000,161920080,19.69,19.76,19.45,19.56,-0.22,759,,00656R,國泰中國A50反1
2016-03-21,3637000,69837110,19.4,19.48,18.98,19.11,-0.45,289,,00656R,國泰中國A50反1
2016-03-22,3043000,58344230,19.01,19.32,19.01,19.21,0.1,142,,00656R,國泰中國A50反1
2016-03-23,4546000,87881900,19.29,19.42,19.19,19.35,0.14,143,,00656R,國泰中國A50反1
2016-03-24,3294000,64158650,19.4,19.62,19.39,19.46,0.11,193,,00656R,國泰中國A50反1
2016-03-25,1966000,38394650,19.59,19.62,19.43,19.52,0.06,80,,00656R,國泰中國A50反1
2016-03-28,1907000,37036430,19.41,19.54,19.3,19.54,0.02,62,,00656R,國泰中國A50反1
2016-03-29,3184000,62722150,19.6,19.82,19.59,19.79,0.25,198,,00656R,國泰中國A50反1
2016-03-30,1263000,24656020,19.66,19.67,19.4,19.49,-0.3,78,,00656R,國泰中國A50反1
2016-03-31,1233000,23702710,19.23,19.33,19.06,19.22,-0.27,88,,00656R,國泰中國A50反1
2016-04-01,2466000,47759000,19.19,19.6,19.16,19.47,0.25,107,,00656R,國泰中國A50反1
2016-04-06,1086000,20944120,19.46,19.46,19.21,19.28,-0.19,91,,00656R,國泰中國A50反1
2016-04-07,1735000,33413670,19.2,19.45,19.15,19.45,0.17,107,,00656R,國泰中國A50反1
2016-04-08,926000,18147040,19.65,19.67,19.53,19.53,0.08,78,,00656R,國泰中國A50反1
2016-04-11,6123000,118988670,19.57,19.57,19.21,19.28,-0.25,135,,00656R,國泰中國A50反1
2016-04-12,1012000,19629320,19.33,19.43,19.31,19.43,0.15,49,,00656R,國泰中國A50反1
2016-04-13,2392000,45522870,19.26,19.26,18.89,18.97,-0.46,152,,00656R,國泰中國A50反1
2016-04-14,1263000,23955820,18.93,19.12,18.89,19.12,0.15,76,,00656R,國泰中國A50反1
2016-04-15,820000,15615100,19.04,19.13,18.99,19.07,-0.05,47,,00656R,國泰中國A50反1
2016-04-18,370000,7109450,19.18,19.3,19.17,19.24,0.17,43,,00656R,國泰中國A50反1
2016-04-19,212000,4057600,19.08,19.27,19.06,19.24,0.0,33,,00656R,國泰中國A50反1
2016-04-20,1482000,28634320,19.08,19.74,19.04,19.65,0.41,136,,00656R,國泰中國A50反1
2016-04-21,1143000,22179130,19.41,19.44,19.24,19.38,-0.27,50,,00656R,國泰中國A50反1
2016-04-22,1026000,19818030,19.46,19.46,19.21,19.25,-0.13,38,,00656R,國泰中國A50反1
2016-04-25,939000,18143690,19.26,19.43,19.26,19.26,0.01,30,,00656R,國泰中國A50反1
2016-04-26,518000,9983540,19.28,19.33,19.13,19.31,0.05,23,,00656R,國泰中國A50反1
2016-04-27,1058000,20291490,19.2,19.23,19.13,19.21,-0.1,34,,00656R,國泰中國A50反1
2016-04-28,1181000,22766280,19.22,19.4,19.21,19.4,0.19,34,,00656R,國泰中國A50反1
2016-04-29,255000,4925070,19.35,19.35,19.26,19.3,-0.1,20,,00656R,國泰中國A50反1
2016-05-03,760000,14530730,19.34,19.4,18.99,19.05,-0.25,51,,00656R,國泰中國A50反1
2016-05-04,100000,1920150,19.14,19.24,19.14,19.2,0.15,33,,00656R,國泰中國A50反1
2016-05-05,114000,2197790,19.24,19.3,19.23,19.27,0.07,22,,00656R,國泰中國A50反1
2016-05-06,949000,18404140,19.27,19.57,19.25,19.5,0.23,86,,00656R,國泰中國A50反1
2016-05-09,893000,17683250,19.6,19.88,19.6,19.83,0.33,138,,00656R,國泰中國A50反1
2016-05-10,1790000,35750220,19.94,20.06,19.85,19.86,0.03,118,,00656R,國泰中國A50反1
2016-05-11,690000,13720190,19.79,19.93,19.79,19.87,0.01,23,,00656R,國泰中國A50反1
2016-05-12,659000,13158490,19.94,20.08,19.9,19.91,0.04,45,,00656R,國泰中國A50反1
2016-05-13,285000,5669730,19.89,19.95,19.89,19.89,-0.02,11,,00656R,國泰中國A50反1
2016-05-16,2477000,49394930,19.99,20.03,19.85,19.9,0.01,46,,00656R,國泰中國A50反1
2016-05-17,174000,3467270,19.86,20.02,19.86,19.98,0.08,22,,00656R,國泰中國A50反1
2016-05-18,335000,6724530,19.97,20.25,19.97,20.17,0.19,62,,00656R,國泰中國A50反1
2016-05-19,191000,3824180,20.01,20.07,19.92,19.93,-0.24,14,,00656R,國泰中國A50反1
2016-05-20,120000,2395370,19.97,19.97,19.88,19.89,-0.04,8,,00656R,國泰中國A50反1
2016-05-23,1128000,22290730,19.79,19.83,19.7,19.79,-0.1,26,,00656R,國泰中國A50反1
2016-05-24,84000,1673360,19.88,19.98,19.88,19.97,0.18,13,,00656R,國泰中國A50反1
2016-05-25,977000,19335760,19.77,19.83,19.75,19.78,-0.19,28,,00656R,國泰中國A50反1
2016-05-26,317000,6292360,19.8,19.93,19.8,19.92,0.14,8,,00656R,國泰中國A50反1
2016-05-27,1058000,20966640,19.76,19.86,19.74,19.81,-0.11,26,,00656R,國泰中國A50反1
2016-05-30,126000,2477600,19.72,19.74,19.65,19.7,-0.11,6,,00656R,國泰中國A50反1
2016-05-31,3744000,71621030,19.69,19.7,19.07,19.07,-0.63,93,,00656R,國泰中國A50反1
2016-06-01,1048000,19952970,18.98,19.14,18.96,19.14,0.07,47,,00656R,國泰中國A50反1
