date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-10-24,300,2605,8.67,8.69,8.67,8.69,0.01,2,,00657K,國泰日經225+U(美元)
2017-10-25,0,0,,,,,0.0,0,,00657K,國泰日經225+U(美元)
2017-10-26,100,866,8.66,8.66,8.66,8.66,0.0,1,,00657K,國泰日經225+U(美元)
2017-10-27,200,1740,8.66,8.74,8.66,8.74,0.08,2,,00657K,國泰日經225+U(美元)
2017-10-30,200,1756,8.78,8.78,8.78,8.78,0.04,1,,00657K,國泰日經225+U(美元)
2017-10-31,0,0,,,,,0.0,0,,00657K,國泰日經225+U(美元)
2017-11-01,300,2736,9.12,9.12,9.12,9.12,0.0,1,,00657K,國泰日經225+U(美元)
2017-11-02,0,0,,,,,0.0,0,,00657K,國泰日經225+U(美元)
2017-11-03,300,2697,8.99,8.99,8.99,8.99,0.0,1,,00657K,國泰日經225+U(美元)
2017-11-06,0,0,,,,,0.0,0,,00657K,國泰日經225+U(美元)
2017-11-07,0,0,,,,,0.0,0,,00657K,國泰日經225+U(美元)
2017-11-08,200,1816,9.08,9.08,9.08,9.08,0.0,1,,00657K,國泰日經225+U(美元)
2017-11-09,500,4608,9.21,9.33,9.12,9.12,0.04,3,,00657K,國泰日經225+U(美元)
2017-11-10,1100,9947,9.07,9.07,9.04,9.04,-0.08,2,,00657K,國泰日經225+U(美元)
2017-11-13,80100,724102,9.02,9.04,9.02,9.04,0.0,3,,00657K,國泰日經225+U(美元)
2017-11-14,123500,1110891,9.02,9.02,8.98,8.98,-0.06,14,,00657K,國泰日經225+U(美元)
2017-11-15,80000,704000,8.8,8.8,8.8,8.8,-0.18,2,,00657K,國泰日經225+U(美元)
2017-11-16,100000,890163,8.9,8.92,8.9,8.92,0.12,9,,00657K,國泰日經225+U(美元)
2017-11-17,123500,1107526,9.06,9.06,8.94,8.96,0.04,17,,00657K,國泰日經225+U(美元)
2017-11-20,80000,712800,8.91,8.91,8.91,8.91,-0.05,2,,00657K,國泰日經225+U(美元)
2017-11-21,80100,721700,9.0,9.01,9.0,9.01,0.1,3,,00657K,國泰日經225+U(美元)
2017-11-22,80000,725600,9.07,9.07,9.07,9.07,0.06,2,,00657K,國泰日經225+U(美元)
2017-11-23,100000,907700,9.09,9.09,9.02,9.02,-0.05,4,,00657K,國泰日經225+U(美元)
2017-11-24,80000,721600,9.02,9.02,9.02,9.02,0.0,2,,00657K,國泰日經225+U(美元)
2017-11-27,80000,723200,9.04,9.04,9.04,9.04,0.02,2,,00657K,國泰日經225+U(美元)
2017-11-28,82100,741426,9.06,9.06,9.03,9.03,-0.01,3,,00657K,國泰日經225+U(美元)
2017-11-29,100000,909600,9.08,9.1,9.08,9.1,0.07,4,,00657K,國泰日經225+U(美元)
2017-11-30,80100,726512,9.07,9.12,9.07,9.12,0.02,3,,00657K,國泰日經225+U(美元)
2017-12-01,80000,729600,9.12,9.12,9.12,9.12,0.0,2,,00657K,國泰日經225+U(美元)
2017-12-01,80000,729600,9.12,9.12,9.12,9.12,0.0,2,,00657K,國泰日經225+U(美元)
2017-12-04,120000,1090800,9.09,9.09,9.09,9.09,-0.03,4,,00657K,國泰日經225+U(美元)
2017-12-04,120000,1090800,9.09,9.09,9.09,9.09,-0.03,4,,00657K,國泰日經225+U(美元)
2017-12-05,120000,1086000,9.05,9.05,9.05,9.05,-0.04,4,,00657K,國泰日經225+U(美元)
2017-12-05,120000,1086000,9.05,9.05,9.05,9.05,-0.04,4,,00657K,國泰日經225+U(美元)
2017-12-06,152000,1364540,8.97,8.98,8.96,8.97,-0.08,9,,00657K,國泰日經225+U(美元)
2017-12-06,152000,1364540,8.97,8.98,8.96,8.97,-0.08,9,,00657K,國泰日經225+U(美元)
2017-12-07,120000,1078800,8.99,8.99,8.99,8.99,0.02,4,,00657K,國泰日經225+U(美元)
2017-12-07,120000,1078800,8.99,8.99,8.99,8.99,0.02,4,,00657K,國泰日經225+U(美元)
2017-12-08,120200,1096220,9.1,9.12,9.1,9.12,0.13,5,,00657K,國泰日經225+U(美元)
2017-12-08,120200,1096220,9.1,9.12,9.1,9.12,0.13,5,,00657K,國泰日經225+U(美元)
2017-12-11,120000,1094400,9.12,9.12,9.12,9.12,0.0,4,,00657K,國泰日經225+U(美元)
2017-12-11,120000,1094400,9.12,9.12,9.12,9.12,0.0,4,,00657K,國泰日經225+U(美元)
2017-12-12,120000,1096800,9.14,9.14,9.14,9.14,0.02,4,,00657K,國泰日經225+U(美元)
2017-12-12,120000,1096800,9.14,9.14,9.14,9.14,0.02,4,,00657K,國泰日經225+U(美元)
2017-12-13,120000,1093200,9.11,9.11,9.11,9.11,-0.03,4,,00657K,國泰日經225+U(美元)
2017-12-13,120000,1093200,9.11,9.11,9.11,9.11,-0.03,4,,00657K,國泰日經225+U(美元)
2017-12-14,130000,1177700,9.06,9.06,9.05,9.05,-0.06,5,,00657K,國泰日經225+U(美元)
2017-12-14,130000,1177700,9.06,9.06,9.05,9.05,-0.06,5,,00657K,國泰日經225+U(美元)
