date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-05-09,5617000,111160470,19.5,19.86,19.5,19.85,0.03,990,,00657,國泰日經225(新臺幣)
2016-05-10,14140000,283842950,19.9,20.19,19.89,20.19,0.34,1875,,00657,國泰日經225(新臺幣)
2016-05-11,7849000,160038740,20.46,20.49,20.24,20.38,0.19,684,,00657,國泰日經225(新臺幣)
2016-05-12,2274000,45987340,20.17,20.38,20.12,20.34,-0.04,149,,00657,國泰日經225(新臺幣)
2016-05-13,2321000,46738630,20.19,20.19,20.08,20.13,-0.21,86,,00657,國泰日經225(新臺幣)
2016-05-16,1850000,37547850,20.31,20.37,20.06,20.1,-0.03,138,,00657,國泰日經225(新臺幣)
2016-05-17,833000,16901000,20.21,20.32,20.21,20.28,0.18,87,,00657,國泰日經225(新臺幣)
2016-05-18,1793000,36553570,20.22,20.5,20.19,20.3,0.02,168,,00657,國泰日經225(新臺幣)
2016-05-19,3562000,72565620,20.45,20.45,20.27,20.35,0.05,72,,00657,國泰日經225(新臺幣)
2016-05-20,3154000,64389730,20.4,20.5,20.33,20.41,0.06,90,,00657,國泰日經225(新臺幣)
2016-05-23,2180000,43876710,20.09,20.37,20.08,20.33,-0.08,50,,00657,國泰日經225(新臺幣)
2016-05-24,660000,13355360,20.23,20.26,20.18,20.19,-0.14,44,,00657,國泰日經225(新臺幣)
2016-05-25,1419000,29101950,20.48,20.54,20.48,20.49,0.3,162,,00657,國泰日經225(新臺幣)
2016-05-26,2177000,44850550,20.62,20.66,20.55,20.59,0.1,89,,00657,國泰日經225(新臺幣)
2016-05-27,838000,17278640,20.64,20.66,20.57,20.57,-0.02,25,,00657,國泰日經225(新臺幣)
2016-05-30,604000,12528170,20.7,20.83,20.68,20.81,0.24,57,,00657,國泰日經225(新臺幣)
2016-05-31,630000,13189810,20.84,21.05,20.84,21.05,0.24,61,,00657,國泰日經225(新臺幣)
2016-06-01,1815000,37879820,20.9,20.94,20.72,20.72,-0.33,126,,00657,國泰日經225(新臺幣)
2016-06-02,3205000,65151020,20.4,20.4,20.22,20.28,-0.44,90,,00657,國泰日經225(新臺幣)
2016-06-03,218000,4429780,20.32,20.36,20.26,20.31,0.03,20,,00657,國泰日經225(新臺幣)
2016-06-04,77000,1541210,20.2,20.2,19.93,20.01,-0.3,28,,00657,國泰日經225(新臺幣)
2016-06-06,706000,14187180,20.04,20.21,20.04,20.2,0.19,36,,00657,國泰日經225(新臺幣)
2016-06-07,660000,13428420,20.29,20.42,20.27,20.4,0.2,44,,00657,國泰日經225(新臺幣)
2016-06-08,1017000,20772810,20.46,20.5,20.31,20.49,0.09,60,,00657,國泰日經225(新臺幣)
2016-06-13,918000,18091820,20.06,20.06,19.62,19.64,-0.85,91,,00657,國泰日經225(新臺幣)
2016-06-14,1045000,20231540,19.38,19.43,19.26,19.33,-0.31,83,,00657,國泰日經225(新臺幣)
2016-06-15,1856000,36024320,19.36,19.5,19.3,19.46,0.13,54,,00657,國泰日經225(新臺幣)
2016-06-16,2423000,46125020,19.26,19.26,18.77,18.77,-0.69,148,,00657,國泰日經225(新臺幣)
2016-06-17,322000,6137610,19.15,19.2,18.98,18.99,0.22,56,,00657,國泰日經225(新臺幣)
2016-06-20,959000,18640480,19.45,19.5,19.38,19.46,0.47,98,,00657,國泰日經225(新臺幣)
2016-06-21,865000,16916360,19.44,19.72,19.42,19.71,0.25,62,,00657,國泰日經225(新臺幣)
2016-06-22,536000,10474620,19.54,19.7,19.51,19.58,-0.13,38,,00657,國泰日經225(新臺幣)
2016-06-23,403000,7946180,19.67,19.76,19.65,19.75,0.17,34,,00657,國泰日經225(新臺幣)
2016-06-24,3966000,76220600,19.8,19.81,18.12,18.15,-1.6,321,,00657,國泰日經225(新臺幣)
2016-06-27,756000,13951090,18.41,18.58,18.39,18.57,0.42,86,,00657,國泰日經225(新臺幣)
2016-06-28,1256000,23288290,18.35,18.78,18.28,18.74,0.17,65,,00657,國泰日經225(新臺幣)
2016-06-29,332000,6274460,18.74,19.0,18.74,18.99,0.25,69,,00657,國泰日經225(新臺幣)
2016-06-30,125000,2391630,19.17,19.2,19.1,19.1,0.11,25,,00657,國泰日經225(新臺幣)
2016-07-01,372000,7121250,19.13,19.2,19.08,19.1,0.0,18,,00657,國泰日經225(新臺幣)
2016-07-04,1225000,23508760,19.18,19.28,19.14,19.24,0.14,31,,00657,國泰日經225(新臺幣)
2016-07-05,1384000,26389160,19.15,19.15,19.04,19.07,-0.17,32,,00657,國泰日經225(新臺幣)
2016-07-06,1691000,31476340,18.75,18.75,18.51,18.64,-0.43,57,,00657,國泰日經225(新臺幣)
2016-07-07,744000,13910740,18.68,18.72,18.61,18.61,-0.03,24,,00657,國泰日經225(新臺幣)
2016-07-11,824000,15730960,18.94,19.24,18.94,19.24,0.63,70,,00657,國泰日經225(新臺幣)
2016-07-12,750000,14803370,19.79,19.81,19.65,19.65,0.41,71,,00657,國泰日經225(新臺幣)
2016-07-13,3374000,67323200,20.06,20.06,19.83,19.85,0.2,88,,00657,國泰日經225(新臺幣)
2016-07-14,1530000,30532180,19.88,20.03,19.86,19.97,0.12,44,,00657,國泰日經225(新臺幣)
2016-07-15,2328000,46942560,20.12,20.27,20.1,20.13,0.16,92,,00657,國泰日經225(新臺幣)
2016-07-18,381000,7715550,20.27,20.27,20.2,20.22,0.09,21,,00657,國泰日經225(新臺幣)
2016-07-19,1370000,27770280,20.23,20.4,20.21,20.4,0.18,58,,00657,國泰日經225(新臺幣)
2016-07-20,208000,4217820,20.24,20.35,20.23,20.35,-0.05,20,,00657,國泰日經225(新臺幣)
2016-07-21,757000,15587510,20.65,20.67,20.46,20.53,0.18,40,,00657,國泰日經225(新臺幣)
2016-07-22,615000,12507560,20.36,20.37,20.25,20.29,-0.24,36,,00657,國泰日經225(新臺幣)
2016-07-25,840000,17138280,20.4,20.5,20.34,20.35,0.06,26,,00657,國泰日經225(新臺幣)
2016-07-26,2236000,44773470,20.05,20.07,19.97,20.02,-0.33,52,,00657,國泰日經225(新臺幣)
2016-07-27,3440000,70142170,20.28,20.53,20.2,20.35,0.33,86,,00657,國泰日經225(新臺幣)
2016-07-28,370000,7451870,20.17,20.21,20.11,20.15,-0.2,18,,00657,國泰日經225(新臺幣)
2016-07-29,3008000,60432600,20.08,20.31,19.71,20.09,-0.06,121,,00657,國泰日經225(新臺幣)
2016-08-01,338000,6821300,20.12,20.37,20.12,20.32,0.23,29,,00657,國泰日經225(新臺幣)
2016-08-02,173000,3482750,20.14,20.18,20.09,20.09,-0.23,10,,00657,國泰日經225(新臺幣)
2016-08-03,504000,9965520,19.79,19.86,19.63,19.71,-0.38,39,,00657,國泰日經225(新臺幣)
2016-08-04,1819000,35536270,19.72,19.83,19.46,19.82,0.11,64,,00657,國泰日經225(新臺幣)
2016-08-05,322000,6404270,19.9,19.91,19.84,19.87,0.05,17,,00657,國泰日經225(新臺幣)
2016-08-08,727000,14716520,20.24,20.29,20.23,20.29,0.42,40,,00657,國泰日經225(新臺幣)
2016-08-09,584000,11903780,20.31,20.46,20.31,20.46,0.17,45,,00657,國泰日經225(新臺幣)
2016-08-10,318000,6497160,20.37,20.53,20.36,20.48,0.02,21,,00657,國泰日經225(新臺幣)
2016-08-11,623000,12695800,20.35,20.44,20.35,20.44,-0.04,27,,00657,國泰日經225(新臺幣)
2016-08-12,618000,12727860,20.59,20.67,20.57,20.62,0.18,46,,00657,國泰日經225(新臺幣)
2016-08-15,187000,3855680,20.64,20.67,20.57,20.59,-0.03,17,,00657,國泰日經225(新臺幣)
2016-08-16,525000,10720630,20.55,20.56,20.34,20.38,-0.21,24,,00657,國泰日經225(新臺幣)
2016-08-17,52000,1060720,20.36,20.43,20.36,20.43,0.05,7,,00657,國泰日經225(新臺幣)
2016-08-18,390000,7934910,20.37,20.39,20.25,20.26,-0.17,14,,00657,國泰日經225(新臺幣)
