date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-06-15,1800000,34949990,19.35,19.49,19.35,19.44,-0.46,413,,00660,元大歐洲50
2016-06-16,1609000,31460040,19.5,19.58,19.5,19.5,0.06,302,,00660,元大歐洲50
2016-06-17,1133000,22257290,19.63,19.69,19.59,19.69,0.19,185,,00660,元大歐洲50
2016-06-20,4154000,83141890,19.96,20.05,19.95,20.05,0.36,850,,00660,元大歐洲50
2016-06-21,4248000,86162530,20.15,20.35,20.15,20.32,0.27,1125,,00660,元大歐洲50
2016-06-22,1461000,29894900,20.45,20.49,20.44,20.47,0.15,376,,00660,元大歐洲50
2016-06-23,971000,19980680,20.54,20.61,20.54,20.56,0.09,281,,00660,元大歐洲50
2016-06-24,5817000,119524820,20.59,22.16,19.61,19.63,-0.93,674,,00660,元大歐洲50
2016-06-27,1948000,37309030,19.33,19.33,19.08,19.16,-0.47,464,,00660,元大歐洲50
2016-06-28,1962000,37122960,18.99,19.07,18.86,19.07,-0.09,359,,00660,元大歐洲50
2016-06-29,1775000,34097370,19.2,19.28,19.14,19.25,0.18,316,,00660,元大歐洲50
2016-06-30,1217000,23829000,19.4,19.67,19.4,19.67,0.42,206,,00660,元大歐洲50
2016-07-01,549000,10898110,19.78,19.89,19.78,19.86,0.19,102,,00660,元大歐洲50
2016-07-04,712000,14222920,19.88,20.0,19.88,20.0,0.14,74,,00660,元大歐洲50
2016-07-05,873000,17283260,19.91,19.91,19.73,19.76,-0.24,71,,00660,元大歐洲50
2016-07-06,1330000,25755800,19.5,19.5,19.26,19.34,-0.42,119,,00660,元大歐洲50
2016-07-07,277000,5343330,19.22,19.33,19.22,19.33,-0.01,74,,00660,元大歐洲50
2016-07-11,570000,11159320,19.49,19.64,19.49,19.6,0.27,96,,00660,元大歐洲50
2016-07-12,341000,6763980,19.74,19.89,19.74,19.82,0.22,79,,00660,元大歐洲50
2016-07-13,1290000,25960910,20.11,20.17,20.06,20.09,0.27,117,,00660,元大歐洲50
2016-07-14,306000,6146160,20.03,20.11,20.03,20.1,0.01,55,,00660,元大歐洲50
2016-07-15,422000,8562950,20.28,20.32,20.24,20.25,0.15,106,,00660,元大歐洲50
2016-07-18,293000,5947520,20.29,20.32,20.27,20.31,0.06,44,,00660,元大歐洲50
2016-07-19,206000,4160290,20.31,20.31,20.17,20.19,-0.12,37,,00660,元大歐洲50
2016-07-20,228000,4589570,20.18,20.18,20.12,20.13,-0.06,39,,00660,元大歐洲50
2016-07-21,243000,4921540,20.3,20.3,20.23,20.23,0.1,35,,00660,元大歐洲50
2016-07-22,206000,4159530,20.25,20.25,20.18,20.21,-0.02,25,,00660,元大歐洲50
2016-07-25,306000,6228080,20.36,20.38,20.33,20.37,0.16,28,,00660,元大歐洲50
2016-07-26,169000,3437280,20.37,20.37,20.32,20.37,0.0,21,,00660,元大歐洲50
2016-07-27,234000,4766030,20.34,20.41,20.34,20.36,-0.01,29,,00660,元大歐洲50
2016-07-28,328000,6708130,20.42,20.47,20.41,20.45,0.09,76,,00660,元大歐洲50
2016-07-29,368000,7503340,20.41,20.41,20.33,20.38,-0.07,22,,00660,元大歐洲50
2016-08-01,154000,3159120,20.5,20.54,20.5,20.51,0.13,39,,00660,元大歐洲50
2016-08-02,175000,3557790,20.36,20.36,20.31,20.31,-0.2,20,,00660,元大歐洲50
2016-08-03,306000,6132750,20.09,20.1,19.98,19.99,-0.32,74,,00660,元大歐洲50
2016-08-04,214000,4274660,19.98,20.01,19.95,19.98,-0.01,25,,00660,元大歐洲50
2016-08-05,11000,220670,20.06,20.07,20.06,20.07,0.09,3,,00660,元大歐洲50
2016-08-08,140000,2831530,20.2,20.27,20.2,20.23,0.16,18,,00660,元大歐洲50
2016-08-09,119000,2415470,20.29,20.32,20.28,20.32,0.09,15,,00660,元大歐洲50
2016-08-10,778000,15935190,20.37,20.58,20.37,20.55,0.23,63,,00660,元大歐洲50
2016-08-11,367000,7561550,20.49,20.66,20.49,20.66,0.11,52,,00660,元大歐洲50
2016-08-12,314000,6557650,20.79,20.93,20.79,20.93,0.27,55,,00660,元大歐洲50
2016-08-15,57000,1190780,20.87,20.9,20.87,20.89,-0.04,15,,00660,元大歐洲50
2016-08-16,164000,3418720,20.86,20.87,20.84,20.85,-0.04,15,,00660,元大歐洲50
2016-08-17,85000,1761380,20.8,20.8,20.71,20.71,-0.14,19,,00660,元大歐洲50
2016-08-18,198000,4076980,20.63,20.63,20.57,20.61,-0.1,30,,00660,元大歐洲50
2016-08-19,23000,473870,20.6,20.63,20.59,20.59,-0.02,11,,00660,元大歐洲50
2016-08-22,119000,2437310,20.5,20.5,20.47,20.47,-0.12,20,,00660,元大歐洲50
2016-08-23,64000,1308690,20.45,20.49,20.44,20.47,0.0,17,,00660,元大歐洲50
2016-08-24,30000,617840,20.53,20.61,20.53,20.6,0.13,11,,00660,元大歐洲50
2016-08-25,41230,851551,20.63,20.68,20.63,20.66,0.06,13,,00660,元大歐洲50
2016-08-26,6000,123570,20.61,20.61,20.59,20.59,-0.07,5,,00660,元大歐洲50
2016-08-29,18000,371950,20.65,20.67,20.65,20.67,0.08,9,,00660,元大歐洲50
2016-08-30,9000,186130,20.69,20.69,20.66,20.67,0.0,5,,00660,元大歐洲50
2016-08-31,28000,579440,20.63,20.73,20.63,20.73,0.06,11,,00660,元大歐洲50
2016-09-01,39000,808080,20.69,20.74,20.69,20.74,0.01,7,,00660,元大歐洲50
2016-09-02,23000,476470,20.75,20.75,20.71,20.71,-0.03,12,,00660,元大歐洲50
2016-09-05,250000,5246480,20.96,21.04,20.96,21.04,0.33,61,,00660,元大歐洲50
2016-09-06,78000,1641530,21.02,21.05,21.02,21.05,0.01,18,,00660,元大歐洲50
2016-09-07,5000,105120,21.05,21.05,21.0,21.0,-0.05,5,,00660,元大歐洲50
2016-09-08,240000,5074360,21.02,21.17,21.02,21.17,0.17,41,,00660,元大歐洲50
2016-09-09,227000,4800460,21.15,21.16,21.13,21.13,-0.04,19,,00660,元大歐洲50
2016-09-10,139000,2900860,20.99,20.99,20.75,20.75,-0.38,126,,00660,元大歐洲50
2016-09-12,95000,1967420,20.8,20.8,20.69,20.69,-0.06,15,,00660,元大歐洲50
2016-09-13,38000,788550,20.77,20.77,20.71,20.73,0.04,12,,00660,元大歐洲50
2016-09-14,90000,1852590,20.61,20.61,20.55,20.55,-0.18,21,,00660,元大歐洲50
2016-09-19,1388000,28271730,20.44,20.49,20.25,20.33,-0.22,73,,00660,元大歐洲50
2016-09-20,46000,938420,20.42,20.42,20.39,20.42,0.09,17,,00660,元大歐洲50
2016-09-21,20000,406770,20.32,20.39,20.32,20.39,-0.03,15,,00660,元大歐洲50
2016-09-22,154000,3149590,20.43,20.47,20.41,20.47,0.08,24,,00660,元大歐洲50
2016-09-23,635000,13134350,20.59,20.85,20.59,20.84,0.37,63,,00660,元大歐洲50
2016-09-26,15000,310460,20.7,20.7,20.68,20.7,-0.14,7,,00660,元大歐洲50
2016-09-29,708000,14771170,20.79,20.89,20.79,20.88,0.18,31,,00660,元大歐洲50
2016-09-30,977000,19963860,20.53,20.53,20.33,20.37,-0.51,55,,00660,元大歐洲50
2016-10-03,42000,861370,20.5,20.53,20.5,20.5,0.13,16,,00660,元大歐洲50
2016-10-04,25000,512910,20.51,20.53,20.51,20.53,0.03,12,,00660,元大歐洲50
2016-10-05,17000,348620,20.5,20.54,20.5,20.51,-0.02,8,,00660,元大歐洲50
2016-10-06,63000,1299640,20.58,20.67,20.58,20.65,0.14,13,,00660,元大歐洲50
2016-10-07,73000,1511850,20.66,20.73,20.66,20.73,0.08,16,,00660,元大歐洲50
2016-10-11,248000,5124020,20.66,20.67,20.64,20.65,-0.08,13,,00660,元大歐洲50
2016-10-12,26000,536270,20.62,20.63,20.6,20.6,-0.05,11,,00660,元大歐洲50
2016-10-13,30000,613090,20.5,20.5,20.4,20.44,-0.16,10,,00660,元大歐洲50
2016-10-14,11000,223840,20.37,20.38,20.33,20.35,-0.09,8,,00660,元大歐洲50
2016-10-17,546000,11219400,20.36,20.59,20.36,20.59,0.24,18,,00660,元大歐洲50
2016-10-18,17000,350170,20.6,20.6,20.57,20.57,-0.02,8,,00660,元大歐洲50
2016-10-19,74000,1529290,20.61,20.7,20.61,20.69,0.12,13,,00660,元大歐洲50
2016-10-20,103000,2139460,20.71,20.81,20.71,20.8,0.11,18,,00660,元大歐洲50
2016-10-21,118000,2465260,20.83,20.93,20.83,20.88,0.08,26,,00660,元大歐洲50
2016-10-24,30000,627370,20.88,20.93,20.88,20.91,0.03,8,,00660,元大歐洲50
2016-10-25,555000,11675210,20.94,21.05,20.94,21.05,0.14,29,,00660,元大歐洲50
2016-10-26,3000,63050,21.05,21.05,21.0,21.0,-0.05,3,,00660,元大歐洲50
2016-10-27,12000,250830,20.9,20.93,20.9,20.9,-0.1,6,,00660,元大歐洲50
2016-10-28,14000,293230,20.9,20.98,20.9,20.95,0.05,5,,00660,元大歐洲50
2016-10-31,54000,1126590,20.8,20.9,20.8,20.9,-0.05,9,,00660,元大歐洲50
2016-11-01,42000,872790,20.81,20.81,20.78,20.78,-0.12,7,,00660,元大歐洲50
2016-11-02,3000,61930,20.73,20.73,20.6,20.6,-0.18,3,,00660,元大歐洲50
2016-11-03,162000,3299940,20.44,20.44,20.34,20.34,-0.26,19,,00660,元大歐洲50
2016-11-04,24000,488400,20.34,20.42,20.34,20.35,0.01,9,,00660,元大歐洲50
2016-11-07,80000,1634520,20.45,20.46,20.4,20.46,0.11,10,,00660,元大歐洲50
2016-11-08,60000,1231360,20.52,20.55,20.52,20.53,0.07,11,,00660,元大歐洲50
2016-11-09,381000,7753550,20.58,20.69,19.98,19.98,-0.55,36,,00660,元大歐洲50
2016-11-10,101000,2102670,20.53,20.99,20.53,20.99,1.01,31,,00660,元大歐洲50
2016-11-11,176000,3689250,21.05,21.05,20.9,21.0,0.01,29,,00660,元大歐洲50
2016-11-14,22000,457990,21.0,21.0,20.51,20.83,-0.17,6,,00660,元大歐洲50
2016-11-15,8000,165910,20.75,20.75,20.71,20.74,-0.09,4,,00660,元大歐洲50
2016-11-16,2000,41760,20.88,20.88,20.88,20.88,0.14,2,,00660,元大歐洲50
2016-11-17,2000,41480,20.74,20.74,20.74,20.74,-0.14,2,,00660,元大歐洲50
2016-11-18,4000,82720,20.68,20.68,20.68,20.68,-0.06,2,,00660,元大歐洲50
2016-11-21,5000,102990,20.6,20.6,20.59,20.6,-0.08,5,,00660,元大歐洲50
2016-11-22,1000,20730,20.73,20.73,20.73,20.73,0.13,1,,00660,元大歐洲50
2016-11-23,29000,601480,20.75,20.75,20.74,20.74,0.01,6,,00660,元大歐洲50
2016-11-24,1000,20680,20.68,20.68,20.68,20.68,-0.06,1,,00660,元大歐洲50
2016-11-25,10000,206960,20.7,20.7,20.69,20.7,0.02,4,,00660,元大歐洲50
2016-11-28,7000,145170,20.73,20.74,20.73,20.74,0.04,5,,00660,元大歐洲50
2016-11-29,9000,185430,20.68,20.68,20.59,20.6,-0.14,9,,00660,元大歐洲50
2016-11-30,14000,290440,20.75,20.75,20.74,20.74,0.14,9,,00660,元大歐洲50
2016-12-01,16000,333040,20.8,20.84,20.8,20.82,0.08,9,,00660,元大歐洲50
2016-12-02,5000,102940,20.59,20.59,20.58,20.58,-0.24,5,,00660,元大歐洲50
2016-12-05,7000,143570,20.5,20.55,20.5,20.55,-0.03,3,,00660,元大歐洲50
2016-12-06,57000,1186130,20.76,20.82,20.76,20.82,0.27,8,,00660,元大歐洲50
2016-12-07,46000,972000,20.92,21.17,20.92,21.16,0.34,23,,00660,元大歐洲50
2016-12-08,75000,1608600,21.37,21.49,21.37,21.47,0.31,22,,00660,元大歐洲50
2016-12-09,140000,3042480,21.6,21.76,21.6,21.76,0.29,37,,00660,元大歐洲50
2016-12-12,79000,1725780,21.8,21.89,21.8,21.86,0.1,14,,00660,元大歐洲50
2016-12-13,31000,675650,21.83,21.83,21.76,21.81,-0.05,20,,00660,元大歐洲50
2016-12-14,114000,2507790,21.93,22.03,21.93,22.0,0.19,17,,00660,元大歐洲50
2016-12-15,7000,153050,21.98,21.98,21.8,21.89,-0.11,6,,00660,元大歐洲50
2016-12-16,67000,1479410,21.95,22.1,21.95,22.08,0.19,15,,00660,元大歐洲50
2016-12-19,23000,510180,22.0,22.23,22.0,22.17,0.09,12,,00660,元大歐洲50
2016-12-20,19000,420360,22.17,22.17,22.12,22.15,-0.02,5,,00660,元大歐洲50
2016-12-21,37000,824140,22.29,22.31,22.26,22.26,0.11,11,,00660,元大歐洲50
2016-12-22,230000,5096710,22.19,22.19,22.08,22.08,-0.18,8,,00660,元大歐洲50
2016-12-23,104000,2308260,22.2,22.2,22.19,22.19,0.11,5,,00660,元大歐洲50
2016-12-26,15000,331980,22.19,22.21,21.6,22.2,0.01,12,,00660,元大歐洲50
2016-12-27,7000,155000,22.0,22.19,22.0,22.17,-0.03,4,,00660,元大歐洲50
2016-12-28,3000,66510,22.17,22.17,22.17,22.17,0.0,3,,00660,元大歐洲50
2016-12-29,20000,444950,22.27,22.27,22.21,22.22,0.05,9,,00660,元大歐洲50
2016-12-30,10000,222700,22.27,22.27,22.27,22.27,0.05,1,,00660,元大歐洲50
2017-01-03,33000,740030,22.42,22.45,22.41,22.45,0.18,10,,00660,元大歐洲50
2017-01-04,9000,202480,22.5,22.5,22.49,22.49,0.04,5,,00660,元大歐洲50
2017-01-05,5000,112390,22.49,22.49,22.47,22.47,-0.02,5,,00660,元大歐洲50
2017-01-06,22000,495510,22.47,22.57,22.47,22.52,0.05,15,,00660,元大歐洲50
2017-01-09,1000,22600,22.6,22.6,22.6,22.6,0.08,1,,00660,元大歐洲50
2017-01-10,3000,67690,22.6,22.6,22.53,22.53,-0.07,3,,00660,元大歐洲50
2017-01-11,4000,90040,22.53,22.53,22.49,22.49,-0.04,4,,00660,元大歐洲50
2017-01-12,8000,179980,22.5,22.51,22.49,22.49,0.0,5,,00660,元大歐洲50
2017-01-13,3000,67410,22.53,22.53,22.39,22.49,0.0,3,,00660,元大歐洲50
2017-01-16,15000,337960,22.53,22.55,22.52,22.52,0.03,12,,00660,元大歐洲50
2017-01-17,4000,89760,22.44,22.44,22.44,22.44,-0.08,4,,00660,元大歐洲50
2017-01-18,0,0,,,,,0.0,0,,00660,元大歐洲50
2017-01-19,95000,2123260,22.35,22.36,22.35,22.35,0.0,7,,00660,元大歐洲50
2017-01-20,4000,89450,22.36,22.39,22.34,22.39,0.04,4,,00660,元大歐洲50
2017-01-23,39000,872290,22.39,22.39,22.36,22.36,-0.03,6,,00660,元大歐洲50
