date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-06-15,7423000,148605170,19.9,20.09,19.88,20.03,-0.02,1260,,00661,元大日經225
2016-06-16,5072000,99925580,19.89,19.9,19.44,19.44,-0.59,255,,00661,元大日經225
2016-06-17,1926000,38063650,19.69,19.87,19.68,19.69,0.25,158,,00661,元大日經225
2016-06-20,2964000,59518080,20.03,20.14,20.0,20.1,0.41,643,,00661,元大日經225
2016-06-21,3192000,64524390,20.1,20.37,20.08,20.37,0.27,407,,00661,元大日經225
2016-06-22,1812000,36681040,20.21,20.36,20.16,20.23,-0.14,141,,00661,元大日經225
2016-06-23,1610000,32735280,20.31,20.39,20.29,20.38,0.15,138,,00661,元大日經225
2016-06-24,11860000,231507590,20.41,20.48,18.73,18.73,-1.65,641,,00661,元大日經225
2016-06-27,1562000,29936360,19.05,19.29,19.05,19.28,0.55,150,,00661,元大日經225
2016-06-28,4775000,92169260,19.13,19.52,19.05,19.46,0.18,213,,00661,元大日經225
2016-06-29,284000,5561090,19.46,19.76,19.45,19.75,0.29,80,,00661,元大日經225
2016-06-30,1075000,21330510,19.88,19.9,19.76,19.77,0.02,75,,00661,元大日經225
2016-07-01,812000,16091910,19.79,19.9,19.76,19.76,-0.01,67,,00661,元大日經225
2016-07-04,825000,16399670,19.78,19.95,19.78,19.91,0.15,54,,00661,元大日經225
2016-07-05,848000,16750350,19.82,19.82,19.71,19.78,-0.13,34,,00661,元大日經225
2016-07-06,1820000,35153920,19.47,19.47,19.22,19.35,-0.43,85,,00661,元大日經225
2016-07-07,1190000,23134070,19.43,19.48,19.38,19.41,0.06,46,,00661,元大日經225
2016-07-11,966000,19126780,19.71,20.02,19.71,20.02,0.61,103,,00661,元大日經225
2016-07-12,1308000,26675570,20.47,20.5,20.32,20.33,0.31,185,,00661,元大日經225
2016-07-13,1365000,28077360,20.64,20.64,20.4,20.46,0.13,118,,00661,元大日經225
2016-07-14,2530000,51824160,20.48,20.6,20.46,20.54,0.08,94,,00661,元大日經225
2016-07-15,1321000,27356110,20.67,20.8,20.62,20.64,0.1,94,,00661,元大日經225
2016-07-18,1073000,22263080,20.75,20.8,20.7,20.72,0.08,51,,00661,元大日經225
2016-07-19,744000,15471760,20.7,20.88,20.69,20.88,0.16,49,,00661,元大日經225
2016-07-20,560000,11634630,20.77,20.89,20.73,20.89,0.01,36,,00661,元大日經225
2016-07-21,817000,17233760,21.13,21.14,20.9,20.9,0.01,63,,00661,元大日經225
2016-07-22,878000,18264760,20.8,20.85,20.72,20.72,-0.18,36,,00661,元大日經225
2016-07-25,264000,5518870,20.84,20.95,20.8,20.85,0.13,35,,00661,元大日經225
2016-07-26,1529000,31364860,20.59,20.59,20.46,20.55,-0.3,66,,00661,元大日經225
2016-07-27,2635000,55219450,20.79,21.1,20.79,20.89,0.34,73,,00661,元大日經225
