date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-06-17,2309000,46009470,19.93,19.97,19.9,19.97,0.04,423,,00662,富邦NASDAQ
2016-06-20,1436000,28557690,19.96,19.96,19.86,19.89,-0.08,115,,00662,富邦NASDAQ
2016-06-21,1395000,27657940,19.84,19.85,19.8,19.82,-0.07,149,,00662,富邦NASDAQ
2016-06-22,913000,18065650,19.81,19.81,19.77,19.78,-0.04,105,,00662,富邦NASDAQ
2016-06-23,1586000,31474140,19.81,19.86,19.81,19.83,0.05,107,,00662,富邦NASDAQ
2016-06-24,16244000,320432610,19.86,19.97,18.96,18.98,-0.85,964,,00662,富邦NASDAQ
2016-06-27,1777000,34061040,19.0,19.23,19.0,19.23,0.25,138,,00662,富邦NASDAQ
2016-06-28,4170000,79389160,19.14,19.14,18.99,19.12,-0.11,291,,00662,富邦NASDAQ
2016-06-29,1882000,36315230,19.21,19.33,19.21,19.3,0.18,156,,00662,富邦NASDAQ
2016-06-30,2112000,41348780,19.54,19.6,19.52,19.52,0.22,177,,00662,富邦NASDAQ
2016-07-01,1725000,34009610,19.7,19.72,19.69,19.71,0.19,146,,00662,富邦NASDAQ
2016-07-04,1931000,38321930,19.8,19.87,19.8,19.84,0.13,147,,00662,富邦NASDAQ
2016-07-05,1927000,38151320,19.83,19.83,19.77,19.79,-0.05,839,,00662,富邦NASDAQ
2016-07-06,1574000,30976710,19.72,19.72,19.65,19.68,-0.11,78,,00662,富邦NASDAQ
2016-07-07,1821000,36254570,19.91,19.94,19.88,19.9,0.22,177,,00662,富邦NASDAQ
2016-07-11,4509000,90825130,20.06,20.2,20.06,20.13,0.23,534,,00662,富邦NASDAQ
2016-07-12,2310000,46682530,20.25,20.25,20.16,20.16,0.03,172,,00662,富邦NASDAQ
2016-07-13,1698000,34311880,20.22,20.22,20.19,20.19,0.03,159,,00662,富邦NASDAQ
2016-07-14,3403000,68433360,20.15,20.15,20.06,20.06,-0.13,96,,00662,富邦NASDAQ
2016-07-15,997000,20052710,20.15,20.15,20.1,20.11,0.05,48,,00662,富邦NASDAQ
2016-07-18,1668000,33452920,20.06,20.08,20.03,20.05,-0.06,59,,00662,富邦NASDAQ
2016-07-19,1927000,39061630,20.15,20.32,20.15,20.32,0.27,115,,00662,富邦NASDAQ
2016-07-20,1512000,30803150,20.3,20.4,20.3,20.38,0.06,108,,00662,富邦NASDAQ
