date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-07-14,7393000,148318690,19.91,20.15,19.89,20.04,0.06,1706,,00663L,國泰臺灣加權正2
2016-07-15,4321000,87719930,20.15,20.53,20.12,20.52,0.48,687,,00663L,國泰臺灣加權正2
2016-07-18,2726000,56521590,20.61,20.9,20.59,20.89,0.37,397,,00663L,國泰臺灣加權正2
2016-07-19,3062000,63983490,20.98,21.04,20.75,21.02,0.13,358,,00663L,國泰臺灣加權正2
2016-07-20,2444000,51172820,20.9,21.1,20.78,20.91,-0.11,299,,00663L,國泰臺灣加權正2
2016-07-21,2488000,53046220,21.13,21.46,21.08,21.35,0.44,358,,00663L,國泰臺灣加權正2
2016-07-22,2561000,54329340,21.25,21.35,21.1,21.14,-0.21,271,,00663L,國泰臺灣加權正2
2016-07-25,6896000,144755110,21.36,21.55,20.51,20.91,-0.23,481,,00663L,國泰臺灣加權正2
2016-07-26,2723000,57112910,20.97,21.18,20.78,21.18,0.27,238,,00663L,國泰臺灣加權正2
2016-07-27,3692000,79065170,21.42,21.53,21.2,21.32,0.14,268,,00663L,國泰臺灣加權正2
2016-07-28,3030000,64711920,21.29,21.52,21.07,21.37,0.05,190,,00663L,國泰臺灣加權正2
2016-07-29,2354000,50035630,21.33,21.41,21.07,21.09,-0.28,234,,00663L,國泰臺灣加權正2
2016-08-01,1611000,34485930,21.19,21.55,21.16,21.51,0.42,215,,00663L,國泰臺灣加權正2
2016-08-02,1115000,23969650,21.52,21.55,21.41,21.48,-0.03,118,,00663L,國泰臺灣加權正2
2016-08-03,2867000,60170560,20.85,21.28,20.77,21.14,-0.34,272,,00663L,國泰臺灣加權正2
2016-08-04,1952000,41194450,21.3,21.33,20.94,21.26,0.12,220,,00663L,國泰臺灣加權正2
2016-08-05,2542000,54764250,21.45,21.74,21.31,21.68,0.42,243,,00663L,國泰臺灣加權正2
2016-08-08,2752000,60338870,22.0,22.08,21.74,21.96,0.28,291,,00663L,國泰臺灣加權正2
2016-08-09,960000,21136930,21.92,22.1,21.92,22.01,0.05,222,,00663L,國泰臺灣加權正2
2016-08-10,1742000,38383770,22.01,22.21,21.87,22.18,0.17,212,,00663L,國泰臺灣加權正2
2016-08-11,3444000,74908690,21.99,22.18,21.43,21.85,-0.33,402,,00663L,國泰臺灣加權正2
2016-08-12,2583000,56907910,22.01,22.12,21.92,22.03,0.18,278,,00663L,國泰臺灣加權正2
2016-08-15,2373000,52273350,22.08,22.16,21.86,22.01,-0.02,134,,00663L,國泰臺灣加權正2
2016-08-16,2594000,56839240,22.03,22.11,21.69,21.86,-0.15,233,,00663L,國泰臺灣加權正2
