date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-07-14,6755000,134927650,20.02,20.05,19.9,19.95,-0.04,1237,,00664R,國泰臺灣加權反1
2016-07-15,8158015,161739640,19.91,19.92,19.72,19.74,-0.21,894,,00664R,國泰臺灣加權反1
2016-07-18,6735000,131953760,19.69,19.69,19.55,19.57,-0.17,570,,00664R,國泰臺灣加權反1
2016-07-19,6361000,124321060,19.52,19.63,19.49,19.51,-0.06,586,,00664R,國泰臺灣加權反1
2016-07-20,5102000,99616310,19.54,19.6,19.45,19.53,0.02,602,,00664R,國泰臺灣加權反1
2016-07-21,4575000,88476410,19.44,19.45,19.27,19.34,-0.19,733,,00664R,國泰臺灣加權反1
2016-07-22,6822000,132336000,19.38,19.44,19.34,19.43,0.09,367,,00664R,國泰臺灣加權反1
2016-07-25,14977000,292494620,19.34,19.7,19.24,19.52,0.09,966,,00664R,國泰臺灣加權反1
2016-07-26,6287000,122413870,19.52,19.59,19.4,19.4,-0.12,639,,00664R,國泰臺灣加權反1
2016-07-27,8270000,159574230,19.29,19.38,19.22,19.32,-0.08,817,,00664R,國泰臺灣加權反1
2016-07-28,6790000,131203490,19.36,19.44,19.23,19.31,-0.01,583,,00664R,國泰臺灣加權反1
2016-07-29,5770000,111827060,19.32,19.44,19.28,19.43,0.12,508,,00664R,國泰臺灣加權反1
2016-08-01,6074000,117056960,19.39,19.39,19.22,19.25,-0.18,998,,00664R,國泰臺灣加權反1
2016-08-02,3647000,70215110,19.24,19.3,19.22,19.26,0.01,290,,00664R,國泰臺灣加權反1
2016-08-03,6096000,118618750,19.52,19.56,19.33,19.4,0.14,891,,00664R,國泰臺灣加權反1
2016-08-04,4498000,87254110,19.33,19.5,19.32,19.34,-0.06,492,,00664R,國泰臺灣加權反1
2016-08-05,8709000,166921580,19.27,19.33,19.12,19.14,-0.2,1261,,00664R,國泰臺灣加權反1
2016-08-08,6846000,130506180,19.03,19.13,18.98,19.04,-0.1,780,,00664R,國泰臺灣加權反1
