date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-08-05,5544000,112595140,20.04,20.57,20.03,20.42,0.4,1577,,00665L,富邦恒生國企正2
2016-08-08,3083000,63981270,20.38,20.9,20.38,20.89,0.47,229,,00665L,富邦恒生國企正2
2016-08-09,2807000,59024790,20.91,21.13,20.9,21.13,0.24,129,,00665L,富邦恒生國企正2
2016-08-10,3441000,73467170,21.29,21.45,21.19,21.39,0.26,164,,00665L,富邦恒生國企正2
2016-08-11,4576000,97634230,21.23,21.67,20.94,21.67,0.28,205,,00665L,富邦恒生國企正2
2016-08-12,4539000,100878210,21.7,22.4,21.7,22.34,0.67,266,,00665L,富邦恒生國企正2
2016-08-15,5447000,124276340,22.45,23.21,22.27,23.13,0.79,309,,00665L,富邦恒生國企正2
2016-08-16,2915000,67456280,23.47,23.5,22.92,23.11,-0.02,304,,00665L,富邦恒生國企正2
2016-08-17,4466000,103527710,23.65,23.7,22.96,23.08,-0.03,503,,00665L,富邦恒生國企正2
2016-08-18,3822000,88081460,22.91,23.25,22.73,23.06,-0.02,264,,00665L,富邦恒生國企正2
2016-08-19,3214000,73099510,23.06,23.06,22.41,22.6,-0.46,376,,00665L,富邦恒生國企正2
2016-08-22,3197000,71936820,22.69,22.76,22.18,22.37,-0.23,272,,00665L,富邦恒生國企正2
2016-08-23,2317000,52135450,22.32,22.62,22.32,22.53,0.16,169,,00665L,富邦恒生國企正2
2016-08-24,3582000,79814440,22.55,22.63,21.99,22.09,-0.44,301,,00665L,富邦恒生國企正2
2016-08-25,2083000,46341520,22.0,22.43,22.0,22.3,0.21,136,,00665L,富邦恒生國企正2
2016-08-26,2585000,57931650,22.22,22.54,22.19,22.33,0.03,163,,00665L,富邦恒生國企正2
2016-08-29,3244000,71817890,22.39,22.47,21.94,22.19,-0.14,187,,00665L,富邦恒生國企正2
2016-08-30,2408000,54039060,22.27,22.66,22.22,22.64,0.45,191,,00665L,富邦恒生國企正2
2016-08-31,2285000,51462610,22.62,22.62,22.45,22.49,-0.15,145,,00665L,富邦恒生國企正2
2016-09-01,3389000,75682880,22.33,22.65,22.04,22.52,0.03,277,,00665L,富邦恒生國企正2
2016-09-02,2330000,53227760,22.52,23.03,22.52,23.03,0.51,264,,00665L,富邦恒生國企正2
2016-09-05,3425000,80996710,23.23,23.85,23.23,23.78,0.75,507,,00665L,富邦恒生國企正2
2016-09-06,3193000,75982890,23.87,23.97,23.56,23.9,0.12,281,,00665L,富邦恒生國企正2
2016-09-07,3146000,76192880,24.0,24.46,23.94,24.32,0.42,405,,00665L,富邦恒生國企正2
2016-09-08,1960000,47674020,24.32,24.46,24.13,24.41,0.09,298,,00665L,富邦恒生國企正2
2016-09-09,3390000,84150740,24.45,25.26,24.4,25.26,0.85,516,,00665L,富邦恒生國企正2
2016-09-10,1207000,29318190,24.8,24.8,24.08,24.1,-1.16,615,,00665L,富邦恒生國企正2
2016-09-12,6523000,153022880,24.0,24.16,23.05,23.08,-1.02,1543,,00665L,富邦恒生國企正2
2016-09-13,3612000,84131570,23.35,23.58,23.05,23.08,0.0,472,,00665L,富邦恒生國企正2
2016-09-14,3242000,73035680,22.69,22.84,22.36,22.53,-0.55,714,,00665L,富邦恒生國企正2
2016-09-19,4162000,97212360,22.59,23.6,22.59,23.55,1.02,565,,00665L,富邦恒生國企正2
2016-09-20,2438000,56593590,23.55,23.55,23.02,23.18,-0.37,396,,00665L,富邦恒生國企正2
2016-09-21,3087000,72089040,23.25,23.78,23.07,23.78,0.6,355,,00665L,富邦恒生國企正2
2016-09-22,3839000,94154720,23.99,24.91,23.99,24.22,0.44,693,,00665L,富邦恒生國企正2
2016-09-23,3256000,78335620,24.48,24.48,23.74,23.81,-0.41,498,,00665L,富邦恒生國企正2
2016-09-26,3505000,81115410,23.56,23.69,22.93,23.22,-0.59,628,,00665L,富邦恒生國企正2
2016-09-29,2628000,61531210,23.3,23.58,23.11,23.4,0.18,301,,00665L,富邦恒生國企正2
2016-09-30,3933000,89791510,23.21,23.21,22.71,22.86,-0.54,423,,00665L,富邦恒生國企正2
2016-10-03,2795000,64386120,22.9,23.3,22.9,22.94,0.08,273,,00665L,富邦恒生國企正2
2016-10-04,2517000,57810790,22.9,23.11,22.84,23.04,0.1,219,,00665L,富邦恒生國企正2
2016-10-05,3463000,80944870,23.09,23.68,22.84,23.53,0.49,418,,00665L,富邦恒生國企正2
2016-10-06,2953000,70324360,23.64,24.06,23.58,24.0,0.47,418,,00665L,富邦恒生國企正2
2016-10-07,1820000,43666910,24.02,24.15,23.89,23.95,-0.05,277,,00665L,富邦恒生國企正2
2016-10-11,4925000,117927470,24.19,24.64,23.3,23.43,-0.52,671,,00665L,富邦恒生國企正2
2016-10-12,6683000,153028750,23.36,23.36,22.68,22.75,-0.68,981,,00665L,富邦恒生國企正2
2016-10-13,6822000,153184040,22.82,22.86,22.11,22.25,-0.5,951,,00665L,富邦恒生國企正2
2016-10-14,3522000,78565130,22.17,22.49,22.12,22.41,0.16,471,,00665L,富邦恒生國企正2
2016-10-17,3613000,80576630,22.49,22.54,22.1,22.36,-0.05,396,,00665L,富邦恒生國企正2
2016-10-18,3597000,81706560,22.39,22.92,22.39,22.92,0.56,454,,00665L,富邦恒生國企正2
2016-10-19,3187000,73012870,23.03,23.09,22.7,22.72,-0.2,371,,00665L,富邦恒生國企正2
2016-10-20,3222000,74164100,22.83,23.09,22.83,22.99,0.27,330,,00665L,富邦恒生國企正2
2016-10-21,1288000,29508940,22.91,22.95,22.87,22.87,-0.12,135,,00665L,富邦恒生國企正2
2016-10-24,3977000,91748780,23.02,23.46,22.64,23.36,0.49,586,,00665L,富邦恒生國企正2
2016-10-25,2954000,69383060,23.49,23.56,23.39,23.46,0.1,383,,00665L,富邦恒生國企正2
2016-10-26,3310000,76333000,23.38,23.38,22.93,23.01,-0.45,478,,00665L,富邦恒生國企正2
2016-10-27,7323000,164444200,22.93,22.96,22.1,22.22,-0.79,1120,,00665L,富邦恒生國企正2
2016-10-28,2734000,61147530,22.29,22.62,22.21,22.21,-0.01,580,,00665L,富邦恒生國企正2
2016-10-31,4093000,91235500,22.11,22.56,21.81,22.5,0.29,603,,00665L,富邦恒生國企正2
2016-12-01,3622000,86751480,23.57,24.13,23.57,23.85,0.24,669,,00665L,富邦恒生國企正2
2016-12-02,5965000,139297900,23.85,23.85,23.11,23.26,-0.59,986,,00665L,富邦恒生國企正2
2016-12-05,4125000,94885610,23.3,23.39,22.77,22.82,-0.44,768,,00665L,富邦恒生國企正2
2016-12-06,4941000,114870250,23.04,23.35,23.04,23.18,0.36,624,,00665L,富邦恒生國企正2
2016-12-07,3699000,86020840,23.38,23.49,23.1,23.32,0.14,480,,00665L,富邦恒生國企正2
2016-12-08,5947000,141799810,23.55,24.05,23.55,23.78,0.46,879,,00665L,富邦恒生國企正2
2016-12-09,3661000,86825290,23.75,23.9,23.44,23.78,0.0,628,,00665L,富邦恒生國企正2
2016-12-12,5050000,117400060,23.85,23.87,22.83,22.92,-0.86,936,,00665L,富邦恒生國企正2
2016-12-13,3108000,70480600,22.78,22.85,22.52,22.69,-0.23,547,,00665L,富邦恒生國企正2
2016-12-14,3682000,84782470,22.8,23.16,22.8,23.0,0.31,471,,00665L,富邦恒生國企正2
2016-12-15,10175000,223263000,22.79,22.79,21.6,21.72,-1.28,1577,,00665L,富邦恒生國企正2
2016-12-16,3888000,85092220,21.75,22.14,21.6,21.88,0.16,520,,00665L,富邦恒生國企正2
2016-12-19,3357000,72012410,21.69,21.76,21.29,21.32,-0.56,539,,00665L,富邦恒生國企正2
2016-12-20,2855000,60445230,21.27,21.39,21.02,21.02,-0.3,462,,00665L,富邦恒生國企正2
2016-12-21,3308000,69903740,21.04,21.3,20.98,21.2,0.18,770,,00665L,富邦恒生國企正2
2016-12-22,5005000,103933600,21.19,21.19,20.5,20.56,-0.64,1863,,00665L,富邦恒生國企正2
2016-12-23,5365000,108932260,20.5,20.6,20.18,20.2,-0.36,1958,,00665L,富邦恒生國企正2
2016-12-26,483000,9747250,20.35,20.35,20.15,20.2,0.0,137,,00665L,富邦恒生國企正2
2016-12-27,610000,12432690,20.37,20.45,20.35,20.4,0.2,196,,00665L,富邦恒生國企正2
2016-12-28,2300000,47277350,20.46,20.66,20.4,20.66,0.26,481,,00665L,富邦恒生國企正2
2016-12-29,2912000,60497120,20.61,20.94,20.58,20.79,0.13,526,,00665L,富邦恒生國企正2
