date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-10-24,200,1631,8.15,8.16,8.15,8.16,-0.02,2,,00668K,國泰美國道瓊+U(美元)
2017-10-25,100,818,8.18,8.18,8.18,8.18,0.02,1,,00668K,國泰美國道瓊+U(美元)
2017-10-26,100,814,8.14,8.14,8.14,8.14,-0.04,1,,00668K,國泰美國道瓊+U(美元)
2017-10-27,100,816,8.16,8.16,8.16,8.16,0.02,1,,00668K,國泰美國道瓊+U(美元)
2017-10-30,200,1640,8.2,8.2,8.2,8.2,0.04,1,,00668K,國泰美國道瓊+U(美元)
2017-10-31,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2017-11-01,500,4160,8.32,8.32,8.32,8.32,0.0,1,,00668K,國泰美國道瓊+U(美元)
2017-11-02,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2017-11-03,100,821,8.21,8.21,8.21,8.21,0.0,1,,00668K,國泰美國道瓊+U(美元)
2017-11-06,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2017-11-07,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2017-11-08,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2017-11-09,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2017-11-10,2300,18817,8.19,8.19,8.18,8.18,0.0,5,,00668K,國泰美國道瓊+U(美元)
2017-11-13,81100,663409,8.19,8.19,8.18,8.18,0.0,4,,00668K,國泰美國道瓊+U(美元)
2017-11-14,80100,655219,8.19,8.19,8.18,8.18,0.0,3,,00668K,國泰美國道瓊+U(美元)
2017-11-15,80000,652800,8.16,8.16,8.16,8.16,-0.02,2,,00668K,國泰美國道瓊+U(美元)
2017-11-16,98800,802556,8.12,8.15,8.12,8.15,-0.01,22,,00668K,國泰美國道瓊+U(美元)
2017-11-17,80000,655200,8.19,8.19,8.19,8.19,0.04,2,,00668K,國泰美國道瓊+U(美元)
2017-11-20,80100,652014,8.14,8.14,8.14,8.14,-0.05,3,,00668K,國泰美國道瓊+U(美元)
2017-11-21,80000,655200,8.19,8.19,8.19,8.19,0.05,2,,00668K,國泰美國道瓊+U(美元)
2017-11-22,80000,659200,8.24,8.24,8.24,8.24,0.05,2,,00668K,國泰美國道瓊+U(美元)
2017-11-23,80000,657600,8.22,8.22,8.22,8.22,-0.02,2,,00668K,國泰美國道瓊+U(美元)
2017-11-24,80000,657600,8.22,8.22,8.22,8.22,0.0,2,,00668K,國泰美國道瓊+U(美元)
2017-11-27,80000,658400,8.23,8.23,8.23,8.23,0.01,2,,00668K,國泰美國道瓊+U(美元)
2017-11-28,80000,656800,8.21,8.21,8.21,8.21,-0.02,2,,00668K,國泰美國道瓊+U(美元)
2017-11-29,80000,664800,8.31,8.31,8.31,8.31,0.1,2,,00668K,國泰美國道瓊+U(美元)
2017-11-30,80200,669671,8.34,8.37,8.34,8.37,0.06,4,,00668K,國泰美國道瓊+U(美元)
2017-12-01,80000,676800,8.46,8.46,8.46,8.46,0.09,2,,00668K,國泰美國道瓊+U(美元)
2017-12-04,80000,678400,8.48,8.48,8.48,8.48,0.02,2,,00668K,國泰美國道瓊+U(美元)
2017-12-05,80000,679200,8.49,8.49,8.49,8.49,0.01,2,,00668K,國泰美國道瓊+U(美元)
2017-12-06,120000,1011600,8.43,8.43,8.43,8.43,-0.06,4,,00668K,國泰美國道瓊+U(美元)
2017-12-07,120000,1010400,8.42,8.42,8.42,8.42,-0.01,4,,00668K,國泰美國道瓊+U(美元)
2017-12-08,120000,1014000,8.45,8.45,8.45,8.45,0.03,4,,00668K,國泰美國道瓊+U(美元)
2017-12-11,120100,1019648,8.48,8.49,8.48,8.49,0.04,5,,00668K,國泰美國道瓊+U(美元)
2017-12-12,120000,1020000,8.5,8.5,8.5,8.5,0.01,4,,00668K,國泰美國道瓊+U(美元)
2017-12-13,120000,1026000,8.55,8.55,8.55,8.55,0.05,4,,00668K,國泰美國道瓊+U(美元)
2017-12-14,120000,1030800,8.59,8.59,8.59,8.59,0.04,4,,00668K,國泰美國道瓊+U(美元)
2017-12-15,120000,1027200,8.56,8.56,8.56,8.56,-0.03,4,,00668K,國泰美國道瓊+U(美元)
2017-12-18,123300,1064046,8.62,8.63,8.62,8.63,0.07,5,,00668K,國泰美國道瓊+U(美元)
2017-12-19,120000,1039200,8.66,8.66,8.66,8.66,0.03,4,,00668K,國泰美國道瓊+U(美元)
2017-12-20,141000,1218700,8.65,8.66,8.64,8.64,-0.02,17,,00668K,國泰美國道瓊+U(美元)
2017-12-21,148000,1277240,8.63,8.63,8.63,8.63,-0.01,9,,00668K,國泰美國道瓊+U(美元)
2017-12-22,142000,1231860,8.67,8.68,8.63,8.68,0.05,6,,00668K,國泰美國道瓊+U(美元)
2017-12-25,120000,1036800,8.64,8.64,8.64,8.64,-0.04,4,,00668K,國泰美國道瓊+U(美元)
2017-12-26,160000,1381000,8.64,8.64,8.63,8.63,-0.01,8,,00668K,國泰美國道瓊+U(美元)
2017-12-27,150000,1294500,8.63,8.63,8.63,8.63,0.0,4,,00668K,國泰美國道瓊+U(美元)
2017-12-28,156000,1348010,8.64,8.67,8.64,8.67,0.04,7,,00668K,國泰美國道瓊+U(美元)
2017-12-29,160100,1389665,8.68,8.68,8.65,8.65,-0.02,5,,00668K,國泰美國道瓊+U(美元)
2018-01-02,160000,1382400,8.64,8.64,8.64,8.64,-0.01,4,,00668K,國泰美國道瓊+U(美元)
2018-01-03,160000,1387200,8.67,8.67,8.67,8.67,0.03,4,,00668K,國泰美國道瓊+U(美元)
2018-01-04,160000,1393600,8.71,8.71,8.71,8.71,0.04,4,,00668K,國泰美國道瓊+U(美元)
2018-01-05,160000,1403200,8.77,8.77,8.77,8.77,0.06,4,,00668K,國泰美國道瓊+U(美元)
2018-01-08,160100,1415284,8.84,8.84,8.84,8.84,0.07,5,,00668K,國泰美國道瓊+U(美元)
2018-01-09,150000,1327100,8.81,8.85,8.81,8.85,0.01,5,,00668K,國泰美國道瓊+U(美元)
2018-01-10,140100,1238484,8.84,8.84,8.84,8.84,-0.01,5,,00668K,國泰美國道瓊+U(美元)
2018-01-11,140000,1239000,8.85,8.85,8.85,8.85,0.01,4,,00668K,國泰美國道瓊+U(美元)
2018-01-12,128000,1142800,8.9,8.93,8.9,8.93,0.08,9,,00668K,國泰美國道瓊+U(美元)
2018-01-15,180000,1618000,8.98,8.99,8.98,8.99,0.06,7,,00668K,國泰美國道瓊+U(美元)
2018-01-16,160000,1443200,9.02,9.02,9.02,9.02,0.03,4,,00668K,國泰美國道瓊+U(美元)
2018-01-17,160200,1438800,8.96,9.01,8.96,9.0,-0.02,26,,00668K,國泰美國道瓊+U(美元)
2018-01-18,160200,1452214,9.06,9.07,9.06,9.07,0.07,22,,00668K,國泰美國道瓊+U(美元)
2018-01-19,160200,1446604,9.05,9.05,9.01,9.02,-0.05,23,,00668K,國泰美國道瓊+U(美元)
2018-01-22,160000,1448000,9.05,9.05,9.05,9.05,0.03,25,,00668K,國泰美國道瓊+U(美元)
2018-01-23,160100,1459311,9.11,9.12,9.11,9.12,0.07,25,,00668K,國泰美國道瓊+U(美元)
2018-01-24,170000,1552100,9.13,9.13,9.13,9.13,0.01,24,,00668K,國泰美國道瓊+U(美元)
2018-01-25,145300,1329496,9.16,9.16,9.15,9.15,0.02,22,,00668K,國泰美國道瓊+U(美元)
2018-01-26,160200,1472238,9.19,9.19,9.19,9.19,0.04,34,,00668K,國泰美國道瓊+U(美元)
2018-01-29,160100,1484126,9.26,9.27,9.26,9.27,0.08,19,,00668K,國泰美國道瓊+U(美元)
2018-01-30,169000,1552830,9.15,9.19,9.15,9.17,-0.1,20,,00668K,國泰美國道瓊+U(美元)
2018-01-31,159000,1448190,9.08,9.11,9.08,9.11,-0.06,26,,00668K,國泰美國道瓊+U(美元)
2018-02-01,148100,1344750,9.1,9.1,9.08,9.08,-0.03,17,,00668K,國泰美國道瓊+U(美元)
2018-02-02,148000,1343840,9.08,9.08,9.08,9.08,0.0,15,,00668K,國泰美國道瓊+U(美元)
2018-02-05,148000,1305360,8.82,8.82,8.82,8.82,-0.26,20,,00668K,國泰美國道瓊+U(美元)
2018-02-06,183000,1515270,8.31,8.31,8.28,8.28,-0.54,17,,00668K,國泰美國道瓊+U(美元)
2018-02-07,300,2557,8.38,8.72,8.38,8.72,0.44,3,,00668K,國泰美國道瓊+U(美元)
2018-02-08,140200,1208784,8.66,8.68,8.45,8.68,-0.04,19,,00668K,國泰美國道瓊+U(美元)
2018-02-09,80100,667232,8.32,8.33,8.32,8.33,-0.35,4,,00668K,國泰美國道瓊+U(美元)
2018-02-12,116000,984840,8.49,8.49,8.49,8.49,0.16,14,,00668K,國泰美國道瓊+U(美元)
2018-02-21,1300,11342,8.76,8.76,8.72,8.74,0.25,4,,00668K,國泰美國道瓊+U(美元)
2018-02-22,5300,45583,8.6,8.61,8.6,8.61,-0.13,2,,00668K,國泰美國道瓊+U(美元)
2018-02-23,100,872,8.72,8.72,8.72,8.72,0.11,1,,00668K,國泰美國道瓊+U(美元)
2018-02-26,100,884,8.84,8.84,8.84,8.84,0.12,1,,00668K,國泰美國道瓊+U(美元)
2018-02-27,1100,9814,8.94,8.94,8.92,8.92,0.08,2,,00668K,國泰美國道瓊+U(美元)
2018-03-01,0,0,,,,,0.0,0,,00668K,國泰美國道瓊+U(美元)
2018-03-02,300,2584,8.62,8.62,8.6,8.6,0.0,2,,00668K,國泰美國道瓊+U(美元)
