date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-10-17,3310000,65508710,19.64,19.87,19.64,19.85,-0.14,1026,,00668,國泰美國道瓊(新臺幣)
2016-10-18,3781000,75196820,19.95,19.95,19.82,19.91,0.06,346,,00668,國泰美國道瓊(新臺幣)
2016-10-19,1631000,32373500,19.86,19.88,19.82,19.84,-0.07,169,,00668,國泰美國道瓊(新臺幣)
2016-10-20,1175000,23379860,19.84,19.92,19.84,19.89,0.05,144,,00668,國泰美國道瓊(新臺幣)
2016-10-21,1279000,25448630,19.85,19.92,19.85,19.88,-0.01,152,,00668,國泰美國道瓊(新臺幣)
2016-10-24,1708001,34012579,19.86,19.94,19.86,19.91,0.03,138,,00668,國泰美國道瓊(新臺幣)
2016-10-25,1518000,30314330,19.93,19.99,19.92,19.93,0.02,101,,00668,國泰美國道瓊(新臺幣)
2016-10-26,734000,14546410,19.85,19.85,19.8,19.84,-0.09,52,,00668,國泰美國道瓊(新臺幣)
2016-10-27,1406000,27996300,19.91,19.94,19.87,19.87,0.03,87,,00668,國泰美國道瓊(新臺幣)
2016-10-28,813001,16193940,19.91,19.94,19.89,19.9,0.03,73,,00668,國泰美國道瓊(新臺幣)
2016-10-31,900000,17873260,19.88,19.9,19.83,19.88,-0.02,71,,00668,國泰美國道瓊(新臺幣)
2016-11-01,433000,8600370,19.8,19.88,19.8,19.87,-0.01,43,,00668,國泰美國道瓊(新臺幣)
2016-11-02,531000,10433580,19.68,19.7,19.62,19.64,-0.23,75,,00668,國泰美國道瓊(新臺幣)
2016-11-03,1526000,29884360,19.61,19.63,19.56,19.6,-0.04,104,,00668,國泰美國道瓊(新臺幣)
2016-11-04,1200000,23457350,19.53,19.57,19.52,19.57,-0.03,82,,00668,國泰美國道瓊(新臺幣)
2016-11-07,481000,9488820,19.72,19.75,19.69,19.75,0.18,68,,00668,國泰美國道瓊(新臺幣)
