date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-02-21,9048000,182898550,20.2,20.25,20.17,20.21,-0.03,1113,,00670L,富邦NASDAQ正2
2017-02-22,1947000,39505090,20.29,20.31,20.27,20.28,0.07,220,,00670L,富邦NASDAQ正2
2017-02-23,1682000,34090900,20.26,20.29,20.25,20.25,-0.03,121,,00670L,富邦NASDAQ正2
2017-02-24,1514000,30389150,20.11,20.11,20.04,20.04,-0.21,80,,00670L,富邦NASDAQ正2
2017-03-01,1448000,29275360,20.2,20.26,20.15,20.19,0.15,113,,00670L,富邦NASDAQ正2
2017-03-02,1716000,35173360,20.51,20.51,20.47,20.49,0.3,146,,00670L,富邦NASDAQ正2
2017-03-03,1263000,25615090,20.3,20.32,20.21,20.22,-0.27,76,,00670L,富邦NASDAQ正2
2017-03-06,1508000,30690280,20.3,20.39,20.3,20.38,0.16,77,,00670L,富邦NASDAQ正2
2017-03-07,1085000,22127550,20.38,20.41,20.37,20.41,0.03,44,,00670L,富邦NASDAQ正2
2017-03-08,1684000,34076060,20.25,20.26,20.18,20.24,-0.17,63,,00670L,富邦NASDAQ正2
2017-03-09,1182000,24108450,20.4,20.43,20.38,20.39,0.15,61,,00670L,富邦NASDAQ正2
2017-03-10,1673000,34314710,20.5,20.53,20.49,20.5,0.11,91,,00670L,富邦NASDAQ正2
2017-03-13,1109000,22738190,20.5,20.52,20.49,20.51,0.01,33,,00670L,富邦NASDAQ正2
2017-03-14,811000,16708570,20.6,20.62,20.6,20.6,0.09,35,,00670L,富邦NASDAQ正2
2017-03-15,767000,15728580,20.49,20.53,20.49,20.53,-0.07,32,,00670L,富邦NASDAQ正2
2017-03-16,819000,17021040,20.75,20.81,20.75,20.8,0.27,32,,00670L,富邦NASDAQ正2
2017-03-17,129000,2678660,20.76,20.79,20.76,20.76,-0.04,13,,00670L,富邦NASDAQ正2
2017-03-20,145000,2989950,20.6,20.69,20.6,20.62,-0.14,14,,00670L,富邦NASDAQ正2
2017-03-21,137000,2852700,20.78,20.87,20.78,20.82,0.2,24,,00670L,富邦NASDAQ正2
2017-03-22,102000,2047290,20.16,20.16,20.02,20.06,-0.76,28,,00670L,富邦NASDAQ正2
2017-03-23,448000,9138040,20.39,20.43,20.38,20.4,0.34,21,,00670L,富邦NASDAQ正2
2017-03-24,129000,2626570,20.4,20.4,20.34,20.37,-0.03,11,,00670L,富邦NASDAQ正2
2017-03-27,164000,3301450,20.13,20.16,20.08,20.12,-0.25,15,,00670L,富邦NASDAQ正2
2017-03-28,416000,8527260,20.49,20.54,20.48,20.5,0.38,29,,00670L,富邦NASDAQ正2
2017-03-29,742000,15329650,20.68,20.7,20.64,20.69,0.19,44,,00670L,富邦NASDAQ正2
2017-03-30,710000,14835090,20.93,20.93,20.87,20.88,0.19,34,,00670L,富邦NASDAQ正2
2017-03-31,699000,14565900,20.88,20.88,20.77,20.77,-0.11,31,,00670L,富邦NASDAQ正2
2017-04-05,608000,12710400,20.94,20.94,20.87,20.9,0.13,26,,00670L,富邦NASDAQ正2
2017-04-06,651000,13388840,20.63,20.63,20.52,20.57,-0.33,26,,00670L,富邦NASDAQ正2
2017-04-07,457000,9405050,20.77,20.77,20.52,20.64,0.07,22,,00670L,富邦NASDAQ正2
2017-04-10,566000,11767900,20.79,20.81,20.78,20.8,0.16,20,,00670L,富邦NASDAQ正2
2017-04-11,539000,11170970,20.75,20.76,20.68,20.69,-0.11,17,,00670L,富邦NASDAQ正2
2017-04-12,514000,10533880,20.52,20.52,20.47,20.49,-0.2,25,,00670L,富邦NASDAQ正2
2017-04-13,678000,13774300,20.32,20.36,20.26,20.36,-0.13,28,,00670L,富邦NASDAQ正2
2017-04-14,225000,4550320,20.28,20.29,20.21,20.22,-0.14,28,,00670L,富邦NASDAQ正2
2017-04-17,831000,16785690,20.21,20.24,20.17,20.22,0.0,34,,00670L,富邦NASDAQ正2
2017-04-18,602000,12363120,20.53,20.54,20.53,20.54,0.32,25,,00670L,富邦NASDAQ正2
2017-04-19,911000,18700820,20.53,20.54,20.51,20.54,0.0,26,,00670L,富邦NASDAQ正2
2017-04-20,708000,14577260,20.55,20.61,20.55,20.6,0.06,25,,00670L,富邦NASDAQ正2
2017-04-21,720000,15073200,20.92,20.96,20.91,20.96,0.36,140,,00670L,富邦NASDAQ正2
2017-04-24,975000,20680810,21.22,21.25,21.19,21.25,0.29,137,,00670L,富邦NASDAQ正2
2017-04-25,687000,14704950,21.33,21.44,21.33,21.44,0.19,113,,00670L,富邦NASDAQ正2
2017-04-26,1118000,24227660,21.68,21.7,21.66,21.7,0.26,38,,00670L,富邦NASDAQ正2
2017-04-27,701000,15135990,21.6,21.61,21.58,21.59,-0.11,27,,00670L,富邦NASDAQ正2
2017-04-28,574000,12626410,22.01,22.01,21.97,21.99,0.4,38,,00670L,富邦NASDAQ正2
2017-05-02,617000,13791980,22.36,22.37,22.34,22.35,0.36,27,,00670L,富邦NASDAQ正2
2017-05-03,650000,14462210,22.26,22.26,22.21,22.21,-0.14,30,,00670L,富邦NASDAQ正2
2017-05-04,525000,11664610,22.2,22.25,22.2,22.24,0.03,26,,00670L,富邦NASDAQ正2
2017-05-05,553000,12307710,22.27,22.27,22.2,22.24,0.0,15,,00670L,富邦NASDAQ正2
2017-05-08,739000,16592050,22.45,22.49,22.44,22.49,0.25,29,,00670L,富邦NASDAQ正2
2017-05-09,675000,15187830,22.5,22.51,22.48,22.5,0.01,26,,00670L,富邦NASDAQ正2
2017-05-10,679000,15391440,22.66,22.69,22.66,22.69,0.19,23,,00670L,富邦NASDAQ正2
2017-05-11,572000,12966420,22.68,22.68,22.66,22.67,-0.02,19,,00670L,富邦NASDAQ正2
2017-05-12,969000,21834110,22.56,22.56,22.49,22.51,-0.16,193,,00670L,富邦NASDAQ正2
2017-05-15,521000,11869580,22.75,22.8,22.75,22.79,0.28,22,,00670L,富邦NASDAQ正2
2017-05-16,779000,17775270,22.83,22.83,22.79,22.83,0.04,25,,00670L,富邦NASDAQ正2
2017-05-17,753000,17179770,22.79,22.83,22.79,22.83,0.0,22,,00670L,富邦NASDAQ正2
2017-05-18,874000,19273070,21.98,22.09,21.96,22.07,-0.76,194,,00670L,富邦NASDAQ正2
2017-05-19,806000,17956350,22.29,22.31,22.25,22.31,0.24,43,,00670L,富邦NASDAQ正2
