date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-10-07,2350000,46296280,19.61,19.76,19.61,19.69,-0.32,318,,00673R,期元大S&P原油反1
2016-10-11,2380000,46214000,19.4,19.45,19.4,19.43,-0.26,163,,00673R,期元大S&P原油反1
2016-10-12,841000,16480380,19.62,19.62,19.57,19.59,0.16,125,,00673R,期元大S&P原油反1
2016-10-13,2174000,43579310,19.96,20.09,19.96,20.06,0.47,233,,00673R,期元大S&P原油反1
2016-10-14,1376000,27164950,19.83,19.83,19.68,19.73,-0.33,151,,00673R,期元大S&P原油反1
2016-10-17,1277000,25398040,19.88,19.94,19.86,19.89,0.16,73,,00673R,期元大S&P原油反1
2016-10-18,255000,5068970,19.83,19.89,19.83,19.89,0.0,38,,00673R,期元大S&P原油反1
2016-10-19,1092000,21474220,19.71,19.71,19.61,19.69,-0.2,82,,00673R,期元大S&P原油反1
2016-10-20,917000,17825650,19.42,19.49,19.4,19.49,-0.2,114,,00673R,期元大S&P原油反1
2016-10-21,2072000,41241120,19.83,19.95,19.82,19.93,0.44,143,,00673R,期元大S&P原油反1
2016-10-24,1052000,20893740,19.88,19.91,19.8,19.84,-0.09,64,,00673R,期元大S&P原油反1
2016-10-25,709000,14117910,19.95,19.95,19.88,19.89,0.05,53,,00673R,期元大S&P原油反1
2016-10-26,1962000,39859080,20.28,20.37,20.28,20.36,0.47,169,,00673R,期元大S&P原油反1
2016-10-27,1454000,29631210,20.45,20.45,20.34,20.37,0.01,105,,00673R,期元大S&P原油反1
2016-10-28,869000,17528680,20.2,20.2,20.15,20.17,-0.2,49,,00673R,期元大S&P原油反1
2016-10-31,672000,13890380,20.7,20.71,20.63,20.65,0.48,96,,00673R,期元大S&P原油反1
2016-11-01,2540000,54140630,21.32,21.36,21.29,21.31,0.66,136,,00673R,期元大S&P原油反1
2016-11-02,927000,19984300,21.49,21.62,21.49,21.59,0.28,84,,00673R,期元大S&P原油反1
2016-11-03,1016000,22148160,21.82,21.84,21.76,21.82,0.23,112,,00673R,期元大S&P原油反1
2016-11-04,731000,16293190,22.28,22.32,22.26,22.29,0.47,94,,00673R,期元大S&P原油反1
2016-11-07,992000,22222490,22.42,22.47,22.33,22.33,0.04,92,,00673R,期元大S&P原油反1
2016-11-08,460000,10232600,22.2,22.31,22.2,22.21,-0.12,58,,00673R,期元大S&P原油反1
2016-11-09,3344000,75363090,22.12,23.12,22.07,22.84,0.63,184,,00673R,期元大S&P原油反1
2016-11-10,847000,18737600,22.18,22.18,22.04,22.04,-0.8,80,,00673R,期元大S&P原油反1
2016-11-11,714000,16044260,22.62,22.62,22.4,22.42,0.38,74,,00673R,期元大S&P原油反1
2016-11-14,425000,9767430,22.73,23.05,22.73,23.02,0.6,94,,00673R,期元大S&P原油反1
2016-11-15,921000,20972020,22.87,22.92,22.6,22.68,-0.34,73,,00673R,期元大S&P原油反1
2016-11-16,1105000,24140320,21.95,21.95,21.73,21.73,-0.95,161,,00673R,期元大S&P原油反1
2016-11-17,806000,17744650,22.03,22.07,21.95,22.0,0.27,69,,00673R,期元大S&P原油反1
2016-11-18,334000,7431520,22.2,22.29,22.14,22.18,0.18,69,,00673R,期元大S&P原油反1
2016-11-21,913000,19734430,21.64,21.69,21.51,21.56,-0.62,149,,00673R,期元大S&P原油反1
2016-11-22,3522000,72945310,20.81,20.81,20.63,20.66,-0.9,328,,00673R,期元大S&P原油反1
2016-11-23,1793000,37718600,20.98,21.12,20.91,21.09,0.43,212,,00673R,期元大S&P原油反1
2016-11-24,1071000,22545040,21.03,21.07,21.01,21.07,-0.02,96,,00673R,期元大S&P原油反1
2016-11-25,1682000,35631860,21.06,21.24,21.05,21.24,0.17,96,,00673R,期元大S&P原油反1
2016-11-28,2497000,55012220,22.16,22.3,21.78,21.95,0.71,272,,00673R,期元大S&P原油反1
2016-11-29,1120000,24103840,21.49,21.58,21.45,21.55,-0.4,167,,00673R,期元大S&P原油反1
2016-11-30,2433000,53751330,22.09,22.13,22.06,22.08,0.53,225,,00673R,期元大S&P原油反1
2016-12-01,7459000,150569600,20.33,20.35,19.95,20.0,-2.08,1250,,00673R,期元大S&P原油反1
2016-12-02,5810000,114392200,19.59,19.79,19.55,19.79,-0.21,884,,00673R,期元大S&P原油反1
2016-12-05,3216000,62903730,19.51,19.62,19.51,19.54,-0.25,696,,00673R,期元大S&P原油反1
2016-12-06,4646000,90803980,19.35,19.62,19.35,19.57,0.03,505,,00673R,期元大S&P原油反1
2016-12-07,3667000,72550400,19.71,19.88,19.69,19.82,0.25,598,,00673R,期元大S&P原油反1
2016-12-08,3132000,62637360,19.99,20.03,19.98,20.01,0.19,474,,00673R,期元大S&P原油反1
2016-12-09,4027000,78925000,19.58,19.66,19.54,19.56,-0.45,649,,00673R,期元大S&P原油反1
2016-12-12,5225000,97064140,18.6,18.65,18.53,18.55,-1.01,1138,,00673R,期元大S&P原油反1
2016-12-13,3808000,71953200,18.85,18.95,18.81,18.94,0.39,492,,00673R,期元大S&P原油反1
2016-12-14,2015000,38451160,19.11,19.12,19.03,19.1,0.16,334,,00673R,期元大S&P原油反1
2016-12-15,4623000,90053510,19.44,19.52,19.43,19.45,0.35,481,,00673R,期元大S&P原油反1
2016-12-16,1488000,28839430,19.42,19.42,19.36,19.39,-0.06,154,,00673R,期元大S&P原油反1
2016-12-19,2385000,45357590,19.1,19.1,18.95,19.02,-0.37,348,,00673R,期元大S&P原油反1
2016-12-20,1638000,31382440,19.13,19.2,19.1,19.2,0.18,205,,00673R,期元大S&P原油反1
2016-12-21,2934000,55620280,18.91,19.0,18.91,19.0,-0.2,238,,00673R,期元大S&P原油反1
2016-12-22,2904000,55982600,19.27,19.32,19.25,19.32,0.32,307,,00673R,期元大S&P原油反1
2016-12-23,1894000,36540700,19.34,19.34,19.26,19.26,-0.06,135,,00673R,期元大S&P原油反1
2016-12-26,525000,10126900,19.25,19.34,19.2,19.34,0.08,83,,00673R,期元大S&P原油反1
2016-12-27,2017000,38680920,19.22,19.22,19.15,19.19,-0.15,152,,00673R,期元大S&P原油反1
2016-12-28,2079000,39385060,18.97,18.97,18.93,18.94,-0.25,346,,00673R,期元大S&P原油反1
2016-12-29,1620000,30675660,18.98,18.98,18.9,18.97,0.03,166,,00673R,期元大S&P原油反1
2016-12-30,1574000,29727450,18.96,18.96,18.87,18.88,-0.09,214,,00673R,期元大S&P原油反1
2017-01-03,2631000,49556510,18.8,18.9,18.8,18.82,-0.06,180,,00673R,期元大S&P原油反1
2017-01-04,3457100,66611483,19.28,19.31,19.22,19.23,0.41,503,,00673R,期元大S&P原油反1
2017-01-05,691000,13180800,19.12,19.12,19.05,19.05,-0.18,165,,00673R,期元大S&P原油反1
2017-01-06,2370000,44752900,18.93,18.93,18.86,18.89,-0.16,302,,00673R,期元大S&P原油反1
2017-01-09,516000,9739620,18.89,18.89,18.85,18.89,0.0,86,,00673R,期元大S&P原油反1
2017-01-10,6307990,122485185,19.38,19.47,19.38,19.44,0.55,689,,00673R,期元大S&P原油反1
2017-01-11,4198000,83112760,19.73,19.82,19.73,19.82,0.38,508,,00673R,期元大S&P原油反1
2017-01-12,2172000,42038660,19.39,19.39,19.33,19.35,-0.47,293,,00673R,期元大S&P原油反1
2017-01-13,2103000,40039310,19.09,19.09,19.0,19.03,-0.32,409,,00673R,期元大S&P原油反1
2017-01-16,385000,7385060,19.15,19.24,19.14,19.19,0.16,125,,00673R,期元大S&P原油反1
2017-01-17,564000,10830620,19.22,19.23,19.18,19.23,0.04,97,,00673R,期元大S&P原油反1
2017-01-18,1516000,28990580,19.2,19.2,19.1,19.1,-0.13,133,,00673R,期元大S&P原油反1
2017-01-19,3296000,64295180,19.44,19.54,19.44,19.5,0.4,389,,00673R,期元大S&P原油反1
2017-01-20,760000,14831540,19.51,19.53,19.49,19.51,0.01,83,,00673R,期元大S&P原油反1
2017-01-23,3106000,59570420,19.21,19.23,19.14,19.18,-0.33,289,,00673R,期元大S&P原油反1
2017-01-24,2248000,43176360,19.24,19.24,19.17,19.18,0.0,163,,00673R,期元大S&P原油反1
2017-02-02,1986000,37788060,19.13,19.13,19.01,19.04,-0.14,263,,00673R,期元大S&P原油反1
