date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-10-07,1936000,38832750,20.0,20.15,20.0,20.13,0.15,180,,00674R,期元大S&P黃金反1
2016-10-11,80000,1605380,20.15,20.15,20.03,20.07,-0.06,23,,00674R,期元大S&P黃金反1
2016-10-12,145000,2910930,20.1,20.12,20.07,20.1,0.03,16,,00674R,期元大S&P黃金反1
2016-10-13,1590000,31904690,20.14,20.14,20.03,20.04,-0.06,46,,00674R,期元大S&P黃金反1
2016-10-14,584000,11743490,20.07,20.13,20.07,20.12,0.08,24,,00674R,期元大S&P黃金反1
2016-10-17,135000,2721800,20.15,20.18,20.15,20.16,0.04,21,,00674R,期元大S&P黃金反1
2016-10-18,337000,6762160,20.1,20.1,20.05,20.07,-0.09,17,,00674R,期元大S&P黃金反1
2016-10-19,446000,8912210,20.05,20.05,19.97,20.01,-0.06,23,,00674R,期元大S&P黃金反1
2016-10-20,832000,16537200,19.89,19.9,19.85,19.89,-0.12,31,,00674R,期元大S&P黃金反1
2016-10-21,156000,3121530,19.96,20.03,19.96,20.02,0.13,8,,00674R,期元大S&P黃金反1
2016-10-24,133000,2662520,20.0,20.02,20.0,20.0,-0.02,9,,00674R,期元大S&P黃金反1
2016-10-25,515000,10294150,20.0,20.01,19.97,19.97,-0.03,13,,00674R,期元大S&P黃金反1
2016-10-26,615000,12177970,19.8,19.82,19.79,19.82,-0.15,18,,00674R,期元大S&P黃金反1
2016-10-27,583000,11627350,19.95,19.95,19.93,19.94,0.12,14,,00674R,期元大S&P黃金反1
2016-10-28,20000,397500,19.89,19.89,19.86,19.86,-0.08,2,,00674R,期元大S&P黃金反1
2016-10-31,122000,2413860,19.8,19.8,19.76,19.76,-0.1,8,,00674R,期元大S&P黃金反1
2016-11-01,835000,16503210,19.77,19.77,19.76,19.76,0.0,16,,00674R,期元大S&P黃金反1
2016-11-02,633000,12398610,19.65,19.65,19.52,19.52,-0.24,25,,00674R,期元大S&P黃金反1
2016-11-03,484000,9375800,19.43,19.43,19.31,19.34,-0.18,33,,00674R,期元大S&P黃金反1
2016-11-04,635000,12337080,19.34,19.45,19.34,19.43,0.09,25,,00674R,期元大S&P黃金反1
2016-11-07,279000,5451800,19.53,19.58,19.49,19.58,0.15,33,,00674R,期元大S&P黃金反1
2016-11-08,283000,5569420,19.7,19.7,19.66,19.67,0.09,32,,00674R,期元大S&P黃金反1
2016-11-09,2375000,46243310,19.83,19.83,18.88,18.95,-0.72,135,,00674R,期元大S&P黃金反1
2016-11-10,675000,13252330,19.72,19.75,19.61,19.67,0.72,54,,00674R,期元大S&P黃金反1
2016-11-11,1534000,30716790,19.83,20.15,19.83,20.04,0.37,82,,00674R,期元大S&P黃金反1
2016-11-14,1836000,38117160,20.54,20.82,20.54,20.82,0.78,113,,00674R,期元大S&P黃金反1
2016-11-15,609000,12534700,20.62,20.63,20.52,20.6,-0.22,48,,00674R,期元大S&P黃金反1
2016-11-16,306000,6270160,20.51,20.51,20.47,20.49,-0.11,23,,00674R,期元大S&P黃金反1
2016-11-17,540000,11105890,20.54,20.59,20.53,20.58,0.09,23,,00674R,期元大S&P黃金反1
2016-11-18,1797000,37443940,20.76,20.9,20.76,20.87,0.29,62,,00674R,期元大S&P黃金反1
2016-11-21,34000,709120,20.87,20.87,20.83,20.86,-0.01,14,,00674R,期元大S&P黃金反1
2016-11-22,348000,7206940,20.68,20.74,20.68,20.72,-0.14,15,,00674R,期元大S&P黃金反1
2016-11-23,23000,477760,20.77,20.8,20.76,20.79,0.07,10,,00674R,期元大S&P黃金反1
2016-11-24,331000,7050270,21.24,21.33,21.23,21.28,0.49,53,,00674R,期元大S&P黃金反1
2016-11-25,764000,16401670,21.4,21.53,21.4,21.42,0.14,90,,00674R,期元大S&P黃金反1
2016-11-28,459000,9693760,21.29,21.29,21.07,21.14,-0.28,61,,00674R,期元大S&P黃金反1
2016-11-29,425000,8991050,21.13,21.19,21.13,21.17,0.03,30,,00674R,期元大S&P黃金反1
2016-11-30,1039000,21993950,21.18,21.21,21.11,21.16,-0.01,29,,00674R,期元大S&P黃金反1
2016-12-01,1783000,38453080,21.47,21.62,21.47,21.47,0.31,84,,00674R,期元大S&P黃金反1
2016-12-02,599000,12854960,21.44,21.5,21.43,21.48,0.01,39,,00674R,期元大S&P黃金反1
2016-12-05,327000,7015570,21.37,21.5,21.37,21.44,-0.04,26,,00674R,期元大S&P黃金反1
2016-12-06,30000,645910,21.65,21.65,21.48,21.53,0.09,15,,00674R,期元大S&P黃金反1
2016-12-07,182000,3928120,21.58,21.6,21.56,21.6,0.07,23,,00674R,期元大S&P黃金反1
2016-12-08,543000,11618340,21.42,21.43,21.38,21.4,-0.2,31,,00674R,期元大S&P黃金反1
2016-12-09,276000,5951620,21.58,21.58,21.54,21.54,0.14,30,,00674R,期元大S&P黃金反1
2016-12-12,169000,3679020,21.65,21.8,21.65,21.78,0.24,42,,00674R,期元大S&P黃金反1
2016-12-13,294000,6366480,21.8,21.8,21.63,21.65,-0.13,25,,00674R,期元大S&P黃金反1
2016-12-14,436000,9454470,21.72,21.72,21.66,21.66,0.01,23,,00674R,期元大S&P黃金反1
2016-12-15,1361000,29988360,21.89,22.09,21.89,22.05,0.39,67,,00674R,期元大S&P黃金反1
2016-12-16,400000,8914790,22.42,22.42,22.26,22.29,0.24,60,,00674R,期元大S&P黃金反1
2016-12-19,243000,5371810,22.14,22.14,22.08,22.11,-0.18,34,,00674R,期元大S&P黃金反1
2016-12-20,598000,13249850,22.13,22.18,22.11,22.18,0.07,48,,00674R,期元大S&P黃金反1
2016-12-21,645000,14315050,22.2,22.29,22.17,22.19,0.01,46,,00674R,期元大S&P黃金反1
2016-12-22,339000,7544260,22.25,22.28,22.23,22.28,0.09,37,,00674R,期元大S&P黃金反1
2016-12-23,41000,913600,22.29,22.3,22.27,22.27,-0.01,16,,00674R,期元大S&P黃金反1
2016-12-26,43000,957160,22.24,22.55,22.22,22.55,0.28,18,,00674R,期元大S&P黃金反1
2016-12-27,333000,7395590,22.4,22.4,22.16,22.18,-0.37,23,,00674R,期元大S&P黃金反1
2016-12-28,418000,9236620,22.1,22.11,22.08,22.08,-0.1,25,,00674R,期元大S&P黃金反1
2016-12-29,417000,9164540,22.01,22.01,21.95,21.95,-0.13,35,,00674R,期元大S&P黃金反1
2016-12-30,671000,14567980,21.76,21.76,21.66,21.71,-0.24,40,,00674R,期元大S&P黃金反1
2017-01-03,492000,10741480,21.86,21.86,21.78,21.8,0.09,17,,00674R,期元大S&P黃金反1
2017-01-04,230000,4995530,21.8,21.8,21.71,21.71,-0.09,14,,00674R,期元大S&P黃金反1
2017-01-05,613000,13164170,21.53,21.53,21.43,21.43,-0.28,42,,00674R,期元大S&P黃金反1
2017-01-06,752000,16060910,21.35,21.4,21.34,21.4,-0.03,22,,00674R,期元大S&P黃金反1
2017-01-09,148000,3174050,21.4,21.46,21.4,21.46,0.06,17,,00674R,期元大S&P黃金反1
2017-01-10,396000,8413760,21.33,21.33,21.22,21.25,-0.21,30,,00674R,期元大S&P黃金反1
2017-01-11,210000,4451760,21.2,21.2,21.17,21.19,-0.06,18,,00674R,期元大S&P黃金反1
2017-01-12,925000,19409830,21.07,21.07,20.94,20.98,-0.21,35,,00674R,期元大S&P黃金反1
2017-01-13,77000,1621480,20.94,21.09,20.94,21.04,0.06,17,,00674R,期元大S&P黃金反1
2017-01-16,224000,4687050,20.99,20.99,20.88,20.88,-0.16,25,,00674R,期元大S&P黃金反1
2017-01-17,62000,1293530,20.9,20.9,20.84,20.84,-0.04,20,,00674R,期元大S&P黃金反1
2017-01-18,48000,993430,20.69,20.72,20.67,20.72,-0.12,25,,00674R,期元大S&P黃金反1
2017-01-19,59000,1234530,20.81,20.99,20.81,20.92,0.2,28,,00674R,期元大S&P黃金反1
2017-01-20,99000,2062970,20.85,20.85,20.8,20.83,-0.09,18,,00674R,期元大S&P黃金反1
2017-01-23,34000,702550,20.73,20.73,20.64,20.65,-0.18,18,,00674R,期元大S&P黃金反1
2017-01-24,209000,4316210,20.66,20.68,20.62,20.62,-0.03,20,,00674R,期元大S&P黃金反1
2017-02-02,27000,557700,20.7,20.73,20.63,20.66,0.04,6,,00674R,期元大S&P黃金反1
2017-02-03,244000,5044310,20.66,20.69,20.65,20.69,0.03,14,,00674R,期元大S&P黃金反1
