date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2016-10-05,13267000,132596180,9.98,10.05,9.94,9.98,-0.04,925,,00675L,富邦臺灣加權正2
2016-10-06,14835000,147796750,9.98,10.02,9.91,10.01,0.03,259,,00675L,富邦臺灣加權正2
2016-10-07,4922000,49238360,10.03,10.03,9.98,10.0,-0.01,151,,00675L,富邦臺灣加權正2
2016-10-11,12081000,120509390,10.18,10.18,9.78,9.86,-0.14,422,,00675L,富邦臺灣加權正2
2016-10-12,30247000,299176680,9.88,10.05,9.83,10.04,0.18,561,,00675L,富邦臺灣加權正2
2016-10-13,22642000,224434680,10.0,10.02,9.85,9.88,-0.16,789,,00675L,富邦臺灣加權正2
2016-10-14,21386000,210677670,9.84,9.93,9.79,9.83,-0.05,779,,00675L,富邦臺灣加權正2
2016-10-17,16495000,160479510,9.8,9.87,9.61,9.82,-0.01,1057,,00675L,富邦臺灣加權正2
2016-10-18,10124000,99969820,9.84,9.91,9.8,9.9,0.08,649,,00675L,富邦臺灣加權正2
2016-10-19,11627000,116354860,9.93,10.05,9.93,10.0,0.1,869,,00675L,富邦臺灣加權正2
2016-10-20,9400000,94615770,10.02,10.1,9.99,10.09,0.09,697,,00675L,富邦臺灣加權正2
2016-10-21,10439000,105163040,10.06,10.15,10.0,10.06,-0.03,797,,00675L,富邦臺灣加權正2
2016-10-24,8164000,82564660,10.14,10.15,10.06,10.13,0.07,701,,00675L,富邦臺灣加權正2
2016-10-25,9649000,98616800,10.15,10.3,10.14,10.3,0.17,833,,00675L,富邦臺灣加權正2
2016-10-26,9560000,97510480,10.2,10.25,10.17,10.18,-0.12,681,,00675L,富邦臺灣加權正2
2016-10-27,12479000,126162150,10.18,10.21,10.04,10.07,-0.11,1030,,00675L,富邦臺灣加權正2
2016-10-28,7670000,77273510,10.12,10.13,10.03,10.05,-0.02,661,,00675L,富邦臺灣加權正2
2016-10-31,12783000,127440510,9.97,10.11,9.85,10.09,0.04,1138,,00675L,富邦臺灣加權正2
2016-11-01,11674000,117038750,9.99,10.08,9.96,10.07,-0.02,912,,00675L,富邦臺灣加權正2
2016-11-02,30558000,301183530,9.91,9.93,9.77,9.77,-0.3,2391,,00675L,富邦臺灣加權正2
2016-11-03,15281000,148624500,9.78,9.82,9.65,9.65,-0.12,1691,,00675L,富邦臺灣加權正2
2016-11-04,12357000,118925900,9.63,9.67,9.58,9.6,-0.05,1321,,00675L,富邦臺灣加權正2
2016-11-07,17096000,167266500,9.71,9.88,9.71,9.88,0.28,1391,,00675L,富邦臺灣加權正2
2016-11-08,14250000,140960370,9.93,9.94,9.82,9.93,0.05,1295,,00675L,富邦臺灣加權正2
2016-11-09,34363000,331005190,10.05,10.1,9.25,9.3,-0.63,3463,,00675L,富邦臺灣加權正2
2016-11-10,13842000,135453420,9.77,9.85,9.74,9.85,0.55,1412,,00675L,富邦臺灣加權正2
2016-11-11,20373000,192135890,9.5,9.56,9.36,9.36,-0.49,2531,,00675L,富邦臺灣加權正2
2016-11-14,12862000,119922090,9.36,9.42,9.22,9.35,-0.01,1774,,00675L,富邦臺灣加權正2
2016-11-15,10572000,98781000,9.31,9.39,9.29,9.32,-0.03,1172,,00675L,富邦臺灣加權正2
2016-11-16,17054000,161128400,9.42,9.49,9.41,9.42,0.1,1217,,00675L,富邦臺灣加權正2
2016-11-17,9665000,90743180,9.42,9.44,9.33,9.4,-0.02,1009,,00675L,富邦臺灣加權正2
2016-11-18,10015000,94475790,9.41,9.5,9.37,9.48,0.08,1084,,00675L,富邦臺灣加權正2
2016-11-21,9950000,94623010,9.47,9.54,9.46,9.54,0.06,776,,00675L,富邦臺灣加權正2
2016-11-22,11189000,108943110,9.62,9.83,9.62,9.81,0.27,1159,,00675L,富邦臺灣加權正2
2016-11-23,6843000,67454270,9.82,9.9,9.8,9.87,0.06,583,,00675L,富邦臺灣加權正2
2016-11-24,7583000,74315920,9.82,9.84,9.75,9.81,-0.06,751,,00675L,富邦臺灣加權正2
2016-11-25,6801000,66905780,9.8,9.89,9.78,9.84,0.03,490,,00675L,富邦臺灣加權正2
2016-11-28,7288000,72473200,9.83,10.01,9.82,9.97,0.13,598,,00675L,富邦臺灣加權正2
2016-11-29,5688000,56643370,9.97,10.0,9.92,9.94,-0.03,488,,00675L,富邦臺灣加權正2
2016-11-30,6809000,67692980,9.95,10.0,9.87,9.94,0.0,574,,00675L,富邦臺灣加權正2
2016-12-01,12024000,120638720,9.96,10.08,9.96,10.05,0.11,1009,,00675L,富邦臺灣加權正2
2016-12-02,11799000,116239280,9.89,9.89,9.82,9.83,-0.22,1038,,00675L,富邦臺灣加權正2
2016-12-05,10023000,98385340,9.85,9.88,9.76,9.82,-0.01,1073,,00675L,富邦臺灣加權正2
2016-12-06,12818000,128606500,10.0,10.08,10.0,10.05,0.23,1026,,00675L,富邦臺灣加權正2
2016-12-07,7778000,78408760,10.14,10.14,10.02,10.04,-0.01,670,,00675L,富邦臺灣加權正2
2016-12-08,9879000,100987610,10.22,10.27,10.17,10.26,0.22,921,,00675L,富邦臺灣加權正2
2016-12-09,5424000,55965330,10.28,10.34,10.27,10.34,0.08,481,,00675L,富邦臺灣加權正2
2016-12-12,7263000,74961900,10.41,10.43,10.24,10.25,-0.09,706,,00675L,富邦臺灣加權正2
2016-12-13,5548000,56963110,10.26,10.31,10.22,10.31,0.06,385,,00675L,富邦臺灣加權正2
2016-12-14,7174000,73901810,10.35,10.36,10.25,10.28,-0.03,585,,00675L,富邦臺灣加權正2
2016-12-15,7549000,77051980,10.17,10.29,10.15,10.29,0.01,739,,00675L,富邦臺灣加權正2
2016-12-16,4887000,50014920,10.25,10.28,10.18,10.18,-0.11,429,,00675L,富邦臺灣加權正2
2016-12-19,6864000,69256790,10.14,10.17,10.02,10.03,-0.15,571,,00675L,富邦臺灣加權正2
2016-12-20,8673000,86629750,10.05,10.05,9.94,10.0,-0.03,545,,00675L,富邦臺灣加權正2
2016-12-21,7106000,71011980,10.0,10.03,9.97,9.97,-0.03,430,,00675L,富邦臺灣加權正2
2016-12-22,10978000,108144780,9.95,9.95,9.77,9.77,-0.2,1043,,00675L,富邦臺灣加權正2
2016-12-23,8345000,81274600,9.74,9.8,9.69,9.72,-0.05,793,,00675L,富邦臺灣加權正2
2016-12-26,7171000,69776180,9.74,9.76,9.68,9.74,0.02,492,,00675L,富邦臺灣加權正2
2016-12-27,4652000,45303900,9.75,9.76,9.72,9.74,0.0,292,,00675L,富邦臺灣加權正2
2016-12-28,6170000,60847390,9.76,9.94,9.76,9.94,0.2,648,,00675L,富邦臺灣加權正2
2016-12-29,4626000,45792710,9.87,9.94,9.86,9.88,-0.06,387,,00675L,富邦臺灣加權正2
2016-12-30,8618000,86302300,9.99,10.08,9.96,10.04,0.16,584,,00675L,富邦臺灣加權正2
2017-01-03,5134000,51503020,10.02,10.07,9.98,10.05,0.01,319,,00675L,富邦臺灣加權正2
2017-01-04,6693000,67481220,10.09,10.11,10.05,10.08,0.03,472,,00675L,富邦臺灣加權正2
2017-01-05,11569015,117456500,10.06,10.23,10.06,10.23,0.15,952,,00675L,富邦臺灣加權正2
2017-01-06,6238111,63970958,10.23,10.28,10.22,10.26,0.03,449,,00675L,富邦臺灣加權正2
2017-01-09,9992000,102480340,10.31,10.36,10.18,10.2,-0.06,916,,00675L,富邦臺灣加權正2
2017-01-10,6515000,66440650,10.19,10.22,10.17,10.2,0.0,550,,00675L,富邦臺灣加權正2
2017-01-11,10311000,105575800,10.31,10.31,10.19,10.2,0.0,724,,00675L,富邦臺灣加權正2
2017-01-12,12481100,129034727,10.24,10.39,10.24,10.38,0.18,1068,,00675L,富邦臺灣加權正2
2017-01-13,9267000,95313480,10.31,10.31,10.26,10.27,-0.11,740,,00675L,富邦臺灣加權正2
2017-01-16,10285000,103943430,10.18,10.18,10.07,10.08,-0.19,919,,00675L,富邦臺灣加權正2
2017-01-17,11627000,118305400,10.1,10.21,10.1,10.21,0.13,808,,00675L,富邦臺灣加權正2
2017-01-18,6746000,68622080,10.15,10.2,10.14,10.17,-0.04,542,,00675L,富邦臺灣加權正2
2017-01-19,11096000,112219690,10.11,10.16,10.05,10.14,-0.03,907,,00675L,富邦臺灣加權正2
2017-01-20,7474000,76033830,10.12,10.21,10.12,10.21,0.07,558,,00675L,富邦臺灣加權正2
2017-01-23,7375000,76384010,10.3,10.39,10.3,10.38,0.17,567,,00675L,富邦臺灣加權正2
2017-01-24,7044000,73477010,10.38,10.5,10.37,10.47,0.09,522,,00675L,富邦臺灣加權正2
2017-02-02,12533000,131030080,10.54,10.56,10.34,10.36,-0.11,978,,00675L,富邦臺灣加權正2
2017-02-03,9080050,94638311,10.43,10.47,10.37,10.42,0.06,697,,00675L,富邦臺灣加權正2
2017-02-06,11360724,119866332,10.46,10.63,10.46,10.59,0.17,874,,00675L,富邦臺灣加權正2
2017-02-07,6686000,70843710,10.56,10.63,10.54,10.63,0.04,575,,00675L,富邦臺灣加權正2
2017-02-08,9915000,104691490,10.58,10.64,10.5,10.62,-0.01,757,,00675L,富邦臺灣加權正2
2017-02-09,6503000,69360000,10.63,10.75,10.59,10.75,0.13,518,,00675L,富邦臺灣加權正2
2017-02-10,6485050,70531466,10.8,10.98,10.79,10.92,0.17,651,,00675L,富邦臺灣加權正2
2017-02-13,5343000,58704490,10.96,11.02,10.94,11.01,0.09,466,,00675L,富邦臺灣加權正2
2017-02-14,10138000,112350160,11.12,11.13,11.01,11.04,0.03,777,,00675L,富邦臺灣加權正2
2017-02-15,6444000,71856310,11.1,11.27,11.08,11.26,0.22,591,,00675L,富邦臺灣加權正2
2017-02-16,8733000,98295560,11.32,11.37,11.16,11.18,-0.08,817,,00675L,富邦臺灣加權正2
2017-02-17,5543000,61996980,11.21,11.22,11.15,11.18,0.0,400,,00675L,富邦臺灣加權正2
2017-02-18,4215000,47307100,11.21,11.24,11.21,11.24,0.06,223,,00675L,富邦臺灣加權正2
2017-02-20,7412000,83088810,11.26,11.28,11.12,11.12,-0.12,478,,00675L,富邦臺灣加權正2
2017-02-21,5067000,56509470,11.19,11.2,11.11,11.17,0.05,440,,00675L,富邦臺灣加權正2
2017-02-22,6482015,72937078,11.27,11.3,11.2,11.2,0.03,447,,00675L,富邦臺灣加權正2
2017-02-23,5667000,63673470,11.18,11.3,11.18,11.19,-0.01,427,,00675L,富邦臺灣加權正2
2017-02-24,5845000,65325990,11.16,11.21,11.11,11.19,0.0,404,,00675L,富邦臺灣加權正2
2017-03-01,9205000,101961970,11.15,11.16,10.98,10.99,-0.2,802,,00675L,富邦臺灣加權正2
2017-03-02,15950000,176616280,11.16,11.2,10.91,10.98,-0.01,1354,,00675L,富邦臺灣加權正2
2017-03-03,8080000,88188360,10.91,10.96,10.88,10.88,-0.1,801,,00675L,富邦臺灣加權正2
2017-03-06,5036000,55093360,10.86,10.98,10.86,10.98,0.1,462,,00675L,富邦臺灣加權正2
2017-03-07,5957000,65777820,11.03,11.09,10.99,11.09,0.11,566,,00675L,富邦臺灣加權正2
2017-03-08,6706000,74452740,11.1,11.16,11.03,11.14,0.05,627,,00675L,富邦臺灣加權正2
2017-03-09,10688000,117171290,11.1,11.1,10.91,10.91,-0.23,1048,,00675L,富邦臺灣加權正2
2017-03-10,8693333,94018583,10.87,10.89,10.71,10.88,-0.03,911,,00675L,富邦臺灣加權正2
2017-03-13,5574000,61175870,10.92,11.01,10.92,11.0,0.12,633,,00675L,富邦臺灣加權正2
2017-03-14,6867000,76318100,11.06,11.17,11.06,11.15,0.15,630,,00675L,富邦臺灣加權正2
2017-03-15,6128000,68010420,11.09,11.13,11.06,11.11,-0.04,553,,00675L,富邦臺灣加權正2
2017-03-16,12218000,138304290,11.23,11.37,11.23,11.36,0.25,813,,00675L,富邦臺灣加權正2
2017-03-17,5656000,64483920,11.41,11.46,11.35,11.46,0.1,463,,00675L,富邦臺灣加權正2
2017-03-20,4353000,49961370,11.42,11.51,11.41,11.49,0.03,361,,00675L,富邦臺灣加權正2
2017-03-21,5598000,65056100,11.56,11.67,11.55,11.66,0.17,479,,00675L,富邦臺灣加權正2
2017-03-22,7282000,83384540,11.47,11.49,11.39,11.47,-0.19,667,,00675L,富邦臺灣加權正2
2017-03-23,6578000,75845540,11.59,11.6,11.44,11.53,0.06,434,,00675L,富邦臺灣加權正2
2017-03-24,5745000,66054210,11.51,11.54,11.46,11.48,-0.05,357,,00675L,富邦臺灣加權正2
2017-03-27,5194000,59455750,11.38,11.52,11.38,11.42,-0.06,372,,00675L,富邦臺灣加權正2
2017-03-28,9226000,105315940,11.52,11.55,11.27,11.41,-0.01,687,,00675L,富邦臺灣加權正2
2017-03-29,4830000,55102530,11.46,11.48,11.37,11.39,-0.02,484,,00675L,富邦臺灣加權正2
2017-03-30,3967000,45188450,11.4,11.45,11.34,11.38,-0.01,288,,00675L,富邦臺灣加權正2
2017-03-31,4116000,46787110,11.4,11.42,11.31,11.31,-0.07,228,,00675L,富邦臺灣加權正2
2017-04-05,5281000,60647789,11.38,11.57,11.38,11.57,0.26,351,,00675L,富邦臺灣加權正2
2017-04-06,2738000,31432080,11.56,11.56,11.44,11.46,-0.11,186,,00675L,富邦臺灣加權正2
2017-04-07,6739000,76361120,11.41,11.46,11.2,11.39,-0.07,491,,00675L,富邦臺灣加權正2
2017-04-10,2524015,28803868,11.42,11.45,11.37,11.41,0.02,126,,00675L,富邦臺灣加權正2
2017-04-11,3120000,35405080,11.36,11.46,11.28,11.3,-0.11,268,,00675L,富邦臺灣加權正2
2017-04-12,2518000,28386470,11.28,11.31,11.21,11.28,-0.02,145,,00675L,富邦臺灣加權正2
2017-04-13,2926000,33165830,11.25,11.4,11.24,11.37,0.09,201,,00675L,富邦臺灣加權正2
2017-04-14,5164000,57675820,11.24,11.24,11.06,11.06,-0.31,437,,00675L,富邦臺灣加權正2
2017-04-17,3140000,34674180,11.13,11.14,10.98,11.08,0.02,265,,00675L,富邦臺灣加權正2
2017-04-18,2756000,30609310,11.15,11.17,11.08,11.1,0.02,174,,00675L,富邦臺灣加權正2
2017-04-19,3493000,38149500,10.97,11.0,10.85,10.88,-0.22,385,,00675L,富邦臺灣加權正2
2017-04-20,3621000,39257730,10.82,10.9,10.8,10.85,-0.03,205,,00675L,富邦臺灣加權正2
2017-04-21,3186000,35056360,10.96,11.06,10.96,11.05,0.2,242,,00675L,富邦臺灣加權正2
2017-04-24,2277000,25208670,11.17,11.18,11.01,11.05,0.0,207,,00675L,富邦臺灣加權正2
2017-04-25,5288000,59319830,11.14,11.29,11.11,11.29,0.24,352,,00675L,富邦臺灣加權正2
2017-04-26,3510000,39947550,11.4,11.43,11.34,11.37,0.08,249,,00675L,富邦臺灣加權正2
2017-04-27,2901000,32874540,11.35,11.38,11.3,11.36,-0.01,150,,00675L,富邦臺灣加權正2
2017-04-28,3738000,42595030,11.37,11.45,11.35,11.41,0.05,186,,00675L,富邦臺灣加權正2
2017-05-02,4310000,49903830,11.55,11.61,11.55,11.56,0.15,375,,00675L,富邦臺灣加權正2
2017-05-03,2767000,32101950,11.58,11.64,11.58,11.59,0.03,136,,00675L,富邦臺灣加權正2
2017-05-04,2275000,26352610,11.61,11.63,11.54,11.61,0.02,106,,00675L,富邦臺灣加權正2
2017-05-05,2365000,27271350,11.58,11.58,11.47,11.47,-0.14,218,,00675L,富邦臺灣加權正2
2017-05-08,2438000,28159920,11.6,11.61,11.47,11.52,0.05,147,,00675L,富邦臺灣加權正2
2017-05-09,5054000,58660600,11.56,11.69,11.49,11.52,0.0,236,,00675L,富邦臺灣加權正2
2017-05-10,2153000,24944080,11.56,11.62,11.54,11.62,0.1,84,,00675L,富邦臺灣加權正2
2017-05-11,4798000,55959140,11.59,11.7,11.59,11.7,0.08,221,,00675L,富邦臺灣加權正2
2017-05-12,2386000,27847550,11.67,11.7,11.65,11.67,-0.03,118,,00675L,富邦臺灣加權正2
2017-05-15,2062000,24210330,11.67,11.8,11.67,11.8,0.13,151,,00675L,富邦臺灣加權正2
2017-05-16,2799000,32958330,11.8,11.83,11.72,11.77,-0.03,133,,00675L,富邦臺灣加權正2
2017-05-17,2204000,25820380,11.73,11.75,11.68,11.72,-0.05,99,,00675L,富邦臺灣加權正2
2017-05-18,3203000,37046550,11.55,11.65,11.48,11.65,-0.07,221,,00675L,富邦臺灣加權正2
2017-05-19,1792000,20841430,11.63,11.65,11.6,11.63,-0.02,59,,00675L,富邦臺灣加權正2
2017-05-22,1693000,19769500,11.65,11.69,11.63,11.69,0.06,76,,00675L,富邦臺灣加權正2
2017-05-23,2310000,27115270,11.69,11.78,11.68,11.76,0.07,108,,00675L,富邦臺灣加權正2
2017-05-24,1284000,15149500,11.77,11.81,11.77,11.8,0.04,123,,00675L,富邦臺灣加權正2
2017-05-25,2067000,24718890,11.88,12.0,11.88,12.0,0.2,182,,00675L,富邦臺灣加權正2
2017-05-26,5506100,66165218,12.03,12.04,11.94,11.96,-0.04,180,,00675L,富邦臺灣加權正2
2017-05-31,2266000,26935420,11.96,11.99,11.8,11.81,-0.15,163,,00675L,富邦臺灣加權正2
2017-06-01,1885000,22427440,11.83,11.92,11.83,11.91,0.1,92,,00675L,富邦臺灣加權正2
2017-06-02,1811000,21792180,12.03,12.06,11.99,12.04,0.13,115,,00675L,富邦臺灣加權正2
2017-06-03,924000,11173670,12.08,12.12,12.07,12.11,0.07,100,,00675L,富邦臺灣加權正2
2017-06-05,1226000,14868610,12.06,12.22,12.06,12.22,0.11,119,,00675L,富邦臺灣加權正2
2017-06-06,1756000,21428740,12.19,12.23,12.18,12.19,-0.03,81,,00675L,富邦臺灣加權正2
2017-06-07,1281000,15646540,12.23,12.28,12.15,12.21,0.02,108,,00675L,富邦臺灣加權正2
2017-06-08,2162000,26418570,12.19,12.26,12.18,12.24,0.03,69,,00675L,富邦臺灣加權正2
2017-06-09,2244000,27498960,12.29,12.34,12.2,12.2,-0.04,480,,00675L,富邦臺灣加權正2
