date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-01-16,3406000,66927550,19.55,19.77,19.55,19.57,-0.32,993,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-01-17,2561000,50551480,19.72,19.78,19.7,19.75,0.18,641,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-01-18,1645000,32003300,19.61,19.61,19.35,19.44,-0.31,308,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-01-19,1118000,21787990,19.5,19.51,19.47,19.48,0.04,169,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-01-20,1085000,21001780,19.4,19.4,19.34,19.34,-0.14,247,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-01-23,1762000,33682790,19.21,19.21,19.08,19.1,-0.24,381,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-01-24,1972734,37239085,19.0,19.0,18.79,18.85,-0.25,435,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-02,2006266,38805788,19.19,19.42,19.16,19.38,0.53,497,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-03,1453000,28144980,19.43,19.43,19.34,19.38,0.0,186,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-06,1518000,29633950,19.45,19.57,19.44,19.54,0.16,303,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-07,1594000,31236920,19.54,19.61,19.53,19.61,0.07,263,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-08,2194000,43161530,19.61,19.7,19.58,19.7,0.09,238,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-09,1986000,39072830,19.72,19.72,19.63,19.7,0.0,194,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-10,1866000,37068910,19.75,19.9,19.75,19.86,0.16,258,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-13,1194000,23663230,19.87,19.87,19.72,19.85,-0.01,127,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-14,1570000,31166120,19.99,19.99,19.8,19.8,-0.05,187,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-15,2568000,51225440,19.9,20.01,19.88,20.01,0.21,358,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-16,3615000,72686740,20.1,20.18,20.06,20.09,0.08,691,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-17,976000,19551390,20.06,20.09,20.01,20.04,-0.05,148,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-18,745000,14959280,20.09,20.1,20.04,20.06,0.02,178,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-20,2302000,46308660,20.09,20.14,20.09,20.12,0.06,379,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-21,1892000,38080640,20.15,20.15,20.11,20.14,0.02,192,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-22,1184000,23763880,20.1,20.1,20.02,20.06,-0.08,121,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-23,1186300,23707895,20.01,20.01,19.95,19.99,-0.07,110,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-02-24,1510000,30035280,19.89,19.93,19.87,19.93,-0.06,126,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-01,2539593,51090874,20.05,20.16,20.04,20.16,0.23,304,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-02,3793000,77394010,20.36,20.46,20.2,20.42,0.26,567,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-03,2995000,61259860,20.52,20.52,20.29,20.29,-0.13,326,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-06,1389000,28372290,20.4,20.47,20.4,20.44,0.15,172,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-07,1834486,37512052,20.44,20.48,20.4,20.42,-0.02,403,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-08,642000,12899400,20.34,20.34,20.01,20.06,-0.36,147,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-09,1203000,24304600,20.19,20.22,20.13,20.21,0.15,158,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-10,1484000,30167010,20.45,20.45,20.3,20.35,0.14,164,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-13,1448000,29554170,20.43,20.43,20.37,20.41,0.06,321,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-14,270000,5497030,20.38,20.38,20.35,20.35,-0.06,77,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-15,411000,8317050,20.3,20.3,20.2,20.22,-0.13,102,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-16,848000,17215700,20.32,20.33,20.29,20.29,0.07,145,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-17,821000,16555080,20.28,20.28,20.13,20.13,-0.16,124,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-20,248000,4963850,20.08,20.08,20.0,20.01,-0.12,98,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-21,62000,1242410,20.0,20.08,20.0,20.05,0.04,29,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-22,1238000,24351090,19.87,19.89,19.62,19.62,-0.43,422,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-23,85000,1674920,19.67,19.73,19.67,19.72,0.1,41,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-24,296000,5823270,19.72,19.72,19.65,19.66,-0.06,94,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-27,159000,3112960,19.66,19.66,19.5,19.5,-0.16,82,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-28,99000,1939210,19.55,19.65,19.55,19.6,0.1,47,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-29,154000,3032650,19.64,19.74,19.64,19.74,0.14,60,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-30,381000,7571770,19.72,19.92,19.72,19.9,0.16,109,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-03-31,113000,2241180,19.9,19.94,19.78,19.87,-0.03,56,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-04-05,50000,987660,19.73,19.83,19.73,19.82,-0.05,29,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
2017-04-06,76000,1495580,19.69,19.74,19.67,19.67,-0.15,41,,00678,群益那斯達克生技(原簡稱:群益NBI生技)
