date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-03-14,948000,18847310,19.92,19.92,19.87,19.87,-0.11,53,,00684R,期元大美元指反1
2017-03-15,824000,16323420,19.82,19.82,19.8,19.8,-0.07,16,,00684R,期元大美元指反1
2017-03-16,537000,10739970,20.0,20.01,19.99,19.99,0.19,33,,00684R,期元大美元指反1
2017-03-17,139000,2787300,20.04,20.07,20.04,20.05,0.06,29,,00684R,期元大美元指反1
2017-03-20,512000,10268920,20.06,20.06,20.04,20.06,0.01,15,,00684R,期元大美元指反1
2017-03-21,690000,13818060,20.06,20.06,20.01,20.02,-0.04,22,,00684R,期元大美元指反1
2017-03-22,371000,7465280,20.11,20.15,20.11,20.14,0.12,127,,00684R,期元大美元指反1
2017-03-23,858000,17293280,20.15,20.16,20.15,20.16,0.02,49,,00684R,期元大美元指反1
2017-03-24,821000,16514630,20.13,20.13,20.11,20.12,-0.04,21,,00684R,期元大美元指反1
2017-03-27,556000,11251380,20.23,20.26,20.22,20.26,0.14,125,,00684R,期元大美元指反1
2017-03-28,713000,14431250,20.25,20.25,20.24,20.24,-0.02,23,,00684R,期元大美元指反1
2017-03-29,775000,15591510,20.12,20.12,20.1,20.1,-0.14,70,,00684R,期元大美元指反1
2017-03-30,130000,2604780,20.03,20.04,20.02,20.04,-0.06,94,,00684R,期元大美元指反1
2017-03-31,5000,99900,19.98,19.98,19.98,19.98,-0.06,1,,00684R,期元大美元指反1
2017-04-05,16000,319630,19.97,19.98,19.97,19.98,0.0,2,,00684R,期元大美元指反1
2017-04-06,1000,19990,19.99,19.99,19.99,19.99,0.01,1,,00684R,期元大美元指反1
2017-04-07,28000,558960,19.95,19.97,19.93,19.96,-0.03,7,,00684R,期元大美元指反1
2017-04-10,32000,634280,19.81,19.85,19.81,19.82,-0.14,5,,00684R,期元大美元指反1
2017-04-11,5000,99250,19.85,19.85,19.85,19.85,0.03,1,,00684R,期元大美元指反1
2017-04-12,62000,1236760,19.93,19.96,19.93,19.96,0.11,45,,00684R,期元大美元指反1
2017-04-13,54000,1082310,20.04,20.06,20.02,20.06,0.1,12,,00684R,期元大美元指反1
2017-04-14,53000,1057160,19.99,20.02,19.82,20.02,-0.04,11,,00684R,期元大美元指反1
2017-04-17,1001000,20010000,19.99,20.0,19.99,20.0,-0.02,24,,00684R,期元大美元指反1
2017-04-18,1276000,25519750,19.97,20.0,19.97,20.0,0.0,20,,00684R,期元大美元指反1
2017-04-19,831000,16731630,20.14,20.14,20.1,20.1,0.1,21,,00684R,期元大美元指反1
2017-04-20,1073000,21559690,20.09,20.1,20.05,20.09,-0.01,26,,00684R,期元大美元指反1
2017-04-21,1000,20080,20.08,20.08,20.08,20.08,-0.01,1,,00684R,期元大美元指反1
2017-04-24,579000,11701510,20.21,20.24,20.17,20.24,0.16,14,,00684R,期元大美元指反1
2017-04-25,440000,8929140,20.35,20.35,20.22,20.22,-0.02,12,,00684R,期元大美元指反1
2017-04-26,100000,2026940,20.27,20.27,20.26,20.27,0.05,68,,00684R,期元大美元指反1
2017-04-27,6000,121430,20.23,20.24,20.23,20.24,-0.03,2,,00684R,期元大美元指反1
2017-04-28,798000,16110060,20.18,20.2,20.17,20.17,-0.07,26,,00684R,期元大美元指反1
2017-05-02,260000,5260700,20.18,20.26,20.18,20.26,0.09,7,,00684R,期元大美元指反1
2017-05-03,363000,7359500,20.24,20.28,20.24,20.26,0.0,16,,00684R,期元大美元指反1
2017-05-04,128000,2580150,20.17,20.17,20.15,20.15,-0.11,6,,00684R,期元大美元指反1
2017-05-05,694000,14053730,20.25,20.26,20.24,20.24,0.09,33,,00684R,期元大美元指反1
2017-05-08,794000,16120490,20.26,20.31,20.25,20.31,0.07,77,,00684R,期元大美元指反1
2017-05-09,78000,1577160,20.21,20.26,20.21,20.26,-0.05,5,,00684R,期元大美元指反1
2017-05-10,29000,584640,20.16,20.16,20.16,20.16,-0.1,4,,00684R,期元大美元指反1
2017-05-11,13000,261410,20.11,20.11,20.1,20.1,-0.06,2,,00684R,期元大美元指反1
2017-05-12,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-05-15,12000,242310,20.19,20.2,20.19,20.2,0.0,4,,00684R,期元大美元指反1
2017-05-16,5000,101460,20.3,20.3,20.26,20.3,0.1,4,,00684R,期元大美元指反1
2017-05-17,508000,10385410,20.41,20.46,20.41,20.46,0.16,17,,00684R,期元大美元指反1
2017-05-18,13000,267580,20.59,20.59,20.56,20.56,0.1,7,,00684R,期元大美元指反1
2017-05-19,15000,307500,20.5,20.5,20.5,20.5,-0.06,2,,00684R,期元大美元指反1
2017-05-22,1000,20590,20.59,20.59,20.59,20.59,0.09,1,,00684R,期元大美元指反1
2017-05-23,7000,144520,20.64,20.66,20.64,20.66,0.07,2,,00684R,期元大美元指反1
2017-05-24,6000,123500,20.6,20.6,20.58,20.58,-0.08,2,,00684R,期元大美元指反1
2017-05-25,3000,62010,20.67,20.67,20.67,20.67,0.09,1,,00684R,期元大美元指反1
2017-05-26,15000,308640,20.56,20.58,20.56,20.58,-0.09,3,,00684R,期元大美元指反1
2017-05-31,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-06-01,5000,103310,20.66,20.67,20.66,20.67,0.0,3,,00684R,期元大美元指反1
2017-06-02,245000,5048440,20.6,20.61,20.6,20.61,-0.06,6,,00684R,期元大美元指反1
2017-06-03,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-06-05,2000,41360,20.68,20.68,20.68,20.68,0.0,2,,00684R,期元大美元指反1
2017-06-06,3000,62230,20.75,20.75,20.74,20.74,0.06,2,,00684R,期元大美元指反1
2017-06-07,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-06-08,1000,20720,20.72,20.72,20.72,20.72,0.0,1,,00684R,期元大美元指反1
2017-06-09,108000,2222720,20.58,20.61,20.58,20.61,-0.11,5,,00684R,期元大美元指反1
2017-06-12,216000,4458240,20.64,20.64,20.64,20.64,0.03,3,,00684R,期元大美元指反1
2017-06-13,11000,226600,20.6,20.6,20.6,20.6,-0.04,4,,00684R,期元大美元指反1
2017-06-14,1000,20690,20.69,20.69,20.69,20.69,0.09,1,,00684R,期元大美元指反1
2017-06-15,1000,20720,20.72,20.72,20.72,20.72,0.03,1,,00684R,期元大美元指反1
2017-06-16,2000,41160,20.58,20.58,20.58,20.58,-0.14,2,,00684R,期元大美元指反1
2017-06-19,16000,330260,20.6,20.66,20.6,20.66,0.08,3,,00684R,期元大美元指反1
2017-06-20,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-06-21,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-06-22,1000,20550,20.55,20.55,20.55,20.55,0.0,1,,00684R,期元大美元指反1
2017-06-23,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-06-26,86000,1769870,20.68,20.68,20.57,20.58,0.0,10,,00684R,期元大美元指反1
2017-06-27,50000,1026900,20.54,20.55,20.53,20.53,-0.05,5,,00684R,期元大美元指反1
2017-06-28,60000,1243800,20.72,20.74,20.72,20.73,0.2,6,,00684R,期元大美元指反1
2017-06-29,54000,1122400,20.76,20.87,20.76,20.87,0.14,9,,00684R,期元大美元指反1
2017-06-30,54000,1127500,20.88,20.96,20.87,20.96,0.09,9,,00684R,期元大美元指反1
2017-07-03,5000,104510,20.92,20.92,20.83,20.83,-0.13,3,,00684R,期元大美元指反1
2017-07-04,11000,229020,20.82,20.82,20.82,20.82,-0.01,2,,00684R,期元大美元指反1
2017-07-05,3000,62290,20.73,20.83,20.73,20.83,0.01,3,,00684R,期元大美元指反1
2017-07-06,1000,20800,20.8,20.8,20.8,20.8,-0.03,1,,00684R,期元大美元指反1
2017-07-07,11000,229690,20.89,20.89,20.87,20.87,0.07,3,,00684R,期元大美元指反1
2017-07-10,10000,207600,20.76,20.76,20.76,20.76,-0.11,1,,00684R,期元大美元指反1
2017-07-11,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-07-12,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-07-13,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-07-14,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-07-17,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-07-18,3000,63140,21.05,21.05,21.04,21.05,0.0,3,,00684R,期元大美元指反1
2017-07-19,11000,232330,21.13,21.13,21.12,21.12,0.07,2,,00684R,期元大美元指反1
2017-07-20,1000,21120,21.12,21.12,21.12,21.12,0.0,1,,00684R,期元大美元指反1
2017-07-21,1000,21240,21.24,21.24,21.24,21.24,0.12,1,,00684R,期元大美元指反1
2017-07-24,26000,554040,21.29,21.32,21.29,21.32,0.08,8,,00684R,期元大美元指反1
2017-07-25,5000,106400,21.28,21.28,21.28,21.28,-0.04,1,,00684R,期元大美元指反1
2017-07-26,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-07-27,24000,512110,21.3,21.36,21.3,21.36,0.0,4,,00684R,期元大美元指反1
2017-07-28,5000,106400,21.28,21.28,21.28,21.28,-0.08,1,,00684R,期元大美元指反1
2017-07-31,12000,257160,21.43,21.43,21.43,21.43,0.15,3,,00684R,期元大美元指反1
2017-08-01,1000,21500,21.5,21.5,21.5,21.5,0.07,1,,00684R,期元大美元指反1
2017-08-02,30000,641790,21.4,21.4,21.39,21.39,-0.11,3,,00684R,期元大美元指反1
2017-08-03,4000,86080,21.52,21.52,21.52,21.52,0.13,2,,00684R,期元大美元指反1
2017-08-04,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-07,10000,214200,21.42,21.42,21.42,21.42,0.0,1,,00684R,期元大美元指反1
2017-08-08,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-09,7000,148750,21.25,21.25,21.25,21.25,0.0,4,,00684R,期元大美元指反1
2017-08-10,5000,106300,21.26,21.26,21.26,21.26,0.01,1,,00684R,期元大美元指反1
2017-08-11,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-14,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-15,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-16,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-17,2000,42580,21.29,21.29,21.29,21.29,0.0,2,,00684R,期元大美元指反1
2017-08-18,1000,21340,21.34,21.34,21.34,21.34,0.05,1,,00684R,期元大美元指反1
2017-08-21,1000,21340,21.34,21.34,21.34,21.34,0.0,1,,00684R,期元大美元指反1
2017-08-22,1000,21340,21.34,21.34,21.34,21.34,0.0,1,,00684R,期元大美元指反1
2017-08-23,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-24,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-25,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-08-28,1000,21520,21.52,21.52,21.52,21.52,0.0,1,,00684R,期元大美元指反1
2017-08-29,12000,258000,21.5,21.5,21.5,21.5,-0.02,3,,00684R,期元大美元指反1
2017-08-30,130000,2793700,21.49,21.49,21.49,21.49,-0.01,6,,00684R,期元大美元指反1
2017-08-31,2000,42540,21.27,21.27,21.27,21.27,-0.22,1,,00684R,期元大美元指反1
2017-09-01,2000,42720,21.36,21.36,21.36,21.36,0.09,1,,00684R,期元大美元指反1
2017-09-04,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-05,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-06,5000,107980,21.62,21.62,21.58,21.58,0.0,3,,00684R,期元大美元指反1
2017-09-07,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-08,8000,173080,21.62,21.66,21.62,21.66,0.0,3,,00684R,期元大美元指反1
2017-09-11,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-12,3000,64600,21.58,21.58,21.51,21.51,0.0,2,,00684R,期元大美元指反1
2017-09-13,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-14,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-15,2000,42980,21.49,21.49,21.49,21.49,0.0,1,,00684R,期元大美元指反1
2017-09-18,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-19,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-20,2000,43080,21.54,21.54,21.54,21.54,0.0,1,,00684R,期元大美元指反1
2017-09-21,4000,85530,21.48,21.48,21.35,21.35,-0.19,3,,00684R,期元大美元指反1
2017-09-22,3000,64490,21.51,21.51,21.49,21.49,0.14,2,,00684R,期元大美元指反1
2017-09-25,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-26,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-27,7000,149380,21.34,21.34,21.34,21.34,0.0,1,,00684R,期元大美元指反1
2017-09-28,4000,84480,21.12,21.12,21.12,21.12,-0.22,2,,00684R,期元大美元指反1
2017-09-29,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-09-30,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-02,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-03,3000,63150,21.04,21.06,21.04,21.06,0.0,3,,00684R,期元大美元指反1
2017-10-05,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-06,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-11,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-12,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-13,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-16,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-17,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-18,2000,42270,21.09,21.18,21.09,21.18,0.0,2,,00684R,期元大美元指反1
2017-10-19,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-20,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-23,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-24,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-25,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-10-26,1000,21170,21.17,21.17,21.17,21.17,0.0,1,,00684R,期元大美元指反1
2017-10-27,101000,2100890,20.8,20.89,20.8,20.89,-0.28,4,,00684R,期元大美元指反1
2017-10-30,2000,41650,20.88,20.88,20.77,20.77,-0.12,2,,00684R,期元大美元指反1
2017-10-31,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-01,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-02,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-03,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-06,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-07,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-08,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-09,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-10,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-13,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-14,200000,4175500,20.88,20.88,20.87,20.88,0.0,4,,00684R,期元大美元指反1
2017-11-15,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-16,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-17,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-20,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-21,50000,1046000,20.92,20.92,20.92,20.92,0.0,2,,00684R,期元大美元指反1
2017-11-22,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-23,1000,21090,21.09,21.09,21.09,21.09,0.0,1,,00684R,期元大美元指反1
2017-11-24,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-27,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-28,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-29,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-11-30,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-01,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-01,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-04,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-04,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-05,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-05,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-06,1000,21080,21.08,21.08,21.08,21.08,0.0,1,,00684R,期元大美元指反1
2017-12-06,1000,21080,21.08,21.08,21.08,21.08,0.0,1,,00684R,期元大美元指反1
2017-12-07,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-07,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-08,139000,2909360,21.02,21.02,20.93,20.93,0.0,5,,00684R,期元大美元指反1
2017-12-08,139000,2909360,21.02,21.02,20.93,20.93,0.0,5,,00684R,期元大美元指反1
2017-12-11,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-11,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-12,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-12,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-13,587000,12246430,20.94,20.94,20.85,20.85,0.0,24,,00684R,期元大美元指反1
2017-12-13,587000,12246430,20.94,20.94,20.85,20.85,0.0,24,,00684R,期元大美元指反1
2017-12-14,105000,2209410,21.02,21.05,21.02,21.04,0.19,10,,00684R,期元大美元指反1
2017-12-14,105000,2209410,21.02,21.05,21.02,21.04,0.19,10,,00684R,期元大美元指反1
2017-12-15,240000,5059900,21.08,21.09,21.08,21.09,0.05,10,,00684R,期元大美元指反1
2017-12-15,240000,5059900,21.08,21.09,21.08,21.09,0.05,10,,00684R,期元大美元指反1
2017-12-18,168000,3529680,21.02,21.03,20.9,21.03,-0.06,7,,00684R,期元大美元指反1
2017-12-18,168000,3529680,21.02,21.03,20.9,21.03,-0.06,7,,00684R,期元大美元指反1
2017-12-19,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-19,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-20,12000,253080,21.08,21.1,21.08,21.1,0.0,4,,00684R,期元大美元指反1
2017-12-20,12000,253080,21.08,21.1,21.08,21.1,0.0,4,,00684R,期元大美元指反1
2017-12-21,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-21,0,0,,,,,0.0,0,,00684R,期元大美元指反1
2017-12-22,65000,1365600,21.01,21.01,21.0,21.0,0.0,3,,00684R,期元大美元指反1
