date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-03-30,2013000,20033190,9.94,10.0,9.91,9.92,-0.06,886,,00685L,群益臺灣加權正2
2017-03-31,2233000,22171670,9.94,9.96,9.88,9.88,-0.04,198,,00685L,群益臺灣加權正2
2017-04-05,3815000,38183700,9.94,10.05,9.94,10.05,0.17,539,,00685L,群益臺灣加權正2
2017-04-06,1012000,10114610,10.04,10.04,9.95,9.96,-0.09,58,,00685L,群益臺灣加權正2
2017-04-07,1406000,13807030,9.93,9.93,9.75,9.89,-0.07,98,,00685L,群益臺灣加權正2
2017-04-10,958000,9504710,9.91,9.94,9.88,9.93,0.04,44,,00685L,群益臺灣加權正2
2017-04-11,2075000,20626850,9.88,10.0,9.85,9.86,-0.07,64,,00685L,群益臺灣加權正2
2017-04-12,1481000,14567600,9.85,9.87,9.78,9.84,-0.02,55,,00685L,群益臺灣加權正2
2017-04-13,1522000,15053960,9.84,9.94,9.84,9.91,0.07,47,,00685L,群益臺灣加權正2
2017-04-14,1645000,16038150,9.81,9.81,9.68,9.68,-0.23,90,,00685L,群益臺灣加權正2
2017-04-17,875000,8445290,9.73,9.73,9.59,9.66,-0.02,48,,00685L,群益臺灣加權正2
2017-04-18,833000,8084050,9.76,9.76,9.68,9.7,0.04,30,,00685L,群益臺灣加權正2
2017-04-19,1228000,11767320,9.61,9.64,9.51,9.52,-0.18,95,,00685L,群益臺灣加權正2
2017-04-20,2058000,19599780,9.5,9.56,9.48,9.53,0.01,91,,00685L,群益臺灣加權正2
2017-04-21,1576000,15205940,9.61,9.69,9.61,9.69,0.16,77,,00685L,群益臺灣加權正2
2017-04-24,1093000,10598750,9.8,9.81,9.65,9.71,0.02,57,,00685L,群益臺灣加權正2
2017-04-25,2144000,21056510,9.77,9.89,9.74,9.89,0.18,103,,00685L,群益臺灣加權正2
2017-04-26,1623000,16183650,9.98,10.0,9.93,9.96,0.07,93,,00685L,群益臺灣加權正2
2017-04-27,1344000,13352220,9.95,9.96,9.9,9.96,0.0,42,,00685L,群益臺灣加權正2
2017-04-28,1418000,14145110,9.96,10.03,9.95,9.98,0.02,42,,00685L,群益臺灣加權正2
2017-05-02,3429000,34716330,10.13,10.16,10.1,10.1,0.12,166,,00685L,群益臺灣加權正2
2017-05-03,1386000,14048690,10.11,10.17,10.11,10.12,0.02,98,,00685L,群益臺灣加權正2
2017-05-04,1669000,16887500,10.15,10.17,10.09,10.14,0.02,63,,00685L,群益臺灣加權正2
2017-05-05,1848000,18625150,10.13,10.13,10.02,10.02,-0.12,123,,00685L,群益臺灣加權正2
2017-05-08,1751000,17641500,10.13,10.15,10.05,10.07,0.05,33,,00685L,群益臺灣加權正2
2017-05-09,3082000,31326020,10.11,10.22,10.05,10.08,0.01,104,,00685L,群益臺灣加權正2
2017-05-10,1666000,16861990,10.1,10.15,10.08,10.14,0.06,59,,00685L,群益臺灣加權正2
2017-05-11,2522000,25726940,10.15,10.23,10.14,10.23,0.09,105,,00685L,群益臺灣加權正2
2017-05-12,1769000,18076670,10.23,10.25,10.2,10.2,-0.03,46,,00685L,群益臺灣加權正2
2017-05-15,1501000,15423960,10.22,10.3,10.22,10.3,0.1,60,,00685L,群益臺灣加權正2
2017-05-16,1223000,12607350,10.33,10.35,10.26,10.3,0.0,35,,00685L,群益臺灣加權正2
2017-05-17,1226000,12558030,10.3,10.3,10.22,10.25,-0.05,40,,00685L,群益臺灣加權正2
2017-05-18,1436000,14522450,10.1,10.19,10.05,10.18,-0.07,114,,00685L,群益臺灣加權正2
2017-05-19,1057000,10749510,10.18,10.19,10.15,10.16,-0.02,31,,00685L,群益臺灣加權正2
2017-05-22,812000,8289820,10.19,10.24,10.19,10.24,0.08,26,,00685L,群益臺灣加權正2
2017-05-23,1013000,10403650,10.22,10.31,10.22,10.29,0.05,40,,00685L,群益臺灣加權正2
2017-05-24,1555000,16031660,10.29,10.33,10.29,10.33,0.04,43,,00685L,群益臺灣加權正2
2017-05-25,849000,8876390,10.41,10.49,10.4,10.49,0.16,46,,00685L,群益臺灣加權正2
2017-05-26,1195000,12502990,10.51,10.52,10.43,10.45,-0.04,39,,00685L,群益臺灣加權正2
2017-05-31,802000,8378410,10.48,10.48,10.35,10.35,-0.1,23,,00685L,群益臺灣加權正2
2017-06-01,1383000,14386410,10.38,10.43,10.38,10.43,0.08,35,,00685L,群益臺灣加權正2
2017-06-02,1442000,15189730,10.56,10.56,10.51,10.53,0.1,24,,00685L,群益臺灣加權正2
2017-06-03,952000,10081960,10.56,10.62,10.56,10.61,0.08,29,,00685L,群益臺灣加權正2
2017-06-05,1111000,11831600,10.55,10.69,10.55,10.69,0.08,32,,00685L,群益臺灣加權正2
2017-06-06,792000,8458680,10.68,10.7,10.66,10.69,0.0,21,,00685L,群益臺灣加權正2
2017-06-07,828000,8869580,10.71,10.75,10.67,10.69,0.0,21,,00685L,群益臺灣加權正2
2017-06-08,555000,5948070,10.68,10.73,10.68,10.73,0.04,14,,00685L,群益臺灣加權正2
2017-06-09,565000,6069730,10.79,10.8,10.7,10.73,0.0,215,,00685L,群益臺灣加權正2
2017-06-12,652000,6899290,10.54,10.62,10.51,10.54,-0.19,223,,00685L,群益臺灣加權正2
2017-06-13,148000,1563080,10.58,10.58,10.54,10.55,0.01,12,,00685L,群益臺灣加權正2
2017-06-14,119000,1246500,10.62,10.62,10.38,10.4,-0.15,19,,00685L,群益臺灣加權正2
2017-06-15,276000,2874030,10.4,10.45,10.34,10.42,0.02,18,,00685L,群益臺灣加權正2
2017-06-16,558000,5872760,10.45,10.61,10.43,10.61,0.19,35,,00685L,群益臺灣加權正2
2017-06-19,625000,6688370,10.64,10.79,10.64,10.78,0.17,24,,00685L,群益臺灣加權正2
2017-06-20,714000,7796230,10.86,11.0,10.86,11.0,0.22,33,,00685L,群益臺灣加權正2
2017-06-21,812000,8895870,10.91,11.04,10.87,11.04,0.04,27,,00685L,群益臺灣加權正2
2017-06-22,802000,8882570,11.07,11.11,11.03,11.11,0.07,24,,00685L,群益臺灣加權正2
2017-06-23,1160000,12884130,11.11,11.16,11.07,11.09,-0.02,27,,00685L,群益臺灣加權正2
2017-06-26,2836000,32259420,11.1,11.49,11.1,11.47,0.38,65,,00685L,群益臺灣加權正2
2017-06-27,1199000,13750540,11.5,11.52,11.41,11.46,-0.01,38,,00685L,群益臺灣加權正2
2017-06-28,1904000,21502420,11.32,11.37,11.18,11.25,-0.21,312,,00685L,群益臺灣加權正2
2017-06-29,1551000,17574790,11.39,11.39,11.24,11.28,0.03,42,,00685L,群益臺灣加權正2
2017-06-30,4132000,46130580,11.13,11.21,11.09,11.2,-0.08,80,,00685L,群益臺灣加權正2
2017-07-03,241000,2700500,11.2,11.25,11.17,11.23,0.03,17,,00685L,群益臺灣加權正2
2017-07-04,47000,525910,11.25,11.28,11.12,11.12,-0.11,12,,00685L,群益臺灣加權正2
2017-07-05,773000,8651800,11.15,11.27,11.06,11.27,0.15,21,,00685L,群益臺灣加權正2
2017-07-06,556000,6234740,11.29,11.29,11.15,11.22,-0.05,166,,00685L,群益臺灣加權正2
2017-07-07,145000,1613000,11.17,11.17,11.09,11.09,-0.13,18,,00685L,群益臺灣加權正2
2017-07-10,186000,2066990,11.12,11.16,11.05,11.09,0.0,21,,00685L,群益臺灣加權正2
