date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-03-30,2693000,26874840,9.97,10.0,9.95,9.97,-0.04,795,,00686R,群益臺灣加權反1
2017-03-31,3227000,32181300,9.98,9.99,9.96,9.97,0.0,155,,00686R,群益臺灣加權反1
2017-04-05,1416000,14005400,9.98,9.98,9.87,9.87,-0.1,91,,00686R,群益臺灣加權反1
2017-04-06,1963000,19422660,9.88,9.91,9.87,9.9,0.03,69,,00686R,群益臺灣加權反1
2017-04-07,1663000,16565030,9.93,10.01,9.92,9.92,0.02,131,,00686R,群益臺灣加權反1
2017-04-10,388000,3848330,9.92,9.94,9.91,9.92,0.0,26,,00686R,群益臺灣加權反1
2017-04-11,3244000,32303150,9.96,10.01,9.92,10.0,0.08,125,,00686R,群益臺灣加權反1
2017-04-12,1912000,19163860,10.01,10.04,9.99,10.01,0.01,145,,00686R,群益臺灣加權反1
2017-04-13,2401000,23956100,10.01,10.02,9.95,9.96,-0.05,53,,00686R,群益臺灣加權反1
2017-04-14,2955000,29688240,10.03,10.09,10.03,10.09,0.13,233,,00686R,群益臺灣加權反1
2017-04-17,2229000,22494200,10.06,10.12,10.05,10.09,0.0,98,,00686R,群益臺灣加權反1
2017-04-18,3196000,32191990,10.05,10.09,10.04,10.08,-0.01,77,,00686R,群益臺灣加權反1
2017-04-19,2577000,26197610,10.15,10.2,10.13,10.2,0.12,91,,00686R,群益臺灣加權反1
2017-04-20,2889000,29450710,10.23,10.23,10.17,10.2,0.0,103,,00686R,群益臺灣加權反1
2017-04-21,2209000,22374890,10.15,10.15,10.11,10.11,-0.09,70,,00686R,群益臺灣加權反1
2017-04-24,1908000,19263940,10.06,10.12,10.04,10.11,0.0,38,,00686R,群益臺灣加權反1
2017-04-25,2194000,22001070,10.07,10.07,10.0,10.0,-0.11,62,,00686R,群益臺灣加權反1
2017-04-26,3369000,33536680,9.95,9.97,9.94,9.96,-0.04,63,,00686R,群益臺灣加權反1
2017-04-27,3738000,37294100,9.97,10.0,9.95,9.96,0.0,57,,00686R,群益臺灣加權反1
2017-04-28,3043000,30276150,9.96,9.97,9.93,9.96,0.0,56,,00686R,群益臺灣加權反1
2017-05-02,2955000,29172350,9.89,9.89,9.86,9.87,-0.09,129,,00686R,群益臺灣加權反1
2017-05-03,3588000,35373700,9.86,9.87,9.85,9.85,-0.02,73,,00686R,群益臺灣加權反1
2017-05-04,4348000,42888750,9.88,9.89,9.85,9.86,0.01,59,,00686R,群益臺灣加權反1
2017-05-05,3471000,34339990,9.87,9.92,9.87,9.92,0.06,77,,00686R,群益臺灣加權反1
2017-05-08,4543000,44990560,9.87,9.92,9.86,9.9,-0.02,61,,00686R,群益臺灣加權反1
2017-05-09,4459000,44020760,9.89,9.92,9.83,9.9,0.0,103,,00686R,群益臺灣加權反1
2017-05-10,3762000,37176720,9.89,9.9,9.87,9.89,-0.01,55,,00686R,群益臺灣加權反1
2017-05-11,6867000,67828460,9.89,9.89,9.85,9.87,-0.02,152,,00686R,群益臺灣加權反1
2017-05-12,2793000,27575110,9.89,9.89,9.87,9.88,0.01,52,,00686R,群益臺灣加權反1
2017-05-15,2872000,28284570,9.88,9.88,9.83,9.83,-0.05,62,,00686R,群益臺灣加權反1
2017-05-16,2438000,23961480,9.82,9.84,9.81,9.83,0.0,44,,00686R,群益臺灣加權反1
2017-05-17,1404000,13834240,9.84,9.86,9.83,9.84,0.01,29,,00686R,群益臺灣加權反1
2017-05-18,2165000,21437280,9.93,9.96,9.89,9.89,0.05,59,,00686R,群益臺灣加權反1
2017-05-19,1641000,16228380,9.89,9.91,9.86,9.91,0.02,30,,00686R,群益臺灣加權反1
2017-05-22,1793000,17698800,9.88,9.9,9.87,9.87,-0.04,32,,00686R,群益臺灣加權反1
2017-05-23,3172000,31228690,9.87,9.87,9.83,9.84,-0.03,58,,00686R,群益臺灣加權反1
2017-05-24,3855000,37897480,9.84,9.84,9.82,9.82,-0.02,81,,00686R,群益臺灣加權反1
2017-05-25,4047000,39515160,9.79,9.79,9.74,9.74,-0.08,142,,00686R,群益臺灣加權反1
2017-05-26,4160000,40504950,9.74,9.76,9.72,9.75,0.01,93,,00686R,群益臺灣加權反1
2017-05-31,2324000,22709920,9.76,9.81,9.73,9.81,0.06,36,,00686R,群益臺灣加權反1
2017-06-01,1625000,15876540,9.8,9.8,9.77,9.77,-0.04,53,,00686R,群益臺灣加權反1
2017-06-02,2427000,23587300,9.71,9.73,9.71,9.71,-0.06,67,,00686R,群益臺灣加權反1
2017-06-03,298000,2887120,9.7,9.7,9.68,9.68,-0.03,33,,00686R,群益臺灣加權反1
2017-06-05,1146000,11095940,9.72,9.72,9.64,9.64,-0.04,68,,00686R,群益臺灣加權反1
