date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-04-13,2427000,49599880,20.36,20.55,20.3,20.55,0.28,1100,,00688L,國泰20年美債正2
2017-04-14,77000,1576040,20.6,20.6,20.42,20.42,-0.13,50,,00688L,國泰20年美債正2
2017-04-17,674000,13871110,20.47,20.6,20.47,20.58,0.16,76,,00688L,國泰20年美債正2
2017-04-18,293000,5970250,20.5,20.5,20.33,20.39,-0.19,23,,00688L,國泰20年美債正2
2017-04-19,396000,8234190,20.73,20.82,20.73,20.77,0.38,41,,00688L,國泰20年美債正2
2017-04-20,357000,7388230,20.73,20.73,20.65,20.69,-0.08,23,,00688L,國泰20年美債正2
2017-04-21,496000,10167050,20.53,20.53,20.48,20.49,-0.2,15,,00688L,國泰20年美債正2
2017-04-24,688000,13774550,20.09,20.09,19.99,20.03,-0.46,30,,00688L,國泰20年美債正2
2017-04-25,272000,5499520,20.14,20.27,20.14,20.21,0.18,12,,00688L,國泰20年美債正2
2017-04-26,321000,6343180,19.8,19.8,19.73,19.77,-0.44,21,,00688L,國泰20年美債正2
2017-04-27,533000,10604670,19.84,19.92,19.84,19.92,0.15,18,,00688L,國泰20年美債正2
2017-04-28,296000,5904480,19.91,19.97,19.91,19.96,0.04,10,,00688L,國泰20年美債正2
2017-05-02,130000,2556980,19.66,19.68,19.65,19.65,-0.31,10,,00688L,國泰20年美債正2
2017-05-03,528000,10467980,19.82,19.83,19.82,19.83,0.18,16,,00688L,國泰20年美債正2
2017-05-04,262000,5199070,19.83,19.88,19.82,19.87,0.04,19,,00688L,國泰20年美債正2
2017-05-05,303000,5971120,19.7,19.73,19.69,19.73,-0.14,8,,00688L,國泰20年美債正2
2017-05-08,88000,1735270,19.73,19.73,19.7,19.7,-0.03,8,,00688L,國泰20年美債正2
2017-05-09,211000,4114920,19.5,19.54,19.5,19.54,-0.16,8,,00688L,國泰20年美債正2
2017-05-10,146000,2857140,19.55,19.57,19.55,19.57,0.03,6,,00688L,國泰20年美債正2
2017-05-11,96000,1876130,19.55,19.55,19.5,19.51,-0.06,7,,00688L,國泰20年美債正2
2017-05-12,202000,3948060,19.52,19.55,19.52,19.55,0.04,6,,00688L,國泰20年美債正2
2017-05-15,1102000,21683510,19.55,19.69,19.55,19.66,0.11,32,,00688L,國泰20年美債正2
2017-05-16,342000,6730730,19.68,19.7,19.67,19.69,0.03,13,,00688L,國泰20年美債正2
2017-05-17,67000,1332560,19.83,19.9,19.83,19.89,0.2,16,,00688L,國泰20年美債正2
2017-05-18,678000,13731470,20.19,20.3,20.18,20.19,0.3,53,,00688L,國泰20年美債正2
2017-05-19,466000,9503310,20.36,20.42,20.32,20.32,0.13,36,,00688L,國泰20年美債正2
2017-05-22,273000,5559800,20.3,20.38,20.3,20.34,0.02,13,,00688L,國泰20年美債正2
2017-05-23,777000,15839150,20.35,20.41,20.35,20.38,0.04,25,,00688L,國泰20年美債正2
2017-05-24,573000,11535200,20.22,20.22,20.1,20.12,-0.26,11,,00688L,國泰20年美債正2
2017-05-25,408000,8274730,20.27,20.31,20.25,20.3,0.18,11,,00688L,國泰20年美債正2
2017-05-26,208000,4226440,20.29,20.32,20.29,20.31,0.01,5,,00688L,國泰20年美債正2
