date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-04-13,1713000,33413670,19.53,19.54,19.43,19.53,-0.31,619,,00689R,國泰20年美債反1
2017-04-14,140000,2722860,19.4,19.49,19.22,19.47,-0.06,106,,00689R,國泰20年美債反1
2017-04-17,1168000,22766660,19.45,19.51,19.45,19.49,0.02,104,,00689R,國泰20年美債反1
2017-04-18,326000,6396040,19.49,19.63,19.49,19.59,0.1,67,,00689R,國泰20年美債反1
2017-04-19,239000,4639400,19.44,19.44,19.4,19.43,-0.16,38,,00689R,國泰20年美債反1
2017-04-20,225000,4380860,19.5,19.5,19.46,19.46,0.03,24,,00689R,國泰20年美債反1
2017-04-21,281000,5495620,19.55,19.56,19.54,19.54,0.08,30,,00689R,國泰20年美債反1
2017-04-24,923000,18231850,19.76,19.84,19.74,19.74,0.2,75,,00689R,國泰20年美債反1
2017-04-25,274000,5381640,19.62,19.66,19.62,19.63,-0.11,22,,00689R,國泰20年美債反1
2017-04-26,324000,6452440,19.8,19.92,19.8,19.87,0.24,38,,00689R,國泰20年美債反1
2017-04-27,333000,6592140,19.81,19.81,19.78,19.79,-0.08,13,,00689R,國泰20年美債反1
2017-04-28,314000,6207600,19.76,19.78,19.74,19.75,-0.04,14,,00689R,國泰20年美債反1
2017-05-02,440000,8755670,19.85,19.91,19.85,19.87,0.12,21,,00689R,國泰20年美債反1
2017-05-03,675000,13356490,19.8,19.8,19.77,19.78,-0.09,20,,00689R,國泰20年美債反1
2017-05-04,254000,5029120,19.8,19.8,19.77,19.79,0.01,5,,00689R,國泰20年美債反1
2017-05-05,415000,8255200,19.9,19.9,19.83,19.83,0.04,32,,00689R,國泰20年美債反1
2017-05-08,98000,1945530,19.86,19.88,19.85,19.88,0.05,14,,00689R,國泰20年美債反1
2017-05-09,494000,9852450,19.96,19.96,19.92,19.94,0.06,20,,00689R,國泰20年美債反1
2017-05-10,110000,2193330,19.93,19.94,19.93,19.94,0.0,10,,00689R,國泰20年美債反1
2017-05-11,232000,4632730,19.95,19.99,19.95,19.99,0.05,13,,00689R,國泰20年美債反1
2017-05-12,201000,4011750,19.95,19.97,19.95,19.97,-0.02,7,,00689R,國泰20年美債反1
2017-05-15,518000,10270990,19.88,19.88,19.81,19.81,-0.16,18,,00689R,國泰20年美債反1
2017-05-16,390000,7738300,19.85,19.85,19.82,19.82,0.01,10,,00689R,國泰20年美債反1
2017-05-17,103000,2030130,19.71,19.71,19.71,19.71,-0.11,2,,00689R,國泰20年美債反1
2017-05-18,314000,6139510,19.63,19.63,19.55,19.56,-0.15,8,,00689R,國泰20年美債反1
2017-05-19,207000,4042450,19.48,19.53,19.48,19.53,-0.03,8,,00689R,國泰20年美債反1
2017-05-22,302000,5885980,19.49,19.49,19.49,19.49,-0.04,3,,00689R,國泰20年美債反1
2017-05-23,306000,5954710,19.46,19.46,19.45,19.45,-0.04,5,,00689R,國泰20年美債反1
2017-05-24,202000,3959240,19.6,19.62,19.6,19.62,0.17,3,,00689R,國泰20年美債反1
2017-05-25,206000,4027240,19.55,19.55,19.52,19.52,-0.1,6,,00689R,國泰20年美債反1
2017-05-26,205000,4005550,19.54,19.54,19.51,19.51,-0.01,3,,00689R,國泰20年美債反1
2017-05-31,202000,3930860,19.43,19.46,19.43,19.46,-0.05,3,,00689R,國泰20年美債反1
2017-06-01,355000,6869870,19.37,19.39,19.34,19.39,-0.07,15,,00689R,國泰20年美債反1
2017-06-02,254000,4914920,19.35,19.36,19.34,19.34,-0.05,20,,00689R,國泰20年美債反1
2017-06-03,12000,230720,19.22,19.3,19.22,19.22,-0.12,5,,00689R,國泰20年美債反1
2017-06-05,220000,4211140,19.2,19.2,19.14,19.16,-0.06,10,,00689R,國泰20年美債反1
2017-06-06,208000,3991360,19.2,19.2,19.16,19.16,0.0,10,,00689R,國泰20年美債反1
2017-06-07,233000,4467930,19.14,19.19,19.14,19.19,0.03,7,,00689R,國泰20年美債反1
2017-06-08,275000,5287500,19.18,19.24,19.18,19.22,0.03,8,,00689R,國泰20年美債反1
2017-06-09,213000,4104500,19.21,19.29,19.21,19.27,0.05,10,,00689R,國泰20年美債反1
2017-06-12,217000,4196620,19.34,19.34,19.32,19.34,0.07,12,,00689R,國泰20年美債反1
2017-06-13,221000,4271740,19.34,19.34,19.32,19.32,-0.02,6,,00689R,國泰20年美債反1
2017-06-14,261000,5032180,19.29,19.29,19.28,19.28,-0.04,4,,00689R,國泰20年美債反1
2017-06-15,216000,4105890,19.01,19.01,18.97,18.97,-0.31,9,,00689R,國泰20年美債反1
2017-06-16,211000,4023700,19.07,19.08,19.04,19.05,0.08,8,,00689R,國泰20年美債反1
2017-06-19,220000,4186200,19.03,19.03,19.0,19.0,-0.05,4,,00689R,國泰20年美債反1
2017-06-20,202000,3844030,19.0,19.03,19.0,19.03,0.03,4,,00689R,國泰20年美債反1
