date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-03-31,2891000,57660880,19.95,20.0,19.9,19.91,0.0,1240,,00690,兆豐藍籌30
2017-04-05,929000,18518460,19.94,19.98,19.89,19.95,0.04,359,,00690,兆豐藍籌30
2017-04-06,394000,7845340,19.95,19.95,19.9,19.93,-0.02,177,,00690,兆豐藍籌30
2017-04-07,622000,12314300,19.93,19.93,19.72,19.84,-0.09,244,,00690,兆豐藍籌30
2017-04-10,393000,7788790,19.84,19.85,19.8,19.8,-0.04,111,,00690,兆豐藍籌30
2017-04-11,614135,12160115,19.8,19.86,19.75,19.75,-0.05,98,,00690,兆豐藍籌30
2017-04-12,422000,8321010,19.75,19.75,19.7,19.72,-0.03,96,,00690,兆豐藍籌30
2017-04-13,362000,7145690,19.74,19.76,19.69,19.74,0.02,85,,00690,兆豐藍籌30
2017-04-14,725000,14275960,19.72,19.72,19.65,19.7,-0.04,120,,00690,兆豐藍籌30
2017-04-17,736000,14466490,19.7,19.7,19.63,19.66,-0.04,119,,00690,兆豐藍籌30
2017-04-18,740000,14543760,19.7,19.71,19.64,19.65,-0.01,69,,00690,兆豐藍籌30
2017-04-19,1072100,20961145,19.65,19.65,19.48,19.49,-0.16,217,,00690,兆豐藍籌30
2017-04-20,787000,15317270,19.43,19.51,19.42,19.51,0.02,92,,00690,兆豐藍籌30
2017-04-21,733150,14389835,19.54,19.66,19.54,19.66,0.15,79,,00690,兆豐藍籌30
2017-04-24,930000,18270980,19.65,19.72,19.59,19.64,-0.02,121,,00690,兆豐藍籌30
2017-04-25,592050,11703153,19.67,19.85,19.64,19.85,0.21,118,,00690,兆豐藍籌30
2017-04-26,731050,14547645,20.0,20.0,19.85,19.91,0.06,108,,00690,兆豐藍籌30
2017-04-27,687150,13659996,19.85,19.91,19.85,19.86,-0.05,50,,00690,兆豐藍籌30
2017-04-28,875000,17399430,19.91,19.93,19.86,19.87,0.01,65,,00690,兆豐藍籌30
2017-05-02,1668000,33380960,19.91,20.03,19.91,19.98,0.11,247,,00690,兆豐藍籌30
2017-05-03,1322000,26477870,20.02,20.04,19.99,20.02,0.04,177,,00690,兆豐藍籌30
2017-05-04,1668000,33522430,20.06,20.13,20.06,20.12,0.1,716,,00690,兆豐藍籌30
2017-05-05,1356300,27197470,20.15,20.15,20.0,20.01,-0.11,421,,00690,兆豐藍籌30
2017-05-08,1053300,21078464,20.05,20.08,19.96,20.02,0.01,183,,00690,兆豐藍籌30
2017-05-09,1073000,21532530,20.07,20.14,20.02,20.05,0.03,177,,00690,兆豐藍籌30
2017-05-10,1060450,21280884,20.05,20.11,20.03,20.06,0.01,131,,00690,兆豐藍籌30
2017-05-11,1029000,20692140,20.06,20.15,20.06,20.11,0.05,145,,00690,兆豐藍籌30
2017-05-12,1059200,21271690,20.11,20.11,20.06,20.09,-0.02,91,,00690,兆豐藍籌30
2017-05-15,1217738,24513407,20.09,20.16,20.08,20.16,0.07,142,,00690,兆豐藍籌30
2017-05-16,1027197,20700973,20.17,20.19,20.12,20.16,0.0,110,,00690,兆豐藍籌30
2017-05-17,1290065,25976483,20.16,20.16,20.09,20.14,-0.02,106,,00690,兆豐藍籌30
2017-05-18,1833040,36742430,20.06,20.08,19.98,20.08,-0.06,153,,00690,兆豐藍籌30
2017-05-19,1312200,26330270,20.11,20.11,20.02,20.08,0.0,327,,00690,兆豐藍籌30
2017-05-22,1397000,27993750,20.07,20.08,20.01,20.08,0.0,145,,00690,兆豐藍籌30
2017-05-23,1459000,29287300,20.08,20.1,20.05,20.07,-0.01,120,,00690,兆豐藍籌30
2017-05-24,1063000,21342900,20.07,20.11,20.07,20.1,0.03,87,,00690,兆豐藍籌30
2017-05-25,1255400,25345390,20.12,20.22,20.11,20.21,0.11,185,,00690,兆豐藍籌30
2017-05-26,847000,17081770,20.21,20.23,20.15,20.17,-0.04,90,,00690,兆豐藍籌30
2017-05-31,1523300,30650511,20.17,20.21,20.07,20.08,-0.09,138,,00690,兆豐藍籌30
2017-06-01,1004100,20225597,20.12,20.2,20.12,20.14,0.06,70,,00690,兆豐藍籌30
2017-06-02,1038200,20997330,20.19,20.27,20.19,20.24,0.1,131,,00690,兆豐藍籌30
2017-06-03,124210,2516984,20.27,20.28,20.24,20.28,0.04,56,,00690,兆豐藍籌30
2017-06-05,864298,17596604,20.28,20.42,20.28,20.42,0.14,163,,00690,兆豐藍籌30
2017-06-06,1026200,20967172,20.47,20.47,20.39,20.43,0.01,101,,00690,兆豐藍籌30
2017-06-07,903100,18467760,20.43,20.47,20.4,20.44,0.01,83,,00690,兆豐藍籌30
2017-06-08,998000,20452480,20.45,20.51,20.45,20.49,0.05,110,,00690,兆豐藍籌30
2017-06-09,841300,17239600,20.49,20.55,20.47,20.48,-0.01,96,,00690,兆豐藍籌30
2017-06-12,1190144,24243580,20.38,20.4,20.32,20.32,-0.16,129,,00690,兆豐藍籌30
2017-06-13,1110300,22543120,20.3,20.32,20.26,20.3,-0.02,73,,00690,兆豐藍籌30
2017-06-14,774075,15652122,20.39,20.39,20.2,20.22,-0.08,98,,00690,兆豐藍籌30
2017-06-15,951000,19223380,20.26,20.26,20.15,20.2,-0.02,86,,00690,兆豐藍籌30
2017-06-16,1213000,24605650,20.21,20.34,20.2,20.33,0.13,189,,00690,兆豐藍籌30
2017-06-19,1694000,34568720,20.34,20.43,20.34,20.42,0.09,195,,00690,兆豐藍籌30
2017-06-20,892350,18347070,20.47,20.6,20.47,20.57,0.15,215,,00690,兆豐藍籌30
2017-06-21,948450,19508399,20.58,20.67,20.53,20.66,0.09,101,,00690,兆豐藍籌30
2017-06-22,771000,16001440,20.66,20.77,20.66,20.77,0.11,98,,00690,兆豐藍籌30
2017-06-23,2616000,54258640,20.77,20.79,20.72,20.76,-0.01,58,,00690,兆豐藍籌30
2017-06-26,1141000,23886410,20.8,20.98,20.8,20.98,0.22,101,,00690,兆豐藍籌30
2017-06-27,1202090,25273775,20.98,21.05,20.98,21.01,0.03,94,,00690,兆豐藍籌30
2017-06-28,1177000,24643750,20.95,21.02,20.88,20.91,-0.1,80,,00690,兆豐藍籌30
