date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-05-17,14039060,278570442,19.81,19.93,19.8,19.82,-0.19,1521,,00692,富邦公司治理
2017-05-18,5372000,106186480,19.77,19.84,19.68,19.81,-0.01,1095,,00692,富邦公司治理
2017-05-19,5922850,117831193,19.88,19.92,19.87,19.89,0.08,1628,,00692,富邦公司治理
2017-05-22,2923100,58167800,19.95,19.95,19.87,19.88,-0.01,543,,00692,富邦公司治理
2017-05-23,2606190,51878696,19.9,19.93,19.89,19.9,0.02,407,,00692,富邦公司治理
2017-05-24,2226650,44342472,19.92,19.93,19.9,19.91,0.01,297,,00692,富邦公司治理
2017-05-25,7091026,141823600,19.93,20.04,19.93,20.04,0.13,870,,00692,富邦公司治理
2017-05-26,2703100,54135199,20.04,20.05,20.0,20.01,-0.03,450,,00692,富邦公司治理
2017-05-31,2020312,40404383,20.01,20.04,19.96,19.96,-0.05,430,,00692,富邦公司治理
2017-06-01,1694745,33899950,19.98,20.03,19.98,20.02,0.06,512,,00692,富邦公司治理
2017-06-02,4740777,95116308,20.04,20.08,20.04,20.08,0.06,936,,00692,富邦公司治理
2017-06-03,2997600,60239177,20.08,20.12,20.08,20.12,0.04,459,,00692,富邦公司治理
2017-06-05,5991300,120839742,20.1,20.26,20.1,20.26,0.14,705,,00692,富邦公司治理
2017-06-06,2025295,40966553,20.26,20.26,20.21,20.21,-0.05,418,,00692,富邦公司治理
2017-06-07,2041742,41296108,20.2,20.26,20.2,20.21,0.0,380,,00692,富邦公司治理
2017-06-08,1546707,31310245,20.23,20.26,20.23,20.23,0.02,295,,00692,富邦公司治理
2017-06-09,2274500,46108879,20.25,20.31,20.24,20.25,0.02,432,,00692,富邦公司治理
2017-06-12,2160200,43512758,20.18,20.18,20.12,20.12,-0.13,502,,00692,富邦公司治理
2017-06-13,1571285,31598285,20.12,20.14,20.08,20.09,-0.03,337,,00692,富邦公司治理
2017-06-14,2193585,43922107,20.11,20.12,19.96,20.0,-0.09,468,,00692,富邦公司治理
2017-06-15,1537068,30743976,20.03,20.03,19.97,20.0,0.0,216,,00692,富邦公司治理
2017-06-16,1528148,30648402,20.01,20.12,20.0,20.12,0.12,211,,00692,富邦公司治理
2017-06-19,4915476,99553691,20.14,20.39,20.14,20.39,0.27,596,,00692,富邦公司治理
2017-06-20,5288764,108437037,20.4,20.6,20.4,20.6,0.21,800,,00692,富邦公司治理
2017-06-21,1627849,33471805,20.59,20.66,20.5,20.66,0.06,340,,00692,富邦公司治理
2017-06-22,1899400,39213919,20.69,20.69,20.61,20.68,0.02,276,,00692,富邦公司治理
2017-06-23,2239050,46199083,20.67,20.68,20.6,20.65,-0.03,578,,00692,富邦公司治理
2017-06-26,3748113,78234976,20.65,21.1,20.64,21.08,0.43,496,,00692,富邦公司治理
2017-06-27,2677908,56488250,21.09,21.15,21.06,21.06,-0.02,445,,00692,富邦公司治理
2017-06-28,2799564,58560991,20.97,20.99,20.85,20.92,-0.14,774,,00692,富邦公司治理
2017-06-29,899125,18832130,20.94,20.96,20.9,20.92,0.0,190,,00692,富邦公司治理
2017-06-30,1246440,25975139,20.9,20.9,20.78,20.86,-0.06,197,,00692,富邦公司治理
2017-07-03,1248435,26035334,20.86,20.95,20.82,20.95,0.09,159,,00692,富邦公司治理
2017-07-04,875143,18277249,20.95,20.95,20.83,20.83,-0.12,185,,00692,富邦公司治理
2017-07-05,1208157,25219217,20.84,20.95,20.72,20.95,0.12,177,,00692,富邦公司治理
2017-07-06,1020148,21322869,20.95,20.95,20.88,20.89,-0.06,164,,00692,富邦公司治理
2017-07-07,1250582,26016772,20.85,20.85,20.75,20.75,-0.14,255,,00692,富邦公司治理
2017-07-10,1025735,21318846,20.8,20.82,20.75,20.78,0.03,167,,00692,富邦公司治理
2017-07-11,1658468,34782465,20.83,21.03,20.83,21.03,0.25,304,,00692,富邦公司治理
2017-07-12,2204188,46498313,21.03,21.13,21.01,21.1,0.07,358,,00692,富邦公司治理
2017-07-13,1738742,36896284,21.14,21.32,21.14,21.3,0.2,342,,00692,富邦公司治理
2017-07-14,1296036,27560711,21.32,21.32,21.22,21.26,-0.04,219,,00692,富邦公司治理
2017-07-17,1230430,26183956,21.27,21.3,21.25,21.29,0.03,202,,00692,富邦公司治理
2017-07-18,1129748,24020140,21.29,21.33,21.24,21.33,0.04,186,,00692,富邦公司治理
2017-07-19,1091899,23374783,21.33,21.45,21.32,21.41,0.08,220,,00692,富邦公司治理
2017-07-20,1028994,22012416,21.4,21.45,21.37,21.39,-0.02,145,,00692,富邦公司治理
2017-07-21,1003715,21387825,21.37,21.37,21.3,21.34,-0.05,162,,00692,富邦公司治理
2017-07-24,1119162,23807427,21.25,21.36,21.21,21.36,0.02,163,,00692,富邦公司治理
2017-07-25,1032578,22042426,21.33,21.38,21.3,21.38,0.02,116,,00692,富邦公司治理
2017-07-26,1284283,27406059,21.36,21.39,21.24,21.24,-0.14,168,,00692,富邦公司治理
2017-07-27,1488264,31871716,21.26,21.5,21.26,21.49,0.0,231,,00692,富邦公司治理
2017-07-28,1240421,26477484,21.4,21.4,21.29,21.33,-0.16,197,,00692,富邦公司治理
2017-07-31,1002579,21314385,21.3,21.31,21.19,21.28,-0.05,176,,00692,富邦公司治理
2017-08-01,889351,19021636,21.28,21.41,21.28,21.38,0.1,130,,00692,富邦公司治理
2017-08-02,1134070,24294621,21.52,21.52,21.4,21.44,0.06,176,,00692,富邦公司治理
2017-08-03,949017,20274447,21.47,21.47,21.31,21.37,-0.07,136,,00692,富邦公司治理
2017-08-04,859716,18404462,21.37,21.44,21.35,21.43,0.06,100,,00692,富邦公司治理
2017-08-07,1428623,30798359,21.4,21.63,21.4,21.6,0.17,210,,00692,富邦公司治理
2017-08-08,1138292,24624804,21.63,21.68,21.55,21.68,0.08,200,,00692,富邦公司治理
2017-08-09,1106977,23793307,21.56,21.56,21.44,21.49,-0.19,198,,00692,富邦公司治理
2017-08-10,1710540,36496288,21.49,21.55,21.22,21.29,-0.2,380,,00692,富邦公司治理
2017-08-11,1253269,26433992,20.75,21.18,20.75,21.17,-0.12,291,,00692,富邦公司治理
2017-08-14,1063096,22439421,21.17,21.2,21.05,21.05,-0.12,247,,00692,富邦公司治理
2017-08-15,1107712,23432017,21.19,21.19,21.13,21.16,0.11,146,,00692,富邦公司治理
2017-08-16,1341500,28318354,21.1,21.14,21.05,21.08,-0.08,185,,00692,富邦公司治理
2017-08-17,1044408,22138566,21.09,21.22,21.08,21.21,0.13,177,,00692,富邦公司治理
2017-08-18,996710,20996198,21.05,21.11,21.05,21.09,-0.12,130,,00692,富邦公司治理
2017-08-21,867677,18294763,21.09,21.1,21.05,21.1,0.01,106,,00692,富邦公司治理
2017-08-22,1020830,21649628,21.18,21.22,21.18,21.21,0.11,100,,00692,富邦公司治理
2017-08-23,1019446,21700708,21.25,21.33,21.24,21.24,0.03,132,,00692,富邦公司治理
2017-08-24,1331293,28407460,21.3,21.37,21.3,21.37,0.13,142,,00692,富邦公司治理
2017-08-25,1083933,23192327,21.37,21.42,21.35,21.42,0.05,122,,00692,富邦公司治理
2017-08-28,1021150,21904190,21.42,21.48,21.4,21.46,0.04,185,,00692,富邦公司治理
2017-08-29,1004524,21474864,21.44,21.44,21.36,21.41,-0.05,126,,00692,富邦公司治理
2017-08-30,1009552,21700575,21.45,21.52,21.45,21.49,0.08,128,,00692,富邦公司治理
2017-08-31,1026345,22125862,21.5,21.59,21.5,21.54,0.05,155,,00692,富邦公司治理
2017-09-01,1015690,21905803,21.55,21.59,21.53,21.57,0.03,159,,00692,富邦公司治理
2017-09-04,1047976,22578216,21.55,21.57,21.52,21.55,-0.02,135,,00692,富邦公司治理
2017-09-05,1005331,21641287,21.57,21.57,21.5,21.57,0.02,132,,00692,富邦公司治理
2017-09-06,1005212,21601722,21.45,21.53,21.4,21.49,-0.08,160,,00692,富邦公司治理
2017-09-07,1022302,21968883,21.5,21.53,21.43,21.45,-0.04,125,,00692,富邦公司治理
2017-09-08,1004179,21622572,21.45,21.56,21.45,21.55,0.1,136,,00692,富邦公司治理
2017-09-11,925760,19963287,21.55,21.64,21.55,21.55,0.0,89,,00692,富邦公司治理
2017-09-12,1002459,21645065,21.57,21.62,21.57,21.6,0.05,120,,00692,富邦公司治理
2017-09-13,1008166,21734466,21.62,21.62,21.53,21.55,-0.05,101,,00692,富邦公司治理
2017-09-14,779300,16781027,21.55,21.55,21.49,21.53,-0.02,77,,00692,富邦公司治理
