date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-04-25,4333000,86768250,20.03,20.04,20.0,20.02,0.03,376,,00693U,期街口S&P黃豆
2017-04-26,2075000,41492860,20.04,20.05,19.93,19.93,-0.09,90,,00693U,期街口S&P黃豆
2017-04-27,1233000,24484800,19.9,19.9,19.84,19.87,-0.06,48,,00693U,期街口S&P黃豆
2017-04-28,1275000,25302440,19.84,19.88,19.82,19.88,0.01,56,,00693U,期街口S&P黃豆
2017-05-02,2086000,42002020,20.05,20.21,20.04,20.19,0.31,205,,00693U,期街口S&P黃豆
2017-05-03,1437000,28875790,20.1,20.13,20.05,20.08,-0.11,65,,00693U,期街口S&P黃豆
2017-05-04,1191000,24055670,20.2,20.22,20.18,20.18,0.1,64,,00693U,期街口S&P黃豆
2017-05-05,2005000,40426250,20.18,20.19,20.13,20.16,-0.02,60,,00693U,期街口S&P黃豆
2017-05-08,1265000,25399020,20.16,20.16,20.04,20.05,-0.11,45,,00693U,期街口S&P黃豆
2017-05-09,899000,17979840,20.02,20.03,19.98,19.98,-0.07,43,,00693U,期街口S&P黃豆
2017-05-10,3291000,66344020,20.18,20.19,20.14,20.15,0.17,108,,00693U,期街口S&P黃豆
2017-05-11,884000,17713100,20.1,20.1,19.98,20.04,-0.11,33,,00693U,期街口S&P黃豆
2017-05-12,1052000,20986710,19.98,19.98,19.94,19.95,-0.09,46,,00693U,期街口S&P黃豆
2017-05-15,865000,17282360,19.97,19.99,19.96,19.96,0.01,37,,00693U,期街口S&P黃豆
2017-05-16,1002000,20017010,19.98,19.98,19.96,19.96,0.0,28,,00693U,期街口S&P黃豆
2017-05-17,1996000,40314340,20.17,20.27,20.15,20.27,0.31,138,,00693U,期街口S&P黃豆
2017-05-18,1017000,20303490,19.98,20.0,19.92,19.98,-0.29,68,,00693U,期街口S&P黃豆
2017-05-19,1673000,32880480,19.62,19.68,19.6,19.66,-0.32,130,,00693U,期街口S&P黃豆
2017-05-22,922000,18267690,19.79,19.85,19.77,19.82,0.16,62,,00693U,期街口S&P黃豆
2017-05-23,1242000,24600040,19.8,19.84,19.76,19.76,-0.06,126,,00693U,期街口S&P黃豆
2017-05-24,2223000,43603250,19.68,19.7,19.55,19.56,-0.2,250,,00693U,期街口S&P黃豆
2017-05-25,1590000,31289440,19.64,19.7,19.64,19.7,0.14,114,,00693U,期街口S&P黃豆
2017-05-26,1193000,23190920,19.49,19.5,19.4,19.4,-0.3,229,,00693U,期街口S&P黃豆
2017-05-31,1809000,34421780,19.07,19.08,18.97,19.0,-0.4,301,,00693U,期街口S&P黃豆
2017-06-01,715000,13608610,19.02,19.07,19.0,19.05,0.05,80,,00693U,期街口S&P黃豆
2017-06-02,1057000,20004330,18.95,19.0,18.9,18.98,-0.07,110,,00693U,期街口S&P黃豆
2017-06-03,513000,9833750,19.05,19.2,19.05,19.18,0.2,90,,00693U,期街口S&P黃豆
2017-06-05,1310000,25112040,19.16,19.22,19.14,19.17,-0.01,120,,00693U,期街口S&P黃豆
2017-06-06,1812000,34662920,19.16,19.16,19.11,19.13,-0.04,95,,00693U,期街口S&P黃豆
