date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-07-28,1871000,36644110,19.8,19.8,19.52,19.53,-0.3,168,,00700,富邦恒生國企
2017-07-31,1023031,20122461,19.55,19.83,19.55,19.64,0.11,63,,00700,富邦恒生國企
2017-08-01,401039,7977149,19.76,19.96,19.76,19.9,0.26,72,,00700,富邦恒生國企
2017-08-02,930149,18627010,20.03,20.08,20.0,20.07,0.17,134,,00700,富邦恒生國企
2017-08-03,494000,9851280,20.04,20.04,19.85,19.95,-0.12,205,,00700,富邦恒生國企
2017-08-04,699000,13897770,19.9,19.95,19.84,19.94,-0.01,191,,00700,富邦恒生國企
2017-08-07,275049,5497310,19.99,20.04,19.96,20.0,0.06,94,,00700,富邦恒生國企
2017-08-08,601050,12007487,20.0,20.03,19.92,20.03,0.03,33,,00700,富邦恒生國企
2017-08-09,753000,14874550,19.73,19.82,19.66,19.71,-0.32,60,,00700,富邦恒生國企
2017-08-10,672050,13261430,19.84,19.91,19.52,19.6,-0.11,37,,00700,富邦恒生國企
2017-08-11,247000,4769320,19.43,19.43,19.2,19.2,-0.4,32,,00700,富邦恒生國企
2017-08-14,184051,3563427,19.3,19.42,19.27,19.38,0.18,20,,00700,富邦恒生國企
2017-08-15,184060,3605050,19.49,19.64,19.49,19.51,0.13,27,,00700,富邦恒生國企
2017-08-16,418000,8180050,19.55,19.66,19.5,19.65,0.14,26,,00700,富邦恒生國企
2017-08-17,398039,7768480,19.55,19.55,19.5,19.51,-0.14,14,,00700,富邦恒生國企
2017-08-18,388000,7542530,19.51,19.51,19.35,19.46,-0.05,18,,00700,富邦恒生國企
2017-08-21,338000,6594310,19.46,19.53,19.45,19.53,0.07,20,,00700,富邦恒生國企
2017-08-22,532000,10506430,19.55,19.77,19.55,19.73,0.2,28,,00700,富邦恒生國企
2017-08-23,320000,6358240,19.86,19.9,19.86,19.86,0.13,10,,00700,富邦恒生國企
2017-08-24,364060,7274266,20.02,20.02,19.94,19.97,0.11,28,,00700,富邦恒生國企
2017-08-25,484100,9785490,20.01,20.28,20.0,20.28,0.31,60,,00700,富邦恒生國企
2017-08-28,580250,11832985,20.31,20.54,20.3,20.35,0.07,64,,00700,富邦恒生國企
2017-08-29,376098,7628117,20.34,20.4,20.25,20.28,-0.07,39,,00700,富邦恒生國企
2017-08-30,785174,16008568,20.37,20.48,20.3,20.31,0.03,199,,00700,富邦恒生國企
2017-08-31,392200,7923250,20.26,20.27,20.18,20.18,-0.13,25,,00700,富邦恒生國企
2017-09-01,350000,7116500,20.4,20.4,20.32,20.32,0.14,13,,00700,富邦恒生國企
2017-09-04,325080,6543992,20.1,20.22,20.1,20.14,-0.18,16,,00700,富邦恒生國企
2017-09-05,315100,6342558,20.12,20.13,20.09,20.13,-0.01,13,,00700,富邦恒生國企
2017-09-06,372000,7387240,20.05,20.05,19.82,19.93,-0.2,30,,00700,富邦恒生國企
2017-09-07,358000,7151150,20.02,20.03,19.9,19.9,-0.03,17,,00700,富邦恒生國企
2017-09-08,330750,6617935,19.96,20.02,19.96,20.01,0.11,16,,00700,富邦恒生國企
2017-09-11,893300,18065650,20.06,20.25,20.06,20.2,0.19,31,,00700,富邦恒生國企
2017-09-12,313050,6317280,20.16,20.18,20.16,20.18,-0.02,11,,00700,富邦恒生國企
2017-09-13,357100,7196318,20.18,20.19,20.08,20.18,0.0,22,,00700,富邦恒生國企
2017-09-14,336000,6729730,20.02,20.03,20.02,20.02,-0.16,7,,00700,富邦恒生國企
2017-09-15,315000,6276250,20.0,20.02,19.76,19.95,-0.07,9,,00700,富邦恒生國企
2017-09-18,375000,7547270,19.95,20.18,19.95,20.1,0.15,14,,00700,富邦恒生國企
2017-09-19,346015,6952251,20.26,20.26,20.07,20.1,0.0,13,,00700,富邦恒生國企
2017-09-20,368000,7413190,20.1,20.17,20.1,20.14,0.04,9,,00700,富邦恒生國企
2017-09-21,489000,9922000,20.24,20.32,20.24,20.26,0.12,36,,00700,富邦恒生國企
2017-09-22,370000,7439820,20.09,20.16,20.09,20.1,-0.16,7,,00700,富邦恒生國企
2017-09-25,316000,6267490,19.88,19.94,19.83,19.84,-0.26,9,,00700,富邦恒生國企
2017-09-26,350223,6930340,19.76,19.84,19.75,19.77,-0.07,21,,00700,富邦恒生國企
2017-09-27,357000,7132840,19.8,20.01,19.8,20.0,0.23,18,,00700,富邦恒生國企
2017-09-28,380000,7552600,19.95,19.95,19.84,19.86,-0.14,12,,00700,富邦恒生國企
2017-09-29,325045,6446566,19.79,19.86,19.79,19.84,-0.02,8,,00700,富邦恒生國企
2017-09-30,5000,99560,19.9,20.08,19.84,20.08,0.24,4,,00700,富邦恒生國企
2017-10-02,42100,840802,19.98,19.98,19.97,19.97,-0.11,7,,00700,富邦恒生國企
2017-10-03,795016,16020924,20.15,20.4,20.02,20.4,0.43,59,,00700,富邦恒生國企
2017-10-05,33000,685530,21.0,21.0,20.66,20.69,0.29,11,,00700,富邦恒生國企
2017-10-06,107000,2238490,20.87,20.99,20.83,20.84,0.15,27,,00700,富邦恒生國企
2017-10-11,338297,7062507,21.0,21.0,20.84,20.87,0.03,42,,00700,富邦恒生國企
2017-10-12,79000,1641390,20.74,20.9,20.74,20.9,0.03,18,,00700,富邦恒生國企
2017-10-13,11292,235503,20.88,20.88,20.85,20.85,-0.05,9,,00700,富邦恒生國企
2017-10-16,32500,684039,21.0,21.08,21.0,21.0,0.15,10,,00700,富邦恒生國企
2017-10-17,193000,4037980,21.0,21.0,20.85,20.96,-0.04,22,,00700,富邦恒生國企
2017-10-18,19297,404432,20.96,21.02,20.95,20.96,0.0,9,,00700,富邦恒生國企
2017-10-19,227267,4785810,21.1,21.11,21.0,21.0,0.04,26,,00700,富邦恒生國企
2017-10-20,20050,416720,20.67,20.87,20.67,20.87,-0.13,13,,00700,富邦恒生國企
2017-10-23,133000,2767010,21.18,21.18,20.78,20.78,-0.09,12,,00700,富邦恒生國企
2017-10-24,9000,187610,20.81,20.86,20.81,20.84,0.06,8,,00700,富邦恒生國企
2017-10-25,16000,333600,20.87,20.87,20.84,20.84,0.0,4,,00700,富邦恒生國企
2017-10-26,136000,2830010,20.82,20.85,20.8,20.8,-0.04,6,,00700,富邦恒生國企
2017-10-27,58000,1217550,20.95,21.09,20.95,20.96,0.16,13,,00700,富邦恒生國企
2017-10-30,108100,2283736,21.16,21.16,20.98,21.03,0.07,6,,00700,富邦恒生國企
