date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-17,13660000,273385250,19.94,20.09,19.91,20.09,0.13,2726,,00701,國泰股利精選30
2017-08-18,9552000,191512420,20.05,20.12,19.95,20.1,0.01,3619,,00701,國泰股利精選30
2017-08-21,825000,16540120,20.11,20.12,20.0,20.07,-0.03,147,,00701,國泰股利精選30
2017-08-22,971000,19534010,20.08,20.14,20.08,20.1,0.03,156,,00701,國泰股利精選30
2017-08-23,1854000,37369060,20.15,20.19,20.15,20.15,0.05,170,,00701,國泰股利精選30
2017-08-24,1196000,24150590,20.15,20.22,20.15,20.2,0.05,122,,00701,國泰股利精選30
2017-08-25,1566000,31718830,20.2,20.28,20.19,20.28,0.08,139,,00701,國泰股利精選30
2017-08-28,522343,10610085,20.28,20.36,20.28,20.31,0.03,112,,00701,國泰股利精選30
2017-08-29,343000,6952870,20.31,20.31,20.25,20.29,-0.02,78,,00701,國泰股利精選30
2017-08-30,900101,18335520,20.29,20.42,20.29,20.41,0.12,123,,00701,國泰股利精選30
2017-08-31,580000,11861430,20.5,20.5,20.4,20.46,0.05,97,,00701,國泰股利精選30
2017-09-01,421556,8635528,20.46,20.52,20.43,20.47,0.01,87,,00701,國泰股利精選30
2017-09-04,643000,13126930,20.45,20.46,20.38,20.4,-0.07,129,,00701,國泰股利精選30
2017-09-05,313500,6390118,20.4,20.44,20.37,20.4,0.0,64,,00701,國泰股利精選30
2017-09-06,648000,13183310,20.4,20.41,20.27,20.31,-0.09,129,,00701,國泰股利精選30
2017-09-07,428179,8694917,20.34,20.38,20.27,20.27,-0.04,76,,00701,國泰股利精選30
2017-09-08,231000,4712430,20.31,20.45,20.31,20.43,0.16,57,,00701,國泰股利精選30
2017-09-11,314000,6417460,20.44,20.5,20.39,20.4,-0.03,82,,00701,國泰股利精選30
2017-09-12,671000,13691840,20.44,20.46,20.39,20.44,0.04,77,,00701,國泰股利精選30
2017-09-13,368000,7498730,20.44,20.44,20.34,20.34,-0.1,127,,00701,國泰股利精選30
2017-09-14,253179,5136229,20.34,20.34,20.25,20.3,-0.04,79,,00701,國泰股利精選30
2017-09-15,162298,3287787,20.3,20.3,20.23,20.26,-0.04,77,,00701,國泰股利精選30
2017-09-18,547210,11099300,20.26,20.36,20.24,20.31,0.05,82,,00701,國泰股利精選30
2017-09-19,635000,12830030,20.31,20.31,20.14,20.15,-0.16,233,,00701,國泰股利精選30
