date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-17,5837000,116605800,19.98,20.01,19.95,20.0,0.02,1089,,00702,國泰標普低波高息
2017-08-18,4406350,87314582,19.81,19.85,19.79,19.83,-0.17,394,,00702,國泰標普低波高息
2017-08-21,351507,6940122,19.82,19.82,19.72,19.73,-0.1,103,,00702,國泰標普低波高息
2017-08-22,226643,4486562,19.83,19.83,19.77,19.77,0.04,51,,00702,國泰標普低波高息
2017-08-23,234000,4637650,19.88,19.88,19.8,19.81,0.04,56,,00702,國泰標普低波高息
2017-08-24,194200,3853080,19.82,19.86,19.82,19.85,0.04,69,,00702,國泰標普低波高息
2017-08-25,754000,14944000,19.84,19.85,19.81,19.83,-0.02,94,,00702,國泰標普低波高息
2017-08-28,513251,10195732,19.88,19.89,19.83,19.83,0.0,63,,00702,國泰標普低波高息
2017-08-29,204300,4031660,19.79,19.79,19.71,19.72,-0.11,92,,00702,國泰標普低波高息
2017-08-30,286000,5671130,19.83,19.84,19.82,19.84,0.12,39,,00702,國泰標普低波高息
2017-08-31,163050,3234585,19.84,19.88,19.82,19.86,0.02,47,,00702,國泰標普低波高息
2017-09-01,114251,2269489,19.86,19.88,19.85,19.85,-0.01,43,,00702,國泰標普低波高息
2017-09-04,241050,4785702,19.85,19.89,19.82,19.82,-0.03,55,,00702,國泰標普低波高息
2017-09-05,70000,1386140,19.81,19.82,19.79,19.82,0.0,30,,00702,國泰標普低波高息
2017-09-06,339000,6723810,19.8,19.85,19.8,19.82,0.0,51,,00702,國泰標普低波高息
2017-09-07,104000,2065110,19.86,19.87,19.83,19.83,0.01,27,,00702,國泰標普低波高息
2017-09-08,337050,6699085,19.87,19.91,19.85,19.88,0.05,47,,00702,國泰標普低波高息
2017-09-11,553100,11060440,19.97,20.01,19.97,19.99,0.11,113,,00702,國泰標普低波高息
2017-09-12,2132248,42825977,20.07,20.12,20.06,20.12,0.13,309,,00702,國泰標普低波高息
