date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-10,598000,11835660,19.88,19.93,19.67,19.74,-0.2,352,,00703,台新MSCI中國
2017-08-11,1109000,21710400,19.65,19.69,19.41,19.5,-0.24,264,,00703,台新MSCI中國
2017-08-14,357000,6980010,19.5,19.66,19.46,19.66,0.16,134,,00703,台新MSCI中國
2017-08-15,150000,2971500,19.69,19.9,19.69,19.8,0.14,84,,00703,台新MSCI中國
2017-08-16,270000,5325800,19.8,19.8,19.66,19.67,-0.13,60,,00703,台新MSCI中國
2017-08-17,360000,7106990,19.69,19.79,19.68,19.72,0.05,68,,00703,台新MSCI中國
2017-08-18,551000,10861500,19.72,19.78,19.66,19.78,0.06,46,,00703,台新MSCI中國
2017-08-21,725000,14386980,19.78,19.89,19.78,19.81,0.03,131,,00703,台新MSCI中國
2017-08-22,944000,18877580,19.85,20.05,19.85,19.98,0.17,119,,00703,台新MSCI中國
2017-08-23,1403000,28223280,20.1,20.15,19.97,20.11,0.13,244,,00703,台新MSCI中國
2017-08-24,810000,16135370,20.11,20.11,19.55,20.0,-0.11,153,,00703,台新MSCI中國
2017-08-25,954000,19281340,20.01,20.32,20.01,20.28,0.28,174,,00703,台新MSCI中國
2017-08-28,755000,15562210,20.29,20.79,20.29,20.6,0.32,227,,00703,台新MSCI中國
2017-08-29,1567000,32055690,20.64,20.64,20.3,20.3,-0.3,277,,00703,台新MSCI中國
2017-08-30,1081000,21799700,20.3,20.3,20.07,20.19,-0.11,258,,00703,台新MSCI中國
2017-08-31,118000,2379050,20.25,20.25,20.11,20.12,-0.07,78,,00703,台新MSCI中國
2017-09-01,1134000,22862720,20.18,20.22,20.1,20.15,0.03,102,,00703,台新MSCI中國
2017-09-04,395000,7952090,20.15,20.19,20.12,20.13,-0.02,84,,00703,台新MSCI中國
2017-09-05,159000,3197190,20.13,20.13,20.06,20.1,-0.03,68,,00703,台新MSCI中國
2017-09-06,965000,19318290,20.1,20.1,20.0,20.1,0.0,96,,00703,台新MSCI中國
