date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-09-01,4122000,83359810,20.23,20.29,20.18,20.29,0.33,247,,00708L,期元大S&P黃金正2
2017-09-04,639000,13226710,20.69,20.77,20.65,20.76,0.47,103,,00708L,期元大S&P黃金正2
2017-09-05,981000,20378590,20.73,20.81,20.68,20.8,0.04,95,,00708L,期元大S&P黃金正2
2017-09-06,863000,17994840,20.93,20.93,20.83,20.85,0.05,65,,00708L,期元大S&P黃金正2
2017-09-07,724000,15001270,20.7,20.76,20.66,20.76,-0.09,49,,00708L,期元大S&P黃金正2
2017-09-08,1506000,31994180,21.15,21.41,21.1,21.41,0.65,131,,00708L,期元大S&P黃金正2
2017-09-11,1505000,31284330,20.85,20.85,20.73,20.79,-0.62,105,,00708L,期元大S&P黃金正2
2017-09-12,705000,14381140,20.38,20.44,20.34,20.36,-0.43,107,,00708L,期元大S&P黃金正2
2017-09-13,860000,17701900,20.55,20.64,20.54,20.56,0.2,71,,00708L,期元大S&P黃金正2
2017-09-14,544000,11024620,20.28,20.31,20.22,20.3,-0.26,65,,00708L,期元大S&P黃金正2
2017-09-15,1848000,38017270,20.59,20.61,20.53,20.54,0.24,323,,00708L,期元大S&P黃金正2
2017-09-18,1271000,25671670,20.24,20.24,20.16,20.17,-0.37,154,,00708L,期元大S&P黃金正2
2017-09-19,1736000,34501410,19.9,19.93,19.84,19.85,-0.32,234,,00708L,期元大S&P黃金正2
2017-09-20,733000,14655880,19.95,20.02,19.93,20.02,0.17,71,,00708L,期元大S&P黃金正2
2017-09-21,1740000,34116650,19.64,19.65,19.56,19.59,-0.43,378,,00708L,期元大S&P黃金正2
2017-09-22,1686000,32948050,19.46,19.59,19.43,19.57,-0.02,192,,00708L,期元大S&P黃金正2
2017-09-25,977000,18968600,19.41,19.46,19.39,19.44,-0.13,136,,00708L,期元大S&P黃金正2
2017-09-26,2265000,45149020,19.96,20.03,19.87,20.01,0.57,266,,00708L,期元大S&P黃金正2
2017-09-27,1405000,27357750,19.46,19.5,19.44,19.45,-0.56,281,,00708L,期元大S&P黃金正2
2017-09-28,2302000,44001140,19.17,19.17,19.06,19.08,-0.37,347,,00708L,期元大S&P黃金正2
2017-09-29,988000,18965640,19.21,19.24,19.16,19.18,0.1,124,,00708L,期元大S&P黃金正2
2017-09-30,480000,9154200,19.06,19.1,19.01,19.09,-0.09,101,,00708L,期元大S&P黃金正2
2017-10-02,1259000,23791480,18.92,18.92,18.86,18.87,-0.22,262,,00708L,期元大S&P黃金正2
2017-10-03,1369000,25643040,18.75,18.76,18.7,18.73,-0.14,247,,00708L,期元大S&P黃金正2
2017-10-05,1133000,21384870,18.95,18.95,18.84,18.9,0.17,167,,00708L,期元大S&P黃金正2
2017-10-06,1158000,21644270,18.71,18.72,18.65,18.66,-0.24,324,,00708L,期元大S&P黃金正2
2017-10-11,2378000,45799630,19.28,19.32,19.2,19.24,0.58,411,,00708L,期元大S&P黃金正2
2017-10-12,2146000,41568220,19.35,19.44,19.32,19.44,0.2,260,,00708L,期元大S&P黃金正2
2017-10-13,814000,15811690,19.42,19.46,19.38,19.44,0.0,138,,00708L,期元大S&P黃金正2
2017-10-16,1428112,27988686,19.59,19.62,19.57,19.6,0.16,213,,00708L,期元大S&P黃金正2
2017-10-17,1376000,26607890,19.39,19.4,19.3,19.31,-0.29,251,,00708L,期元大S&P黃金正2
2017-10-18,2007000,38424730,19.15,19.21,19.1,19.1,-0.21,401,,00708L,期元大S&P黃金正2
2017-10-19,1696000,32112510,19.02,19.03,18.88,18.9,-0.2,357,,00708L,期元大S&P黃金正2
2017-10-20,730000,13964760,19.21,19.24,19.05,19.08,0.18,159,,00708L,期元大S&P黃金正2
2017-10-23,952000,17942630,18.87,18.88,18.82,18.86,-0.22,168,,00708L,期元大S&P黃金正2
2017-10-24,811000,15432000,19.03,19.05,18.97,19.03,0.17,150,,00708L,期元大S&P黃金正2
2017-10-25,1811000,34011810,18.81,18.84,18.74,18.78,-0.25,418,,00708L,期元大S&P黃金正2
2017-10-26,1777000,33681880,18.89,19.01,18.89,19.01,0.23,286,,00708L,期元大S&P黃金正2
2017-10-27,3239000,60151630,18.58,18.61,18.53,18.6,-0.41,615,,00708L,期元大S&P黃金正2
2017-10-30,2359000,44061120,18.7,18.72,18.66,18.68,0.08,361,,00708L,期元大S&P黃金正2
2017-10-31,1434000,26943660,18.78,18.82,18.77,18.81,0.13,389,,00708L,期元大S&P黃金正2
2017-11-01,1424000,26508950,18.6,18.65,18.58,18.64,-0.17,314,,00708L,期元大S&P黃金正2
2017-11-02,2973000,56191470,18.8,18.95,18.8,18.9,0.26,445,,00708L,期元大S&P黃金正2
2017-11-03,1208000,22786500,18.89,18.89,18.84,18.88,-0.02,181,,00708L,期元大S&P黃金正2
2017-11-06,2983000,55461860,18.61,18.65,18.54,18.62,-0.26,336,,00708L,期元大S&P黃金正2
2017-11-07,2916000,55049800,18.9,18.91,18.85,18.87,0.25,435,,00708L,期元大S&P黃金正2
2017-11-08,1178000,22209340,18.81,18.9,18.8,18.88,0.01,145,,00708L,期元大S&P黃金正2
2017-11-09,2481000,47011310,18.93,19.03,18.9,19.03,0.15,389,,00708L,期元大S&P黃金正2
2017-11-10,2030000,38669570,19.08,19.09,19.01,19.02,-0.01,250,,00708L,期元大S&P黃金正2
2017-11-13,834000,15665410,18.78,18.8,18.77,18.8,-0.22,258,,00708L,期元大S&P黃金正2
2017-11-14,402000,7551880,18.81,18.83,18.75,18.79,-0.01,100,,00708L,期元大S&P黃金正2
2017-11-15,1252000,23697460,18.88,18.97,18.88,18.91,0.12,257,,00708L,期元大S&P黃金正2
2017-11-16,2132000,40039370,18.84,18.84,18.75,18.78,-0.13,217,,00708L,期元大S&P黃金正2
2017-11-17,1079000,20417970,18.83,18.95,18.83,18.93,0.15,210,,00708L,期元大S&P黃金正2
2017-11-20,2206000,42341810,19.22,19.23,19.16,19.18,0.25,353,,00708L,期元大S&P黃金正2
2017-11-21,2462000,46421460,18.81,18.89,18.81,18.88,-0.3,345,,00708L,期元大S&P黃金正2
2017-11-22,1626000,30639400,18.85,18.89,18.79,18.87,-0.01,217,,00708L,期元大S&P黃金正2
2017-11-23,2169000,41429290,19.1,19.14,19.05,19.07,0.2,293,,00708L,期元大S&P黃金正2
2017-11-24,1497000,28669890,19.1,19.18,19.08,19.15,0.08,174,,00708L,期元大S&P黃金正2
2017-11-27,1694000,32286710,19.04,19.11,19.01,19.11,-0.04,126,,00708L,期元大S&P黃金正2
2017-11-28,2787000,53553940,19.25,19.26,19.18,19.21,0.1,243,,00708L,期元大S&P黃金正2
2017-11-29,1715000,32949280,19.21,19.25,19.16,19.24,0.03,173,,00708L,期元大S&P黃金正2
2017-11-30,1723000,32610450,18.93,18.95,18.9,18.93,-0.31,270,,00708L,期元大S&P黃金正2
2017-12-01,2778000,51840490,18.68,18.69,18.62,18.63,-0.3,439,,00708L,期元大S&P黃金正2
2017-12-04,789000,14705650,18.68,18.68,18.6,18.63,0.0,100,,00708L,期元大S&P黃金正2
2017-12-05,536000,10000750,18.69,18.7,18.64,18.65,0.02,61,,00708L,期元大S&P黃金正2
2017-12-06,2422000,44472650,18.35,18.41,18.32,18.41,-0.24,299,,00708L,期元大S&P黃金正2
2017-12-07,2220000,40647150,18.3,18.33,18.28,18.29,-0.12,222,,00708L,期元大S&P黃金正2
2017-12-08,4226000,75527370,17.86,17.9,17.85,17.89,-0.4,512,,00708L,期元大S&P黃金正2
2017-12-11,1754000,31263030,17.8,17.88,17.8,17.88,-0.01,180,,00708L,期元大S&P黃金正2
2017-12-12,2153000,38152290,17.72,17.77,17.7,17.72,-0.16,361,,00708L,期元大S&P黃金正2
2017-12-13,3315000,58740730,17.72,17.77,17.69,17.75,0.03,238,,00708L,期元大S&P黃金正2
2017-12-14,1635000,29624420,18.05,18.16,18.03,18.16,0.41,431,,00708L,期元大S&P黃金正2
2017-12-15,616000,11112120,18.02,18.09,18.01,18.04,-0.12,165,,00708L,期元大S&P黃金正2
2017-12-18,370000,6680780,18.05,18.11,18.01,18.1,0.06,72,,00708L,期元大S&P黃金正2
2017-12-19,531000,9694200,18.25,18.31,18.22,18.31,0.21,184,,00708L,期元大S&P黃金正2
2017-12-20,1147000,20987150,18.28,18.34,18.26,18.32,0.01,138,,00708L,期元大S&P黃金正2
2017-12-21,642000,11829790,18.38,18.45,18.38,18.44,0.12,181,,00708L,期元大S&P黃金正2
2017-12-22,550000,10096060,18.4,18.4,18.34,18.37,-0.07,87,,00708L,期元大S&P黃金正2
2017-12-25,438000,8106230,18.49,18.53,18.46,18.53,0.16,117,,00708L,期元大S&P黃金正2
2017-12-26,1342000,25089270,18.64,18.72,18.64,18.69,0.16,227,,00708L,期元大S&P黃金正2
2017-12-27,1375000,25877000,18.82,18.84,18.8,18.83,0.14,231,,00708L,期元大S&P黃金正2
2017-12-28,1898000,36014980,18.92,19.03,18.92,19.03,0.2,291,,00708L,期元大S&P黃金正2
2017-12-29,1346000,25714730,19.08,19.13,19.08,19.11,0.08,232,,00708L,期元大S&P黃金正2
2018-01-02,2946000,57159570,19.4,19.44,19.35,19.44,0.33,395,,00708L,期元大S&P黃金正2
2018-01-03,4066000,79822270,19.78,19.79,19.53,19.6,0.16,562,,00708L,期元大S&P黃金正2
2018-01-04,2024000,39285980,19.45,19.47,19.35,19.43,-0.17,417,,00708L,期元大S&P黃金正2
2018-01-05,2122000,42080790,19.89,19.89,19.8,19.81,0.38,287,,00708L,期元大S&P黃金正2
2018-01-08,703000,13901910,19.8,19.81,19.75,19.77,-0.04,133,,00708L,期元大S&P黃金正2
2018-01-09,911000,17959760,19.72,19.77,19.66,19.73,-0.04,164,,00708L,期元大S&P黃金正2
2018-01-10,1847000,35969080,19.49,19.53,19.42,19.5,-0.23,256,,00708L,期元大S&P黃金正2
2018-01-11,1219000,24045780,19.71,19.78,19.68,19.71,0.21,170,,00708L,期元大S&P黃金正2
2018-01-12,1603000,31977140,19.86,20.07,19.86,20.03,0.32,370,,00708L,期元大S&P黃金正2
2018-01-15,2495000,50957680,20.33,20.54,20.31,20.54,0.51,431,,00708L,期元大S&P黃金正2
2018-01-16,2230000,45512520,20.42,20.48,20.34,20.43,-0.11,282,,00708L,期元大S&P黃金正2
2018-01-17,1427000,29061190,20.4,20.5,20.26,20.29,-0.14,221,,00708L,期元大S&P黃金正2
2018-01-18,1565000,31267110,20.06,20.06,19.92,20.04,-0.25,342,,00708L,期元大S&P黃金正2
2018-01-19,1058000,21268400,20.0,20.15,20.0,20.13,0.09,124,,00708L,期元大S&P黃金正2
2018-01-22,252000,5065770,20.16,20.17,20.07,20.09,-0.04,69,,00708L,期元大S&P黃金正2
2018-01-23,939000,18984010,20.19,20.25,20.17,20.23,0.14,154,,00708L,期元大S&P黃金正2
2018-01-24,1536000,31321390,20.39,20.42,20.35,20.38,0.15,214,,00708L,期元大S&P黃金正2
2018-01-25,3737112,78076544,20.85,21.04,20.8,21.02,0.64,583,,00708L,期元大S&P黃金正2
2018-01-26,1646000,33973350,20.54,20.71,20.54,20.66,-0.36,310,,00708L,期元大S&P黃金正2
2018-01-29,2656000,54522800,20.59,20.63,20.47,20.52,-0.14,355,,00708L,期元大S&P黃金正2
2018-01-30,2408000,48624160,20.26,20.29,20.1,20.13,-0.39,340,,00708L,期元大S&P黃金正2
2018-01-31,611000,12361370,20.2,20.31,20.16,20.27,0.14,113,,00708L,期元大S&P黃金正2
2018-02-01,729000,14843250,20.39,20.4,20.31,20.39,0.12,118,,00708L,期元大S&P黃金正2
2018-02-02,734000,15041950,20.46,20.54,20.45,20.47,0.08,205,,00708L,期元大S&P黃金正2
2018-02-05,1667000,33330970,20.04,20.06,19.92,19.95,-0.52,268,,00708L,期元大S&P黃金正2
2018-02-06,2025000,41186730,20.19,20.45,20.12,20.38,0.43,324,,00708L,期元大S&P黃金正2
2018-02-07,1682000,33456980,19.96,19.96,19.84,19.92,-0.46,288,,00708L,期元大S&P黃金正2
2018-02-08,2419000,47002020,19.54,19.55,19.31,19.36,-0.56,419,,00708L,期元大S&P黃金正2
2018-02-09,1100000,21521900,19.6,19.63,19.5,19.55,0.19,213,,00708L,期元大S&P黃金正2
2018-02-12,1602000,31541990,19.5,19.77,19.5,19.74,0.19,366,,00708L,期元大S&P黃金正2
2018-02-21,900000,17845130,19.85,19.9,19.75,19.77,0.03,200,,00708L,期元大S&P黃金正2
2018-02-22,345000,6802910,19.79,19.79,19.68,19.71,-0.06,107,,00708L,期元大S&P黃金正2
2018-02-23,930000,18469920,19.91,19.94,19.8,19.82,0.11,211,,00708L,期元大S&P黃金正2
2018-02-26,1460000,29210760,19.83,20.12,19.83,20.07,0.25,282,,00708L,期元大S&P黃金正2
2018-02-27,1021000,20419220,20.05,20.07,19.92,19.98,-0.09,171,,00708L,期元大S&P黃金正2
2018-03-01,1685000,32775770,19.48,19.48,19.42,19.45,-0.53,297,,00708L,期元大S&P黃金正2
2018-03-02,606000,11825630,19.53,19.55,19.47,19.53,0.08,162,,00708L,期元大S&P黃金正2
2018-03-05,718000,14199690,19.71,19.82,19.7,19.82,0.29,166,,00708L,期元大S&P黃金正2
2018-03-06,713000,14018310,19.6,19.71,19.6,19.7,-0.12,122,,00708L,期元大S&P黃金正2
2018-03-07,913000,18293640,20.1,20.1,19.97,20.01,0.31,219,,00708L,期元大S&P黃金正2
2018-03-08,588000,11652730,19.79,19.86,19.77,19.83,-0.18,101,,00708L,期元大S&P黃金正2
2018-03-09,1536000,30004760,19.58,19.58,19.5,19.51,-0.32,217,,00708L,期元大S&P黃金正2
2018-03-12,493000,9682990,19.63,19.69,19.6,19.68,0.17,85,,00708L,期元大S&P黃金正2
2018-03-13,388000,7605840,19.68,19.68,19.53,19.58,-0.1,76,,00708L,期元大S&P黃金正2
2018-03-14,394000,7799510,19.72,19.85,19.72,19.83,0.25,103,,00708L,期元大S&P黃金正2
2018-03-15,240000,4746960,19.78,19.81,19.75,19.81,-0.02,62,,00708L,期元大S&P黃金正2
2018-03-16,901000,17505150,19.45,19.48,19.39,19.47,-0.34,241,,00708L,期元大S&P黃金正2
2018-03-19,706000,13617090,19.32,19.33,19.27,19.31,-0.16,205,,00708L,期元大S&P黃金正2
2018-03-20,328000,6371560,19.42,19.45,19.4,19.4,0.09,84,,00708L,期元大S&P黃金正2
2018-03-21,713000,13796840,19.29,19.39,19.29,19.39,-0.01,124,,00708L,期元大S&P黃金正2
2018-03-22,1529000,30393430,19.94,19.97,19.8,19.83,0.44,311,,00708L,期元大S&P黃金正2
2018-03-23,2383000,47837870,20.04,20.12,20.0,20.12,0.29,409,,00708L,期元大S&P黃金正2
2018-03-26,2548000,51760660,20.26,20.36,20.26,20.3,0.18,398,,00708L,期元大S&P黃金正2
2018-03-27,1607000,32855520,20.44,20.52,20.39,20.45,0.15,268,,00708L,期元大S&P黃金正2
2018-03-28,1162000,23495400,20.3,20.3,20.15,20.19,-0.26,204,,00708L,期元大S&P黃金正2
2018-03-29,1715000,33744390,19.64,19.71,19.62,19.69,-0.5,283,,00708L,期元大S&P黃金正2
2018-03-30,546000,10732400,19.54,19.7,19.54,19.68,-0.01,101,,00708L,期元大S&P黃金正2
2018-03-31,219000,4305540,19.7,19.7,19.63,19.69,0.01,58,,00708L,期元大S&P黃金正2
2018-04-02,425000,8382080,19.68,19.75,19.68,19.73,0.04,68,,00708L,期元大S&P黃金正2
2018-04-03,735000,14698470,20.03,20.05,19.94,19.96,0.23,174,,00708L,期元大S&P黃金正2
2018-04-09,409000,8092550,19.76,19.84,19.74,19.77,-0.19,98,,00708L,期元大S&P黃金正2
2018-04-10,353000,7009500,19.95,19.95,19.77,19.78,0.01,86,,00708L,期元大S&P黃金正2
2018-04-11,1115000,22323620,20.08,20.08,19.98,20.05,0.27,163,,00708L,期元大S&P黃金正2
2018-04-12,2529000,51350860,20.31,20.35,20.25,20.3,0.25,269,,00708L,期元大S&P黃金正2
2018-04-13,1070000,21400820,19.93,20.04,19.93,20.01,-0.29,196,,00708L,期元大S&P黃金正2
2018-04-16,1856000,37474230,20.14,20.23,20.14,20.19,0.18,313,,00708L,期元大S&P黃金正2
2018-04-17,1286000,25973780,20.26,20.29,20.13,20.16,-0.03,194,,00708L,期元大S&P黃金正2
2018-04-18,323000,6497220,20.12,20.15,20.08,20.08,-0.08,102,,00708L,期元大S&P黃金正2
2018-04-19,1387000,28157610,20.29,20.36,20.22,20.36,0.28,227,,00708L,期元大S&P黃金正2
2018-04-20,998000,20043520,20.15,20.15,20.04,20.07,-0.29,201,,00708L,期元大S&P黃金正2
2018-04-23,755000,14941940,19.81,19.84,19.75,19.83,-0.24,179,,00708L,期元大S&P黃金正2
2018-04-24,1501000,29396560,19.59,19.66,19.49,19.65,-0.18,305,,00708L,期元大S&P黃金正2
2018-04-25,573000,11262620,19.69,19.72,19.61,19.61,-0.04,164,,00708L,期元大S&P黃金正2
2018-04-26,993000,19379720,19.52,19.55,19.49,19.53,-0.08,184,,00708L,期元大S&P黃金正2
2018-04-27,1183000,22858590,19.34,19.36,19.3,19.33,-0.2,255,,00708L,期元大S&P黃金正2
2018-04-30,759000,14785270,19.51,19.53,19.45,19.46,0.13,126,,00708L,期元大S&P黃金正2
2018-05-02,1657000,31623710,19.09,19.17,19.0,19.12,-0.34,372,,00708L,期元大S&P黃金正2
2018-05-03,571000,10902990,19.08,19.13,19.05,19.11,-0.01,147,,00708L,期元大S&P黃金正2
2018-05-04,702000,13496820,19.16,19.26,19.16,19.22,0.11,150,,00708L,期元大S&P黃金正2
2018-05-07,702000,13560380,19.29,19.36,19.25,19.25,0.03,153,,00708L,期元大S&P黃金正2
2018-05-08,856000,16410730,19.25,19.28,19.11,19.12,-0.13,209,,00708L,期元大S&P黃金正2
2018-05-09,535000,10237660,19.18,19.18,19.11,19.14,0.02,125,,00708L,期元大S&P黃金正2
2018-05-10,678000,13027180,19.16,19.27,19.15,19.19,0.05,120,,00708L,期元大S&P黃金正2
2018-05-11,560000,10858540,19.42,19.43,19.36,19.38,0.19,138,,00708L,期元大S&P黃金正2
2018-05-14,613000,11887290,19.44,19.44,19.33,19.33,-0.05,123,,00708L,期元大S&P黃金正2
2018-05-15,397000,7607050,19.2,19.21,19.11,19.15,-0.18,158,,00708L,期元大S&P黃金正2
2018-05-16,2379000,44133570,18.57,18.61,18.5,18.59,-0.56,540,,00708L,期元大S&P黃金正2
2018-05-17,752000,13940570,18.51,18.6,18.48,18.52,-0.07,192,,00708L,期元大S&P黃金正2
2018-05-18,978000,18036900,18.49,18.49,18.42,18.46,-0.06,211,,00708L,期元大S&P黃金正2
2018-05-21,790000,14566620,18.48,18.5,18.38,18.4,-0.06,158,,00708L,期元大S&P黃金正2
2018-05-22,699000,12928520,18.52,18.53,18.43,18.47,0.07,112,,00708L,期元大S&P黃金正2
2018-05-23,335000,6216370,18.55,18.59,18.53,18.53,0.06,94,,00708L,期元大S&P黃金正2
2018-05-24,243000,4519440,18.6,18.63,18.56,18.63,0.1,88,,00708L,期元大S&P黃金正2
2018-05-25,649000,12191420,18.78,18.81,18.77,18.79,0.16,195,,00708L,期元大S&P黃金正2
2018-05-28,652000,12171080,18.71,18.71,18.65,18.66,-0.13,105,,00708L,期元大S&P黃金正2
2018-05-29,240000,4481400,18.72,18.72,18.65,18.66,0.0,63,,00708L,期元大S&P黃金正2
2018-05-30,396000,7415130,18.76,18.78,18.66,18.68,0.02,88,,00708L,期元大S&P黃金正2
2018-05-31,373000,7005430,18.81,18.81,18.75,18.81,0.13,80,,00708L,期元大S&P黃金正2
2018-06-01,253000,4721390,18.67,18.7,18.64,18.66,-0.15,60,,00708L,期元大S&P黃金正2
2018-06-04,730000,13490030,18.51,18.52,18.43,18.43,-0.23,165,,00708L,期元大S&P黃金正2
2018-06-05,412000,7605900,18.46,18.48,18.42,18.43,0.0,62,,00708L,期元大S&P黃金正2
2018-06-06,140000,2605740,18.61,18.64,18.59,18.62,0.19,58,,00708L,期元大S&P黃金正2
2018-06-07,568000,10558570,18.6,18.62,18.57,18.6,-0.02,63,,00708L,期元大S&P黃金正2
2018-06-08,202000,3755310,18.6,18.61,18.56,18.56,-0.04,61,,00708L,期元大S&P黃金正2
2018-06-11,248000,4635580,18.66,18.72,18.65,18.65,0.09,72,,00708L,期元大S&P黃金正2
2018-06-12,267000,4969090,18.66,18.67,18.58,18.59,-0.06,71,,00708L,期元大S&P黃金正2
2018-06-13,364000,6747220,18.55,18.57,18.52,18.56,-0.03,64,,00708L,期元大S&P黃金正2
2018-06-14,178000,3321640,18.67,18.7,18.62,18.7,0.14,61,,00708L,期元大S&P黃金正2
2018-06-15,351000,6573330,18.73,18.75,18.69,18.73,0.03,90,,00708L,期元大S&P黃金正2
2018-06-19,1124000,20431580,18.16,18.22,18.13,18.19,-0.54,275,,00708L,期元大S&P黃金正2
2018-06-20,913000,16387530,17.95,18.0,17.91,17.94,-0.25,276,,00708L,期元大S&P黃金正2
2018-06-21,1289000,22859950,17.82,17.82,17.65,17.68,-0.26,360,,00708L,期元大S&P黃金正2
2018-06-22,830000,14733350,17.74,17.78,17.73,17.76,0.08,125,,00708L,期元大S&P黃金正2
2018-06-25,543000,9653930,17.83,17.83,17.72,17.72,-0.04,116,,00708L,期元大S&P黃金正2
2018-06-26,840000,14840140,17.71,17.72,17.6,17.65,-0.07,129,,00708L,期元大S&P黃金正2
2018-06-27,1233250,21465150,17.51,17.52,17.35,17.36,-0.29,300,,00708L,期元大S&P黃金正2
2018-06-28,666000,11529830,17.34,17.34,17.27,17.3,-0.06,194,,00708L,期元大S&P黃金正2
2018-06-29,1108000,19065260,17.21,17.31,17.15,17.31,0.01,206,,00708L,期元大S&P黃金正2
2018-07-02,624000,10782530,17.3,17.31,17.25,17.25,-0.06,106,,00708L,期元大S&P黃金正2
2018-07-03,1270000,21516180,17.01,17.02,16.89,16.89,-0.36,300,,00708L,期元大S&P黃金正2
2018-07-04,2825000,49411210,17.39,17.55,17.39,17.53,0.64,409,,00708L,期元大S&P黃金正2
2018-07-05,1197000,20892510,17.48,17.51,17.34,17.35,-0.18,157,,00708L,期元大S&P黃金正2
2018-07-06,498000,8648190,17.43,17.44,17.32,17.35,0.0,93,,00708L,期元大S&P黃金正2
2018-07-09,476000,8303230,17.38,17.49,17.38,17.49,0.14,79,,00708L,期元大S&P黃金正2
2018-07-10,625000,10906480,17.47,17.48,17.42,17.42,-0.07,121,,00708L,期元大S&P黃金正2
2018-07-11,1183000,20369600,17.29,17.29,17.16,17.24,-0.18,128,,00708L,期元大S&P黃金正2
2018-07-12,926000,15757850,16.97,17.06,16.96,17.06,-0.18,224,,00708L,期元大S&P黃金正2
2018-07-13,271000,4632250,17.1,17.13,17.06,17.06,0.0,76,,00708L,期元大S&P黃金正2
2018-07-16,424000,7206580,16.99,17.05,16.96,17.03,-0.03,106,,00708L,期元大S&P黃金正2
2018-07-17,547000,9242590,16.9,16.92,16.85,16.92,-0.11,129,,00708L,期元大S&P黃金正2
2018-07-18,1738000,28785110,16.6,16.6,16.5,16.52,-0.4,437,,00708L,期元大S&P黃金正2
2018-07-19,459000,7572730,16.54,16.55,16.47,16.47,-0.05,151,,00708L,期元大S&P黃金正2
2018-07-20,943000,15413980,16.42,16.45,16.25,16.43,-0.04,254,,00708L,期元大S&P黃金正2
2018-07-23,917000,15304180,16.72,16.73,16.65,16.7,0.27,242,,00708L,期元大S&P黃金正2
2018-07-24,2210000,36213470,16.43,16.45,16.31,16.35,-0.35,392,,00708L,期元大S&P黃金正2
2018-07-25,696000,11463030,16.49,16.53,16.43,16.49,0.14,136,,00708L,期元大S&P黃金正2
2018-07-26,1169000,19469770,16.67,16.71,16.62,16.62,0.13,239,,00708L,期元大S&P黃金正2
2018-07-27,702000,11531010,16.42,16.45,16.4,16.43,-0.19,185,,00708L,期元大S&P黃金正2
2018-07-30,691000,11306180,16.41,16.42,16.32,16.34,-0.09,184,,00708L,期元大S&P黃金正2
2018-07-31,917000,15000570,16.4,16.4,16.32,16.37,0.03,164,,00708L,期元大S&P黃金正2
2018-08-01,793000,12989850,16.39,16.41,16.34,16.36,-0.01,110,,00708L,期元大S&P黃金正2
2018-08-02,1077000,17531760,16.28,16.32,16.25,16.26,-0.1,226,,00708L,期元大S&P黃金正2
2018-08-03,1288000,20598660,16.03,16.05,15.96,15.98,-0.28,382,,00708L,期元大S&P黃金正2
2018-08-06,539000,8719050,16.16,16.22,16.15,16.17,0.19,141,,00708L,期元大S&P黃金正2
2018-08-07,1090000,17462110,16.02,16.05,15.99,16.05,-0.12,168,,00708L,期元大S&P黃金正2
2018-08-08,861000,13865980,16.06,16.14,16.05,16.12,0.07,113,,00708L,期元大S&P黃金正2
2018-08-09,589000,9499980,16.14,16.15,16.1,16.12,0.0,93,,00708L,期元大S&P黃金正2
2018-08-10,459000,7362070,16.08,16.09,15.99,15.99,-0.13,159,,00708L,期元大S&P黃金正2
2018-08-13,588000,9391430,16.0,16.03,15.95,15.96,-0.03,152,,00708L,期元大S&P黃金正2
2018-08-14,2606000,40630800,15.6,15.63,15.57,15.6,-0.36,464,,00708L,期元大S&P黃金正2
2018-08-15,1697000,26232060,15.54,15.54,15.39,15.41,-0.19,394,,00708L,期元大S&P黃金正2
2018-08-16,2977000,44379030,14.84,15.13,14.79,15.13,-0.28,573,,00708L,期元大S&P黃金正2
