date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-15,90000,1800830,20.0,20.03,19.99,20.02,-0.08,87,,00709,富邦歐洲
2017-08-16,219000,4384610,20.02,20.04,20.0,20.03,0.01,93,,00709,富邦歐洲
2017-08-17,348000,6991710,20.07,20.13,20.04,20.1,0.07,134,,00709,富邦歐洲
2017-08-18,124000,2482550,20.05,20.05,20.0,20.02,-0.08,6,,00709,富邦歐洲
2017-08-21,108000,2150690,19.95,19.95,19.9,19.9,-0.12,23,,00709,富邦歐洲
2017-08-22,313000,6229780,19.9,19.93,19.85,19.91,0.01,12,,00709,富邦歐洲
2017-08-23,263000,5258870,20.05,20.05,19.98,19.98,0.07,13,,00709,富邦歐洲
2017-08-24,123000,2455130,19.99,19.99,19.96,19.97,-0.01,5,,00709,富邦歐洲
2017-08-25,135000,2695810,19.94,19.99,19.94,19.97,0.0,8,,00709,富邦歐洲
2017-08-28,592000,11846830,19.94,20.05,19.94,20.05,0.08,28,,00709,富邦歐洲
2017-08-29,794000,15859940,20.01,20.01,19.96,19.96,-0.09,23,,00709,富邦歐洲
2017-08-30,187000,3737100,20.05,20.11,19.94,19.99,0.03,16,,00709,富邦歐洲
2017-08-31,185000,3692540,20.0,20.0,19.95,19.95,-0.04,11,,00709,富邦歐洲
2017-09-01,450000,8960650,19.97,19.97,19.82,19.82,-0.13,28,,00709,富邦歐洲
2017-09-04,612000,12252610,19.97,20.04,19.97,20.0,0.18,25,,00709,富邦歐洲
2017-09-05,137000,2728170,19.97,19.97,19.91,19.93,-0.07,10,,00709,富邦歐洲
2017-09-06,129000,2572490,19.93,20.01,19.93,20.01,0.08,12,,00709,富邦歐洲
2017-09-07,132075,2637855,20.0,20.0,19.96,19.97,-0.04,8,,00709,富邦歐洲
2017-09-08,451000,9085240,20.06,20.17,20.01,20.17,0.2,36,,00709,富邦歐洲
2017-09-11,574000,11604890,20.21,20.24,20.19,20.24,0.07,39,,00709,富邦歐洲
2017-09-12,138000,2802710,20.32,20.32,20.3,20.32,0.08,15,,00709,富邦歐洲
2017-09-13,135000,2743320,20.33,20.33,20.32,20.32,0.0,7,,00709,富邦歐洲
2017-09-14,223000,4539040,20.34,20.39,20.33,20.33,0.01,11,,00709,富邦歐洲
2017-09-15,143000,2904440,20.34,20.34,20.29,20.31,-0.02,7,,00709,富邦歐洲
2017-09-18,178000,3611850,20.3,20.31,20.29,20.3,-0.01,8,,00709,富邦歐洲
2017-09-19,228000,4653790,20.46,20.46,20.35,20.35,0.05,16,,00709,富邦歐洲
2017-09-20,559000,11387390,20.39,20.42,20.34,20.34,-0.01,34,,00709,富邦歐洲
2017-09-21,756000,15425120,20.35,20.46,20.35,20.42,0.08,26,,00709,富邦歐洲
2017-09-22,180000,3684060,20.49,20.49,20.45,20.46,0.04,9,,00709,富邦歐洲
2017-09-25,174000,3572150,20.58,20.58,20.47,20.47,0.01,14,,00709,富邦歐洲
2017-09-26,149000,3044490,20.44,20.46,20.4,20.44,-0.03,11,,00709,富邦歐洲
2017-09-27,133000,2707960,20.44,20.44,20.36,20.36,-0.08,7,,00709,富邦歐洲
2017-09-28,130000,2656700,20.39,20.44,20.39,20.44,0.08,3,,00709,富邦歐洲
2017-09-29,130000,2665000,20.54,20.54,20.46,20.54,0.1,8,,00709,富邦歐洲
2017-09-30,5058,105644,21.01,21.01,20.71,20.71,0.17,5,,00709,富邦歐洲
2017-10-02,354000,7318290,20.83,20.83,20.64,20.64,-0.07,16,,00709,富邦歐洲
2017-10-03,344000,7122800,20.71,20.72,20.67,20.7,0.06,13,,00709,富邦歐洲
2017-10-05,12010,248146,20.65,20.76,20.65,20.76,0.06,6,,00709,富邦歐洲
2017-10-06,9010,187074,20.78,20.78,20.71,20.71,-0.05,5,,00709,富邦歐洲
2017-10-11,11000,228360,20.76,20.76,20.76,20.76,0.05,2,,00709,富邦歐洲
