date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-21,0,0,,,,,0.0,0,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-22,91000,1824830,20.02,20.1,20.0,20.05,0.0,54,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-23,10000,200360,20.0,20.04,20.0,20.04,-0.01,10,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-24,15000,300700,20.06,20.06,20.04,20.04,0.0,15,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-25,17000,340850,20.05,20.05,20.05,20.05,0.01,17,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-28,9000,180510,20.07,20.07,20.05,20.05,0.0,9,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-29,2000,40000,20.0,20.0,20.0,20.0,-0.05,2,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-30,1000,20030,20.03,20.03,20.03,20.03,0.03,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-08-31,4000,80110,20.03,20.03,20.02,20.02,-0.01,3,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-01,7000,140570,20.06,20.09,20.06,20.09,0.07,6,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-04,4000,80260,20.08,20.08,20.06,20.06,-0.03,3,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-05,2000,40100,20.05,20.05,20.05,20.05,-0.01,2,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-06,1000,20010,20.01,20.01,20.01,20.01,-0.04,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-07,0,0,,,,,0.0,0,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-08,3000,60030,20.01,20.01,20.01,20.01,0.0,3,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-11,2000,39960,19.98,19.98,19.98,19.98,-0.03,2,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-12,1000,19980,19.98,19.98,19.98,19.98,0.0,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-13,1000,19980,19.98,19.98,19.98,19.98,0.0,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-14,1000,20040,20.04,20.04,20.04,20.04,0.06,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-15,2000,40210,20.09,20.12,20.09,20.12,0.08,2,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-18,3000,60060,20.02,20.02,20.02,20.02,-0.1,2,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-19,14000,280980,20.07,20.07,20.07,20.07,0.05,5,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-20,11000,220700,20.1,20.1,20.06,20.06,-0.01,2,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-21,1000,20100,20.1,20.1,20.1,20.1,0.04,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-22,1000,20180,20.18,20.18,20.18,20.18,0.08,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-25,1000,20110,20.11,20.11,20.11,20.11,-0.07,1,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
2017-09-26,70000,1401500,20.07,20.07,20.02,20.02,-0.09,6,,00710B,復華彭博非投等債(原簡稱:FH彭博非投等債)
