date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-21,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-22,86000,1730560,20.09,20.16,20.08,20.16,0.0,58,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-23,35000,703800,20.1,20.12,20.06,20.12,-0.04,27,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-24,35000,704540,20.14,20.14,20.12,20.12,0.0,35,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-25,15000,301800,20.12,20.12,20.12,20.12,0.0,15,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-28,12000,242470,20.21,20.21,20.2,20.2,0.08,11,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-29,8000,161280,20.16,20.16,20.16,20.16,-0.04,8,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-30,2000,40360,20.18,20.18,20.18,20.18,0.02,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-08-31,7000,141500,20.2,20.22,20.2,20.22,0.04,6,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-01,2000,40600,20.3,20.3,20.3,20.3,0.08,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-04,5000,101290,20.29,20.29,20.25,20.25,-0.05,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-05,4000,81000,20.25,20.25,20.25,20.25,0.0,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-06,2000,40720,20.36,20.36,20.36,20.36,0.11,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-07,4000,81360,20.34,20.34,20.34,20.34,-0.02,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-08,6000,122280,20.38,20.38,20.38,20.38,0.04,6,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-11,2000,40750,20.38,20.38,20.37,20.37,-0.01,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-12,7000,142380,20.34,20.34,20.34,20.34,-0.03,6,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-13,5000,101580,20.32,20.32,20.31,20.31,-0.03,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-14,6000,122100,20.35,20.35,20.35,20.35,0.04,6,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-15,2000,40720,20.35,20.37,20.35,20.37,0.02,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-18,2000,40660,20.33,20.33,20.33,20.33,-0.04,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-19,6000,122010,20.36,20.36,20.33,20.33,0.0,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-20,5000,101500,20.3,20.3,20.3,20.3,-0.03,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-21,1000,20300,20.3,20.3,20.3,20.3,0.0,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-22,9000,182880,20.32,20.32,20.32,20.32,0.02,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-25,1000,20300,20.3,20.3,20.3,20.3,-0.02,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-26,138000,2784960,20.3,20.3,20.18,20.18,-0.12,10,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-27,110000,2223650,20.27,20.27,20.18,20.18,0.0,10,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-28,27000,541790,20.17,20.17,20.03,20.07,-0.11,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-29,4759000,95893820,20.12,20.12,20.12,20.12,0.05,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-09-30,1000,20150,20.15,20.15,20.15,20.15,0.03,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-02,166000,3358810,20.19,20.27,20.19,20.27,0.12,7,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-03,2000,40630,20.31,20.32,20.31,20.32,0.05,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-05,104000,2115320,20.32,20.34,20.32,20.34,0.02,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-06,1000,20300,20.3,20.3,20.3,20.3,-0.04,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-11,15000,304020,20.27,20.27,20.24,20.24,-0.06,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-12,3000,60510,20.17,20.17,20.17,20.17,-0.07,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-13,1000,20190,20.19,20.19,20.19,20.19,0.02,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-16,25000,505340,20.21,20.24,20.21,20.24,0.05,5,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-17,4683000,95232640,20.26,20.34,20.26,20.34,0.1,36,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-18,3000,61140,20.4,20.4,20.35,20.35,0.01,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-19,32000,651200,20.35,20.35,20.35,20.35,0.0,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-20,1000,20320,20.32,20.32,20.32,20.32,-0.03,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-23,16000,325420,20.34,20.34,20.32,20.32,0.0,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-24,1000,20330,20.33,20.33,20.33,20.33,0.01,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-25,2000,40630,20.33,20.33,20.3,20.3,-0.03,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-26,46000,928510,20.21,20.21,20.15,20.15,0.0,5,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-27,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-30,20000,403400,20.17,20.17,20.17,20.17,0.0,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-10-31,4000,80980,20.27,20.27,20.22,20.22,0.05,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-01,1000,20190,20.19,20.19,20.19,20.19,-0.03,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-02,35000,708650,20.23,20.26,20.23,20.26,0.07,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-03,10000,203300,20.33,20.33,20.33,20.33,0.07,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-06,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-07,2000,40740,20.37,20.37,20.37,20.37,0.0,2,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-08,4000,81340,20.33,20.34,20.33,20.34,-0.03,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-09,1000,20230,20.23,20.23,20.23,20.23,-0.11,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-10,4000,80920,20.23,20.23,20.23,20.23,0.0,3,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-13,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-14,1000,20110,20.11,20.11,20.11,20.11,0.0,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-15,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-16,20000,402600,20.13,20.13,20.13,20.13,0.0,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-17,38000,765120,20.13,20.14,20.13,20.14,0.01,5,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-20,1000,20170,20.17,20.17,20.17,20.17,0.03,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-21,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-22,42000,848110,20.21,20.21,20.14,20.14,0.0,4,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-23,20000,404000,20.2,20.2,20.2,20.2,0.06,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-24,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-27,1000,20250,20.25,20.25,20.25,20.25,0.0,1,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-28,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
2017-11-29,0,0,,,,,0.0,0,,00711B,復華彭博新興債(原簡稱:FH彭博新興債)
