date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-08-21,0,0,,,,,0.0,0,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-22,88000,1768840,20.07,20.14,20.06,20.11,0.0,60,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-23,17000,342180,20.1,20.16,20.1,20.16,0.05,13,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-24,20000,401880,20.1,20.1,20.08,20.08,-0.08,20,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-25,15000,302100,20.14,20.14,20.14,20.14,0.06,14,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-28,16000,320920,20.05,20.07,20.05,20.05,-0.09,16,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-29,151000,3008620,19.97,19.97,19.89,19.92,-0.13,24,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-30,1000,19830,19.83,19.83,19.83,19.83,-0.09,1,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-08-31,6000,118920,19.82,19.82,19.82,19.82,-0.01,6,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-01,87000,1738710,20.01,20.01,19.95,19.95,0.13,11,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-04,82000,1629290,19.91,19.91,19.84,19.84,-0.11,6,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-05,3000,59430,19.82,19.82,19.79,19.79,-0.05,2,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-06,92000,1805200,19.58,19.66,19.58,19.66,-0.13,5,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-07,24000,471400,19.68,19.68,19.64,19.64,-0.02,5,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-08,67000,1311090,19.6,19.6,19.54,19.54,-0.1,7,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-11,119000,2339200,19.59,19.74,19.59,19.74,0.2,10,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-12,571000,11291540,19.76,19.8,19.74,19.8,0.06,14,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-13,324000,6402840,19.8,19.8,19.75,19.78,-0.02,9,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-14,576000,11329380,19.66,19.7,19.66,19.68,-0.1,15,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-15,448000,8812200,19.7,19.7,19.66,19.67,-0.01,7,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-18,21000,414560,19.74,19.76,19.74,19.76,0.09,2,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-19,347000,6883870,19.82,19.88,19.82,19.88,0.12,10,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-20,710000,14190920,19.95,19.99,19.95,19.99,0.11,11,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-21,20000,399400,19.97,19.97,19.97,19.97,-0.02,2,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-22,676000,13473870,19.96,20.0,19.91,20.0,0.03,15,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-25,624000,12531980,20.08,20.11,20.07,20.09,0.09,10,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-26,46000,927360,20.16,20.16,20.16,20.16,0.07,2,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-27,178000,3608080,20.14,20.32,20.14,20.3,0.14,12,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-28,101000,2057390,20.31,20.43,20.31,20.43,0.13,6,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-29,25000,509350,20.3,20.38,20.3,20.36,-0.07,6,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-09-30,23000,466440,20.28,20.28,20.28,20.28,-0.08,3,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-02,1000,20290,20.29,20.29,20.29,20.29,0.01,1,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-03,0,0,,,,,0.0,0,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-05,1000,20510,20.51,20.51,20.51,20.51,0.0,1,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-06,55000,1126650,20.51,20.51,20.47,20.47,-0.04,3,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-11,12000,243480,20.29,20.29,20.29,20.29,-0.18,3,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-12,1000,20220,20.22,20.22,20.22,20.22,-0.07,1,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-13,1000,20270,20.27,20.27,20.27,20.27,0.05,1,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-16,71000,1443420,20.32,20.35,20.32,20.35,0.08,5,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-17,9576000,195166880,20.38,20.39,20.38,20.38,0.03,78,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-18,21000,427950,20.38,20.38,20.35,20.35,-0.03,2,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-19,40000,817250,20.43,20.46,20.43,20.46,0.11,4,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-20,58000,1191090,20.5,20.6,20.5,20.59,0.13,5,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-23,0,0,,,,,0.0,0,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-24,51000,1033260,20.26,20.26,20.26,20.26,0.0,4,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-25,25000,505700,20.22,20.23,20.22,20.23,-0.03,4,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-26,554000,11019420,20.13,20.13,19.88,19.88,0.0,17,,00712,復華富時不動產(原簡稱:FH富時不動產)
2017-10-27,10000,194850,19.54,19.54,19.45,19.46,-0.42,7,,00712,復華富時不動產(原簡稱:FH富時不動產)
