date,volume,value,open,high,low,close,change,transactions,註記,stock_no,stock_name
2017-10-27,2604000,51560650,19.84,19.87,19.66,19.87,-0.12,975,,00714,群益道瓊美國地產
2017-10-30,888400,17554920,19.85,19.85,19.71,19.71,-0.16,176,,00714,群益道瓊美國地產
2017-10-31,755000,14879330,19.7,19.74,19.68,19.68,-0.03,104,,00714,群益道瓊美國地產
2017-11-01,742015,14664567,19.72,19.8,19.72,19.75,0.07,81,,00714,群益道瓊美國地產
2017-11-02,815252,16093637,19.75,19.78,19.71,19.77,0.02,77,,00714,群益道瓊美國地產
2017-11-03,969000,19244920,19.83,19.92,19.79,19.9,0.13,223,,00714,群益道瓊美國地產
2017-11-06,641000,12740050,19.91,19.91,19.85,19.87,-0.03,45,,00714,群益道瓊美國地產
2017-11-07,1010300,20193380,20.01,20.01,19.93,20.0,0.13,198,,00714,群益道瓊美國地產
2017-11-08,1245000,24949300,20.0,20.05,20.0,20.05,0.05,226,,00714,群益道瓊美國地產
2017-11-09,1328285,26789020,20.1,20.23,20.08,20.1,0.05,311,,00714,群益道瓊美國地產
2017-11-10,1050000,21292090,20.18,20.4,20.18,20.38,0.28,118,,00714,群益道瓊美國地產
2017-11-13,842000,17131380,20.3,20.39,20.27,20.39,0.01,54,,00714,群益道瓊美國地產
2017-11-14,710000,14476370,20.39,20.42,20.34,20.4,0.01,40,,00714,群益道瓊美國地產
2017-11-15,905000,18367950,20.24,20.33,20.19,20.19,-0.21,136,,00714,群益道瓊美國地產
2017-11-16,639000,12856480,20.19,20.19,20.08,20.17,-0.02,13,,00714,群益道瓊美國地產
2017-11-17,799000,16215240,20.22,20.36,20.22,20.35,0.18,37,,00714,群益道瓊美國地產
2017-11-20,723000,14600420,20.36,20.36,20.15,20.2,-0.15,23,,00714,群益道瓊美國地產
2017-11-21,605000,12215040,20.25,20.25,20.19,20.19,-0.01,9,,00714,群益道瓊美國地產
2017-11-22,620000,12498970,20.2,20.2,20.13,20.16,-0.03,14,,00714,群益道瓊美國地產
2017-11-23,617000,12432640,20.17,20.17,20.08,20.14,-0.02,14,,00714,群益道瓊美國地產
2017-11-24,2000,40230,20.14,20.14,20.09,20.09,-0.05,2,,00714,群益道瓊美國地產
2017-11-27,612000,12331200,20.15,20.15,20.1,20.1,0.01,10,,00714,群益道瓊美國地產
2017-11-28,619000,12516420,20.1,20.25,20.02,20.18,0.08,14,,00714,群益道瓊美國地產
2017-11-29,625000,12554420,20.09,20.09,19.98,19.98,-0.2,14,,00714,群益道瓊美國地產
2017-11-30,600000,12054000,20.09,20.09,20.09,20.09,0.11,4,,00714,群益道瓊美國地產
2017-12-01,623000,12484300,20.09,20.09,20.0,20.01,-0.08,9,,00714,群益道瓊美國地產
2017-12-04,630000,12647310,20.06,20.1,20.06,20.07,0.06,21,,00714,群益道瓊美國地產
2017-12-05,605000,12121030,20.07,20.07,19.98,19.98,-0.09,8,,00714,群益道瓊美國地產
2017-12-06,645000,12848670,19.98,19.98,19.87,19.88,-0.1,18,,00714,群益道瓊美國地產
2017-12-07,601000,12001880,19.97,19.97,19.88,19.88,0.0,5,,00714,群益道瓊美國地產
2017-12-08,633000,12659570,19.88,20.08,19.85,19.9,0.02,14,,00714,群益道瓊美國地產
2017-12-11,601000,12041050,20.05,20.05,20.03,20.03,0.13,5,,00714,群益道瓊美國地產
2017-12-12,601000,12032030,20.03,20.03,20.02,20.02,-0.01,5,,00714,群益道瓊美國地產
2017-12-13,801000,16067000,19.99,20.09,19.94,20.0,-0.02,15,,00714,群益道瓊美國地產
2017-12-14,602000,12073060,20.0,20.06,20.0,20.05,0.05,6,,00714,群益道瓊美國地產
2017-12-15,602000,12082050,20.0,20.1,20.0,20.04,-0.01,6,,00714,群益道瓊美國地產
2017-12-18,645000,12934390,20.09,20.09,20.01,20.05,0.01,9,,00714,群益道瓊美國地產
2017-12-19,743000,14908760,20.12,20.12,20.0,20.0,-0.05,19,,00714,群益道瓊美國地產
2017-12-20,602000,12021940,20.03,20.03,19.91,19.97,-0.03,6,,00714,群益道瓊美國地產
2017-12-21,612000,12142200,19.85,19.85,19.84,19.84,-0.13,11,,00714,群益道瓊美國地產
2017-12-22,626000,12388770,19.81,19.81,19.73,19.8,-0.04,12,,00714,群益道瓊美國地產
2017-12-25,602000,12009800,19.9,19.95,19.9,19.95,0.15,6,,00714,群益道瓊美國地產
2017-12-26,610000,12155320,19.93,19.93,19.73,19.73,-0.22,9,,00714,群益道瓊美國地產
2017-12-27,601000,11971740,19.74,19.92,19.74,19.92,0.19,5,,00714,群益道瓊美國地產
2017-12-28,606000,12089560,19.92,19.95,19.92,19.93,0.01,9,,00714,群益道瓊美國地產
2017-12-29,607000,12109680,19.93,20.0,19.93,20.0,0.07,10,,00714,群益道瓊美國地產
2018-01-02,205000,4067250,20.01,20.01,19.73,19.83,-0.17,7,,00714,群益道瓊美國地產
2018-01-03,105000,2076280,19.77,19.78,19.72,19.78,-0.05,9,,00714,群益道瓊美國地產
2018-01-04,103000,2037370,19.79,19.8,19.78,19.78,0.0,7,,00714,群益道瓊美國地產
2018-01-05,134000,2600390,19.43,19.44,19.39,19.41,-0.37,30,,00714,群益道瓊美國地產
2018-01-08,110000,2137150,19.41,19.44,19.41,19.41,0.0,11,,00714,群益道瓊美國地產
2018-01-09,102000,1988980,19.5,19.5,19.49,19.5,0.09,6,,00714,群益道瓊美國地產
2018-01-10,112000,2163700,19.32,19.33,19.25,19.33,-0.17,11,,00714,群益道瓊美國地產
2018-01-11,153000,2927550,19.11,19.15,19.1,19.15,-0.18,20,,00714,群益道瓊美國地產
2018-01-12,22000,416910,19.01,19.01,18.88,18.99,-0.16,16,,00714,群益道瓊美國地產
2018-01-15,250000,4693520,18.8,18.87,18.77,18.77,-0.22,26,,00714,群益道瓊美國地產
